,date,country,value
0,2008-01-01,LU,209
26,2008-01-01,NL,964
25,2008-01-01,SE,200
24,2008-01-01,PT,447
23,2008-01-01,CZ,562
22,2008-01-01,GR,752
21,2008-01-01,BE,197
20,2008-01-01,PL,9541
18,2008-01-01,ES,572
17,2008-01-01,IT,1643
16,2008-01-01,GB,752
15,2008-01-01,AT,889
14,2008-01-01,HU,2073
19,2008-01-01,RO,3329
12,2008-01-01,CH,387
13,2008-01-01,FR,1041
2,2008-01-01,EE,35
3,2008-01-01,LV,118
4,2008-01-01,SI,96
5,2008-01-01,LT,279
6,2008-01-01,HR,701
1,2008-01-01,CY,12
8,2008-01-01,SK,621
9,2008-01-01,FI,165
10,2008-01-01,DK,173
11,2008-01-01,BG,1859
7,2008-01-01,IE,77
42,2008-02-01,IT,1460
43,2008-02-01,ES,552
44,2008-02-01,PL,8618
45,2008-02-01,RO,3082
46,2008-02-01,NL,883
47,2008-02-01,GB,594
50,2008-02-01,PT,424
49,2008-02-01,CZ,453
51,2008-02-01,SE,176
52,2008-02-01,HU,1766
53,2008-02-01,BE,167
48,2008-02-01,GR,611
41,2008-02-01,AT,779
33,2008-02-01,LV,141
39,2008-02-01,BG,1824
40,2008-02-01,CH,329
28,2008-02-01,FI,97
29,2008-02-01,SK,639
30,2008-02-01,IE,70
31,2008-02-01,LT,222
32,2008-02-01,FR,957
27,2008-02-01,HR,622
34,2008-02-01,EE,39
35,2008-02-01,CY,8
36,2008-02-01,LU,173
37,2008-02-01,DK,167
38,2008-02-01,SI,79
69,2008-03-01,IT,1777
70,2008-03-01,ES,671
71,2008-03-01,PL,8185
72,2008-03-01,FR,1155
74,2008-03-01,RO,3545
77,2008-03-01,PT,478
76,2008-03-01,CZ,610
68,2008-03-01,CH,336
78,2008-03-01,SE,166
79,2008-03-01,HU,1852
80,2008-03-01,BE,180
75,2008-03-01,GR,652
67,2008-03-01,AT,770
73,2008-03-01,NL,829
65,2008-03-01,BG,1874
55,2008-03-01,SK,736
56,2008-03-01,IE,74
57,2008-03-01,HR,587
58,2008-03-01,LT,285
59,2008-03-01,EE,53
54,2008-03-01,FI,167
66,2008-03-01,GB,669
61,2008-03-01,CY,12
62,2008-03-01,LU,210
63,2008-03-01,DK,191
64,2008-03-01,SI,92
60,2008-03-01,LV,158
96,2008-04-01,CH,370
97,2008-04-01,IT,1648
98,2008-04-01,ES,572
99,2008-04-01,PL,11315
100,2008-04-01,RO,4163
103,2008-04-01,CZ,614
102,2008-04-01,BE,187
104,2008-04-01,PT,577
105,2008-04-01,HU,2396
106,2008-04-01,NL,956
95,2008-04-01,FR,1167
101,2008-04-01,GB,767
94,2008-04-01,AT,911
107,2008-04-01,SE,218
92,2008-04-01,BG,2202
81,2008-04-01,FI,178
82,2008-04-01,SK,892
83,2008-04-01,IE,93
84,2008-04-01,HR,990
85,2008-04-01,DK,183
93,2008-04-01,GR,652
87,2008-04-01,LV,189
88,2008-04-01,EE,45
89,2008-04-01,CY,9
90,2008-04-01,LU,210
91,2008-04-01,LT,346
86,2008-04-01,SI,105
123,2008-05-01,GB,540
124,2008-05-01,IT,1280
125,2008-05-01,ES,449
126,2008-05-01,PL,11722
127,2008-05-01,LT,185
130,2008-05-01,GR,560
129,2008-05-01,BE,117
131,2008-05-01,CZ,410
132,2008-05-01,PT,412
133,2008-05-01,RO,5110
122,2008-05-01,FR,742
128,2008-05-01,NL,713
134,2008-05-01,SE,114
121,2008-05-01,AT,723
119,2008-05-01,CY,6
120,2008-05-01,HU,1926
108,2008-05-01,DK,145
109,2008-05-01,FI,67
110,2008-05-01,SK,761
112,2008-05-01,SI,84
111,2008-05-01,IE,70
114,2008-05-01,LV,127
115,2008-05-01,EE,21
116,2008-05-01,LU,174
117,2008-05-01,HR,737
118,2008-05-01,CH,243
113,2008-05-01,BG,1924
153,2008-06-01,RO,5788
150,2008-06-01,CZ,470
151,2008-06-01,GR,547
152,2008-06-01,NL,850
155,2008-06-01,ES,496
