,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,16.857142857142858,0.0,29.571428571428573,12.142857142857142,0.0,9.285714285714286,0.0,41.142857142857146,0.0,11.571428571428571,30.142857142857142,0.0,9.285714285714286,0.0,32.285714285714285,0.0,16.714285714285715,7.428571428571429,28.285714285714285,5.857142857142857,0.0,21.857142857142858,0.0,18.428571428571427,0.0,0.0,27.571428571428573,5.714285714285714,19.0,53.142857142857146,41.857142857142854,83.14285714285714,89.42857142857143,92.57142857142857,33.714285714285715,23.428571428571427,92.14285714285714,30.285714285714285,58.0,0.0,0.0,0.0,0.0,0.0,0.0,20.203050891044214,0.0,0.0,3.0970690555255422,0.0,7.702371752404898,5.729741003988672,0.0,6.0186784094116845,0.0,19.453765177770514,0.0,5.5069529335418235,14.416307848155473,0.0,6.002833797919293,0.0,8.631929337154737,0.0,11.077033911300841,7.428571428571428,13.67429685789449,5.857142857142857,0.0,0.5532833351724881,0.0,12.561955305143993,0.0,0.0,7.253429871306346,2.2115959085205943,0.5345224838248487,1.1837907518720052,0.7996597916069845,4.682432067636134,3.7407482244748267,0.841120082507415,0.7142857142857144,1.7437936593905285,0.5084322977157768,0.8370664681546164,1.9999999999999993
2007-02-01,39.857142857142854,0.0,0.0,0.0,19.714285714285715,25.857142857142858,0.0,0.0,0.0,17.428571428571427,0.0,17.714285714285715,8.285714285714286,32.857142857142854,56.0,4.285714285714286,0.0,0.0,40.142857142857146,36.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,21.571428571428573,16.571428571428573,0.0,21.428571428571427,0.0,12.142857142857142,31.285714285714285,23.714285714285715,67.85714285714286,4.857142857142857,16.0,47.57142857142857,36.285714285714285,64.0,71.71428571428571,88.85714285714286,25.571428571428573,26.0,90.14285714285714,32.714285714285715,54.57142857142857,18.90632115436096,0.0,0.0,0.0,9.36232135874911,16.69107056886088,0.0,0.0,0.0,1.2883570722351123,0.0,8.436638592964577,5.348405573334052,10.361165064634315,11.122692377040988,2.7664166758624407,0.0,0.0,5.3693511686971185,17.349351572897472,0.0,0.0,0.0,0.0,0.0,7.999999999999998,0.0,13.928144071587985,7.888681291382407,0.0,0.2973808570665904,0.0,12.142857142857142,14.791751700435851,15.750607374100252,14.016025813041182,1.7241778085934925,1.0,0.8123201004396182,1.0168645954315534,5.318431562567509,5.116333721357445,0.704697551759464,0.5281207860194962,0.8451542547285169,0.34006802040680156,0.9440108381713815,2.3284691768376478
2007-03-01,0.0,0.0,0.0,0.0,17.428571428571427,0.0,27.285714285714285,38.0,0.0,16.142857142857142,0.0,5.714285714285714,24.285714285714285,4.142857142857143,33.857142857142854,3.857142857142857,52.42857142857143,0.0,32.0,0.0,9.714285714285714,0.0,50.714285714285715,36.0,0.0,0.0,48.285714285714285,15.857142857142858,47.142857142857146,73.85714285714286,20.857142857142858,0.0,0.0,8.857142857142858,0.0,31.428571428571427,17.285714285714285,15.714285714285714,50.57142857142857,48.714285714285715,54.0,71.14285714285714,84.28571428571429,24.428571428571427,23.571428571428573,84.71428571428571,27.142857142857142,55.857142857142854,0.0,0.0,0.0,0.0,11.420235054826279,0.0,17.6402060857661,17.935068069752806,0.0,1.1004019055515564,0.0,5.7142857142857135,10.629505847301798,4.142857142857142,7.781016494461044,2.4921645920246713,18.609850365122362,0.0,6.164414002968976,0.0,9.714285714285714,0.0,18.11039465494397,6.542898731412845,0.0,0.0,17.750538939791692,10.489061357588929,6.072688944809224,13.14829080224529,0.5532833351724881,0.0,0.0,8.857142857142856,0.0,5.532833351724881,3.475864303027554,0.6801360408136048,0.7824607964359517,1.4093951035189278,2.63673679998231,3.782343512821066,0.6060915267313254,0.6851187890446743,1.2316683006073867,0.47380354147934345,0.4592214648091883,0.9367769320431427
2007-04-01,0.0,0.0,0.0,0.0,9.714285714285714,0.0,0.0,54.285714285714285,0.0,5.714285714285714,0.0,40.0,7.714285714285714,0.0,0.0,0.0,0.0,0.0,53.285714285714285,0.0,34.285714285714285,0.0,40.42857142857143,50.42857142857143,0.0,25.428571428571427,22.857142857142858,0.0,23.714285714285715,0.0,23.0,0.0,63.0,0.0,0.0,0.0,3.5714285714285716,12.571428571428571,49.42857142857143,29.142857142857142,62.142857142857146,66.14285714285714,80.42857142857143,23.571428571428573,20.285714285714285,80.71428571428571,27.0,47.857142857142854,0.0,0.0,0.0,0.0,6.364762688555848,0.0,0.0,19.33257094438626,0.0,0.8081220356417685,0.0,12.328828005937952,4.984329184049343,0.0,0.0,0.0,0.0,0.0,10.087036200972406,0.0,16.771168976655666,0.0,19.158309328501055,15.497860286806942,0.0,12.270477816708691,11.398472269037951,0.0,12.54461426026227,0.0,0.5773502691896257,0.0,16.79427340040703,0.0,0.0,0.0,1.6882950382129367,0.6116777418411966,0.36885555678165866,1.549632390025998,4.584801867394632,3.1579723107789053,0.6494372236659931,0.20203050891044225,0.5216405309573011,0.28571428571428553,1.1952286093343933,2.0751198637619925
2007-05-01,0.0,0.0,0.0,0.0,44.57142857142857,0.0,37.42857142857143,56.714285714285715,0.0,21.0,0.0,19.571428571428573,0.0,14.571428571428571,26.285714285714285,20.285714285714285,0.0,28.571428571428573,89.28571428571429,73.28571428571429,19.571428571428573,7.0,18.0,57.0,0.0,13.571428571428571,18.571428571428573,0.0,33.42857142857143,0.0,20.714285714285715,68.71428571428571,0.0,0.0,0.0,4.142857142857143,11.714285714285714,11.571428571428571,54.857142857142854,29.571428571428573,60.142857142857146,72.42857142857143,82.85714285714286,25.142857142857142,28.714285714285715,82.57142857142857,28.714285714285715,50.57142857142857,0.0,0.0,0.0,0.0,6.693483479357768,0.0,17.781554304092424,14.854395350349666,0.0,2.7516228977511745,0.0,10.403426960237995,0.0,5.163319082293697,6.159446039231455,5.078968238466051,0.0,18.442777839082936,7.160454513753817,13.669072295330285,12.972236182117014,4.5197977198732495,12.264932589646442,12.378937564997056,0.0,9.002267288107515,9.275818903284529,0.0,10.48095129919295,0.0,0.3595159254890833,17.93468876854265,0.0,0.0,0.0,4.142857142857142,4.19020561897047,0.5714285714285712,1.1218303799418805,0.9476070829586855,4.114021155515271,2.5341208944095373,0.5532833351724872,0.459221464809188,1.5386185163241441,0.7190318509781664,0.8921425711997713,1.250850051101304
2007-06-01,0.0,0.0,24.142857142857142,0.0,35.142857142857146,36.57142857142857,0.0,0.0,0.0,15.285714285714286,0.0,48.142857142857146,0.0,26.857142857142858,45.42857142857143,5.428571428571429,0.0,0.0,45.42857142857143,7.428571428571429,61.714285714285715,0.0,34.142857142857146,26.714285714285715,0.0,0.0,0.0,0.0,14.285714285714286,0.0,22.285714285714285,0.0,0.0,0.0,14.857142857142858,10.0,3.0,13.285714285714286,64.42857142857143,36.142857142857146,74.85714285714286,80.57142857142857,79.0,27.428571428571427,26.428571428571427,78.85714285714286,26.571428571428573,57.285714285714285,0.0,0.0,11.572604290652437,0.0,10.220028355725669,17.46269103635784,0.0,0.0,0.0,2.5701054797168825,0.0,12.375914726036312,0.0,6.013590051385483,17.024991633949615,2.571428571428571,0.0,0.0,11.61250791758845,7.428571428571428,11.84968210486655,0.0,16.198807380304814,14.217216735376871,0.0,0.0,0.0,0.0,6.809357307321706,0.0,0.4738035414793428,0.0,0.0,0.0,9.747841205275417,6.458659745975607,2.1712405933672376,0.8650429583135689,1.0658585374094942,1.9812041964490208,5.47039030307959,3.4216199369885136,0.4364357804719846,0.20203050891044227,0.8959470343917515,0.4040610178208849,0.6494372236659931,1.0626625525914948
2007-07-01,14.285714285714286,42.714285714285715,8.428571428571429,0.0,63.0,0.0,0.0,0.0,0.0,16.142857142857142,0.0,0.0,0.0,0.0,0.0,14.857142857142858,12.285714285714286,0.0,40.42857142857143,0.0,0.0,7.714285714285714,0.0,53.42857142857143,23.571428571428573,0.0,0.0,20.0,0.0,33.0,22.857142857142858,0.0,8.714285714285714,0.0,0.0,34.142857142857146,5.857142857142857,13.714285714285714,67.14285714285714,30.285714285714285,41.714285714285715,73.14285714285714,79.14285714285714,24.714285714285715,22.857142857142858,79.42857142857143,32.42857142857143,53.857142857142854,14.285714285714285,7.383102605384314,8.428571428571427,0.0,18.19078783078847,0.0,0.0,0.0,0.0,2.4921645920246713,0.0,0.0,0.0,0.0,0.0,3.6931633841888076,12.285714285714285,0.0,6.167723755692257,0.0,0.0,4.998639270623869,0.0,10.31147567578205,15.635516868818314,0.0,0.0,10.115993936995679,0.0,15.652475842498527,0.3400680204068024,0.0,8.714285714285714,0.0,0.0,6.987841724938332,2.2406267344797315,1.1895234282663616,0.9110060223670945,1.5386185163241441,3.1450209001825464,2.492164592024671,0.4040610178208849,0.6441785361175565,1.2616801237611208,0.2973808570665903,1.13088972257504,1.624640200879236
2007-08-01,0.0,52.285714285714285,0.0,0.0,19.285714285714285,0.0,0.0,41.857142857142854,0.0,23.0,14.285714285714286,34.714285714285715,0.0,4.714285714285714,0.0,12.571428571428571,0.0,0.0,48.0,0.0,0.0,0.0,55.0,38.57142857142857,0.0,18.857142857142858,0.0,67.85714285714286,40.0,37.57142857142857,25.857142857142858,37.42857142857143,23.857142857142858,0.0,0.0,10.428571428571429,15.857142857142858,13.142857142857142,57.285714285714285,28.285714285714285,36.57142857142857,58.57142857142857,76.42857142857143,20.857142857142858,20.857142857142858,76.71428571428571,31.285714285714285,42.714285714285715,0.0,19.035948805845624,0.0,0.0,9.161810711327977,0.0,0.0,19.751345429071495,0.0,2.2782616597915593,14.285714285714285,5.95504702198174,0.0,4.714285714285714,0.0,3.797600388071788,0.0,0.0,13.252133700617708,0.0,0.0,0.0,19.548474547720012,12.003684241688035,0.0,12.221036842125901,0.0,12.997121607033888,16.284669974871342,17.89101549309456,0.5532833351724881,18.281993669099844,12.49843527621524,0.0,0.0,6.802860542788295,5.284427127705254,0.8844845533812716,1.2289036095775179,1.1278780268882869,1.8880216763427629,3.0461305888989476,0.6851187890446743,0.34006802040680234,0.8844845533812716,0.6441785361175565,0.7781016494461044,1.8220120447341897
2007-09-01,0.0,17.142857142857142,27.857142857142858,0.0,26.857142857142858,19.285714285714285,0.0,0.0,0.0,30.0,0.0,29.571428571428573,0.0,0.0,10.0,21.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,46.57142857142857,80.85714285714286,0.0,0.0,29.571428571428573,19.857142857142858,53.285714285714285,0.0,23.285714285714285,24.0,23.571428571428573,36.285714285714285,0.0,25.285714285714285,15.714285714285714,20.285714285714285,39.142857142857146,33.57142857142857,43.57142857142857,86.71428571428571,98.57142857142857,25.857142857142858,22.0,97.28571428571429,34.142857142857146,52.57142857142857,0.0,8.137007088219937,13.370950337398238,0.0,9.274718764645389,12.453177612684291,0.0,0.0,0.0,2.5260547066428276,0.0,11.081638917075189,0.0,0.0,4.740906081772816,5.219012860502954,0.0,0.0,6.243908596209839,0.0,0.0,0.0,12.818991013814033,10.086361776059343,0.0,0.0,10.725708196969121,9.986725883769465,9.44587157418088,0.0,0.420560041253707,15.615925936592514,11.190678822886788,14.602208387635015,0.0,9.581018649775551,2.6966847875748132,1.0848367380851922,1.0562415720389922,0.9221388919541468,3.7279966716285395,3.39266916772512,0.3688555567816589,0.4592214648091883,1.1338934190276815,0.6441785361175564,0.40406101782088466,1.7437936593905285
2007-10-01,0.0,34.0,16.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,44.142857142857146,0.0,12.428571428571429,18.857142857142858,4.428571428571429,0.0,28.571428571428573,44.0,0.0,0.0,0.0,0.0,31.0,0.0,6.714285714285714,3.5714285714285716,19.0,23.142857142857142,16.857142857142858,21.0,0.0,6.571428571428571,0.0,0.0,29.857142857142858,8.857142857142858,100.0,39.57142857142857,37.0,58.57142857142857,86.42857142857143,91.85714285714286,26.0,25.571428571428573,93.0,34.0,57.285714285714285,0.0,11.282097069504157,11.191894540307308,0.0,0.0,0.0,0.0,0.0,0.0,2.2146697055682827,0.0,13.160960616677702,0.0,4.4016076222062255,6.0412414816373445,2.0914467862854997,0.0,18.442777839082936,6.506407098647711,0.0,0.0,0.0,0.0,7.543524501502059,0.0,6.714285714285715,3.571428571428571,9.167748853869147,7.407938378550955,11.020389266801635,0.4364357804719848,0.0,6.571428571428571,0.0,0.0,12.46027701944706,3.2177230298145045,0.0,0.6116777418411963,2.32992949004287,3.0539369037759934,4.508495382302714,0.3400680204068029,0.617213399848368,0.8123201004396179,0.5345224838248497,0.6172133998483671,1.475422227126635
2007-11-01,0.0,0.0,56.142857142857146,0.0,22.571428571428573,0.0,0.0,0.0,0.0,17.428571428571427,0.0,26.714285714285715,9.571428571428571,33.57142857142857,24.0,7.142857142857143,0.0,0.0,10.142857142857142,0.0,43.857142857142854,0.0,9.285714285714286,40.714285714285715,66.14285714285714,21.714285714285715,15.285714285714286,0.0,15.571428571428571,33.142857142857146,19.571428571428573,0.0,35.857142857142854,81.85714285714286,13.142857142857142,0.0,6.285714285714286,34.0,33.857142857142854,31.428571428571427,68.85714285714286,69.14285714285714,86.14285714285714,24.0,25.285714285714285,86.42857142857143,32.285714285714285,50.285714285714285,0.0,0.0,15.331928359175317,0.0,8.91723089320452,0.0,0.0,0.0,0.0,2.2131333406899523,0.0,5.506335250523388,3.4562375831664864,8.129479403636475,8.30375703837612,2.781131761990255,0.0,0.0,2.8236127772140174,0.0,13.113839602330287,0.0,9.285714285714285,11.624510815543175,17.41978701338902,7.858008610311385,7.630497349184939,0.0,5.537134994343034,16.201746777414336,0.2020305089104422,0.0,11.802801466134198,8.883983907461069,8.528463746628171,0.0,2.941608611710571,0.3086066999241838,0.3400680204068027,0.7190318509781664,4.842414644765225,3.978684703867488,0.5532833351724881,0.6900655593423539,1.1065666703449761,0.5714285714285712,0.521640530957301,1.5692625765032455
