,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.57142857142857,0.0,0.0,0.0,0.0,0.0,5.285714285714286,16.285714285714285,63.714285714285715,22.142857142857142,72.71428571428571,0.0,71.85714285714286,40.857142857142854,59.714285714285715,38.714285714285715,31.714285714285715,18.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3227723856037157,0.0,0.0,0.0,0.0,0.0,1.3751932455422524,6.696531745236932,7.897299977763001,6.950260602954366,9.787538933120365,0.0,1.4708043058552862,3.6672850437124103,9.833650404204374,2.8595228182861767,1.8479626582792623,3.469007582211687
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.285714285714285,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,13.0,42.714285714285715,60.57142857142857,36.42857142857143,0.0,68.0,41.857142857142854,20.285714285714285,43.42857142857143,28.428571428571427,40.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.504417865200896,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,4.6954892234589405,5.764068857666289,4.805042702635395,12.453450741627785,0.0,0.8728715609439699,4.733007558014004,6.171031733272907,2.626396615835748,3.7597944653622632,4.57960578168539
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,9.142857142857142,20.0,50.714285714285715,41.857142857142854,33.285714285714285,0.0,69.71428571428571,35.857142857142854,56.285714285714285,45.0,24.285714285714285,28.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.515766703594998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.968084198523318,0.0,0.0,0.0,0.0,0.0,3.7316444187552498,6.183695920571712,8.467625421102946,6.96394993085503,5.651440127100709,0.0,1.2670604472047688,2.3444825952554615,9.63553513900323,2.1044171232366047,1.8088971345926261,2.7553287888551297
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,2.2857142857142856,14.857142857142858,35.857142857142854,6.571428571428571,55.142857142857146,0.0,66.71428571428571,34.285714285714285,59.0,39.714285714285715,25.428571428571427,30.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9195563916132055,0.0,0.0,0.0,0.0,0.0,1.475422227126635,3.0816551785454163,10.363462768023904,4.241838902989075,13.882892129435819,0.0,1.267060447204769,3.013574729961284,8.251983888449983,1.7281187915832432,2.080031396937291,4.571428571428571
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.142857142857146,0.0,0.0,0.0,0.0,0.0,5.714285714285714,3.142857142857143,47.42857142857143,67.0,53.0,0.0,75.28571428571429,32.0,69.71428571428571,39.57142857142857,24.428571428571427,23.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4545261285048823,0.0,0.0,0.0,0.0,0.0,2.2961073240459418,2.040408122440814,8.78813361966048,7.958224257542215,7.640742920747456,0.0,1.475422227126635,1.704336206492693,8.262693800664369,2.6173154445069136,2.7417160324732914,3.4046786536608526
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.57142857142857,0.0,0.0,0.0,0.0,0.0,7.857142857142857,11.0,59.714285714285715,0.0,11.0,0.0,75.0,22.857142857142858,13.571428571428571,44.0,17.714285714285715,27.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.504127789425758,0.0,0.0,0.0,0.0,0.0,1.8442777839082936,3.585685828003181,7.043113102660693,0.0,5.367450401216932,0.0,2.070196678027062,2.7553287888551297,4.3799170619302545,2.25726340847454,2.6966847875748132,2.0669080394486383
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.285714285714285,0.0,0.0,0.0,0.0,0.0,7.285714285714286,21.285714285714285,66.42857142857143,0.0,52.714285714285715,0.0,77.0,24.285714285714285,14.285714285714286,41.285714285714285,32.285714285714285,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.65886619929854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9577524101465777,0.0,0.0,0.0,0.0,0.0,1.5386185163241441,5.308189027182371,8.820585076310719,0.0,10.129434445065073,0.0,1.154700538379251,2.37761671101332,4.2354191658210265,1.6577995414789721,1.5386185163241441,2.6992062325273123
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.57142857142857,0.0,0.0,0.0,0.0,0.0,26.142857142857142,6.428571428571429,63.142857142857146,8.571428571428571,47.142857142857146,0.0,73.14285714285714,29.857142857142858,35.714285714285715,40.57142857142857,34.714285714285715,29.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.234546325076203,0.0,0.0,0.0,0.0,0.0,4.773082120094946,2.2872018968614904,8.057615656509512,4.040610178208842,8.244561183934913,0.0,0.7693092581620714,2.995461419488867,5.986947253397677,2.9265382024398954,3.1525823558162727,4.2023640900781345
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,26.285714285714285,18.285714285714285,19.714285714285715,2.2857142857142856,51.57142857142857,0.0,80.14285714285714,34.42857142857143,48.714285714285715,51.857142857142854,34.142857142857146,33.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1952286093343936,0.0,0.0,0.0,0.0,0.0,3.6102650325761645,4.195883956554417,4.362798827065279,2.2857142857142856,12.948353715649654,0.0,1.4869042853329517,3.6440240894683793,5.5708180373659815,3.9305189977707444,1.2233554836823932,3.26390275965596
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.142857142857142,0.0,0.0,0.0,0.0,0.0,16.142857142857142,33.0,60.714285714285715,36.0,42.285714285714285,3.5714285714285716,80.57142857142857,27.0,30.857142857142858,52.142857142857146,31.0,29.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.82639757046366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4214106244380285,0.0,0.0,0.0,0.0,0.0,2.3546162504906887,7.90418816047483,5.85830418219782,6.168275208485679,10.234661661223974,3.571428571428571,1.231668300607387,2.3502786055720124,5.175163081987859,1.8952141659173718,3.116774889895918,3.1298431857438063
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.57142857142857,0.0,0.0,0.0,0.0,0.0,19.857142857142858,18.571428571428573,41.142857142857146,29.714285714285715,70.42857142857143,14.285714285714286,77.28571428571429,21.428571428571427,45.857142857142854,45.285714285714285,36.285714285714285,23.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8959470343917513,0.0,0.0,0.0,0.0,0.0,2.720544163254419,1.8368858592367532,7.522754597532334,6.589003413748893,8.211075977451614,5.088335333150226,0.28571428571428636,2.102800206268535,6.485986988183397,2.4757325583916114,1.9237152263546813,4.073307836966644
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.57142857142857,0.0,0.0,0.0,0.0,0.0,10.142857142857142,2.857142857142857,54.285714285714285,36.142857142857146,25.714285714285715,11.0,69.28571428571429,22.857142857142858,48.42857142857143,32.285714285714285,37.714285714285715,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1696734761703844,0.0,0.0,0.0,0.0,0.0,1.765119332652442,1.8442777839082936,4.945966541942394,6.7592214662586665,4.422422766906359,5.214448790665816,1.248127849722014,1.2616801237611208,6.324017495145912,1.3222327025633163,3.3715496346302705,3.8791260675078667
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.42857142857143,0.0,0.0,0.0,0.0,0.0,17.285714285714285,15.857142857142858,70.42857142857143,16.0,56.857142857142854,0.0,79.0,31.571428571428573,31.857142857142858,51.857142857142854,41.142857142857146,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.950056688518406,0.0,0.0,0.0,0.0,0.0,3.8773719972994822,3.0583887092059827,4.903143514780147,4.353433237386437,8.522878374253203,0.0,0.8728715609439694,2.0101781827814693,6.001700439314287,1.2037356818823364,2.539484119233025,3.2145502536643185
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.42857142857143,0.0,0.0,0.0,0.0,0.0,21.857142857142858,14.714285714285714,32.142857142857146,36.285714285714285,74.71428571428571,10.428571428571429,80.85714285714286,40.42857142857143,29.714285714285715,46.285714285714285,35.857142857142854,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2557560537765733,0.0,0.0,0.0,0.0,0.0,4.763095089322905,3.714285714285714,5.0682417888190745,9.667604927489208,8.741565419671385,4.927363551091582,0.40406101782088455,2.87730977905158,4.916998144020325,1.7418420150639886,2.1977106208027286,2.0354009783964293
