,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.285714285714285,0.0,15.285714285714286,9.714285714285714,0.0,0.0,0.0,0.0,10.714285714285714,57.0,0.0,0.0,0.0,27.0,0.0,36.857142857142854,0.0,31.714285714285715,0.0,0.0,71.85714285714286,42.285714285714285,40.857142857142854,0.0,0.0,0.0,18.571428571428573,18.571428571428573,54.857142857142854,63.714285714285715,85.0,47.285714285714285,16.285714285714285,58.42857142857143,72.42857142857143,43.42857142857143,38.0,41.57142857142857,37.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0633672184436955,0.0,7.2266513542524216,9.714285714285714,0.0,0.0,0.0,0.0,7.019409436949623,17.023792873784732,0.0,0.0,0.0,10.836446439150217,0.0,11.202526440024847,0.0,12.170836113459101,0.0,0.0,13.630198565140937,0.644178536117556,16.29406636292659,0.0,0.0,0.0,12.037356818823369,5.664665512998067,7.271695195785378,1.3577692789888811,9.819805060619657,6.046306569241399,2.1681052262537546,1.7708908554082907,3.1986391664279354,2.7242923315024385,1.0690449676496974,1.5562032988922088,2.5233602475222425
2007-02-01,29.714285714285715,0.0,8.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,37.142857142857146,57.142857142857146,0.0,0.0,11.857142857142858,7.428571428571429,0.0,10.857142857142858,0.0,0.0,0.0,0.0,0.0,17.571428571428573,0.0,18.714285714285715,0.0,31.714285714285715,24.857142857142858,0.0,0.0,46.857142857142854,13.428571428571429,0.0,48.142857142857146,8.857142857142858,0.0,32.42857142857143,25.857142857142858,66.57142857142857,56.285714285714285,39.42857142857143,25.857142857142858,48.57142857142857,68.85714285714286,47.0,37.857142857142854,44.142857142857146,37.57142857142857,15.215459377936398,0.0,5.352855427198627,0.0,0.0,0.0,0.0,0.0,0.0,4.188581822893619,20.203050891044214,0.0,0.0,7.660748973170441,7.428571428571428,0.0,10.857142857142858,0.0,0.0,0.0,0.0,0.0,8.405942180718247,0.0,8.903488577155441,0.0,16.881540052904626,16.045216720002156,0.0,0.0,0.5532833351724881,8.887811726117489,0.0,13.758856146096578,8.857142857142856,0.0,8.571428571428571,4.788023607714065,2.080031396937291,5.055474570132037,4.869033065527208,2.0636141600019475,1.6741329363092323,3.187987657774485,4.3369947901195145,0.2608202654786502,2.5394841192330255,1.6882950382129365
2007-03-01,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,32.285714285714285,0.0,44.0,24.571428571428573,0.0,5.142857142857143,15.285714285714286,0.0,0.0,14.0,0.0,0.0,0.0,19.142857142857142,17.142857142857142,10.428571428571429,0.0,0.0,0.0,0.0,19.714285714285715,43.57142857142857,0.0,71.71428571428571,59.857142857142854,0.0,0.0,19.142857142857142,61.0,68.28571428571429,45.857142857142854,29.714285714285715,20.714285714285715,57.285714285714285,68.14285714285714,68.85714285714286,39.0,35.142857142857146,37.0,0.0,0.0,4.725815626252608,0.0,0.0,0.0,0.0,0.0,0.0,6.266746272471658,0.0,12.069244660154448,11.659570242135535,0.0,5.142857142857142,9.939613592456546,0.0,0.0,6.6044717895564995,0.0,0.0,0.0,10.142857142857142,8.15454466168748,6.739567397651201,0.0,0.0,0.0,0.0,13.383917651445717,0.6494372236659933,0.0,7.848913439252005,16.214967470458497,0.0,0.0,4.733007558014004,7.979139469057215,1.782377835448847,4.344830378784442,5.9789881518303645,2.7750099589206596,2.4564229288626533,3.0113165245261664,6.277050306012982,0.5345224838248487,1.8442777839082931,1.1547005383792515
2007-04-01,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,21.142857142857142,0.0,37.142857142857146,0.0,6.571428571428571,34.714285714285715,0.0,0.0,73.28571428571429,5.142857142857143,0.0,0.0,0.0,0.0,18.0,11.571428571428571,49.42857142857143,0.0,0.0,0.0,0.0,45.285714285714285,12.857142857142858,0.0,7.571428571428571,0.0,0.0,10.571428571428571,44.285714285714285,72.14285714285714,58.57142857142857,57.42857142857143,16.571428571428573,60.0,69.28571428571429,63.714285714285715,35.857142857142854,31.285714285714285,29.714285714285715,0.0,0.0,5.277986629117476,0.0,0.0,0.0,0.0,0.0,0.0,6.29598727621911,0.0,11.510716686612339,0.0,6.57142857142857,13.332227845327573,0.0,0.0,8.890107626201281,5.142857142857142,0.0,0.0,0.0,0.0,8.629958891917763,7.476493776074013,17.977309961987853,0.0,0.0,0.0,0.0,0.9184429296183769,8.299250027587322,0.0,7.57142857142857,0.0,0.0,3.890508247230522,5.299210568854687,1.8699194205782732,6.07828744230581,8.141186127624515,1.2508500511013043,2.3196879921559237,5.272183453498838,6.155579295451001,0.7996597916069839,1.714285714285714,0.8650429583135689
2007-05-01,6.714285714285714,0.0,0.0,0.0,22.857142857142858,0.0,6.142857142857143,5.857142857142857,0.0,26.571428571428573,0.0,32.42857142857143,16.0,17.428571428571427,40.142857142857146,34.142857142857146,0.0,0.0,8.857142857142858,0.0,0.0,0.0,23.428571428571427,40.857142857142854,46.714285714285715,0.0,0.0,0.0,0.0,0.0,45.0,11.0,26.571428571428573,11.571428571428571,38.857142857142854,0.0,13.285714285714286,32.42857142857143,73.71428571428571,44.0,35.0,17.714285714285715,48.42857142857143,62.857142857142854,51.714285714285715,38.142857142857146,37.0,33.42857142857143,6.714285714285715,0.0,0.0,0.0,11.398472269037953,0.0,6.142857142857142,5.857142857142857,0.0,5.584234367340589,0.0,10.190698706960893,10.410617291061676,6.186995358380823,12.494624694583802,16.807635129293345,0.0,0.0,5.733894925825566,0.0,0.0,0.0,8.86366887075212,4.437011925827107,14.86400940225093,0.0,0.0,0.0,0.0,0.0,1.0235326314383182,7.2866479327080205,9.601232914026602,7.533598213391548,14.199980837392454,0.0,4.229793903086182,5.9636084588393405,2.900856078193911,4.6393759843118465,4.8892496259407645,2.2008038111031127,1.1517511068997928,3.3482658726184655,5.626105333575777,0.8288997707394866,1.3972762620115435,0.9221388919541469
2007-06-01,35.142857142857146,0.0,15.0,13.571428571428571,0.0,0.0,6.428571428571429,0.0,0.0,49.142857142857146,13.428571428571429,33.714285714285715,32.42857142857143,10.428571428571429,32.285714285714285,36.42857142857143,0.0,10.857142857142858,0.0,0.0,0.0,0.0,15.714285714285714,0.0,15.142857142857142,0.0,0.0,17.857142857142858,0.0,64.85714285714286,42.57142857142857,6.857142857142857,0.0,35.0,0.0,0.0,55.142857142857146,39.285714285714285,69.0,41.0,36.285714285714285,27.428571428571427,52.714285714285715,68.0,52.285714285714285,33.142857142857146,37.285714285714285,34.0,14.24852301690478,0.0,5.380741673076394,13.571428571428571,0.0,0.0,6.428571428571428,0.0,0.0,9.864386572361182,13.42857142857143,10.368712749499458,11.542586041135097,6.802860542788295,8.722478584270712,14.214106244380286,0.0,7.172794406076109,0.0,0.0,0.0,0.0,7.453712036915009,0.0,7.159504410317836,0.0,0.0,11.539638872431079,0.0,12.574404409692866,0.8123201004396179,6.857142857142857,0.0,9.357960705807038,0.0,0.0,9.950899867010282,8.256928651036008,2.420153478013917,6.651172470932869,2.98977850520805,1.862629258629328,1.643374659689275,3.1847852585154213,5.959043889889775,0.7046975517594631,2.6966847875748137,0.8997354108424369
2007-07-01,30.142857142857142,0.0,19.857142857142858,0.0,0.0,0.0,0.0,0.0,40.857142857142854,23.714285714285715,0.0,39.285714285714285,0.0,59.57142857142857,52.0,58.857142857142854,0.0,0.0,25.142857142857142,0.0,0.0,0.0,20.428571428571427,10.428571428571429,32.142857142857146,0.0,25.857142857142858,0.0,0.0,0.0,46.857142857142854,15.571428571428571,0.0,7.0,0.0,0.0,83.71428571428571,96.0,93.14285714285714,30.571428571428573,14.0,12.428571428571429,53.57142857142857,59.42857142857143,23.428571428571427,40.285714285714285,32.857142857142854,41.857142857142854,15.279037259979331,0.0,8.751676224283774,0.0,0.0,0.0,0.0,0.0,19.340838327510117,5.951047469680826,0.0,13.67255555886331,0.0,9.28608057885601,11.936339073442513,16.941676663284106,0.0,0.0,6.773296909216971,0.0,0.0,0.0,7.292713724628696,6.732498095970387,12.86269721294242,0.0,9.284981656079966,0.0,0.0,0.0,0.9110060223670945,10.41486378956067,0.0,7.0,0.0,0.0,7.763511373311526,3.1167748898959178,2.585937901406754,8.34910072961138,3.69039938476144,1.2316683006073867,2.0914467862854997,2.0337291908631063,5.018333734357228,0.7468755781599107,3.1124065977844175,1.8442777839082936
2007-08-01,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,47.857142857142854,0.0,53.0,15.428571428571429,36.42857142857143,25.571428571428573,28.0,0.0,0.0,9.142857142857142,0.0,0.0,0.0,15.285714285714286,0.0,21.857142857142858,0.0,13.714285714285714,0.0,0.0,0.0,47.285714285714285,30.571428571428573,39.57142857142857,0.0,46.285714285714285,0.0,19.0,37.142857142857146,85.85714285714286,25.714285714285715,37.857142857142854,21.857142857142858,51.285714285714285,74.0,44.0,40.714285714285715,37.142857142857146,34.285714285714285,0.0,0.0,4.5197977198732495,0.0,0.0,0.0,0.0,0.0,0.0,5.077628671453838,0.0,7.118052168020874,9.961490476681027,10.546624697836117,9.352507030475948,14.735767952260144,0.0,0.0,5.90168890850654,0.0,0.0,0.0,7.220058981800651,0.0,7.765701671386791,0.0,6.5998350834889585,0.0,0.0,0.0,1.0848367380851922,11.34283315338713,14.917003948605801,0.0,13.14518612904918,0.0,4.23140188409963,4.39928874894552,1.2988744473319864,6.940956039934219,3.725258517258657,2.175935173103974,1.2481278497220147,5.232681184722836,3.9821028185046727,0.8081220356417685,1.624640200879236,1.0168645954315534
2007-09-01,0.0,0.0,0.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,10.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,33.857142857142854,0.0,48.714285714285715,0.0,0.0,0.0,52.42857142857143,0.0,40.57142857142857,0.0,42.57142857142857,0.0,0.0,0.0,59.42857142857143,53.0,67.28571428571429,35.0,27.428571428571427,23.428571428571427,45.57142857142857,75.14285714285714,58.42857142857143,43.285714285714285,35.714285714285715,34.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,6.9483027830273665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.522360951894166,0.0,0.0,0.0,10.003400782278211,0.0,10.602592418196343,0.0,0.0,0.0,18.748786808823688,0.0,0.7190318509781666,0.0,9.797611815075731,0.0,0.0,0.0,7.825042652727638,6.063159635198859,2.4467109673647873,5.572039038594314,4.715007159804405,2.87730977905158,0.8689660757568884,2.5394841192330255,2.2557560537765733,0.8650429583135693,1.5692625765032455,1.5735915849388862
2007-10-01,21.571428571428573,0.0,15.428571428571429,0.0,0.0,0.0,12.0,0.0,0.0,20.285714285714285,0.0,0.0,27.428571428571427,15.571428571428571,22.428571428571427,0.0,0.0,13.428571428571429,33.857142857142854,0.0,0.0,0.0,0.0,0.0,29.714285714285715,50.714285714285715,0.0,0.0,0.0,0.0,40.857142857142854,48.0,0.0,0.0,20.285714285714285,0.0,25.857142857142858,48.0,63.285714285714285,47.0,52.42857142857143,17.714285714285715,51.42857142857143,63.42857142857143,53.714285714285715,37.42857142857143,35.142857142857146,39.285714285714285,10.765591446068974,0.0,6.035045046019374,0.0,0.0,0.0,7.855844048495726,0.0,0.0,3.8527311630797683,0.0,0.0,9.802470881066144,5.562874996914141,8.058881946727631,0.0,0.0,6.4507553742146495,6.7943554003394935,0.0,0.0,0.0,0.0,0.0,13.021437060833634,14.250671305347733,0.0,0.0,0.0,0.0,0.9110060223670945,5.485912694824635,0.0,0.0,10.176336429641648,0.0,8.589663143870665,6.553806600166117,1.127878026888287,5.639993245521116,7.683802205062972,1.2093738189714562,0.8959470343917509,3.228276429843484,6.12066867539925,0.8959470343917512,1.595060402328022,1.1693361102674926
2007-11-01,36.57142857142857,0.0,5.285714285714286,0.0,0.0,0.0,11.714285714285714,0.0,0.0,28.285714285714285,0.0,18.714285714285715,19.0,7.428571428571429,36.57142857142857,0.0,0.0,10.571428571428571,19.714285714285715,0.0,0.0,0.0,20.142857142857142,12.0,8.142857142857142,22.285714285714285,0.0,40.285714285714285,0.0,13.0,38.142857142857146,0.0,24.714285714285715,21.285714285714285,0.0,0.0,23.285714285714285,40.57142857142857,66.42857142857143,48.0,58.714285714285715,16.142857142857142,57.857142857142854,63.285714285714285,63.714285714285715,37.57142857142857,42.714285714285715,38.142857142857146,14.215781208718347,0.0,3.4136580415281483,0.0,0.0,0.0,7.674057366386118,0.0,0.0,4.848732213850612,0.0,9.377567675586462,9.00264511394396,4.800085033260412,8.604697340786055,0.0,0.0,6.837770253585326,5.254088139427312,0.0,0.0,0.0,5.284427127705254,5.694608979427071,5.266373883190503,10.535008047354456,0.0,15.20450166063654,0.0,8.549575316659775,0.40406101782088405,0.0,6.541858938203035,11.117798441097534,0.0,0.0,3.550414366925464,3.945202890896758,1.7023393268304277,4.725815626252608,3.8835077768766246,1.7241778085934922,2.2299751378986845,3.3644803300296555,2.446710967364786,0.5714285714285712,0.9440108381713812,0.5947617141331809
2007-12-01,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,17.857142857142858,22.0,42.0,21.142857142857142,11.571428571428571,77.0,35.714285714285715,7.428571428571429,15.714285714285714,33.714285714285715,0.0,0.0,0.0,23.571428571428573,25.142857142857142,4.142857142857143,0.0,0.0,0.0,0.0,25.857142857142858,38.57142857142857,0.0,57.285714285714285,0.0,15.285714285714286,19.142857142857142,37.0,46.57142857142857,48.714285714285715,37.57142857142857,73.85714285714286,15.428571428571429,51.285714285714285,64.28571428571429,65.14285714285714,29.0,28.0,36.142857142857146,0.0,0.0,7.949243749595064,0.0,0.0,0.0,0.0,0.0,0.0,5.909752115615951,14.227739505226099,10.926159086383118,10.02954818198177,5.467902631144182,7.928249671720918,14.150070310635149,7.428571428571428,7.649196302987175,9.987407036850351,0.0,0.0,0.0,11.860011127548669,10.766855161467864,4.142857142857143,0.0,0.0,0.0,0.0,12.9861255108024,0.4285714285714287,0.0,12.920478919537159,0.0,9.881956346012148,9.392064967500039,7.144761650861352,5.446087030665065,1.1895234282663614,8.657111425371196,6.580738746446298,1.5562032988922088,1.0848367380851922,1.741842015063989,5.824531746675195,0.6172133998483675,1.4309504001254019,0.9618576131773408
