,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,19.857142857142858,12.285714285714286,29.714285714285715,28.571428571428573,0.0,0.0,0.0,0.0,0.0,61.285714285714285,0.0,15.142857142857142,17.714285714285715,27.428571428571427,19.857142857142858,0.0,0.0,17.0,15.142857142857142,0.0,0.0,0.0,12.142857142857142,1.2857142857142858,17.0,25.857142857142858,20.714285714285715,56.285714285714285,0.0,31.0,39.0,13.714285714285714,49.714285714285715,23.571428571428573,0.0,19.857142857142858,9.285714285714286,66.85714285714286,72.42857142857143,23.857142857142858,34.857142857142854,21.428571428571427,61.857142857142854,61.857142857142854,63.857142857142854,59.857142857142854,43.857142857142854,18.428571428571427,9.36159472431449,12.285714285714285,8.999244110358553,18.442777839082936,0.0,0.0,0.0,0.0,0.0,9.344502549154582,0.0,5.496442881877469,11.640885021407636,8.758280824065718,7.192683357242346,0.0,0.0,10.973995235490646,10.065094259319164,0.0,0.0,0.0,7.899453180076308,1.2857142857142856,8.050436249640375,12.406658295771155,8.29433049542559,10.199706545065018,0.0,8.417668492946419,0.6172133998483675,1.7418420150639886,8.744288709438498,8.637837975903414,0.0,9.525476044668373,1.1487941030299829,7.3530964369362355,1.8626292586293285,2.2406267344797315,5.0729374013042,5.467902631144181,2.0169351032902263,1.5950604023280213,4.04985932400345,0.594761714133181,1.8442777839082942,2.4285714285714284
2007-02-01,0.0,0.0,25.428571428571427,0.0,0.0,0.0,32.0,0.0,0.0,20.428571428571427,0.0,16.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,6.571428571428571,0.0,0.0,0.0,8.428571428571429,1.8571428571428572,17.428571428571427,25.428571428571427,23.428571428571427,0.0,65.28571428571429,14.0,37.57142857142857,18.857142857142858,47.0,0.0,0.0,0.0,15.714285714285714,40.285714285714285,71.28571428571429,25.714285714285715,51.714285714285715,44.0,62.714285714285715,73.85714285714286,48.57142857142857,56.42857142857143,38.142857142857146,21.0,0.0,0.0,7.748600927040353,0.0,0.0,0.0,15.279927698657165,0.0,0.0,5.862947182080353,0.0,6.138979950279359,0.0,0.0,0.0,0.0,0.0,0.0,6.571428571428571,0.0,0.0,0.0,8.428571428571427,1.857142857142857,8.343395285970763,12.037356818823369,6.070448100103848,0.0,13.658617174855282,9.047493733468007,0.7190318509781667,3.9906352962939633,13.837492203292852,0.0,0.0,0.0,2.57935286932397,6.205659036849564,3.4275792215101157,1.5540160830553065,6.923783323458648,5.459809869356606,1.5386185163241437,2.8571428571428568,2.9020283781319223,0.6851187890446745,1.1218303799418805,2.951996902824546
2007-03-01,20.285714285714285,0.0,55.0,0.0,0.0,0.0,25.857142857142858,49.857142857142854,0.0,4.285714285714286,0.0,43.0,50.57142857142857,13.142857142857142,0.0,0.0,0.0,7.571428571428571,57.285714285714285,0.0,0.0,0.0,12.571428571428571,0.0,20.857142857142858,16.142857142857142,24.571428571428573,43.0,31.0,22.714285714285715,37.57142857142857,13.285714285714286,11.428571428571429,16.285714285714285,18.142857142857142,0.0,13.857142857142858,34.42857142857143,79.71428571428571,19.428571428571427,49.57142857142857,9.285714285714286,59.714285714285715,77.57142857142857,57.714285714285715,60.857142857142854,39.142857142857146,25.285714285714285,9.603358256147605,0.0,6.12178000880385,0.0,0.0,0.0,16.818964029345214,18.33605421986261,0.0,2.7664166758624407,0.0,8.132825901423018,18.906860864646514,6.235186526512914,0.0,0.0,0.0,7.57142857142857,13.905658809951275,0.0,0.0,0.0,8.161632489763257,0.0,7.478313317054001,10.448122573272313,4.133816078897277,15.867006799075392,11.51189860639024,12.792695619942258,0.2973808570665904,3.083861877846129,7.428571428571428,7.933396215379896,11.75226132531537,0.0,2.1092604371762,7.699279938060821,4.523558890300159,0.7824607964359513,4.151059204228097,2.8926366759023696,0.9689042833036099,1.6882950382129367,3.688555567816587,0.7693092581620719,0.6335302236023845,2.5327783137089908
2007-04-01,69.57142857142857,0.0,52.57142857142857,0.0,31.857142857142858,0.0,0.0,0.0,0.0,18.285714285714285,0.0,0.0,27.142857142857142,18.714285714285715,0.0,0.0,0.0,23.428571428571427,34.0,0.0,0.0,0.0,0.0,0.0,55.857142857142854,0.0,18.0,0.0,43.857142857142854,41.57142857142857,41.42857142857143,50.57142857142857,0.0,0.0,0.0,20.428571428571427,22.0,21.0,73.0,15.571428571428571,30.428571428571427,18.142857142857142,58.714285714285715,53.714285714285715,57.57142857142857,52.142857142857146,33.285714285714285,40.0,15.30772780696877,0.0,11.459778820389374,0.0,11.323024523233247,0.0,0.0,0.0,0.0,8.07911559785707,0.0,0.0,13.0574346117243,6.642985149816328,0.0,0.0,0.0,11.08808271214156,10.071175275436895,0.0,0.0,0.0,0.0,0.0,13.581199490171576,0.0,6.395683067879607,0.0,16.605261030093775,13.179813465796748,1.043281061914602,8.967818503263935,0.0,0.0,0.0,9.635888134264242,2.8368325730679014,4.208834246473209,2.6547352123364485,1.3602720816272094,5.597010864045638,2.197710620802728,1.1065666703449761,1.3577692789888813,3.3654911398256417,1.056241572038992,1.5073515991756585,4.700557211144025
2007-05-01,23.571428571428573,12.142857142857142,38.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,0.0,24.142857142857142,7.285714285714286,8.0,9.571428571428571,64.85714285714286,13.571428571428571,27.285714285714285,58.0,0.0,14.285714285714286,0.0,18.428571428571427,6.285714285714286,18.142857142857142,13.857142857142858,0.0,0.0,14.285714285714286,55.714285714285715,41.285714285714285,25.857142857142858,26.714285714285715,0.0,31.142857142857142,53.285714285714285,17.714285714285715,32.857142857142854,73.57142857142857,19.428571428571427,28.142857142857142,13.428571428571429,60.857142857142854,56.0,61.285714285714285,54.714285714285715,30.428571428571427,23.142857142857142,8.496097543542431,12.142857142857142,5.498299056708974,0.0,0.0,0.0,0.0,0.0,0.0,6.169929271141148,0.0,9.540461632608,7.285714285714286,5.205308645530838,6.2558815862969075,13.0574346117243,13.571428571428571,9.794834123669684,13.243147374433027,0.0,14.285714285714285,0.0,8.82867930277754,3.1374412209579297,6.4969904073918325,8.998488157220981,0.0,0.0,9.428210671309007,9.869902025166944,0.8650429583135693,6.818841444076536,9.98263798925363,0.0,11.287221117007395,12.62784958074864,2.0553563671340225,3.2028898515809976,2.3284691768376478,0.9476070829586859,3.738019410817212,4.7951222381615635,0.7693092581620715,1.8771812708978113,4.779491334333182,1.0168645954315532,1.0432810619146018,2.2406267344797315
2007-06-01,45.714285714285715,0.0,66.28571428571429,0.0,22.428571428571427,0.0,0.0,0.0,42.857142857142854,34.57142857142857,0.0,13.857142857142858,0.0,8.571428571428571,13.0,27.857142857142858,0.0,12.0,41.142857142857146,0.0,0.0,26.285714285714285,16.285714285714285,0.0,0.0,0.0,11.714285714285714,26.142857142857142,0.0,0.0,37.714285714285715,21.428571428571427,27.857142857142858,44.57142857142857,0.0,0.0,16.142857142857142,49.285714285714285,83.28571428571429,22.285714285714285,46.285714285714285,18.0,55.714285714285715,46.57142857142857,60.0,60.57142857142857,32.714285714285715,25.428571428571427,14.388676575885711,0.0,8.828294031703072,0.0,10.763379587102483,0.0,0.0,0.0,20.203050891044214,6.019243517005007,0.0,4.9590157022027945,0.0,5.55001991784132,6.206755152558341,13.739807601461166,0.0,7.749039879083023,11.853126112526423,0.0,0.0,17.00240079086072,7.735860483163201,0.0,0.0,0.0,5.523604265480344,12.485093152251933,0.0,0.0,0.7781016494461044,7.843277809865024,10.187360449359296,11.275462492588439,0.0,0.0,2.9875023126396414,3.662644671053221,2.032056027938273,1.8220120447341897,5.410370490413518,1.9639610121239315,1.0626625525914952,1.7573944844996128,3.2732683535398857,0.5714285714285712,0.9184429296183766,3.5780890274607997
2007-07-01,7.571428571428571,12.142857142857142,67.28571428571429,0.0,49.285714285714285,0.0,0.0,0.0,0.0,34.714285714285715,0.0,12.428571428571429,0.0,31.0,16.857142857142858,0.0,0.0,0.0,9.714285714285714,0.0,7.857142857142857,0.0,0.0,0.0,24.571428571428573,33.285714285714285,12.857142857142858,0.0,0.0,32.57142857142857,40.142857142857146,48.142857142857146,17.285714285714285,51.714285714285715,26.142857142857142,0.0,23.0,26.571428571428573,97.14285714285714,15.571428571428571,42.142857142857146,45.57142857142857,52.285714285714285,47.142857142857146,61.0,59.857142857142854,30.142857142857142,32.285714285714285,7.57142857142857,12.142857142857142,12.774070249857688,0.0,18.911717564105324,0.0,0.0,0.0,0.0,5.1672700986215965,0.0,5.887262856844276,0.0,9.421353658679031,8.461195939977626,0.0,0.0,0.0,6.2857142857142865,0.0,7.857142857142858,0.0,0.0,0.0,9.352507030475948,11.941752056414115,6.088351764713037,0.0,0.0,13.888770974556152,0.8844845533812716,5.71309511406146,11.247675496814114,12.924163942222421,12.623539182677678,0.0,1.5735915849388864,3.8843835256253545,1.4869042853329517,0.9476070829586856,1.183790751872005,5.7273659817088145,0.7781016494461044,1.3702375780893483,2.760262237369417,0.9863007227241891,1.3702375780893483,4.513019713980375
2007-08-01,34.714285714285715,10.857142857142858,59.857142857142854,0.0,8.571428571428571,0.0,0.0,0.0,0.0,20.428571428571427,0.0,12.857142857142858,15.714285714285714,31.714285714285715,53.857142857142854,0.0,0.0,0.0,34.142857142857146,0.0,0.0,75.42857142857143,57.0,0.0,0.0,21.714285714285715,3.7142857142857144,0.0,5.714285714285714,15.571428571428571,38.42857142857143,37.42857142857143,8.0,19.571428571428573,7.714285714285714,16.285714285714285,15.571428571428571,56.857142857142854,77.57142857142857,20.857142857142858,25.857142857142858,27.285714285714285,56.42857142857143,46.857142857142854,54.857142857142854,64.85714285714286,29.857142857142858,26.714285714285715,6.0186784094116845,10.857142857142858,9.419909441048306,0.0,8.571428571428571,0.0,0.0,0.0,0.0,6.4838889816629806,0.0,4.600354910887034,10.292656387454313,6.56728647926069,12.226880167870126,0.0,0.0,0.0,10.361165064634315,0.0,0.0,13.027182465644568,13.785775968280458,0.0,0.0,10.46698729956484,3.714285714285714,0.0,5.7142857142857135,7.444579820747642,0.48092880658867054,6.019243517005007,7.999999999999998,7.157603825094458,7.714285714285714,7.705020891521029,1.7162686943752476,2.5859379014067554,2.2131333406899527,0.8844845533812715,2.567457250801632,3.944340645691203,1.0658585374094949,1.2804123485474999,4.595176412119931,0.9110060223670952,1.0562415720389922,4.127228320003895
2007-09-01,5.857142857142857,0.0,18.857142857142858,0.0,12.857142857142858,0.0,39.142857142857146,0.0,0.0,46.142857142857146,0.0,53.0,33.714285714285715,20.428571428571427,39.714285714285715,0.0,0.0,14.0,53.285714285714285,38.42857142857143,0.0,0.0,28.428571428571427,4.285714285714286,4.571428571428571,43.714285714285715,32.857142857142854,9.428571428571429,0.0,10.285714285714286,36.0,24.857142857142858,35.857142857142854,0.0,45.142857142857146,0.0,27.142857142857142,29.285714285714285,84.57142857142857,21.0,52.142857142857146,6.0,62.0,45.57142857142857,64.71428571428571,61.285714285714285,33.714285714285715,36.42857142857143,5.857142857142857,0.0,5.496442881877469,0.0,8.345025810763733,0.0,18.74062123713463,0.0,0.0,6.456552859686968,0.0,12.735402474616818,8.722478584270712,12.40748073668835,11.264597483380621,0.0,0.0,9.060642256222131,11.837620187380582,18.163093326404326,0.0,0.0,11.801648679935607,2.0669080394486383,4.571428571428571,12.76288198106466,12.951242947205916,9.428571428571429,0.0,6.767268161329721,0.3086066999241838,4.0908060180789585,14.44270877414254,0.0,16.675371876239648,0.0,2.0520439453728803,4.307879191580435,2.910221255351908,1.5275252316519468,6.555363385476526,1.5735915849388864,0.6172133998483679,1.5865077379959693,4.570684463248916,0.6801360408136047,1.2670604472047684,4.258644669583118
2007-10-01,25.857142857142858,10.714285714285714,12.0,33.57142857142857,0.0,0.0,0.0,7.428571428571429,0.0,46.714285714285715,0.0,24.714285714285715,24.142857142857142,21.571428571428573,23.571428571428573,0.0,49.285714285714285,0.0,13.714285714285714,0.0,0.0,0.0,0.0,0.0,55.142857142857146,18.428571428571427,34.0,30.714285714285715,0.0,21.142857142857142,37.0,27.714285714285715,46.857142857142854,10.0,0.0,0.0,18.142857142857142,46.57142857142857,68.57142857142857,23.857142857142858,41.857142857142854,25.142857142857142,58.714285714285715,47.285714285714285,54.42857142857143,57.857142857142854,35.0,33.0,6.829308587427641,10.714285714285714,4.292851200376205,15.838255590059607,0.0,0.0,0.0,7.428571428571428,0.0,10.629505847301798,0.0,6.14783851181429,8.54519795927896,3.657068451624052,9.729330087193992,0.0,17.664484527023202,0.0,6.56728647926069,0.0,0.0,0.0,0.0,0.0,10.604196319940364,8.73105334521596,7.628268230108074,11.237086314678615,0.0,7.654530471210751,0.5345224838248489,4.229793903086182,11.14285714285714,6.469709642413858,0.0,0.0,1.9931856701387,4.7602378034693,3.061723315367335,1.2804123485475,6.500654074888199,4.626160453790777,1.0848367380851922,1.5073515991756585,3.6959253165585246,0.45922146480918863,1.2724180205607043,3.559026084010437
2007-11-01,0.0,0.0,25.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,17.857142857142858,0.0,18.428571428571427,12.0,14.571428571428571,4.0,0.0,35.714285714285715,23.714285714285715,59.857142857142854,0.0,0.0,0.0,35.0,11.142857142857142,58.714285714285715,38.57142857142857,16.857142857142858,45.714285714285715,41.0,8.428571428571429,35.714285714285715,11.857142857142858,38.714285714285715,31.142857142857142,0.0,9.857142857142858,17.857142857142858,66.0,61.714285714285715,15.285714285714286,64.28571428571429,21.0,59.857142857142854,46.285714285714285,43.285714285714285,57.285714285714285,40.57142857142857,23.0,0.0,0.0,4.773082120094946,0.0,0.0,0.0,0.0,0.0,0.0,3.7507368890505175,0.0,5.681453296879755,7.749039879083023,5.154088265672226,4.0,0.0,17.0611146368888,12.491357556544532,13.574185183699262,0.0,0.0,0.0,8.48808688973075,1.6392299502912862,11.008036643666268,6.700593942604899,6.991248173281232,12.924163942222421,13.423504616547655,5.4939670065798305,0.6441785361175562,3.725258517258656,6.8058598201223965,1.9931856701387,0.0,6.36369378894489,1.9325356083526692,6.168275208485679,2.3372173698681955,0.7142857142857142,5.680854587431139,2.4591907302238774,1.2804123485475005,1.2481278497220145,3.9443406456912036,0.7142857142857149,0.528120786019496,3.909694909544002
