,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.42857142857143,0.0,0.0,0.0,0.0,0.0,42.857142857142854,38.142857142857146,0.0,13.285714285714286,0.0,0.0,26.285714285714285,64.28571428571429,23.0,63.57142857142857,32.42857142857143,30.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.203050891044214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3654911398256417,0.0,0.0,0.0,0.0,0.0,20.203050891044214,18.273619511963883,0.0,8.822898470172145,0.0,0.0,8.686920342331545,2.306453531107111,11.090536506409418,5.172533425780477,9.88952582727986,7.183692795273942
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.714285714285715,0.0,0.0,8.714285714285714,24.142857142857142,0.0,52.714285714285715,18.857142857142858,60.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.815994167510421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.285714285714283,0.0,0.0,3.455253320699378,3.7886331963649686,0.0,3.1450209001825464,6.68127650844604,9.838491671356282
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.14285714285714,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,46.857142857142854,0.0,0.0,42.142857142857146,68.28571428571429,0.0,70.42857142857143,48.857142857142854,10.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.438088193853571,0.0,0.0,0.0,0.0,0.0,19.396857870234943,0.0,0.0,18.120533697896388,0.0,0.0,6.135100307436947,9.19553278115258,0.0,3.372558325643004,11.895234282663615,4.792993752932112
2007-04-01,0.0,0.0,57.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.142857142857146,18.285714285714285,0.0,0.0,27.285714285714285,61.42857142857143,55.285714285714285,49.142857142857146,20.0,47.142857142857146,0.0,0.0,20.203050891044214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.021503417034698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.606552663913604,12.139495332952498,0.0,0.0,5.199424353276251,8.459587806172363,15.171581023357431,5.561040376406847,5.196152422706632,7.209215568676404
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,46.714285714285715,54.285714285714285,13.285714285714286,12.714285714285714,0.0,63.857142857142854,26.714285714285715,10.857142857142858,56.57142857142857,16.714285714285715,11.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3906634512224576,0.0,0.0,0.0,0.0,0.0,0.0,16.878719040927987,13.948398586549343,9.478583091104175,12.714285714285714,0.0,6.522592865346941,3.7778444705330854,7.03876535246593,6.290041800365093,4.346395801418116,5.977850272259336
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,28.571428571428573,16.571428571428573,0.0,0.0,0.0,47.0,28.714285714285715,18.285714285714285,68.0,36.285714285714285,43.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.196152422706632,0.0,0.0,0.0,0.0,0.0,0.0,13.707587650045266,7.888681291382407,0.0,0.0,0.0,6.395683067879607,6.753180152851747,8.763328041751429,5.63577011258486,7.318321059454259,10.738068841694934
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.71428571428571,0.0,13.285714285714286,0.0,57.714285714285715,41.857142857142854,23.857142857142858,64.71428571428571,7.285714285714286,11.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8791260675078667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.419937214643282,0.0,8.822898470172145,0.0,11.137055876911194,4.651822845112755,8.597974765491418,5.379477252503637,4.704173859529457,4.010191099319485
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.571428571428571,0.0,70.57142857142857,0.0,46.857142857142854,41.57142857142857,24.571428571428573,80.85714285714286,17.142857142857142,30.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.584234367340589,0.0,0.0,0.0,0.0,0.0,0.0,11.167555046396043,6.837770253585326,0.0,14.787151988992951,0.0,5.3248231422835675,5.731521624844001,8.815184796315803,3.918385062318231,6.946834055982664,7.063848751472066
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.85714285714286,0.0,0.0,0.0,0.0,0.0,11.142857142857142,0.0,0.0,30.0,46.57142857142857,0.0,52.285714285714285,38.0,40.714285714285715,79.57142857142857,40.57142857142857,37.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.501214560886056,0.0,0.0,0.0,0.0,0.0,11.142857142857142,0.0,0.0,11.737201743256557,14.699946781337326,0.0,6.94781324184361,5.550632739564365,11.279383396086791,7.053729654644862,10.93456107259638,4.7495076723015925
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,40.714285714285715,32.285714285714285,24.571428571428573,24.285714285714285,20.714285714285715,0.0,47.42857142857143,52.857142857142854,0.0,49.42857142857143,53.142857142857146,37.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.442777839082936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.033222956847166,0.0,0.0,0.0,0.0,0.0,14.888017370506049,11.833596816075922,9.665493712557211,9.70202307256998,10.995051453385063,0.0,6.47654060678172,7.7226585954781735,0.0,4.241838902989075,7.87832642195564,5.40156188044711
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,39.857142857142854,61.857142857142854,0.0,27.142857142857142,0.0,48.42857142857143,31.428571428571427,13.714285714285714,63.285714285714285,0.0,26.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.533448076836685,0.0,0.0,0.0,0.0,0.0,0.0,15.12240307722063,6.6024114333093396,0.0,10.872482897376361,0.0,5.437336282624068,4.179639668093654,6.791851860919838,5.532218558306491,0.0,5.3933695751496264
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,42.714285714285715,0.0,0.0,27.285714285714285,0.0,54.57142857142857,24.571428571428573,9.857142857142858,36.714285714285715,42.57142857142857,47.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.649628761422529,0.0,0.0,0.0,0.0,0.0,0.0,12.223541466628832,0.0,0.0,10.859962039998301,0.0,5.204655163807652,3.0772370326482883,6.4749648700226325,5.710117527413139,5.541433297730586,4.75523342202664
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.714285714285715,0.0,0.0,0.0,0.0,0.0,15.857142857142858,35.42857142857143,33.0,10.714285714285714,46.142857142857146,41.714285714285715,56.857142857142854,51.42857142857143,8.714285714285714,57.714285714285715,41.0,35.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.406676118575223,0.0,0.0,0.0,0.0,0.0,10.264197070233923,17.306559646640377,8.679477710861024,5.1672700986215965,12.954919219076167,19.670759403495435,4.333856587979125,4.834681960570307,5.71011752741314,2.9172254080945907,11.563489339913179,6.776811202035011
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.428571428571427,0.0,0.0,0.0,0.0,0.0,16.428571428571427,33.57142857142857,26.428571428571427,43.857142857142854,24.0,0.0,31.0,45.0,26.857142857142858,47.0,26.714285714285715,33.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.439540851293888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2060741670500774,0.0,0.0,0.0,0.0,0.0,10.632065477908354,9.20366682323938,12.098518490288964,11.367096566570616,10.030904626156488,0.0,4.281744192888376,9.304376850247875,8.224320992173938,2.853569193634025,9.638005834330308,8.538030169990819
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.714285714285715,11.428571428571429,18.428571428571427,15.714285714285714,50.285714285714285,67.85714285714286,41.285714285714285,55.285714285714285,16.142857142857142,49.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0800313969372906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.907304010662191,7.457361792078964,7.253429871306345,10.22768019527746,2.0669080394486383,6.235186526512914,15.81848569857173,2.168105226253754,4.9590157022027945,8.718968296952644
