,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.85714285714286,0.0,0.0,0.0,0.0,0.0,36.0,0.0,33.857142857142854,0.0,40.42857142857143,0.0,56.42857142857143,37.57142857142857,20.0,40.142857142857146,59.285714285714285,15.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36280410942336,0.0,0.0,0.0,0.0,0.0,8.896227129680149,0.0,13.07019249945421,0.0,8.526868299275959,0.0,3.9088248316630723,7.009711436412251,7.371114795831994,5.675463360267731,4.3299306368264014,5.391477275374936
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.857142857142854,0.0,0.0,0.0,0.0,0.0,10.428571428571429,0.0,38.714285714285715,41.57142857142857,74.14285714285714,0.0,40.57142857142857,25.142857142857142,47.0,33.57142857142857,30.285714285714285,32.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.096037027566769,0.0,0.0,0.0,0.0,0.0,4.941838595855089,0.0,13.375019867745431,16.950708852795653,8.910744107212242,0.0,5.605512350132055,8.982598445323712,11.37457482198576,3.8966233419959586,5.055474570132037,10.326638164587393
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,12.714285714285714,0.0,8.0,0.0,47.714285714285715,61.42857142857143,51.142857142857146,48.0,88.71428571428571,43.857142857142854,33.42857142857143,30.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.445436397239843,0.0,0.0,0.0,0.0,0.0,4.502455868027738,0.0,5.237229365663817,0.0,11.857716566728634,13.490485435258122,4.372144354719249,11.201615529743489,9.301086177518876,5.543887974837786,6.45444528565997,4.177197576346699
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,25.285714285714285,0.0,12.0,19.428571428571427,10.0,0.0,58.0,88.85714285714286,26.714285714285715,28.857142857142858,56.0,38.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53546276418555,0.0,0.0,0.0,0.0,0.0,5.768198058626058,0.0,5.744562646538029,9.268115190462053,6.458659745975607,0.0,3.6253078686998625,9.437585878331616,11.859724331724147,5.667066812602743,5.318431562567509,10.230007879981803
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.71428571428571,0.0,0.0,0.0,0.0,0.0,5.857142857142857,0.0,21.0,62.142857142857146,23.714285714285715,0.0,55.57142857142857,52.714285714285715,16.428571428571427,37.57142857142857,28.857142857142858,38.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.510657577710259,0.0,0.0,0.0,0.0,0.0,3.7823435128210647,0.0,13.816828938101605,8.89737406801144,6.334765323252336,0.0,4.873920602637709,9.942008721328198,8.893167904304386,2.4088837847508073,3.480753691157046,7.541720693608863
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.285714285714285,0.0,0.0,0.0,0.0,0.0,32.714285714285715,0.0,11.857142857142858,13.857142857142858,23.428571428571427,0.0,83.0,42.42857142857143,20.857142857142858,43.285714285714285,18.714285714285715,7.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.053247430774556,0.0,0.0,0.0,0.0,0.0,13.233640908709901,0.0,5.599441177171043,9.056511920340265,8.417264409299165,0.0,5.442338432975996,10.260551231031686,7.691766071983887,5.303701697935157,3.496353785862976,5.082315611292663
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,34.285714285714285,21.714285714285715,32.285714285714285,53.714285714285715,46.42857142857143,10.0,25.857142857142858,32.285714285714285,30.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.065774555420462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.692194509142443,9.052003949966222,7.870119154765324,8.481672919312798,5.303701697935157,4.878803243464054,6.454972243679029,3.807439906217271,3.7014429986302426,9.004534005325384
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42857142857143,0.0,0.0,0.0,0.0,0.0,33.57142857142857,69.14285714285714,38.857142857142854,18.428571428571427,59.57142857142857,13.0,46.57142857142857,35.57142857142857,0.0,42.0,29.142857142857142,17.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.48529264252598,0.0,0.0,0.0,0.0,0.0,6.093935872797538,13.540817608128345,11.402649173032788,8.82867930277754,14.332542297425219,8.426149773176359,2.750386491084505,5.0561473327366695,0.0,6.271629240742261,4.621010873888811,4.6467017049401695
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.57142857142857,0.0,0.0,0.0,0.0,0.0,5.285714285714286,0.0,20.142857142857142,48.0,25.571428571428573,26.142857142857142,51.0,34.0,0.0,40.714285714285715,55.714285714285715,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.419792400070684,0.0,0.0,0.0,0.0,0.0,3.4136580415281483,0.0,5.836782265159833,15.511900193691538,10.362149857045301,10.178007503175358,4.186144947778269,6.80336051416609,0.0,6.293285483503092,2.9977315686737414,4.6084807950229365
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.857142857142854,0.0,0.0,0.0,0.0,0.0,6.857142857142857,0.0,9.0,32.857142857142854,51.714285714285715,11.0,45.142857142857146,30.428571428571427,3.5714285714285716,35.42857142857143,21.285714285714285,22.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.437011925827107,0.0,0.0,0.0,0.0,0.0,3.2618178646749922,0.0,4.281744192888376,9.828114607323922,13.569423410767321,7.101307726649467,3.1352722326440996,4.67952552975977,3.571428571428571,2.5247078365355358,5.788799882672802,7.815909120131174
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,52.0,3.0,18.857142857142858,48.857142857142854,17.857142857142858,64.85714285714286,15.857142857142858,54.857142857142854,35.42857142857143,34.57142857142857,13.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9230493815662486,0.0,0.0,0.0,0.0,0.0,0.0,15.980643052798353,3.0,6.797858806546477,10.837388042874386,6.374908295992415,3.1579723107789053,2.2827361550870253,8.279143535842028,4.444671196029728,4.980233035555201,5.128949448861784
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.285714285714285,0.0,0.0,0.0,0.0,0.0,5.0,17.0,0.0,33.42857142857143,15.428571428571429,14.571428571428571,38.714285714285715,51.142857142857146,22.0,29.428571428571427,34.42857142857143,17.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.138750016693478,0.0,0.0,0.0,0.0,0.0,3.2293298729878037,8.352359233288805,0.0,10.8339350957934,5.605512350132055,6.965415048848209,3.7778444705330863,7.5732253034356924,10.367072415884365,1.900590670807153,3.945202890896758,9.526190178645809
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.142857142857146,0.0,0.0,0.0,0.0,0.0,31.0,16.571428571428573,21.714285714285715,0.0,25.571428571428573,0.0,55.42857142857143,53.285714285714285,28.142857142857142,64.57142857142857,42.285714285714285,38.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9426155895642214,0.0,0.0,0.0,0.0,0.0,6.011892975000232,8.02038219863897,6.717830877647953,0.0,7.070586770481751,0.0,2.7762353994568403,6.635812957388279,9.455229269785988,4.7200541908569065,3.1975756122284844,4.838901320175331
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.28571428571429,0.0,0.0,0.0,0.0,0.0,33.857142857142854,0.0,14.285714285714286,28.142857142857142,59.285714285714285,15.0,44.42857142857143,46.285714285714285,58.42857142857143,34.857142857142854,55.57142857142857,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.076837758000478,0.0,0.0,0.0,0.0,0.0,8.494896427039146,0.0,7.472853365011653,8.650429583135692,11.91580440246579,7.114706432386907,3.663573215793973,7.708110403101045,10.362149857045301,2.971520145109085,5.12164939419,5.131601439446884
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,20.857142857142858,0.0,23.0,42.42857142857143,27.428571428571427,0.0,60.42857142857143,50.42857142857143,28.0,40.142857142857146,35.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.252618499096045,0.0,0.0,0.0,0.0,0.0,4.485046962797982,0.0,5.094347941825426,6.2100423388524595,10.016313224547488,0.0,2.4771060578361808,4.715007159804405,4.525062483125562,6.670577084439978,5.955618167335952,0.0
