,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,38.42857142857143,0.0,0.0,0.0,0.0,14.571428571428571,0.0,0.0,0.0,0.0,9.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,73.28571428571429,32.857142857142854,57.714285714285715,30.714285714285715,33.857142857142854,13.285714285714286,53.57142857142857,67.0,42.857142857142854,57.0,34.285714285714285,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.725987459471687,0.0,0.0,0.0,18.157849073973416,0.0,0.0,0.0,0.0,9.468889266729136,0.0,0.0,0.0,0.0,9.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,2.627691364061218,0.0,0.0,0.0,0.0,0.0,5.592147069197788,2.4145252064928036,3.7904283318347423,4.195883956554418,4.997278170729168,1.5993195832139682,1.9622283598130013,1.704336206492693,4.04985932400345,0.8728715609439699,0.865042958313569,5.944184833375669
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.285714285714285,0.0,53.42857142857143,0.0,0.0,21.857142857142858,0.0,0.0,0.0,59.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.857142857142854,0.0,0.0,0.0,0.0,0.0,37.0,35.42857142857143,45.57142857142857,33.42857142857143,25.0,16.857142857142858,63.285714285714285,47.142857142857146,56.42857142857143,53.142857142857146,27.714285714285715,40.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.674210767555795,0.0,15.51475049729119,0.0,0.0,15.01178675230229,0.0,0.0,0.0,16.91414896984621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8182745801939797,0.0,0.0,0.0,0.0,0.0,7.067699834626605,2.4383556408556397,4.508495382302714,5.126296086320595,2.5448360411214073,2.6764277135993133,2.900856078193911,1.624640200879236,3.4905119208201763,1.056241572038992,0.6060915267313262,8.131989406085099
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,27.571428571428573,33.57142857142857,54.0,53.57142857142857,53.0,18.571428571428573,61.0,44.285714285714285,54.714285714285715,51.0,32.142857142857146,20.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81703364870794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.690308509457033,0.0,0.0,0.0,0.0,0.0,7.20402381892741,2.114092655278392,4.440077219405729,4.379917061930254,6.611677980232076,2.2131333406899523,1.745743121887939,1.6720999872456608,1.9237152263546813,1.1952286093343936,0.8288997707394866,6.357276617105359
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.142857142857142,0.0,0.0,0.0,0.0,67.57142857142857,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.285714285714285,0.0,0.0,0.0,0.0,0.0,54.0,19.428571428571427,40.714285714285715,46.714285714285715,27.857142857142858,14.571428571428571,60.0,57.714285714285715,50.57142857142857,46.142857142857146,38.0,16.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.703368670701744,0.0,0.0,0.0,0.0,17.671415097966143,0.0,0.0,0.0,13.305924208698135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9846348556356863,0.0,0.0,0.0,0.0,0.0,5.9841059323447645,1.6014449257904992,1.614138214921742,5.768198058626058,1.869919420578272,2.358945919333492,1.647508942095828,1.795686441425219,3.3299302356280163,0.8844845533812716,1.447493728911492,3.225114035847056
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.142857142857143,0.0,55.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,54.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.857142857142854,0.0,0.0,0.0,0.0,0.0,70.14285714285714,21.0,38.714285714285715,32.142857142857146,56.857142857142854,17.428571428571427,59.57142857142857,64.85714285714286,46.42857142857143,50.857142857142854,36.142857142857146,42.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.142857142857142,0.0,17.191399526713198,0.0,0.0,0.0,0.0,0.0,0.0,13.214092662682488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.884484553381272,0.0,0.0,0.0,0.0,0.0,10.2781056514473,1.1547005383792515,1.7554579610635008,3.942615589564221,6.072688944809222,2.8523769774994165,1.8498023428147647,1.2233554836823923,1.8498023428147652,1.4380637019563336,0.8571428571428571,8.138261025366953
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.142857142857142,0.0,15.428571428571429,0.0,40.857142857142854,0.0,0.0,0.0,0.0,20.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.57142857142857,0.0,0.0,0.0,0.0,0.0,59.142857142857146,23.714285714285715,41.714285714285715,19.285714285714285,39.857142857142854,18.714285714285715,58.714285714285715,40.285714285714285,24.285714285714285,43.857142857142854,31.0,27.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.771962779324264,0.0,9.997278541247738,0.0,19.281657421631834,0.0,0.0,0.0,0.0,9.999659858160754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5408275892727081,0.0,0.0,0.0,0.0,0.0,11.895234282663614,1.7418420150639884,3.420625713536756,5.959043889889774,4.6569383536752955,3.399679856876482,2.1790592740281043,1.5073515991756585,2.475732558391611,0.7046975517594636,0.7559289460184544,5.917804336345138
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,37.0,13.714285714285714,50.42857142857143,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.857142857142854,0.0,0.0,0.0,0.0,0.0,38.857142857142854,33.714285714285715,37.57142857142857,29.285714285714285,41.57142857142857,5.714285714285714,60.142857142857146,38.714285714285715,24.0,43.42857142857143,32.42857142857143,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.012814197295425,0.0,10.023781246425447,13.714285714285714,18.05791891038803,0.0,0.0,0.0,0.0,7.240757655699535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4380637019563334,0.0,0.0,0.0,0.0,0.0,8.979947426478226,2.4074713637646736,1.5714285714285712,5.480329698607756,8.659861273652805,0.7781016494461043,1.8442777839082936,1.1487941030299829,4.577377082170634,0.8689660757568883,0.9724084693648638,4.908690058991104
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.42857142857143,0.0,0.0,0.0,0.0,0.0,50.857142857142854,16.714285714285715,74.85714285714286,45.0,48.285714285714285,18.0,62.0,39.142857142857146,43.714285714285715,51.0,34.857142857142854,24.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.899236813119312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6173154445069136,0.0,0.0,0.0,0.0,0.0,4.866936904248089,1.8735538640862859,3.4325373887504953,6.51737604225738,5.357301584950099,2.429971585175823,1.7457431218879391,0.9863007227241893,3.1601257186737257,0.8451542547285172,1.0101525445522106,3.877371997299482
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.714285714285715,0.0,0.0,0.0,0.0,30.571428571428573,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.142857142857146,0.0,0.0,0.0,0.0,0.0,27.571428571428573,33.857142857142854,49.142857142857146,24.428571428571427,29.857142857142858,15.857142857142858,68.0,42.57142857142857,49.42857142857143,49.285714285714285,36.57142857142857,39.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.164631222585324,0.0,0.0,0.0,0.0,15.374464207245204,0.0,0.0,0.0,17.086614086833613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.724177808593493,0.0,0.0,0.0,0.0,0.0,7.876599286908698,2.3747538361507967,3.6737717184735064,3.2134919654862837,2.806697529198357,2.667516871268746,1.9518001458970662,1.3248026422136716,3.220892680587781,0.5654448612875199,1.020204061220407,7.524110904150682
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.142857142857142,0.0,0.0,10.285714285714286,0.0,0.0,0.0,21.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.714285714285715,0.0,0.0,0.0,0.0,0.0,52.42857142857143,20.857142857142858,62.57142857142857,39.142857142857146,35.714285714285715,14.714285714285714,61.142857142857146,48.0,65.0,45.0,37.714285714285715,52.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.17810011656086,0.0,0.0,10.285714285714285,0.0,0.0,0.0,7.796301233608799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.420560041253707,0.0,0.0,0.0,0.0,0.0,7.912789956643558,1.5496323900259983,3.138525153006491,3.9001133770368126,3.57047606345819,0.7781016494461046,1.6536909861128892,1.6903085094570325,5.94418483337567,0.9511897312113421,1.2857142857142856,3.480753691157046
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,47.714285714285715,0.0,0.0,0.0,0.0,0.0,44.142857142857146,24.714285714285715,57.0,47.714285714285715,65.42857142857143,16.142857142857142,58.857142857142854,70.71428571428571,56.714285714285715,44.42857142857143,41.714285714285715,27.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.680729189103978,0.0,0.0,0.0,0.0,13.618964368709925,0.0,0.0,0.0,11.008654604013888,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,2.112483144077984,0.0,0.0,0.0,0.0,0.0,6.645544771207433,2.485331114419026,4.59813626840888,3.0528229380618295,6.806359571183768,1.7515784912142403,1.4380637019563332,1.267060447204769,2.1790592740281043,0.9221388919541471,1.0626625525914952,6.707189766051287
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,0.0,0.0,0.0,33.57142857142857,18.571428571428573,57.714285714285715,44.57142857142857,56.57142857142857,11.857142857142858,48.714285714285715,53.57142857142857,46.142857142857146,36.0,26.285714285714285,34.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.416779717224163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8288997707394864,0.0,0.0,0.0,0.0,0.0,8.962506937918926,1.4285714285714284,2.6251012290167086,4.011039188807516,6.865570218253448,1.5028317941009046,1.7823778354488478,1.7975796274454166,3.066163815620048,0.6546536707079772,0.7468755781599105,8.68417906231755
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.285714285714285,0.0,23.428571428571427,0.0,0.0,19.142857142857142,0.0,0.0,0.0,16.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.857142857142854,0.0,0.0,0.0,0.0,0.0,61.857142857142854,30.285714285714285,61.57142857142857,63.857142857142854,44.714285714285715,13.571428571428571,69.71428571428571,81.0,70.85714285714286,59.42857142857143,37.142857142857146,54.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.892807676992563,0.0,8.354802277040156,0.0,0.0,12.47937073243483,0.0,0.0,0.0,7.735860483163201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4708043058552855,0.0,0.0,0.0,0.0,0.0,4.589992070895586,1.8350332255235897,2.95084445425327,5.893614669924648,4.351870346207947,1.8498023428147647,2.77500995892066,1.3451854182690992,3.050593786294661,1.212183053462653,0.9863007227241894,5.672466020021567
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.285714285714285,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,15.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.285714285714285,0.0,0.0,0.0,0.0,0.0,47.142857142857146,28.714285714285715,56.142857142857146,47.57142857142857,60.42857142857143,17.285714285714285,66.14285714285714,58.57142857142857,52.142857142857146,53.285714285714285,36.0,31.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4217001187774505,0.0,17.548572048813003,0.0,0.0,0.0,0.0,0.0,0.0,7.49512313096318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4738035414793426,0.0,0.0,0.0,0.0,0.0,3.9846644802803866,0.9931739816482957,4.055734161879539,5.635166549518862,4.258644669583118,2.98977850520805,2.3847588620093183,1.1308897225750394,4.20560041253707,0.6801360408136051,1.023532631438318,4.738035414793428
