,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,37.714285714285715,41.857142857142854,17.0,30.142857142857142,16.142857142857142,60.285714285714285,76.71428571428571,0.0,0.0,44.142857142857146,0.0,51.285714285714285,28.0,28.857142857142858,59.142857142857146,0.0,8.0,34.0,3.4285714285714284,21.857142857142858,0.0,0.0,47.142857142857146,25.285714285714285,51.714285714285715,30.285714285714285,26.714285714285715,21.857142857142858,22.0,37.42857142857143,18.857142857142858,0.0,16.285714285714285,46.857142857142854,37.57142857142857,19.857142857142858,39.142857142857146,42.142857142857146,69.14285714285714,11.428571428571429,68.28571428571429,50.0,32.714285714285715,23.428571428571427,76.85714285714286,59.57142857142857,39.285714285714285,9.857142857142858,14.659166294935911,11.293547612998973,8.032671381539863,10.931449978820549,10.448122573272313,7.9003142966843125,5.829785121067767,0.0,0.0,4.5639820302877085,0.0,12.104139956297294,8.36090676330994,7.854111969531117,6.957108633923842,0.0,8.0,12.375090187261552,3.4285714285714284,7.654530471210751,0.0,0.0,13.512654688649965,10.485169312424292,14.772423287867104,9.64541412306606,10.3249911465759,11.4484945390599,14.200938936093863,17.946822431119934,0.26082026547865045,0.0,7.717371516860627,12.373990716761645,15.271911881523112,8.16329931965703,3.8940037629825746,2.7379917164695335,1.056241572038992,0.3688555567816588,3.145020900182545,3.4364987719368987,0.18442777839082883,0.2020305089104421,2.658576162325306,0.8411200825074139,0.42056004125370683,0.4592214648091883
2007-02-01,7.571428571428571,83.0,9.571428571428571,0.0,0.0,36.714285714285715,34.57142857142857,0.0,0.0,43.57142857142857,14.285714285714286,19.142857142857142,65.14285714285714,10.571428571428571,23.142857142857142,0.0,0.0,24.0,41.714285714285715,2.2857142857142856,0.0,28.428571428571427,21.714285714285715,25.571428571428573,53.42857142857143,28.0,35.57142857142857,14.285714285714286,20.428571428571427,0.0,17.285714285714285,38.714285714285715,5.142857142857143,28.0,44.0,0.0,33.42857142857143,36.0,67.57142857142857,10.428571428571429,64.71428571428571,63.857142857142854,30.285714285714285,19.0,75.0,63.0,37.857142857142854,10.428571428571429,7.57142857142857,9.191092996819828,6.293825934831625,0.0,0.0,7.460097936655376,9.250114910115448,0.0,0.0,10.469586663185856,14.285714285714285,6.936544259103621,11.723863680196759,5.335671256280886,11.19189454030731,0.0,0.0,15.880506169215014,5.7142857142857135,2.2857142857142856,0.0,10.197705490889192,12.182568119505614,10.919308243520137,14.420318243065669,9.314607064278384,8.839460075240382,6.756704908791695,13.262652795865291,0.0,0.28571428571428564,18.483859478596177,5.142857142857142,8.397845528694221,13.379088160259652,0.0,2.6802375770419595,3.612148813050072,1.3602720816272091,0.20203050891044214,2.3473823893078554,4.847329021167821,0.18442777839082933,0.2182178902359923,2.1930626551751344,1.154700538379251,0.6700593942604899,0.528120786019496
2007-03-01,42.285714285714285,17.428571428571427,10.857142857142858,0.0,22.142857142857142,16.0,65.42857142857143,51.714285714285715,0.0,80.42857142857143,69.71428571428571,39.42857142857143,45.142857142857146,2.142857142857143,55.285714285714285,0.0,0.0,33.714285714285715,22.571428571428573,0.0,0.0,0.0,44.0,75.71428571428571,11.142857142857142,20.0,58.285714285714285,17.857142857142858,48.714285714285715,19.428571428571427,18.142857142857142,48.57142857142857,5.142857142857143,60.42857142857143,36.42857142857143,25.0,29.142857142857142,25.285714285714285,68.42857142857143,10.0,43.857142857142854,54.142857142857146,29.857142857142858,18.714285714285715,66.42857142857143,66.57142857142857,36.0,11.0,11.394890846996558,8.28037594861128,7.0116521096045865,0.0,10.72253650568028,6.421689437998013,9.21400885519834,15.517600277341433,0.0,4.669338399434697,18.076180440561217,9.107446306802611,10.957555713337,2.142857142857143,11.60401056637272,0.0,0.0,11.929783229009505,6.746629291929496,0.0,0.0,0.0,6.8868404532536855,5.764068857666289,5.306907320287631,9.865765724632494,13.233640908709901,9.68658515539863,17.817479761010354,12.548680717713001,0.2608202654786504,17.555160878482077,5.142857142857142,7.454168354037902,10.228012754096428,7.659416862050704,2.1977106208027286,3.2345919424269893,1.0879675865519867,0.3086066999241838,2.1092604371762,4.5273169360511725,0.2608202654786504,0.18442777839082933,2.767645921280074,0.6116777418411962,0.5345224838248489,0.3086066999241838
2007-04-01,15.142857142857142,0.0,10.857142857142858,0.0,38.142857142857146,13.285714285714286,12.714285714285714,0.0,0.0,35.285714285714285,0.0,8.285714285714286,26.0,10.857142857142858,61.142857142857146,0.0,0.0,0.0,24.142857142857142,0.0,0.0,14.571428571428571,8.571428571428571,27.571428571428573,28.857142857142858,16.714285714285715,69.42857142857143,29.571428571428573,27.142857142857142,0.0,17.0,6.142857142857143,68.42857142857143,45.857142857142854,0.0,0.0,29.714285714285715,17.571428571428573,64.85714285714286,7.857142857142857,39.0,29.571428571428573,26.428571428571427,24.142857142857142,55.714285714285715,61.142857142857146,31.142857142857142,9.428571428571429,9.813568283197483,0.0,7.021831844254003,0.0,10.217698397595111,6.7988594481661675,7.127125533295097,0.0,0.0,6.472337789592338,0.0,5.352855427198627,8.513294924774453,3.9906352962939633,11.975030711618976,0.0,0.0,0.0,5.086998232789958,0.0,0.0,9.408347719058915,5.8710635965812905,12.54488539843485,12.751150408284495,9.030937001731973,6.618362417428904,9.060266848948194,13.046489349773047,0.0,0.21821789023599203,6.142857142857142,9.709732826634616,6.555363385476526,0.0,0.0,1.5230652944494738,1.9005906708071525,0.7996597916069839,0.14285714285714285,2.999999999999999,1.7708908554082907,0.2020305089104421,0.14285714285714277,0.521640530957301,0.5947617141331809,0.5084322977157767,0.4809288065886703
2007-05-01,16.714285714285715,30.285714285714285,64.0,0.0,29.142857142857142,35.285714285714285,42.0,48.857142857142854,0.0,41.714285714285715,0.0,69.71428571428571,15.428571428571429,16.142857142857142,47.285714285714285,0.0,21.714285714285715,35.857142857142854,40.42857142857143,0.0,0.0,0.0,42.42857142857143,9.0,28.857142857142858,11.571428571428571,53.857142857142854,52.714285714285715,9.142857142857142,0.0,18.0,0.0,39.42857142857143,32.0,13.714285714285714,48.857142857142854,32.714285714285715,34.285714285714285,64.28571428571429,8.142857142857142,44.0,42.714285714285715,27.571428571428573,80.28571428571429,60.857142857142854,61.142857142857146,33.42857142857143,10.142857142857142,10.986386133397497,12.217696544092808,10.535653752852738,0.0,10.795564722934822,5.894768809692869,5.686240703077327,11.041973105746418,0.0,9.942008721328198,0.0,11.413680775435127,5.480950312357393,5.725584068474593,6.357276617105358,0.0,14.220565734031762,9.577823023920988,11.012670501046777,0.0,0.0,0.0,12.508772431981566,9.0,13.74500527711893,5.467902631144182,11.871190760325065,11.05336467996507,9.142857142857142,0.0,0.21821789023599236,0.0,4.602572483882004,7.003400534570263,9.516187426130893,13.588210175822013,2.316753534318122,3.6365491603879585,1.2289036095775188,0.14285714285714288,2.288688541085316,2.436960301318854,0.2020305089104421,0.28571428571428564,2.261779445150079,1.100401905551556,0.2020305089104416,0.14285714285714288
2007-06-01,6.428571428571429,24.142857142857142,19.0,0.0,22.857142857142858,14.714285714285714,26.285714285714285,27.0,0.0,33.42857142857143,0.0,11.571428571428571,3.857142857142857,10.0,25.857142857142858,0.0,0.0,12.857142857142858,52.285714285714285,15.571428571428571,0.0,21.571428571428573,30.285714285714285,39.42857142857143,12.428571428571429,25.857142857142858,48.714285714285715,6.428571428571429,16.714285714285715,0.0,15.857142857142858,41.0,19.285714285714285,50.42857142857143,19.142857142857142,25.857142857142858,28.714285714285715,26.0,59.142857142857146,7.142857142857143,37.57142857142857,47.714285714285715,28.142857142857142,46.42857142857143,54.285714285714285,62.857142857142854,36.142857142857146,12.142857142857142,6.428571428571428,6.580738746446297,6.982972487551756,0.0,11.024709415085498,3.8029705539240775,7.066737260589506,10.045136231269435,0.0,2.562152581393258,0.0,8.199469038724812,3.857142857142857,4.0178174601214955,6.371172320279359,0.0,0.0,8.528463746628171,8.46199989227551,1.3602720816272094,0.0,7.876599286908698,12.437872819421688,6.152263009336842,5.9436125893470635,8.573015726070714,8.970093925595965,4.1853323407730825,10.881864086010014,0.0,0.1428571428571428,13.232355727353996,9.932424740439254,10.510441843952234,9.069647369184787,5.869325309764039,2.13490588299618,2.0118695404073907,0.884484553381272,0.14285714285714285,2.2662864827220557,3.475864303027554,0.2608202654786504,0.2973808570665901,1.7281187915832434,0.6700593942604901,0.508432297715777,0.5084322977157768
2007-07-01,0.0,4.0,8.714285714285714,0.0,8.857142857142858,6.285714285714286,40.714285714285715,0.0,0.0,52.857142857142854,0.0,12.0,26.428571428571427,2.2857142857142856,10.142857142857142,0.0,62.0,24.0,16.571428571428573,4.285714285714286,0.0,0.0,39.142857142857146,28.571428571428573,28.285714285714285,11.142857142857142,31.428571428571427,20.714285714285715,53.285714285714285,14.285714285714286,15.571428571428571,15.142857142857142,5.285714285714286,61.42857142857143,13.0,24.571428571428573,31.571428571428573,27.142857142857142,64.71428571428571,5.714285714285714,27.857142857142858,50.142857142857146,28.428571428571427,13.285714285714286,44.285714285714285,53.714285714285715,37.0,12.285714285714286,0.0,4.0,5.801125858356272,0.0,8.857142857142856,4.057411124598246,9.501163552088629,0.0,0.0,7.225709954996913,0.0,5.669467095138408,8.34054110057256,2.2857142857142856,7.0116521096045865,0.0,16.710418763097923,11.322123307510662,5.023076001516083,2.77500995892066,0.0,0.0,14.394821442231976,8.366193715119891,12.759150377958047,5.347133506346543,10.22568461523922,5.383901425344183,9.380106319110842,14.285714285714285,0.36885555678165893,7.179430178438594,5.285714285714286,11.948016657203668,8.426149773176359,9.221757767721435,1.6454430993496185,2.658576162325306,1.5230652944494738,0.18442777839082936,2.028705562299123,3.595159254890833,0.2020305089104422,0.28571428571428575,1.442786419766011,0.8081220356417684,0.534522483824849,0.18442777839082938
2007-08-01,55.857142857142854,49.57142857142857,5.285714285714286,0.0,41.57142857142857,13.571428571428571,4.428571428571429,8.714285714285714,0.0,55.142857142857146,0.0,26.0,12.714285714285714,0.0,30.142857142857142,0.0,0.0,8.714285714285714,23.142857142857142,11.142857142857142,0.0,18.428571428571427,35.57142857142857,37.714285714285715,0.0,11.857142857142858,55.714285714285715,0.0,0.0,10.0,18.142857142857142,29.571428571428573,26.428571428571427,43.142857142857146,0.0,14.714285714285714,39.857142857142854,22.0,60.42857142857143,5.285714285714286,34.0,44.285714285714285,28.857142857142858,20.285714285714285,48.0,52.714285714285715,33.857142857142854,11.857142857142858,15.866149308434956,7.3996690494113535,5.285714285714286,0.0,15.94463209098933,7.0266741535283925,2.87730977905158,8.714285714285714,0.0,8.122363517822029,0.0,7.659416862050705,6.0186784094116845,0.0,5.905721888169825,0.0,0.0,8.714285714285714,7.375727797595142,4.333856587979125,0.0,8.804374299331048,11.449385807725655,8.131989406085099,0.0,5.612183054699462,8.887429018440773,0.0,0.0,10.0,0.14285714285714288,11.068740072958668,9.927971890086118,8.732611488057884,0.0,5.2450170716245195,4.026274252176755,2.0354009783964293,1.730085916627138,0.18442777839082936,2.8619008002508037,2.504417865200896,0.2608202654786505,0.35951592548908334,0.8728715609439692,0.7142857142857141,0.4040610178208844,0.3400680204068024
2007-09-01,0.0,19.714285714285715,9.0,0.0,0.0,11.714285714285714,22.428571428571427,0.0,0.0,37.857142857142854,32.57142857142857,57.142857142857146,24.714285714285715,9.428571428571429,25.142857142857142,0.0,0.0,50.0,12.0,0.0,0.0,0.0,59.42857142857143,22.857142857142858,22.571428571428573,6.571428571428571,29.857142857142858,11.142857142857142,0.0,0.0,16.857142857142858,12.285714285714286,0.0,8.428571428571429,0.0,0.0,36.42857142857143,33.57142857142857,54.142857142857146,8.571428571428571,40.57142857142857,60.57142857142857,35.142857142857146,19.857142857142858,72.42857142857143,62.42857142857143,39.0,13.428571428571429,0.0,11.122080752813694,5.8186891012618,0.0,0.0,6.09728388286943,5.677261004833828,0.0,0.0,3.2177230298145054,15.618757256302196,10.23167018770308,6.143964462765705,2.4866993122184584,6.478640992958805,0.0,0.0,11.079797144438375,5.11300861947808,0.0,0.0,0.0,8.453956928864852,10.937982253702595,8.760998917978265,4.2920587959023795,7.908490228044467,5.270892991246367,0.0,0.0,0.14285714285714288,8.076168014344326,0.0,3.0383042173236707,0.0,0.0,1.8238779049719571,3.228276429843484,1.4045601146431073,0.20203050891044214,3.8350336365144533,5.48529264252598,0.26082026547865056,0.26082026547865045,1.913077088247683,0.3688555567816591,0.4879500364742664,0.3688555567816587
2007-10-01,40.857142857142854,28.857142857142858,17.857142857142858,0.0,30.571428571428573,7.571428571428571,74.0,18.857142857142858,0.0,50.0,0.0,49.285714285714285,50.142857142857146,27.857142857142858,67.14285714285714,0.0,10.857142857142858,13.714285714285714,18.142857142857142,5.142857142857143,0.0,38.857142857142854,31.571428571428573,62.142857142857146,5.714285714285714,14.428571428571429,31.0,43.857142857142854,0.0,21.0,17.571428571428573,39.714285714285715,0.0,37.857142857142854,23.285714285714285,8.571428571428571,32.285714285714285,28.142857142857142,54.857142857142854,8.857142857142858,53.42857142857143,48.857142857142854,32.142857142857146,18.142857142857142,69.71428571428571,59.142857142857146,41.0,14.571428571428571,13.191679505023812,5.49210936764031,10.570463276391958,0.0,8.091315576289311,3.571428571428571,8.363753998796291,8.93209454300446,0.0,6.697547525560595,0.0,11.152010892156424,11.379657228557273,6.526242160285954,9.869212762131419,0.0,10.857142857142858,8.852533362759809,6.467606355738505,2.4341672226918205,0.0,9.399667094987919,8.687311883149011,10.076915087817046,3.714285714285714,5.764658924603155,6.148944934663491,10.77569701961332,0.0,14.344403255691912,0.2020305089104422,9.367406221560369,0.0,5.030519103331145,8.847152583941199,4.064112055876546,1.3041013273932525,2.4341672226918205,0.7377111135633175,0.14285714285714288,2.7762353994568394,2.649605284427344,0.3400680204068027,0.14285714285714288,1.3401187885209798,0.4040610178208845,0.5345224838248491,0.5281207860194962
