,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,0.0,0.0,28.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.285714285714285,0.0,0.0,92.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.57142857142857,0.0,53.57142857142857,0.0,0.0,0.0,0.0,36.0,73.57142857142857,30.714285714285715,35.714285714285715,11.571428571428571,47.714285714285715,16.428571428571427,70.0,60.42857142857143,33.714285714285715,78.42857142857143,42.57142857142857,52.714285714285715,0.0,0.0,18.35088831748524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094372265748886,0.0,0.0,3.52348775879732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.45174349257787,0.0,1.1096362093077183,0.0,0.0,0.0,0.0,14.74384455903386,5.609758261734818,2.1011820450390672,2.8926366759023696,2.1696734761703844,7.163778883463424,6.058670068026255,2.246690688016276,1.1096362093077186,6.610649005363153,0.9476070829586855,2.147613768338987,9.738764676023647
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.285714285714285,0.0,0.0,0.0,28.571428571428573,41.142857142857146,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,56.714285714285715,0.0,0.0,7.714285714285714,57.0,26.714285714285715,31.714285714285715,14.428571428571429,78.14285714285714,11.285714285714286,65.71428571428571,63.42857142857143,45.42857142857143,77.28571428571429,39.714285714285715,51.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.96716265578164,0.0,0.0,0.0,18.442777839082936,15.85113571329703,0.0,0.0,0.0,12.045548476314313,0.0,0.0,0.0,0.0,18.442777839082936,0.0,0.0,0.0,0.0,0.0,0.0,1.8771812708978113,0.0,20.05553514110053,0.0,0.0,7.714285714285714,3.0860669992418384,2.020305089104421,2.233023635751115,1.0658585374094949,8.444295260646657,4.470614561536604,1.9360525095482026,0.812320100439618,3.902728855173877,1.3751932455422529,1.1065666703449761,7.025221811202734
2007-03-01,0.0,0.0,13.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,32.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.285714285714285,0.0,0.0,0.0,0.0,24.285714285714285,0.0,53.57142857142857,28.571428571428573,13.714285714285714,0.0,0.0,16.0,41.857142857142854,30.428571428571427,35.42857142857143,11.571428571428571,57.857142857142854,20.571428571428573,63.0,55.142857142857146,81.28571428571429,74.42857142857143,30.714285714285715,72.85714285714286,0.0,0.0,13.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,7.482405666483416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.51155248236564,0.0,0.0,0.0,0.0,12.143417354024097,0.0,2.1915111426673994,18.442777839082936,13.714285714285714,0.0,0.0,10.474458731327635,4.91076839797026,0.8411200825074139,2.0337291908631063,1.477725776112657,8.934759760216787,3.6959253165585246,0.9258200997725513,0.857142857142857,7.2889815269816856,0.841120082507414,1.643374659689276,9.098478604974023
2007-04-01,0.0,0.0,54.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,54.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.428571428571429,0.0,0.0,0.0,66.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,53.57142857142857,0.0,41.857142857142854,0.0,0.0,51.57142857142857,42.57142857142857,22.714285714285715,35.142857142857146,7.428571428571429,55.42857142857143,7.0,63.714285714285715,56.285714285714285,47.0,71.85714285714286,36.857142857142854,33.142857142857146,0.0,0.0,15.386185163241441,0.0,0.0,0.0,0.0,0.0,0.0,10.147550892488603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.428571428571429,0.0,0.0,0.0,17.563296608413296,0.0,0.0,0.0,0.0,0.0,0.0,20.203050891044214,1.2883570722351128,0.0,19.751345429071492,0.0,0.0,15.653779617923927,6.213875191694727,1.1278780268882866,2.6853089866422257,1.1722412976277305,7.470121892475074,3.3166247903554,1.569262576503246,0.8650429583135689,7.040698017343775,0.9110060223670952,2.344482595255461,4.20560041253707
2007-05-01,0.0,0.0,23.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,45.714285714285715,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.714285714285715,25.714285714285715,0.0,0.0,71.0,0.0,20.0,0.0,50.0,0.0,0.0,0.0,0.0,16.714285714285715,43.0,22.428571428571427,31.571428571428573,11.857142857142858,97.14285714285714,14.428571428571429,56.142857142857146,49.714285714285715,65.71428571428571,75.85714285714286,33.285714285714285,44.857142857142854,0.0,0.0,15.307505606438836,0.0,0.0,0.0,0.0,0.0,0.0,9.705177803135612,0.0,11.83359681607592,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.728524663429408,16.74132936309233,0.0,0.0,18.33679620975527,0.0,9.9498743710662,0.0,1.704336206492693,0.0,0.0,0.0,0.0,12.34564562857668,3.491486243775878,0.8123201004396182,3.9149113160127773,1.6963345838625594,1.5185922589620928,4.956271365688135,1.3170777796132698,0.7142857142857144,7.858008610311387,0.9367769320431433,1.3923991921155665,5.997731997650967
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.857142857142854,0.0,28.571428571428573,0.0,0.0,10.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,51.285714285714285,0.0,65.42857142857143,0.0,0.0,49.285714285714285,77.85714285714286,24.142857142857142,28.285714285714285,17.571428571428573,39.57142857142857,34.42857142857143,64.14285714285714,55.0,22.0,77.28571428571429,38.857142857142854,55.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.601742510869773,0.0,13.478125386921514,0.0,0.0,10.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.528463746628171,0.0,0.0,0.0,1.9965957422130123,0.0,16.989993053135077,0.0,0.0,15.070807931251737,7.449603925005393,1.2037356818823368,1.8735538640862859,1.8107765087458614,8.36619371511989,8.701004711709865,1.5496323900259976,1.4800257398019097,6.27162924074226,0.9440108381713818,1.8442777839082936,11.367994216967512
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.714285714285715,0.0,8.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714286,0.0,64.57142857142857,26.571428571428573,51.57142857142857,0.0,0.0,0.0,0.0,0.0,59.142857142857146,26.142857142857142,37.714285714285715,15.0,37.42857142857143,13.285714285714286,58.142857142857146,53.42857142857143,33.714285714285715,75.57142857142857,36.857142857142854,33.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.420631577539156,0.0,8.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.221388919541468,0.0,12.023503060686604,17.2196691838932,1.3248026422136718,0.0,0.0,0.0,0.0,0.0,5.284427127705254,0.8844845533812719,1.4093951035189278,1.7320508075688774,2.389033903735416,3.434518651477516,1.8699194205782725,1.5252968931473299,5.722612980075438,0.8411200825074142,2.6764277135993133,7.776206514432473
2007-08-01,0.0,0.0,70.28571428571429,0.0,0.0,0.0,0.0,0.0,0.0,16.142857142857142,0.0,17.0,0.0,47.42857142857143,9.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.714285714285715,0.0,0.0,14.285714285714286,0.0,21.0,49.714285714285715,50.285714285714285,26.428571428571427,22.285714285714285,0.0,0.0,31.0,39.142857142857146,22.428571428571427,24.428571428571427,12.0,23.571428571428573,9.571428571428571,55.714285714285715,47.57142857142857,19.428571428571427,68.42857142857143,31.0,57.0,0.0,0.0,7.8912678856782845,0.0,0.0,0.0,0.0,0.0,0.0,5.812255407771588,0.0,10.978333640576311,0.0,17.108696121949134,9.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.395558116279876,0.0,0.0,14.285714285714285,0.0,10.503967504392486,17.66718007211904,1.5692625765032455,17.137896107550578,14.38536671448469,0.0,0.0,12.342339054382412,2.873761194212307,1.2121830534626528,2.033729190863107,1.632993161855452,4.064112055876547,4.128052364799968,1.9604941762132286,1.6454430993496187,3.7407482244748267,1.3248026422136718,1.799470821684875,7.006799418795867
2007-09-01,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,5.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.57142857142857,0.0,23.142857142857142,0.0,0.0,24.857142857142858,37.42857142857143,24.571428571428573,29.0,12.285714285714286,43.57142857142857,9.142857142857142,55.857142857142854,47.285714285714285,70.85714285714286,73.0,29.428571428571427,45.857142857142854,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.681145747868608,0.0,0.0,0.0,0.0,5.7142857142857135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.859597229867454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8368858592367532,0.0,15.016544164336072,0.0,0.0,9.038090220280608,2.2131333406899523,0.8959470343917513,2.654735212336449,1.475422227126635,8.041135737293471,3.6281214569143687,1.5649215928719027,1.3041013273932527,5.654448612875199,1.0465362369445674,1.6454430993496185,6.284631941446991
2007-10-01,0.0,0.0,16.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,38.142857142857146,0.0,15.285714285714286,0.0,0.0,35.285714285714285,0.0,0.0,0.0,41.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,79.28571428571429,0.0,0.0,15.428571428571429,0.0,54.857142857142854,0.0,36.0,0.0,0.0,58.142857142857146,36.714285714285715,26.0,56.0,11.857142857142858,33.42857142857143,7.0,66.0,54.57142857142857,64.14285714285714,69.85714285714286,32.857142857142854,73.28571428571429,0.0,0.0,10.828596557327295,0.0,0.0,0.0,0.0,0.0,0.0,5.63758041407571,0.0,9.89640214978171,0.0,0.0,12.582516755051687,0.0,0.0,0.0,17.03278151854545,0.0,0.0,0.0,0.0,0.0,0.0,13.366116160818361,0.0,0.0,10.297612166251485,0.0,1.2233554836823937,0.0,13.780593670258254,0.0,0.0,12.427750383389453,3.944340645691203,0.8997354108424374,2.7255405754769875,1.2233554836823932,5.357936449156268,3.6579984118302153,1.825741858350554,1.3776643944275648,5.252793231671496,0.5532833351724887,1.682240165014828,7.915368672682896
2007-11-01,0.0,0.0,18.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,36.142857142857146,0.0,70.71428571428571,0.0,23.285714285714285,30.428571428571427,0.0,0.0,0.0,81.14285714285714,0.0,0.0,0.0,69.42857142857143,0.0,0.0,35.142857142857146,0.0,0.0,6.428571428571429,0.0,51.142857142857146,0.0,28.714285714285715,0.0,0.0,28.0,33.57142857142857,25.714285714285715,34.42857142857143,9.285714285714286,54.42857142857143,25.285714285714285,61.285714285714285,47.285714285714285,70.14285714285714,63.285714285714285,29.285714285714285,33.0,0.0,0.0,8.695530167733258,0.0,0.0,0.0,0.0,0.0,0.0,10.057995093761104,0.0,14.670531339931705,0.0,15.563562888873433,11.424404002079106,0.0,0.0,0.0,11.054903181563441,0.0,0.0,0.0,12.727654822429447,0.0,0.0,16.79062744712142,0.0,0.0,6.428571428571428,0.0,1.682240165014828,0.0,13.548351306681257,0.0,0.0,15.094937656616631,2.7847983842311326,0.56544486128752,2.2345463250762028,1.3401187885209798,6.7888463949444064,2.9897785052080494,1.7689691067625433,1.2093738189714562,7.926533414601183,0.865042958313569,1.7554579610635008,3.8297084310253524
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.14285714285714,0.0,42.0,0.0,51.857142857142854,0.0,0.0,21.142857142857142,30.428571428571427,25.0,35.57142857142857,6.142857142857143,54.857142857142854,22.857142857142858,51.857142857142854,49.714285714285715,47.42857142857143,49.285714285714285,23.714285714285715,49.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.965163113957487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.708131201693494,0.0,1.951800145897066,0.0,14.752608439944204,0.0,0.0,11.756312532156564,1.1308897225750398,0.6546536707079771,2.1915111426674,1.261680123761121,6.18919400640985,5.487772431369891,1.1004019055515564,1.1487941030299829,6.350317363112247,0.6060915267313266,0.8921425711997713,4.308668686536496
2008-01-01,0.0,0.0,8.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,30.857142857142858,0.0,59.285714285714285,0.0,0.0,8.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.571428571428571,8.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,45.42857142857143,0.0,8.142857142857142,0.0,0.0,27.142857142857142,49.714285714285715,29.0,43.42857142857143,10.0,63.714285714285715,13.857142857142858,69.28571428571429,62.42857142857143,41.57142857142857,87.14285714285714,42.857142857142854,42.0,0.0,0.0,8.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,6.558994447570854,0.0,12.734868305102307,0.0,0.0,8.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.571428571428571,8.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,1.5562032988922088,0.0,8.142857142857142,0.0,0.0,8.48928896968906,1.7418420150639886,0.816496580927726,2.635446495623183,1.1952286093343936,6.760227826938145,3.066163815620047,2.0669080394486383,1.1722412976277303,4.2753843762433625,0.5084322977157771,1.7918940687835023,6.222080497252162
