,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.57142857142857,0.0,0.0,0.0,0.0,0.0,55.285714285714285,36.57142857142857,54.57142857142857,26.0,43.142857142857146,43.857142857142854,63.714285714285715,66.0,64.28571428571429,72.28571428571429,57.42857142857143,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.987005311470716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.608202654786505,0.0,0.0,0.0,0.0,0.0,8.155378843538333,5.601263220012424,5.995463137347482,4.540820148282424,9.409793711185959,6.162206513550666,2.5139068978696204,3.8110116142317807,11.096362093077184,1.1065666703449752,2.5057756413186416,2.8523769774994165
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.285714285714285,0.0,0.0,0.0,0.0,0.0,25.714285714285715,48.285714285714285,61.857142857142854,34.57142857142857,12.428571428571429,32.57142857142857,72.71428571428571,55.0,40.714285714285715,75.85714285714286,27.428571428571427,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4467109673647864,0.0,0.0,0.0,0.0,0.0,3.420625713536756,10.582362428013091,5.893614669924648,4.654015894426902,2.369017707396714,5.983537506227849,0.7468755781599115,3.933978962347215,9.503669180435336,1.6099182385120923,3.3725583256430047,4.884377427793931
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.142857142857146,0.0,0.0,0.0,0.0,0.0,33.857142857142854,32.57142857142857,45.142857142857146,45.142857142857146,16.0,62.42857142857143,64.28571428571429,55.285714285714285,57.142857142857146,71.28571428571429,36.142857142857146,32.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8820344288331445,0.0,0.0,0.0,0.0,0.0,6.378642083541917,8.097198642144093,7.986382968852048,7.385405722577118,3.8668308667927214,9.471403433134778,2.661133715742451,2.504417865200896,4.973398624436917,1.4914723584157925,2.0636141600019475,1.3041013273932534
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,45.0,22.142857142857142,44.42857142857143,18.142857142857142,28.714285714285715,12.857142857142858,63.857142857142854,59.285714285714285,84.14285714285714,73.14285714285714,46.57142857142857,37.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.070597894314954,0.0,0.0,0.0,0.0,0.0,6.9624845045565795,8.573015726070714,5.397782361467411,5.700578798635782,5.553695833853884,5.692219298675841,1.639229950291286,4.09246860949817,7.346617528879958,1.6536909861128894,2.4187476379429134,4.925292214819395
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.42857142857143,0.0,0.0,0.0,0.0,0.0,35.42857142857143,14.428571428571429,62.857142857142854,32.285714285714285,48.285714285714285,28.571428571428573,77.71428571428571,47.142857142857146,79.14285714285714,83.85714285714286,40.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3948398586549342,0.0,0.0,0.0,0.0,0.0,6.297607795471088,5.967599592630121,5.1382254275399095,10.304216163702085,10.209039611830212,6.679239844320548,1.3577692789888816,3.4670460284318843,5.658657805810959,1.4045601146431073,1.5583874449479596,3.236694374850748
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.57142857142857,0.0,0.0,0.0,0.0,0.0,57.142857142857146,10.571428571428571,42.857142857142854,36.42857142857143,32.142857142857146,16.857142857142858,89.57142857142857,46.57142857142857,34.142857142857146,91.28571428571429,48.714285714285715,41.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7216045109676044,0.0,0.0,0.0,0.0,0.0,11.4484945390599,5.032547129659582,4.506231513025001,7.963778544603246,6.374908295992416,4.677344441069971,1.9863479632965917,2.5621525813932577,6.522592865346941,1.340118788520979,3.0056635882018092,6.52780551931192
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.857142857142854,0.0,0.0,0.0,0.0,0.0,62.714285714285715,0.0,45.714285714285715,0.0,7.571428571428571,15.857142857142858,72.85714285714286,40.57142857142857,26.0,75.85714285714286,57.285714285714285,44.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.882034428833145,0.0,0.0,0.0,0.0,0.0,7.093639960637731,0.0,2.9416086117105715,0.0,2.9427646772343574,3.9365719400838826,2.2617794451500797,1.730085916627138,3.9157800414902435,2.51119940446385,1.9360525095482015,3.3268644713730606
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.57142857142857,0.0,0.0,0.0,0.0,0.0,28.142857142857142,12.142857142857142,21.714285714285715,5.857142857142857,16.142857142857142,38.42857142857143,70.0,40.285714285714285,7.142857142857143,70.57142857142857,36.57142857142857,43.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.48928896968906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7573944844996128,0.0,0.0,0.0,0.0,0.0,6.3524594840580155,4.355776522693313,3.9863713402774,3.79491245540891,3.3836340806648595,6.600350433904258,2.2677868380553634,3.3786041476317634,2.2299751378986845,1.5714285714285718,2.0685530122831874,5.074948476666175
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.714285714285715,0.0,0.0,0.0,0.0,0.0,27.571428571428573,24.285714285714285,37.857142857142854,24.0,57.42857142857143,21.571428571428573,75.57142857142857,58.857142857142854,43.57142857142857,77.42857142857143,38.57142857142857,38.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.203050891044214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2345919424269893,0.0,0.0,0.0,0.0,0.0,2.3589459193334923,6.108987468570914,4.437011925827106,5.2960002877283765,9.180354653531957,3.2867493193785515,1.4937511563198218,2.2617794451500797,5.626709868615782,1.7162686943752476,2.467475506291737,4.3799170619302545
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.42857142857143,0.0,0.0,0.0,0.0,0.0,36.714285714285715,22.857142857142858,49.57142857142857,27.0,75.57142857142857,25.285714285714285,70.0,51.857142857142854,63.857142857142854,78.57142857142857,49.0,37.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.360811027866115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1722412976277308,0.0,0.0,0.0,0.0,0.0,3.1751586815561246,8.639412930420267,5.027813795739243,8.205689083394113,7.3480063472285835,4.09246860949817,0.7237468644557465,2.3138153549059703,6.246631745450128,1.4451419909993823,2.29906813420444,2.2617794451500797
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.285714285714285,0.0,0.0,0.0,0.0,0.0,15.857142857142858,17.285714285714285,31.714285714285715,46.714285714285715,84.57142857142857,28.142857142857142,65.42857142857143,44.0,68.57142857142857,75.71428571428571,37.142857142857146,41.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.661133715742451,0.0,0.0,0.0,0.0,0.0,2.229975137898685,3.530238665304884,3.167651118011922,7.334570087424819,7.090762410673891,5.175163081987859,2.477106057836181,2.058663459163551,7.0266741535283925,1.6720999872456603,2.5111994044638486,3.4046786536608526
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.142857142857146,0.0,0.0,0.0,0.0,0.0,44.42857142857143,10.142857142857142,38.857142857142854,70.71428571428571,65.85714285714286,27.285714285714285,48.42857142857143,39.42857142857143,56.57142857142857,60.142857142857146,43.42857142857143,52.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9931856701386996,0.0,0.0,0.0,0.0,0.0,5.723207321145751,5.165953428935647,6.318636725435892,8.730663766055727,6.825821323085881,5.575090371739387,1.5562032988922088,1.1517511068997925,6.152263009336844,1.5649215928719027,3.0067950256927407,3.165502829451477
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.714285714285715,0.0,0.0,0.0,0.0,0.0,74.57142857142857,38.42857142857143,56.857142857142854,22.142857142857142,56.714285714285715,51.285714285714285,86.42857142857143,59.857142857142854,34.0,87.57142857142857,59.857142857142854,33.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.055356367134023,0.0,0.0,0.0,0.0,0.0,6.799359713752966,6.44706335088621,3.508008330802478,3.480753691157046,6.923783323458648,5.003400204405217,2.715538557977762,3.034943879833941,4.331501444292124,0.9965928350693501,1.07854777646725,3.1837170762755767
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.42857142857143,0.0,0.0,0.0,40.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.285714285714285,0.0,0.0,0.0,0.0,0.0,25.142857142857142,17.428571428571427,41.0,19.714285714285715,40.57142857142857,39.0,73.85714285714286,48.0,59.57142857142857,79.14285714285714,45.57142857142857,40.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.528137715332578,0.0,0.0,0.0,14.446711840180008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7281187915832434,0.0,0.0,0.0,0.0,0.0,3.0970690555255422,6.252074485652715,3.0394235042348474,3.7841416320159658,4.385349759940113,5.843188953205017,1.0562415720389924,1.3801311186847085,4.476697033140684,2.175935173103973,1.1722412976277308,2.562152581393258
