,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,23.285714285714285,0.0,53.857142857142854,10.857142857142858,32.857142857142854,0.0,68.57142857142857,43.42857142857143,38.42857142857143,37.142857142857146,24.571428571428573,49.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2360679774997894,0.0,0.0,0.0,0.0,0.0,6.910014422541236,0.0,6.13897995027936,1.5185922589620928,9.72828123474609,0.0,5.463546479719416,3.7976003880717872,8.371883621631971,2.649605284427344,3.3227723856037166,6.688399948982643
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.42857142857143,0.0,0.0,0.0,0.0,0.0,12.0,0.0,42.285714285714285,13.714285714285714,0.0,0.0,58.714285714285715,57.0,32.285714285714285,29.285714285714285,34.0,41.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1536610837711323,0.0,0.0,0.0,0.0,0.0,3.169797950598594,0.0,5.92297498332225,1.9237152263546813,0.0,0.0,3.292952689451518,5.163977794943222,9.16700679641082,3.5504143669254646,2.70801280154532,10.518529164399027
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.285714285714285,0.0,0.0,0.0,0.0,0.0,15.857142857142858,15.285714285714286,40.857142857142854,23.0,54.42857142857143,0.0,80.0,34.714285714285715,45.0,31.285714285714285,41.857142857142854,24.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8465462908103603,0.0,0.0,0.0,0.0,0.0,5.142857142857142,10.001700535681026,4.934951012583471,3.605551275463989,13.984442278844735,0.0,4.6084807950229365,3.462137281770197,6.244997998398398,2.066908039448639,4.21125799228105,7.87832642195564
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,12.142857142857142,0.0,30.714285714285715,5.142857142857143,14.285714285714286,0.0,65.42857142857143,35.285714285714285,18.857142857142858,31.428571428571427,22.428571428571427,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2732683535398857,0.0,0.0,0.0,0.0,0.0,4.72293578709044,0.0,4.201554619957927,2.1092604371762,6.875471536086628,0.0,4.028807828254756,2.6068982272706656,5.101020306102035,2.3989793748209522,3.061723315367335,4.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.142857142857146,0.0,0.0,0.0,0.0,0.0,14.0,0.0,37.142857142857146,14.857142857142858,11.0,26.428571428571427,57.57142857142857,44.857142857142854,0.0,49.857142857142854,23.0,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1317170748189898,0.0,0.0,0.0,0.0,0.0,4.281744192888376,0.0,6.59880426191555,4.194262358829485,5.282495802626057,13.103720196692132,4.770230816304,3.7634113920912835,0.0,1.8182745801939793,3.683941988065036,4.285714285714286
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.57142857142857,0.0,0.0,0.0,0.0,0.0,28.571428571428573,25.714285714285715,37.0,3.2857142857142856,20.142857142857142,0.0,49.42857142857143,62.857142857142854,24.142857142857142,46.285714285714285,29.857142857142858,25.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2131333406899523,0.0,0.0,0.0,0.0,0.0,5.340131721476642,9.428210671309007,6.608075867199669,1.1693361102674928,8.370664681546165,0.0,3.108032166110613,4.812823007978005,4.096622136000594,3.3573961403947274,3.02708858577387,9.825691715450613
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.142857142857146,0.0,0.0,0.0,0.0,0.0,19.142857142857142,18.857142857142858,50.42857142857143,1.7142857142857142,7.285714285714286,0.0,64.28571428571429,30.142857142857142,32.857142857142854,37.142857142857146,47.142857142857146,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.124475127281777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.225114035847056,0.0,0.0,0.0,0.0,0.0,4.008494382044754,9.215485340882879,3.161201872533857,1.1065666703449761,4.804334777371496,0.0,8.895462421969993,3.807439906217271,4.925292214819395,3.7443835491660438,2.694160982822026,10.307186582093836
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,14.428571428571429,27.142857142857142,60.714285714285715,0.0,22.0,26.428571428571427,53.142857142857146,25.285714285714285,16.428571428571427,45.0,33.857142857142854,43.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.453765177770514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8516401995451026,0.0,0.0,0.0,0.0,0.0,4.508495382302714,14.551106276759542,8.055504730467547,0.0,13.889015872435378,13.096450160357236,4.096622136000594,2.634155559226539,5.575700437985317,4.19182878603463,2.595128874940707,4.9156144383100715
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.285714285714285,0.0,0.0,0.0,0.0,0.0,13.285714285714286,0.0,33.142857142857146,12.428571428571429,0.0,0.0,52.42857142857143,30.714285714285715,32.857142857142854,46.57142857142857,24.428571428571427,48.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.203050891044214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14602939795119,0.0,0.0,0.0,0.0,0.0,4.127228320003895,0.0,5.3203498427245925,3.5647556708976955,0.0,0.0,5.3267391206876225,2.8511842628424193,6.790850186722086,3.130929748243383,3.3084102271774762,10.131113254835963
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.285714285714285,0.0,0.0,0.0,0.0,0.0,46.42857142857143,27.0,49.42857142857143,18.714285714285715,22.857142857142858,21.714285714285715,72.0,39.714285714285715,36.0,35.57142857142857,44.42857142857143,20.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.732874307103152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8761274039126663,0.0,0.0,0.0,0.0,0.0,7.259991941675781,10.639101286785278,8.114822249196491,2.2223355980148636,7.209215568676404,10.749782468927066,3.6579984118302162,3.0606121836612212,10.08771058079606,2.810330796129429,2.102800206268535,9.44263021123471
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.42857142857143,0.0,0.0,0.0,0.0,0.0,5.0,9.285714285714286,62.285714285714285,6.428571428571429,2.5714285714285716,51.714285714285715,74.42857142857143,37.42857142857143,51.285714285714285,30.571428571428573,25.571428571428573,3.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3989793748209522,0.0,0.0,0.0,0.0,0.0,3.4434202266268428,6.042367423587599,5.240475649596475,0.9476070829586856,2.571428571428571,14.185361814064468,3.3654911398256417,2.8103307961294286,7.311811337419313,1.8238779049719578,2.0570105777576355,3.4285714285714284
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.285714285714286,0.0,0.0,28.571428571428573,0.0,0.0,0.0,52.714285714285715,0.0,0.0,0.0,0.0,0.0,17.0,39.42857142857143,39.142857142857146,8.285714285714286,11.714285714285714,10.571428571428571,56.0,37.42857142857143,5.285714285714286,23.857142857142858,28.285714285714285,33.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.285714285714286,0.0,0.0,18.442777839082936,0.0,0.0,0.0,4.379140412032859,0.0,0.0,0.0,0.0,0.0,5.8472622816559365,18.680085070237034,4.896201498676934,2.2857142857142856,5.6514401271007095,10.571428571428571,4.47745676111105,4.336210452507508,3.4275792215101157,1.9325356083526688,1.248127849722015,10.714603169900197
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,40.42857142857143,0.0,0.0,0.0,0.0,0.0,18.857142857142858,9.714285714285714,45.42857142857143,10.857142857142858,44.714285714285715,0.0,70.28571428571429,50.285714285714285,54.285714285714285,37.57142857142857,26.428571428571427,18.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,2.95084445425327,0.0,0.0,0.0,0.0,0.0,3.0970690555255427,6.270544465288197,3.1536610837711327,1.0101525445522106,11.486460530128682,0.0,4.010191099319486,4.916998144020324,7.415281151637012,2.6444654051266325,3.797600388071788,5.489631537887466
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.571428571428573,0.0,0.0,0.0,49.42857142857143,0.0,0.0,0.0,0.0,0.0,21.142857142857142,16.857142857142858,56.285714285714285,3.0,16.714285714285715,41.285714285714285,55.0,52.0,78.85714285714286,35.142857142857146,27.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.813661347747825,0.0,0.0,0.0,1.8880216763427624,0.0,0.0,0.0,0.0,0.0,4.7680912195081815,11.362906593759512,4.346395801418116,1.9395630337539334,7.321573750012408,11.583474036242293,3.909694909544003,5.27347359996462,8.148702997668874,2.7379917164695335,3.083861877846129,0.0
