,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.57142857142857,0.0,0.0,0.0,0.0,0.0,54.857142857142854,18.285714285714285,81.28571428571429,10.142857142857142,54.57142857142857,12.0,50.714285714285715,52.0,42.142857142857146,48.714285714285715,57.57142857142857,44.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.540818358406442,0.0,0.0,0.0,0.0,0.0,7.796301233608798,6.472337789592338,6.331005658902954,3.693163384188807,9.613624119315409,6.260229723458731,2.77500995892066,4.140393356054125,11.95313979757654,1.1895234282663616,5.353490818669463,9.949190648380556
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.57142857142857,0.0,0.0,0.0,0.0,0.0,14.428571428571429,58.42857142857143,49.142857142857146,61.714285714285715,65.0,41.0,68.57142857142857,32.142857142857146,64.0,65.71428571428571,36.57142857142857,18.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.013935867810709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.018333734357228,0.0,0.0,0.0,0.0,0.0,5.42418369042596,12.422822972748378,6.912475166332974,10.899354034407127,7.982122882685138,9.050124966251124,1.6882950382129371,3.6542771510380323,11.503622617824933,2.112483144077984,2.8187902070378557,4.802918613810185
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.714285714285715,0.0,0.0,0.0,0.0,0.0,24.571428571428573,48.142857142857146,49.0,35.57142857142857,47.57142857142857,39.142857142857146,57.285714285714285,36.285714285714285,32.714285714285715,58.42857142857143,25.285714285714285,24.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1674148988042345,0.0,0.0,0.0,0.0,0.0,6.728960660059312,9.116778282842214,6.03955217513604,8.02928314079794,4.633507068636244,10.565957400175003,3.5031569824284805,4.49186717839022,9.610793252316663,2.180619646067678,2.5327783137089908,6.839759712531578
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.57142857142857,0.0,0.0,0.0,0.0,0.0,31.571428571428573,16.571428571428573,41.857142857142854,49.0,84.71428571428571,2.857142857142857,61.142857142857146,49.42857142857143,46.0,60.42857142857143,31.857142857142858,49.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.341697840252637,0.0,0.0,0.0,0.0,0.0,5.923549221045576,8.801669600428207,8.264751808068986,10.827654189070467,4.688965190510923,2.8571428571428568,2.781131761990255,3.220892680587781,5.606119105813881,2.9829447168315855,3.2618178646749922,9.70692998820525
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.14285714285714,0.0,0.0,0.0,0.0,0.0,24.285714285714285,15.571428571428571,35.42857142857143,68.28571428571429,32.857142857142854,13.142857142857142,61.0,34.0,45.285714285714285,60.142857142857146,29.285714285714285,43.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.875617133214439,0.0,0.0,0.0,0.0,0.0,3.727084177018951,5.537134994343034,7.957796844117402,10.523701787856204,3.3765900764258734,3.425593945223371,2.5634797778466223,3.1471831698777724,12.561684535417491,1.9931856701386996,2.8511842628424193,9.30876260436852
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.714285714285715,0.0,0.0,0.0,0.0,0.0,40.0,9.428571428571429,36.714285714285715,5.428571428571429,43.42857142857143,34.285714285714285,61.0,40.57142857142857,55.714285714285715,54.42857142857143,36.285714285714285,28.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.961507382314092,0.0,0.0,0.0,0.0,0.0,5.863527298559492,6.090027534761206,7.252960924813447,3.5312020269452207,2.552842886415278,7.292247304384246,2.7774602993176543,4.325214791567845,11.760940774068905,2.358945919333492,4.427803312803173,5.272183453498838
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.285714285714285,0.0,0.0,0.0,0.0,0.0,32.714285714285715,45.57142857142857,50.142857142857146,2.2857142857142856,11.0,20.0,52.42857142857143,30.428571428571427,57.285714285714285,45.857142857142854,34.0,19.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1374412209579297,0.0,0.0,0.0,0.0,0.0,4.784470342951771,13.9195941765849,8.894697648515288,2.2857142857142856,3.38765264987284,3.9940431835899006,1.9622283598130013,3.3725583256430047,10.654116766848045,2.9715201451090847,3.345216912320663,5.698191621479752
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.28571428571429,0.0,0.0,0.0,0.0,0.0,7.285714285714286,16.714285714285715,24.0,21.428571428571427,5.285714285714286,50.857142857142854,53.0,23.714285714285715,56.42857142857143,49.57142857142857,21.285714285714285,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.307381972225779,0.0,0.0,0.0,0.0,0.0,3.752550153303913,5.9430402902181685,7.319250547113999,6.920835150736757,2.513906897869621,6.7415858365696675,2.340126166724879,1.9112983086085218,11.639131744039245,0.99659283506935,3.821706709949201,4.990467102863409
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.42857142857143,0.0,0.0,0.0,0.0,0.0,27.714285714285715,0.0,44.42857142857143,43.57142857142857,55.57142857142857,13.428571428571429,59.857142857142854,40.0,27.571428571428573,57.142857142857146,54.714285714285715,69.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.458133088842106,0.0,0.0,0.0,0.0,0.0,3.32174857649434,0.0,8.662610249026018,8.823283976845268,7.213932098830054,3.504127789425758,2.5206629081649607,4.498677054212187,8.771862871208857,2.3240827317928434,4.3682528146916155,7.782327791242164
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.714285714285715,0.0,0.0,0.0,0.0,0.0,10.571428571428571,71.42857142857143,39.714285714285715,22.142857142857142,91.85714285714286,58.142857142857146,69.85714285714286,50.142857142857146,63.42857142857143,61.0,32.57142857142857,22.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.64701941375946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6251012290167086,0.0,0.0,0.0,0.0,0.0,3.250327037444099,12.367116811581123,7.514158970504524,8.174957612904738,4.788023607714065,9.030183701734689,2.414525206492803,3.826154176495365,5.144840887248315,2.9113897843110044,2.543499116394979,3.0583887092059827
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.28571428571429,0.0,0.0,0.0,0.0,0.0,12.428571428571429,30.0,48.57142857142857,40.142857142857146,62.0,37.42857142857143,71.0,38.714285714285715,52.714285714285715,58.714285714285715,29.428571428571427,25.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.905905533709895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.714285714285714,0.0,0.0,0.0,0.0,0.0,3.456237583166487,7.329003050503235,6.682803599207314,7.78407584332873,13.100345324419797,5.032547129659582,2.554174920362645,5.321628312007187,5.0930124199931095,1.2289036095775183,2.2238656054924983,5.55247079891368
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.28571428571429,0.0,0.0,0.0,0.0,0.0,18.285714285714285,49.42857142857143,66.28571428571429,6.428571428571429,54.57142857142857,9.285714285714286,51.714285714285715,32.857142857142854,13.714285714285714,53.857142857142854,31.857142857142858,20.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.859465277082315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7967046219576472,0.0,0.0,0.0,0.0,0.0,5.56226352398051,9.51153971526703,5.30818902718237,3.3227723856037166,7.220530065152329,4.794412848078807,0.9689042833036094,3.555201229510493,5.549407028444295,2.164965318413201,3.0583887092059827,5.304342977388313
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.28571428571429,0.0,0.0,0.0,0.0,0.0,44.42857142857143,19.714285714285715,50.0,23.285714285714285,34.857142857142854,44.285714285714285,68.71428571428571,47.0,46.285714285714285,63.142857142857146,41.714285714285715,56.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.752550153303913,0.0,0.0,0.0,0.0,0.0,4.994554858172299,3.3360533120260936,5.960185359853292,5.272183453498838,5.771145679064044,10.34112061191649,3.2124333286710343,3.199702367110922,10.444215272248135,2.4825924567118234,4.60183341161969,5.543887974837786
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,41.142857142857146,17.142857142857142,71.14285714285714,48.142857142857146,40.857142857142854,20.285714285714285,70.85714285714286,56.142857142857146,49.857142857142854,64.0,38.57142857142857,18.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.579039509354962,0.0,0.0,0.0,0.0,0.0,5.452952766854947,8.792390030530923,12.356661152185568,10.117002594474245,5.1382254275399095,5.947045227571041,3.912303982179757,6.790850186722086,11.259765225135473,1.6618979396776328,4.236222165006518,2.914892560533884
