,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,40.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,66.71428571428571,0.0,13.428571428571429,13.571428571428571,63.714285714285715,25.285714285714285,18.714285714285715,87.0,14.0,0.0,0.0,0.0,64.28571428571429,52.857142857142854,0.0,26.857142857142858,0.0,51.857142857142854,0.0,0.0,0.0,49.42857142857143,0.0,20.857142857142858,9.428571428571429,0.0,0.0,0.0,64.42857142857143,39.57142857142857,26.142857142857142,43.57142857142857,88.28571428571429,87.85714285714286,32.285714285714285,67.42857142857143,77.71428571428571,80.42857142857143,73.57142857142857,55.285714285714285,7.0,19.340838327510117,0.0,0.0,0.0,0.0,0.0,0.0,17.817479761010354,0.0,2.2023487771137478,9.055009512911157,9.395323775343638,9.826384031232022,3.271189427732494,8.893550365025101,2.4102953780654786,0.0,0.0,0.0,16.792450522714756,13.477368281022558,0.0,9.755166082959452,0.0,18.591381223091332,0.0,0.0,0.0,17.649844384660195,0.0,0.4040610178208842,9.428571428571429,0.0,0.0,0.0,17.185067081982687,1.8368858592367532,0.7377111135633174,1.9005906708071525,3.616853971763475,3.3836340806648604,1.9112983086085211,0.4285714285714289,1.5540160830553065,0.8689660757568881,0.5714285714285708,0.9689042833036096,0.3779644730092272
2007-02-01,0.0,0.0,0.0,0.0,0.0,49.285714285714285,0.0,0.0,0.0,16.285714285714285,5.285714285714286,17.714285714285715,18.142857142857142,10.857142857142858,16.285714285714285,9.571428571428571,0.0,0.0,0.0,0.0,50.57142857142857,0.0,31.428571428571427,0.0,39.857142857142854,0.0,7.857142857142857,0.0,0.0,0.0,18.571428571428573,34.57142857142857,0.0,0.0,0.0,0.0,26.142857142857142,21.285714285714285,60.142857142857146,77.85714285714286,60.142857142857146,22.714285714285715,66.28571428571429,68.71428571428571,77.42857142857143,70.57142857142857,49.57142857142857,6.714285714285714,0.0,0.0,0.0,0.0,0.0,17.766627739233176,0.0,0.0,0.0,1.1895234282663616,5.285714285714286,8.453554579821057,9.179243073443503,5.184356374749729,6.205659036849563,1.9130770882476824,0.0,0.0,0.0,0.0,13.328910831181151,0.0,11.963948111796903,0.0,18.974203755711734,0.0,7.857142857142857,0.0,0.0,0.0,0.2020305089104422,16.70166393600627,0.0,0.0,0.0,0.0,0.7377111135633175,0.4738035414793429,1.3350329303691604,3.9062134352030147,2.3035022137995855,1.1895234282663618,0.5216405309573007,1.0168645954315536,1.461524690783124,0.7190318509781664,1.109636209307718,0.2857142857142857
2007-03-01,25.142857142857142,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,34.142857142857146,56.857142857142854,0.0,0.0,21.571428571428573,20.571428571428573,21.571428571428573,0.0,13.142857142857142,0.0,32.714285714285715,0.0,16.714285714285715,17.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,19.571428571428573,0.0,22.571428571428573,69.71428571428571,0.0,9.428571428571429,19.285714285714285,23.285714285714285,44.57142857142857,86.57142857142857,58.285714285714285,27.714285714285715,64.0,68.42857142857143,70.0,70.14285714285714,40.285714285714285,6.857142857142857,16.301370920188003,18.442777839082936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3627702877384937,10.409310327615303,12.89043309226352,0.0,0.0,5.9636084588393405,2.741716032473292,13.928144071587985,0.0,8.486483851588083,0.0,9.64047589645885,0.0,8.14953777746901,11.085014705466483,0.0,0.0,0.0,0.0,0.0,0.0,0.2973808570665904,0.0,14.569794492875518,18.076180440561213,0.0,9.428571428571429,1.0400156984686457,0.6441785361175565,2.0454030090394792,3.322772385603717,3.060612183661222,2.1011820450390672,0.5773502691896257,1.477725776112657,1.6329931618554514,0.7377111135633175,0.7142857142857141,0.40406101782088427
2007-04-01,52.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,9.428571428571429,0.0,16.571428571428573,6.285714285714286,12.142857142857142,0.0,15.428571428571429,70.85714285714286,9.0,0.0,0.0,61.142857142857146,0.0,47.142857142857146,0.0,40.42857142857143,0.0,27.0,0.0,14.714285714285714,0.0,0.0,0.0,19.714285714285715,36.857142857142854,0.0,0.0,0.0,54.0,16.0,18.0,47.42857142857143,75.42857142857143,54.42857142857143,27.428571428571427,61.857142857142854,70.28571428571429,72.28571428571429,66.57142857142857,37.285714285714285,7.142857142857143,18.695373941238003,0.0,0.0,0.0,0.0,0.0,0.0,9.428571428571429,0.0,1.7437936593905285,6.285714285714285,7.875303687050126,0.0,4.133816078897277,11.022549552596976,2.115700942049815,0.0,0.0,13.975196687309255,0.0,8.73806279999169,0.0,8.554745669474212,0.0,17.436961290535084,0.0,9.498657262788164,0.0,0.0,0.0,0.42056004125370694,17.802392256885792,0.0,0.0,0.0,19.266304165316093,0.723746864455746,0.37796447300922714,1.5562032988922085,2.5528428864152786,2.9427646772343574,3.5109159221270017,0.553283335172488,1.016864595431553,1.2289036095775174,0.5281207860194956,1.062662552591495,0.2608202654786505
2007-05-01,0.0,0.0,69.85714285714286,0.0,10.0,0.0,0.0,39.42857142857143,0.0,17.714285714285715,22.857142857142858,9.0,0.0,4.857142857142857,0.0,16.428571428571427,28.428571428571427,0.0,32.57142857142857,45.0,41.142857142857146,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.857142857142858,28.142857142857142,44.714285714285715,13.0,0.0,25.0,16.285714285714285,18.857142857142858,41.285714285714285,99.28571428571429,68.57142857142857,24.0,73.57142857142857,52.857142857142854,74.42857142857143,78.42857142857143,36.857142857142854,6.142857142857143,0.0,0.0,12.304526018673684,0.0,10.0,0.0,0.0,15.083666888483087,0.0,2.032056027938273,8.503300679676075,5.835033765765117,0.0,3.1352722326440987,0.0,2.3589459193334923,13.440977045794634,0.0,13.30208924309608,16.04903201353367,9.44515136743406,0.0,0.0,0.0,0.0,0.0,8.960229588895269,0.0,0.0,0.0,0.5084322977157767,13.579446253224674,12.164965867515747,13.0,0.0,16.137799460538957,1.5230652944494738,0.7377111135633174,1.5993195832139677,0.7142857142857137,4.669338399434697,1.5735915849388862,0.6494372236659931,1.3350329303691604,1.2121830534626536,0.5714285714285712,0.5947617141331809,0.26082026547865056
2007-06-01,0.0,0.0,0.0,0.0,31.857142857142858,0.0,0.0,0.0,0.0,16.428571428571427,31.285714285714285,5.714285714285714,64.85714285714286,14.428571428571429,25.428571428571427,9.714285714285714,0.0,0.0,64.0,0.0,28.285714285714285,0.0,8.0,20.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,25.857142857142858,34.714285714285715,71.42857142857143,73.57142857142857,20.428571428571427,21.0,45.42857142857143,63.42857142857143,69.0,24.714285714285715,82.14285714285714,54.142857142857146,72.14285714285714,85.14285714285714,42.42857142857143,7.285714285714286,0.0,0.0,0.0,0.0,15.095613635106329,0.0,0.0,0.0,0.0,2.102800206268535,8.382846106397123,5.7142857142857135,17.909067364816934,3.8412370456425,8.144110179279556,3.643090562082888,0.0,0.0,12.35005301704448,0.0,10.932072268405136,0.0,5.237229365663817,14.446005497366114,0.0,0.0,0.0,0.0,0.0,0.0,0.3086066999241838,0.0,12.581976094754735,17.51287184536302,18.442777839082936,13.11643306415775,1.6014449257904988,0.5345224838248488,1.730085916627138,1.9743249944407502,2.951996902824546,1.9483116709979793,0.5084322977157771,1.3527497820325516,1.5800628593368629,0.9110060223670948,1.1308897225750398,0.4738035414793428
2007-07-01,14.285714285714286,0.0,31.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714286,0.0,22.428571428571427,0.0,0.0,2.7142857142857144,9.0,58.857142857142854,0.0,12.714285714285714,49.714285714285715,30.0,0.0,12.285714285714286,38.714285714285715,26.285714285714285,0.0,20.571428571428573,0.0,35.0,0.0,17.571428571428573,0.0,0.0,0.0,0.0,34.857142857142854,20.714285714285715,31.857142857142858,42.857142857142854,18.285714285714285,37.714285714285715,22.142857142857142,82.57142857142857,51.285714285714285,68.57142857142857,83.0,44.857142857142854,9.0,14.285714285714285,0.0,16.134637603994857,0.0,0.0,0.0,0.0,0.0,0.0,0.8370664681546165,0.0,8.07069107460871,0.0,0.0,2.7142857142857144,2.7167908239230307,10.036667468714455,0.0,8.207761384127558,17.694112937727656,9.301817538729166,0.0,8.120269423498463,14.894412959729765,16.979980208797546,0.0,9.72933008719399,0.0,16.580252166501023,0.0,0.20203050891044225,0.0,0.0,0.0,0.0,17.282565632160402,1.7554579610635008,1.242665557209513,0.6700593942604895,1.7142857142857142,1.538618516324143,1.5496323900259983,0.6494372236659929,0.9440108381713812,0.7824607964359517,0.6172133998483678,0.9367769320431426,0.4879500364742665
2007-08-01,25.857142857142858,0.0,0.0,0.0,0.0,18.857142857142858,0.0,0.0,0.0,6.0,0.0,15.857142857142858,31.285714285714285,9.857142857142858,27.857142857142858,10.0,0.0,0.0,10.857142857142858,0.0,48.714285714285715,0.0,72.0,62.0,0.0,0.0,0.0,0.0,20.0,0.0,16.714285714285715,0.0,10.857142857142858,0.0,28.571428571428573,0.0,27.0,23.285714285714285,47.0,19.714285714285715,28.714285714285715,27.285714285714285,71.71428571428571,44.285714285714285,70.28571428571429,73.28571428571429,44.57142857142857,10.0,16.77076335177861,0.0,0.0,0.0,0.0,12.189825131423905,0.0,0.0,0.0,0.7559289460184544,0.0,7.59206531731076,11.11565666657853,7.205912160721029,7.245453653116262,3.6253078686998625,0.0,0.0,7.129511341795391,0.0,11.449088725879506,0.0,13.940349110884322,12.163567772342986,0.0,0.0,0.0,0.0,12.917319491951215,0.0,0.18442777839082927,0.0,10.857142857142858,0.0,18.442777839082936,0.0,1.632993161855452,0.7142857142857145,1.2344267996967353,1.5993195832139677,1.5692625765032455,1.4093951035189278,0.6441785361175566,1.3923991921155658,1.3041013273932525,0.7468755781599107,1.1722412976277308,0.5345224838248488
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.571428571428571,0.0,40.0,0.0,0.0,13.714285714285714,3.857142857142857,17.285714285714285,26.142857142857142,19.571428571428573,11.714285714285714,69.42857142857143,0.0,21.571428571428573,0.0,46.42857142857143,0.0,17.714285714285715,0.0,9.142857142857142,0.0,18.142857142857142,0.0,19.714285714285715,0.0,0.0,0.0,26.285714285714285,23.571428571428573,39.142857142857146,28.857142857142858,38.714285714285715,32.285714285714285,70.85714285714286,47.142857142857146,64.0,74.14285714285714,44.0,9.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.020204061220407,0.0,10.412904082366811,0.0,0.0,5.348405573334052,1.3702375780893483,11.222244673424477,16.97677485135918,9.48145343202578,11.714285714285714,8.906544257580764,0.0,8.85291757896028,0.0,16.425672622100908,0.0,8.368632720190448,0.0,9.142857142857142,0.0,0.34006802040680234,0.0,12.727387577889784,0.0,0.0,0.0,2.233023635751115,0.5281207860194962,1.7651193326524421,1.3702375780893485,1.8350332255235908,1.0168645954315532,0.34006802040680184,1.1635039736067252,0.7867957924694425,0.45922146480918846,0.8451542547285176,0.6801360408136048
2007-10-01,0.0,0.0,0.0,0.0,0.0,47.142857142857146,0.0,0.0,0.0,9.285714285714286,5.857142857142857,33.285714285714285,16.142857142857142,7.0,12.714285714285714,5.571428571428571,0.0,0.0,22.857142857142858,0.0,49.42857142857143,0.0,0.0,17.857142857142858,20.0,0.0,37.142857142857146,0.0,26.571428571428573,0.0,16.857142857142858,25.285714285714285,17.714285714285715,0.0,0.0,0.0,29.428571428571427,23.0,40.142857142857146,51.857142857142854,49.285714285714285,26.714285714285715,72.57142857142857,62.857142857142854,73.57142857142857,75.85714285714286,48.857142857142854,10.142857142857142,0.0,0.0,0.0,0.0,0.0,14.261884887497082,0.0,0.0,0.0,0.8081220356417685,5.857142857142857,7.27263064252441,7.875303687050125,4.675162334843877,7.103702206174862,2.0914467862854997,0.0,0.0,9.472839800057374,0.0,12.56764012180857,0.0,0.0,8.542411200337188,12.909944487358057,0.0,13.968380230309577,0.0,12.624347494419819,0.0,0.2608202654786504,16.513651330705418,11.434522260231422,0.0,0.0,0.0,1.2316683006073867,0.4879500364742665,0.633530223602384,1.869919420578272,2.0669080394486383,1.5993195832139682,0.5714285714285714,0.6335302236023842,0.8123201004396183,0.6700593942604892,1.0562415720389926,0.4040610178208842
2007-11-01,0.0,0.0,0.0,0.0,0.0,23.428571428571427,0.0,10.142857142857142,0.0,16.571428571428573,0.0,15.428571428571429,0.0,10.714285714285714,36.285714285714285,4.285714285714286,36.285714285714285,0.0,9.428571428571429,10.142857142857142,34.0,0.0,19.142857142857142,5.428571428571429,17.142857142857142,8.571428571428571,10.428571428571429,0.0,0.0,0.0,17.285714285714285,30.0,0.0,0.0,0.0,30.0,27.714285714285715,19.714285714285715,45.857142857142854,66.14285714285714,68.14285714285714,32.42857142857143,68.57142857142857,60.142857142857146,66.71428571428571,72.71428571428571,42.57142857142857,9.571428571428571,0.0,0.0,0.0,0.0,0.0,11.16938234822393,0.0,10.14285714285714,0.0,1.5714285714285716,0.0,5.519908310389045,0.0,4.178825796083585,9.831228876620143,1.7281187915832432,14.4332854157034,0.0,6.090027534761206,10.142857142857142,6.0592314458424275,0.0,6.984433615202458,5.428571428571429,11.17060038338003,8.571428571428571,6.739567397651201,0.0,0.0,0.0,0.4205600412537068,10.91743908572318,0.0,0.0,0.0,15.631165450257804,1.7554579610635008,0.5654448612875199,1.1004019055515564,2.13171707481899,1.9201757289196144,2.1476137683389864,0.4809288065886696,1.261680123761121,1.0848367380851918,0.4205600412537073,1.6014449257904988,0.4809288065886703
