,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,57.714285714285715,37.42857142857143,0.0,23.142857142857142,0.0,0.0,0.0,27.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,0.0,27.428571428571427,14.285714285714286,0.0,0.0,0.0,56.714285714285715,31.857142857142858,56.285714285714285,24.0,51.714285714285715,32.142857142857146,29.285714285714285,44.142857142857146,46.142857142857146,47.142857142857146,44.285714285714285,21.714285714285715,27.714285714285715,3.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.574002260711119,0.0,16.80237268635464,17.74402265936488,0.0,11.354522009667656,0.0,0.0,0.0,13.153722217048118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,0.0,0.5714285714285713,14.285714285714285,0.0,0.0,0.0,13.864504671856052,9.124609767072812,3.669139549542046,1.3801311186847085,4.622482767818124,4.469092650152406,10.769697978951086,0.40406101782088405,1.1218303799418803,2.8236127772140183,0.74687557815991,0.8650429583135689,3.669139549542045
2007-02-01,4.714285714285714,0.0,0.0,0.0,29.142857142857142,0.0,0.0,60.57142857142857,0.0,34.42857142857143,0.0,0.0,0.0,14.142857142857142,0.0,0.0,0.0,0.0,26.142857142857142,0.0,0.0,0.0,0.0,10.714285714285714,0.0,0.0,22.571428571428573,0.0,0.0,0.0,25.428571428571427,0.0,34.0,0.0,0.0,17.0,11.857142857142858,80.57142857142857,31.285714285714285,40.714285714285715,61.142857142857146,33.857142857142854,45.714285714285715,35.285714285714285,42.857142857142854,42.0,17.285714285714285,36.714285714285715,4.7142857142857135,0.0,0.0,0.0,15.010200613215654,0.0,0.0,16.90710915964212,0.0,10.884364370743109,0.0,0.0,0.0,14.14285714285714,0.0,0.0,0.0,0.0,12.62165292063522,0.0,0.0,0.0,0.0,10.714285714285714,0.0,0.0,11.09666861818306,0.0,0.0,0.0,0.4809288065886703,0.0,16.588866030879753,0.0,0.0,8.504900548115382,4.199935211680405,5.842606817317824,0.8370664681546165,3.8465462908103603,5.50077298216901,11.323024523233247,1.2670604472047686,0.9689042833036096,5.849007125465098,0.7867957924694431,0.4738035414793429,5.532218558306491
2007-03-01,0.0,0.0,60.42857142857143,0.0,0.0,0.0,0.0,42.42857142857143,0.0,0.0,0.0,27.714285714285715,28.571428571428573,0.0,36.42857142857143,0.0,0.0,0.0,25.857142857142858,0.0,0.0,0.0,29.714285714285715,0.0,0.0,0.0,59.857142857142854,0.0,24.571428571428573,0.0,31.428571428571427,13.714285714285714,0.0,0.0,0.0,26.0,72.28571428571429,77.28571428571429,30.571428571428573,58.285714285714285,32.42857142857143,21.714285714285715,46.857142857142854,39.0,53.714285714285715,45.714285714285715,22.0,50.57142857142857,0.0,0.0,16.31513633008893,0.0,0.0,0.0,0.0,12.420906229604418,0.0,0.0,0.0,9.80455260074014,18.442777839082936,0.0,13.456910320506324,0.0,0.0,0.0,12.248281845355507,0.0,0.0,0.0,14.357202084691856,0.0,0.0,0.0,11.603424312775644,0.0,8.919900551594738,0.0,0.7514158970504525,13.714285714285714,0.0,0.0,0.0,11.6373782025236,6.823329328799225,2.0553563671340234,1.509606427061653,5.226827708195141,2.7847983842311326,4.368252814691616,0.7377111135633172,1.091089451179962,3.1601257186737257,0.6060915267313268,0.7867957924694431,3.617794269185253
2007-04-01,0.0,0.0,10.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.714285714285715,0.0,30.285714285714285,0.0,43.0,0.0,0.0,60.142857142857146,40.285714285714285,74.14285714285714,22.428571428571427,49.857142857142854,45.57142857142857,38.142857142857146,42.285714285714285,38.57142857142857,40.57142857142857,41.285714285714285,22.285714285714285,55.42857142857143,0.0,0.0,10.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,11.530497862294627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.970138387693416,0.0,0.9440108381713814,0.0,15.767658279498816,0.0,0.0,14.723529227911698,8.484479627992698,4.743057941819367,1.324802642213672,3.4463823090899486,3.7216045109676044,10.786739150299253,0.6441785361175563,1.9982985960340272,3.778744707522043,0.7781016494461047,0.8650429583135689,8.41443528042348
2007-05-01,21.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,59.285714285714285,0.0,20.142857142857142,0.0,20.285714285714285,0.0,28.571428571428573,82.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.714285714285715,0.0,0.0,0.0,0.0,0.0,23.714285714285715,0.0,32.142857142857146,0.0,39.42857142857143,0.0,0.0,10.0,26.857142857142858,72.0,22.857142857142858,54.0,71.14285714285714,61.0,40.857142857142854,36.714285714285715,47.57142857142857,40.857142857142854,19.428571428571427,17.0,6.354065600846748,0.0,0.0,0.0,0.0,0.0,0.0,13.873088518207242,0.0,7.353096436936235,0.0,14.543390391570757,0.0,13.497543238285543,8.993194706021223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.217696544092812,0.0,0.0,0.0,0.0,0.0,8.397035434106055,0.0,0.7377111135633174,0.0,15.083666888483087,0.0,0.0,6.6332495807108,6.135100307436947,3.366501646120692,0.6700593942604899,5.122313465427046,7.452799318851597,7.364651739090942,0.6335302236023843,1.4093951035189278,4.674434739736391,0.9618576131773404,1.043281061914602,5.228129047119374
2007-06-01,3.857142857142857,0.0,22.571428571428573,0.0,85.14285714285714,0.0,0.0,0.0,0.0,15.714285714285714,0.0,14.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,26.857142857142858,0.0,0.0,8.428571428571429,0.0,0.0,0.0,38.142857142857146,0.0,0.0,0.0,0.0,0.0,31.857142857142858,56.714285714285715,26.571428571428573,18.571428571428573,42.285714285714285,34.142857142857146,38.714285714285715,37.714285714285715,23.0,39.57142857142857,21.428571428571427,23.428571428571427,3.857142857142857,0.0,14.73230519391078,0.0,14.201657467701859,0.0,0.0,0.0,0.0,7.460097936655376,0.0,9.314241892973165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.3581716332389,0.0,0.0,8.428571428571427,0.0,0.0,0.0,0.5084322977157766,0.0,0.0,0.0,0.0,0.0,7.6233618737735,8.66771317595825,0.5714285714285717,2.3182212275501115,4.838901320175331,10.2781056514473,0.42056004125370694,0.9440108381713815,4.197504927816955,0.9221388919541464,0.7190318509781665,2.8018458444486947
2007-07-01,8.285714285714286,0.0,28.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,11.142857142857142,0.0,44.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,7.714285714285714,0.0,0.0,0.0,0.0,57.57142857142857,0.0,0.0,10.571428571428571,0.0,70.28571428571429,0.0,38.42857142857143,0.0,0.0,0.0,0.0,87.28571428571429,58.142857142857146,33.57142857142857,22.714285714285715,9.0,35.857142857142854,13.714285714285714,33.857142857142854,32.857142857142854,23.857142857142858,38.285714285714285,18.571428571428573,34.42857142857143,5.352855427198627,0.0,13.537300447332937,0.0,0.0,0.0,0.0,0.0,0.0,11.142857142857142,0.0,17.150196841455795,0.0,0.0,0.0,0.0,0.0,0.0,7.714285714285714,0.0,0.0,0.0,0.0,15.42702814150903,0.0,0.0,6.837770253585326,0.0,10.523701787856204,0.0,1.0202040612204073,0.0,0.0,0.0,0.0,7.851946333520741,9.15846881418549,2.297588206059965,1.4261884887497083,2.390457218668787,6.200724118345916,4.965184913423648,1.07854777646725,1.737932151513777,2.5394841192330255,0.6060915267313262,0.29738085706659034,6.806359571183768
2007-08-01,7.0,0.0,14.571428571428571,0.0,0.0,0.0,0.0,35.57142857142857,0.0,47.142857142857146,0.0,45.714285714285715,0.0,9.285714285714286,28.428571428571427,0.0,0.0,0.0,15.142857142857142,0.0,0.0,0.0,0.0,35.57142857142857,0.0,0.0,80.42857142857143,0.0,39.857142857142854,0.0,29.571428571428573,0.0,18.0,0.0,0.0,34.142857142857146,21.714285714285715,56.285714285714285,29.571428571428573,26.714285714285715,37.42857142857143,36.57142857142857,45.0,30.428571428571427,22.142857142857142,44.142857142857146,19.428571428571427,28.142857142857142,4.5197977198732495,0.0,9.529046179363146,0.0,0.0,0.0,0.0,13.648403260624512,0.0,9.480377156021175,0.0,14.471177076741013,0.0,9.285714285714285,11.029953034604372,0.0,0.0,0.0,9.835379701747717,0.0,0.0,0.0,0.0,12.889377580851942,0.0,0.0,11.036427007344152,0.0,13.197093062721141,0.0,0.5281207860194962,0.0,11.61895003862225,0.0,0.0,15.014958527809416,7.873143880167765,3.2198364770241836,0.9476070829586858,4.201554619957927,4.236222165006518,13.742282930286889,1.1547005383792515,1.043281061914602,2.1539395957902174,0.8571428571428577,0.7514158970504524,4.522054797526975
2007-09-01,0.0,24.857142857142858,24.0,0.0,27.285714285714285,0.0,0.0,34.285714285714285,0.0,56.42857142857143,0.0,23.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,12.857142857142858,0.0,0.0,0.0,33.857142857142854,36.714285714285715,0.0,0.0,0.0,0.0,21.857142857142858,0.0,27.714285714285715,0.0,0.0,0.0,0.0,14.285714285714286,18.571428571428573,51.42857142857143,22.857142857142858,39.0,35.285714285714285,43.57142857142857,47.42857142857143,33.285714285714285,27.857142857142858,43.857142857142854,20.857142857142858,35.714285714285715,0.0,16.045216720002156,11.338934190276817,0.0,13.688219275668239,0.0,0.0,9.731427452954106,0.0,11.95399344084116,0.0,8.377569663654713,0.0,0.0,0.0,0.0,0.0,0.0,8.528463746628171,0.0,0.0,0.0,16.455464530822887,13.376799897965286,0.0,0.0,0.0,0.0,7.738058607971909,0.0,0.6060915267313262,0.0,0.0,0.0,0.0,6.906567908310816,4.363578385514646,4.16251493838099,0.7377111135633176,4.7207747548166585,2.757796616299097,10.524024992407435,0.4285714285714287,0.7142857142857147,5.3337584864555625,0.3400680204068024,0.6700593942604901,4.528819281184959
2007-10-01,0.0,0.0,7.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,29.428571428571427,0.0,16.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.714285714285715,0.0,0.0,0.0,0.0,13.571428571428571,0.0,27.571428571428573,10.285714285714286,0.0,0.0,0.0,16.142857142857142,12.428571428571429,91.85714285714286,35.57142857142857,29.857142857142858,35.285714285714285,11.285714285714286,43.142857142857146,37.42857142857143,39.714285714285715,44.42857142857143,22.285714285714285,28.714285714285715,0.0,0.0,7.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,10.118011151400454,0.0,7.776206514432474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.536101276127097,0.0,0.0,0.0,0.0,6.560550001831447,0.0,0.3688555567816589,10.285714285714285,0.0,0.0,0.0,6.041241481637344,6.16386220473102,3.6281214569143687,2.021987975767823,4.284126690073326,2.661133715742451,4.318918987951707,0.7046975517594641,1.2883570722351125,3.720690448689058,0.5281207860194957,1.062662552591495,4.71933351687899
2007-11-01,3.0,63.0,13.0,0.0,0.0,0.0,0.0,9.142857142857142,0.0,24.714285714285715,0.0,0.0,23.714285714285715,24.0,44.57142857142857,0.0,0.0,0.0,43.142857142857146,0.0,0.0,0.0,0.0,0.0,77.71428571428571,0.0,0.0,0.0,0.0,0.0,26.571428571428573,0.0,38.42857142857143,0.0,0.0,0.0,23.142857142857142,38.857142857142854,25.0,32.285714285714285,50.57142857142857,20.142857142857142,44.285714285714285,30.0,61.714285714285715,41.0,20.714285714285715,36.57142857142857,3.0,12.136132591798521,8.594017852968589,0.0,0.0,0.0,0.0,9.142857142857142,0.0,4.406241707668175,0.0,0.0,15.568151686657458,11.50362261782493,14.497712697849538,0.0,0.0,0.0,15.99319583213968,0.0,0.0,0.0,0.0,0.0,13.660360250625557,0.0,0.0,0.0,0.0,0.0,0.3688555567816589,0.0,10.325320571195801,0.0,0.0,0.0,6.2122328300454,2.806697529198357,1.2344267996967353,3.3217485764943406,4.0582493460976545,7.378955182939976,0.5654448612875199,0.43643578047198456,5.383901425344183,0.4364357804719846,0.8081220356417684,2.448100749338467
2007-12-01,6.571428571428571,0.0,0.0,0.0,21.428571428571427,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.571428571428571,0.0,0.0,0.0,34.57142857142857,0.0,15.428571428571429,0.0,0.0,0.0,0.0,0.0,23.428571428571427,0.0,0.0,0.0,0.0,0.0,29.142857142857142,63.714285714285715,21.857142857142858,26.857142857142858,40.714285714285715,4.571428571428571,33.142857142857146,32.857142857142854,32.142857142857146,32.142857142857146,19.142857142857142,36.42857142857143,4.241838902989075,0.0,0.0,0.0,11.073041357186343,0.0,0.0,0.0,0.0,6.593647736738024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.842153214539305,0.0,0.0,0.0,12.434317226850824,0.0,9.959100033104786,0.0,0.0,0.0,0.0,0.0,0.9221388919541468,0.0,0.0,0.0,0.0,0.0,6.162206513550666,5.134914501603265,1.100401905551556,4.228185310556784,5.825699572601052,2.9589021681725685,0.7377111135633173,1.624640200879236,2.7205441632544187,0.4040610178208845,1.07854777646725,4.73516300748802
