,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,45.0,18.571428571428573,40.857142857142854,88.71428571428571,51.714285714285715,26.142857142857142,91.85714285714286,94.71428571428571,55.285714285714285,93.85714285714286,29.285714285714285,15.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.720671894557237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5735915849388864,0.0,0.0,0.0,0.0,0.0,3.7097041340118704,12.0847348471752,4.137106024566375,6.159446039231455,5.375049438152643,8.929428530289664,3.1579723107789044,1.8735538640862859,5.878590233147034,1.668026656013047,4.379140412032859,6.717830877647953
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.285714285714285,0.0,0.0,0.0,0.0,0.0,70.28571428571429,37.57142857142857,51.714285714285715,44.714285714285715,55.714285714285715,29.714285714285715,91.14285714285714,32.714285714285715,34.42857142857143,91.42857142857143,44.57142857142857,10.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.293569269044717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.20721764021174,0.0,0.0,0.0,0.0,0.0,7.083563421633163,4.455372053606121,4.033870206580452,4.438544837230874,6.756704908791696,3.7078699167753846,2.746673931698998,1.3923991921155663,3.0926729297389555,1.571428571428573,3.0772370326482883,3.2576440717118227
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.142857142857146,0.0,0.0,0.0,0.0,0.0,35.0,65.0,47.714285714285715,51.42857142857143,72.57142857142857,12.285714285714286,87.0,46.42857142857143,54.42857142857143,91.14285714285714,37.42857142857143,14.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.20721764021174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3906634512224567,0.0,0.0,0.0,0.0,0.0,3.4641016151377544,8.106434833777774,3.92618975425215,3.108032166110614,9.141368926497831,3.9684126952382224,1.8644544714716083,2.2662864827220557,7.5556889410661725,1.486904285332951,3.407674411964731,2.2406267344797315
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.142857142857142,0.0,28.571428571428573,0.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.57142857142857,0.0,0.0,0.0,0.0,0.0,25.285714285714285,31.0,46.142857142857146,47.42857142857143,67.28571428571429,4.285714285714286,79.71428571428571,27.428571428571427,50.714285714285715,82.0,31.428571428571427,6.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6024114333093396,0.0,18.442777839082936,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6454430993496185,0.0,0.0,0.0,0.0,0.0,2.032056027938273,9.431456989902511,5.006798099672519,4.110712734268046,6.6214452663271315,2.7664166758624407,1.1065666703449768,1.9378085666072191,11.86173175687719,1.2909944487358056,2.998865998825483,2.276768207215604
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.142857142857146,0.0,0.0,0.0,0.0,0.0,39.142857142857146,23.142857142857142,33.714285714285715,66.14285714285714,45.142857142857146,1.7142857142857142,79.85714285714286,26.142857142857142,71.0,78.28571428571429,51.0,15.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.392738882336249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8952141659173711,0.0,0.0,0.0,0.0,0.0,4.322854939728138,8.24167277122959,3.536976686611413,4.26742127680658,5.142857142857142,1.7142857142857142,1.5649215928719027,0.8288997707394861,8.428974970162093,1.7689691067625433,3.7032803990902052,2.0287055622991232
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.42857142857143,0.0,0.0,0.0,0.0,0.0,42.285714285714285,11.0,47.42857142857143,37.142857142857146,31.857142857142858,17.714285714285715,86.14285714285714,26.714285714285715,49.857142857142854,84.57142857142857,46.0,15.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.278133957347084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2316683006073867,0.0,0.0,0.0,0.0,0.0,3.974407926641016,5.2508502712826015,4.325214791567846,4.0025502074634,4.216907981586753,4.989103773483273,2.334304948338312,1.1487941030299829,11.490013410055937,1.4937511563198211,3.0860669992418384,4.470614561536604
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.142857142857146,0.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.857142857142854,0.0,0.0,0.0,0.0,0.0,28.428571428571427,6.857142857142857,62.142857142857146,10.714285714285714,21.285714285714285,46.714285714285715,74.42857142857143,18.428571428571427,26.714285714285715,82.42857142857143,30.285714285714285,17.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.786739150299253,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.676427713599313,0.0,0.0,0.0,0.0,0.0,4.151059204228097,4.4262666813799045,3.9305189977707444,3.32174857649434,7.249677450014705,11.304685681935032,1.0879675865519876,1.5096064270616534,5.825699572601051,1.3248026422136716,2.8595228182861767,5.204655163807652
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.857142857142854,0.0,0.0,0.0,0.0,0.0,39.857142857142854,13.142857142857142,39.57142857142857,10.857142857142858,36.285714285714285,22.285714285714285,71.42857142857143,22.285714285714285,58.857142857142854,82.0,32.42857142857143,2.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.490490879457422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75532878885513,0.0,0.0,0.0,0.0,0.0,5.518059404522275,4.677344441069971,3.061723315367335,2.5017001022026086,2.337217369868194,4.8829844782638805,1.5408275892727088,1.3041013273932525,3.473906620921805,1.2909944487358054,2.7590297022611376,1.6598500055174645
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.57142857142857,0.0,0.0,0.0,0.0,0.0,54.714285714285715,16.285714285714285,35.857142857142854,15.428571428571429,11.142857142857142,27.857142857142858,79.28571428571429,23.428571428571427,29.571428571428573,84.71428571428571,41.0,19.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.889342392059454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4088837847508073,0.0,0.0,0.0,0.0,0.0,3.0371845179241848,4.285714285714286,2.3035022137995855,2.2238656054924983,3.5618920295163314,8.64216841018109,1.9360525095482006,0.9965928350693498,3.9088248316630723,1.5540160830553063,2.760262237369417,2.900856078193911
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.857142857142854,0.0,0.0,0.0,0.0,0.0,67.57142857142857,60.42857142857143,43.714285714285715,31.857142857142858,31.0,41.142857142857146,75.57142857142857,20.428571428571427,55.714285714285715,83.14285714285714,51.285714285714285,9.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4225159845621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9618576131773401,0.0,0.0,0.0,0.0,0.0,5.046720495044484,8.858294855958567,3.4690075822116873,7.119485573405705,6.931638987109689,4.239432640772378,1.324802642213672,1.4777257761126572,6.243908596209839,0.5947617141331817,2.243660759883761,2.2299751378986845
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.714285714285715,0.0,0.0,0.0,0.0,0.0,40.857142857142854,19.285714285714285,65.71428571428571,73.42857142857143,58.57142857142857,36.42857142857143,72.71428571428571,30.0,60.285714285714285,77.14285714285714,31.857142857142858,2.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.422158404005511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1790592740281043,0.0,0.0,0.0,0.0,0.0,4.792993752932112,3.99829895803492,2.7404751561786966,8.111887640274325,8.882452318119894,7.702371752404898,1.672099987245661,0.690065559342354,6.527284441241299,1.5649215928719031,1.6536909861128888,1.674132936309233
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.42857142857143,0.0,0.0,0.0,0.0,0.0,29.428571428571427,21.428571428571427,60.142857142857146,50.285714285714285,36.142857142857146,7.142857142857143,58.857142857142854,22.857142857142858,68.85714285714286,58.285714285714285,36.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.750538939791692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.537938213525088,0.0,0.0,0.0,0.0,0.0,2.318221227550111,9.180354653531955,3.165502829451477,5.30818902718237,3.81368820003351,2.5488426078233593,1.0334540197243187,0.8844845533812716,6.013590051385483,1.1065666703449761,2.571428571428571,0.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.571428571428573,0.0,0.0,0.0,32.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.42857142857143,0.0,0.0,0.0,0.0,0.0,45.142857142857146,10.142857142857142,56.42857142857143,49.714285714285715,80.57142857142857,37.57142857142857,91.0,79.57142857142857,54.142857142857146,87.71428571428571,42.857142857142854,12.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.257833601507281,0.0,0.0,0.0,15.670284717555445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7023393268304259,0.0,0.0,0.0,0.0,0.0,2.923049381566249,3.6083802686614534,3.0539369037759925,3.091572921548463,4.196694520448108,6.4100261601767015,1.5886502207249804,1.8238779049719585,6.103974393897843,1.106566670344976,2.1205184836392683,3.809226178849537
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,28.0,47.285714285714285,68.57142857142857,49.42857142857143,42.285714285714285,17.142857142857142,83.85714285714286,38.142857142857146,72.14285714285714,85.42857142857143,39.142857142857146,17.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2724180205607043,0.0,0.0,0.0,0.0,0.0,1.9880595947760098,4.916998144020324,5.567153426923993,4.385349759940112,7.13714056959817,5.55247079891368,1.4380637019563336,2.501700102202609,8.522878374253201,0.6494372236659938,1.8313223355266106,2.835633320182744
