,value,date,keyword_id,keyword
0,52,2007-01-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
1,28,2007-02-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
2,25,2007-03-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
3,80,2007-04-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
4,0,2007-05-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
5,69,2007-06-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
6,0,2007-07-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
7,24,2007-08-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
8,67,2007-09-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
9,0,2007-10-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
10,57,2007-11-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
11,22,2007-12-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
12,18,2008-01-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
13,0,2008-02-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
14,38,2008-03-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
15,19,2008-04-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
16,19,2008-05-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
17,0,2008-06-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
18,37,2008-07-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
19,0,2008-08-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
20,35,2008-09-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
21,16,2008-10-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
22,17,2008-11-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
23,18,2008-12-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
24,31,2009-01-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
25,16,2009-02-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
26,29,2009-03-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
27,32,2009-04-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
28,58,2009-05-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
29,58,2009-06-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
30,14,2009-07-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
31,0,2009-08-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
32,28,2009-09-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
33,38,2009-10-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
34,51,2009-11-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
35,41,2009-12-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
36,47,2010-01-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
37,13,2010-02-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
38,11,2010-03-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
39,50,2010-04-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
40,72,2010-05-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
41,50,2010-06-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
42,34,2010-07-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
43,23,2010-08-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
44,0,2010-09-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
45,11,2010-10-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
46,31,2010-11-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
47,34,2010-12-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
48,42,2011-01-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
49,45,2011-02-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
50,75,2011-03-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
51,28,2011-04-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
52,32,2011-05-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
53,33,2011-06-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
54,51,2011-07-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
55,32,2011-08-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
56,24,2011-09-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
57,22,2011-10-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
58,37,2011-11-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
59,15,2011-12-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + DAAIRFKUAGFWZE3P78Z0
