,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.428571428571427,0.0,18.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,12.571428571428571,0.0,0.0,0.0,0.0,42.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,34.857142857142854,0.0,14.285714285714286,0.0,0.0,0.0,75.85714285714286,32.57142857142857,31.285714285714285,43.42857142857143,53.714285714285715,38.857142857142854,85.14285714285714,46.285714285714285,58.714285714285715,81.14285714285714,59.285714285714285,35.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.168724716116976,0.0,6.4823150311648154,0.0,0.0,0.0,0.0,0.0,0.0,8.750121476319064,0.0,0.0,0.0,0.0,19.940046192947264,0.0,0.0,0.0,0.0,0.0,0.0,2.016935103290226,0.0,14.285714285714285,0.0,0.0,0.0,8.873257230439734,16.13020996358658,3.1975756122284844,6.48756004782612,10.396231656377287,13.68772229030815,1.595060402328022,0.42056004125370694,9.63553513900323,1.4708043058552858,2.4271704642618395,3.9062134352030156
2007-04-30,0.0,0.0,23.80952380952381,0.0,0.0,0.0,0.0,0.0,0.0,16.71428571428571,0.0,16.809523809523814,14.285714285714286,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,7.3809523809523805,4.761904761904762,8.857142857142858,0.0,0.0,0.0,0.0,0.0,41.238095238095234,0.0,0.0,0.0,0.0,0.0,34.952380952380956,35.76190476190476,19.428571428571427,29.333333333333332,47.71428571428572,19.095238095238095,80.04761904761905,44.76190476190476,52.38095238095238,69.52380952380953,41.19047619047618,41.952380952380956,0.0,0.0,6.147592613027645,0.0,0.0,0.0,0.0,0.0,0.0,3.9928577600624915,0.0,6.197087598404374,10.909497374932407,0.0,0.0,0.0,0.0,0.0,6.672141977394979,0.0,0.0,0.0,7.3809523809523805,4.761904761904762,8.857142857142856,0.0,0.0,0.0,0.0,0.0,1.2026899291256654,0.0,0.0,0.0,0.0,0.0,5.6928348854896464,14.439771790029539,3.8273449443505037,3.2914347622627926,7.5822805301096485,7.45969811976074,2.181039715516396,0.63638362649266,7.63305391584894,1.3508901203112806,2.544477027880809,3.9235255703540006
2007-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.714285714285715,0.0,34.1904761904762,0.0,7.142857142857142,0.0,0.0,0.0,0.0,4.9523809523809526,0.0,0.0,0.0,2.3333333333333335,0.0,4.0,0.0,0.0,0.0,0.0,0.0,41.047619047619044,0.0,10.904761904761905,0.0,0.0,19.047619047619047,25.047619047619047,14.904761904761905,17.28571428571429,25.85714285714286,51.142857142857146,2.2857142857142856,88.42857142857144,44.85714285714286,51.76190476190476,75.47619047619048,64.71428571428571,34.095238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.020318132898629,0.0,8.327158292076772,0.0,4.615855548972432,0.0,0.0,0.0,0.0,2.407471363764674,0.0,0.0,0.0,2.3333333333333335,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.9877755708568412,0.0,8.276687749215597,0.0,0.0,11.4962550589195,2.884299301061906,5.561923787747411,3.0517446746064203,2.8606040117844267,8.113225107948473,1.4825770703283323,1.7498078223179456,0.5080699561677574,7.252930527105732,1.3242203798540484,3.292622172663627,3.6049559763642995
2007-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.476190476190478,0.0,28.19047619047619,8.333333333333334,11.428571428571429,0.0,0.0,0.0,0.0,60.285714285714285,0.0,0.0,0.0,0.0,15.80952380952381,3.0476190476190474,0.0,0.0,0.0,0.0,0.0,38.38095238095238,0.0,0.0,0.0,0.0,0.0,20.523809523809522,26.61904761904762,26.52380952380953,15.285714285714286,38.42857142857143,25.19047619047619,85.76190476190477,40.8095238095238,43.1904761904762,77.09523809523809,56.23809523809524,29.238095238095237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.912096613580485,0.0,7.102344160862912,5.455447255899809,5.417351256232968,0.0,0.0,0.0,0.0,13.324122165685887,0.0,0.0,0.0,0.0,5.695007162064304,3.0476190476190474,0.0,0.0,0.0,0.0,0.0,1.7190943310375613,0.0,0.0,0.0,0.0,0.0,3.4375415930770252,11.373565678992797,3.9071068998301937,3.0209481136265715,6.529839956875627,5.602645745276916,1.5377359387220357,0.6383452548959088,6.038378293062119,1.5596694640757072,3.7769065602087877,4.0042780601614645
2008-01-31,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,27.523809523809522,7.190476190476191,8.619047619047619,0.0,0.0,0.0,0.0,10.142857142857142,0.0,0.0,0.0,1.8095238095238095,13.285714285714285,3.142857142857143,0.0,4.761904761904762,0.0,17.71428571428571,0.0,35.857142857142854,0.0,16.333333333333332,0.0,0.0,0.0,50.095238095238095,12.619047619047619,30.19047619047619,21.571428571428573,49.42857142857142,13.047619047619046,77.04761904761905,47.85714285714286,46.095238095238095,66.71428571428572,55.714285714285715,44.61904761904762,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,4.646889033015671,0.0,7.9951371855685425,4.692590773044812,4.138110764031005,0.0,0.0,0.0,0.0,3.464756145444047,0.0,0.0,0.0,1.8095238095238095,4.78447034295177,3.142857142857143,0.0,4.761904761904762,0.0,11.517906803950268,0.0,0.8031805301811487,0.0,10.686054872132267,0.0,0.0,0.0,4.222862989925651,8.263817371584222,2.9028446061342357,3.1305352415869088,7.397947604036578,5.109708563659042,1.46368481665551,0.5733222207494973,6.385903309705835,0.7782904129424116,2.592868261669498,2.8686036584758496
2008-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.476190476190478,0.0,30.76190476190476,6.857142857142858,5.571428571428572,0.0,0.0,0.0,0.0,22.333333333333332,0.0,0.0,0.0,1.5238095238095237,8.095238095238095,2.8095238095238098,0.0,4.761904761904762,0.0,20.047619047619047,0.0,32.23809523809524,0.0,0.0,0.0,0.0,0.0,29.190476190476193,41.57142857142858,23.61904761904762,18.047619047619047,70.52380952380952,24.952380952380953,79.04761904761905,46.76190476190476,51.666666666666664,73.85714285714286,51.57142857142858,38.42857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1153080018456074,0.0,7.133994336804954,6.857142857142857,3.6272880286700047,0.0,0.0,0.0,0.0,5.235849473851399,0.0,0.0,0.0,1.5238095238095237,6.250814438589873,2.809523809523809,0.0,4.761904761904762,0.0,9.756310321268899,0.0,1.0706742248492518,0.0,0.0,0.0,0.0,0.0,3.839323648498889,9.83809017746788,2.4164242971686893,3.789946891287238,6.521767608893302,6.589477636210389,1.1692608181924335,0.6050576340161935,6.125250467273221,1.01084615114067,1.5932457443495267,2.947904502963834
2008-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.238095238095239,0.0,29.80952380952381,0.0,0.0,0.0,0.0,0.0,0.0,15.142857142857144,0.0,0.0,0.0,1.6190476190476188,0.0,0.0,0.0,0.0,0.0,12.19047619047619,0.0,34.42857142857143,0.0,0.0,0.0,0.0,6.3809523809523805,21.80952380952381,14.285714285714286,21.80952380952381,16.809523809523807,49.952380952380956,32.714285714285715,77.99999999999999,43.714285714285715,34.285714285714285,73.19047619047619,51.333333333333336,38.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4238294036540626,0.0,5.506526240874469,0.0,0.0,0.0,0.0,0.0,0.0,6.493871807511238,0.0,0.0,0.0,1.6190476190476188,0.0,0.0,0.0,0.0,0.0,5.921826340824624,0.0,1.0690034589041268,0.0,0.0,0.0,0.0,4.118887050728523,3.7570068282554803,8.3677673894228,2.3611855625882323,2.2889236262850767,5.3808574730052925,7.004327661257776,1.4920496454710486,0.5866771878055747,4.6763384890206625,0.9764046155950233,2.098669951146133,3.9715542271383453
2008-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.952380952380953,0.0,17.428571428571427,0.0,2.1904761904761902,0.0,0.0,0.0,0.0,25.42857142857143,0.0,0.0,0.0,1.6190476190476188,17.476190476190478,2.5714285714285716,0.0,0.0,0.0,21.047619047619047,0.0,31.476190476190478,0.0,10.190476190476192,0.0,0.0,0.0,18.71428571428571,25.28571428571429,24.38095238095238,16.142857142857142,40.714285714285715,36.42857142857142,73.57142857142857,40.19047619047619,33.952380952380956,73.80952380952381,51.42857142857144,28.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.184411679234742,0.0,5.740474396235402,0.0,2.1904761904761902,0.0,0.0,0.0,0.0,7.167645708949124,0.0,0.0,0.0,1.6190476190476188,9.809356028699,2.5714285714285716,0.0,0.0,0.0,9.869677512770927,0.0,1.3606755357560478,0.0,5.20574425443955,0.0,0.0,0.0,2.9230188809543467,9.583762528589302,2.7035328408894923,2.042004367176447,7.791411029359547,7.006376095001539,1.0541397861182868,0.4916483654825396,4.422876123306282,1.1962775787282898,2.8737446517488885,3.1408231545338694
2009-01-31,0.0,0.0,0.0,11.80952380952381,0.0,0.0,0.0,0.0,0.0,19.57142857142857,0.0,15.761904761904761,9.904761904761905,38.714285714285715,0.0,0.0,0.0,0.0,13.238095238095235,0.0,0.0,0.0,3.9523809523809526,8.476190476190476,2.0,0.0,0.0,0.0,0.0,0.0,26.90476190476191,0.0,5.714285714285714,0.0,0.0,0.0,35.61904761904762,22.57142857142857,28.428571428571427,30.90476190476191,52.42857142857142,38.0,72.76190476190476,47.42857142857142,35.666666666666664,68.52380952380952,66.19047619047619,45.42857142857142,0.0,0.0,0.0,5.729279271208387,0.0,0.0,0.0,0.0,0.0,2.8280189599577787,0.0,6.340764243398348,5.061376878207173,11.242345307578512,0.0,0.0,0.0,0.0,6.644312863239634,0.0,0.0,0.0,3.952380952380952,7.101370208367844,2.0,0.0,0.0,0.0,0.0,0.0,1.51378592589112,0.0,3.7743415077444156,0.0,0.0,0.0,4.084820382028762,9.199967807515899,2.8739513037713684,2.321037774469009,6.207130888286618,7.339931554210118,1.4526841722176982,0.6685094406210661,2.7904056363370042,0.9571644615031546,2.5163323871554595,3.1062268254542427
2009-04-30,0.0,0.0,11.238095238095239,4.714285714285714,0.0,0.0,0.0,0.0,0.0,34.23809523809524,0.0,17.333333333333332,0.0,12.666666666666666,0.0,0.0,0.0,0.0,23.857142857142858,0.0,0.0,0.0,5.0,5.0476190476190474,0.0,0.0,0.0,0.0,26.952380952380953,0.0,31.666666666666668,0.0,15.285714285714285,0.0,0.0,0.0,38.714285714285715,14.904761904761903,35.666666666666664,39.476190476190474,39.8095238095238,29.476190476190478,87.47619047619048,50.38095238095238,56.714285714285715,75.38095238095238,70.76190476190476,53.523809523809526,0.0,0.0,9.218639173495998,4.7142857142857135,0.0,0.0,0.0,0.0,0.0,4.581745305732116,0.0,3.7290721734297136,0.0,4.169681449013028,0.0,0.0,0.0,0.0,6.125255736171987,0.0,0.0,0.0,4.999999999999999,3.287324197265756,0.0,0.0,0.0,0.0,11.592231207064756,0.0,1.307648130840738,0.0,8.744420325706473,0.0,0.0,0.0,4.749863679456795,5.722047343482257,2.986824335038053,2.8226197546924254,4.174024285325802,4.842253201653556,1.4922264304453154,0.456912066180388,5.270602394650505,0.9320367508094852,2.2131432998351133,2.7622938970260926
2009-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.476190476190478,0.0,32.285714285714285,0.0,14.80952380952381,0.0,0.0,0.0,0.0,13.476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.142857142857142,0.0,27.047619047619047,0.0,0.0,0.0,0.0,0.0,25.428571428571427,23.61904761904762,34.0,25.19047619047619,17.476190476190478,36.904761904761905,86.19047619047619,46.85714285714286,26.142857142857142,78.19047619047619,48.1904761904762,35.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6909326847810107,0.0,5.867004508846686,0.0,0.8127852136185466,0.0,0.0,0.0,0.0,6.0825534301042365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.721891832410043,0.0,1.218381017483779,0.0,0.0,0.0,0.0,0.0,3.6476667101743607,8.509944375505478,2.8845444696676847,2.274519231800146,2.9005778108079965,6.54462779078112,1.2781532384517766,0.5916943070767122,3.574515841941539,1.0064246339625045,2.40653069350355,2.579914363215466
2009-10-31,0.0,0.0,5.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,27.71428571428571,0.0,24.476190476190478,5.9523809523809526,3.714285714285714,0.0,0.0,0.0,0.0,6.285714285714286,0.0,0.0,0.0,1.1904761904761905,10.857142857142856,1.9047619047619049,0.0,0.0,0.0,16.523809523809522,0.0,30.71428571428571,0.0,0.0,0.0,0.0,0.0,24.0,19.142857142857142,36.047619047619044,30.190476190476193,18.0,45.666666666666664,87.66666666666667,45.95238095238094,29.19047619047619,80.61904761904762,46.8095238095238,41.095238095238095,0.0,0.0,2.693740118805895,0.0,0.0,0.0,0.0,0.0,0.0,4.055078631258712,0.0,6.27148061554039,4.025335485988012,2.398664279347757,0.0,0.0,0.0,0.0,3.9408353427319667,0.0,0.0,0.0,1.1904761904761905,4.982585551302043,1.9047619047619044,0.0,0.0,0.0,4.450704208507356,0.0,1.4055103443379517,0.0,0.0,0.0,0.0,0.0,2.77940972693821,4.372144354719249,3.3966231666885034,3.2133431363260594,2.7839495559015863,7.718115671488264,1.634870173961515,0.38854925994176037,4.68109015723488,0.7945853175567971,2.313258487274274,3.043532731982738
