,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,19.857142857142858,12.285714285714286,29.714285714285715,28.571428571428573,0.0,0.0,0.0,0.0,0.0,61.285714285714285,0.0,15.142857142857142,17.714285714285715,27.428571428571427,19.857142857142858,0.0,0.0,17.0,15.142857142857142,0.0,0.0,0.0,12.142857142857142,1.2857142857142858,17.0,25.857142857142858,20.714285714285715,56.285714285714285,0.0,31.0,39.0,13.714285714285714,49.714285714285715,23.571428571428573,0.0,19.857142857142858,9.285714285714286,66.85714285714286,72.42857142857143,23.857142857142858,34.857142857142854,21.428571428571427,61.857142857142854,61.857142857142854,63.857142857142854,59.857142857142854,43.857142857142854,18.428571428571427,9.36159472431449,12.285714285714285,8.999244110358553,18.442777839082936,0.0,0.0,0.0,0.0,0.0,9.344502549154582,0.0,5.496442881877469,11.640885021407636,8.758280824065718,7.192683357242346,0.0,0.0,10.973995235490646,10.065094259319164,0.0,0.0,0.0,7.899453180076308,1.2857142857142856,8.050436249640375,12.406658295771155,8.29433049542559,10.199706545065018,0.0,8.417668492946419,0.6172133998483675,1.7418420150639886,8.744288709438498,8.637837975903414,0.0,9.525476044668373,1.1487941030299829,7.3530964369362355,1.8626292586293285,2.2406267344797315,5.0729374013042,5.467902631144181,2.0169351032902263,1.5950604023280213,4.04985932400345,0.594761714133181,1.8442777839082942,2.4285714285714284
2007-04-30,29.952380952380953,0.0,44.333333333333336,0.0,10.619047619047619,0.0,19.28571428571429,16.619047619047617,0.0,14.333333333333334,0.0,19.952380952380953,25.9047619047619,10.619047619047619,0.0,0.0,0.0,10.333333333333334,32.61904761904762,0.0,0.0,0.0,7.0,0.6190476190476191,31.38095238095238,13.857142857142856,22.0,14.333333333333334,46.714285714285715,26.09523809523809,38.857142857142854,27.571428571428573,19.476190476190478,5.428571428571428,6.0476190476190474,6.809523809523809,17.19047619047619,31.90476190476191,74.66666666666667,20.238095238095237,43.9047619047619,23.80952380952381,60.38095238095238,68.3809523809524,54.61904761904761,56.476190476190474,36.85714285714286,28.76190476190476,8.303695354372126,0.0,8.443386585411192,0.0,3.7743415077444156,0.0,10.699630576000793,6.112018073287537,0.0,5.569493151933288,0.0,4.757268617234126,10.654765158790271,4.2927238921097475,0.0,0.0,0.0,6.219837094523377,10.182754218938912,0.0,0.0,0.0,5.530067972778228,0.619047619047619,9.80096936439878,7.495159797365228,5.533315748960244,5.289002266358464,13.9252589371131,11.673334273069004,0.6865645899864531,5.347438559134676,7.088687877288094,2.644465405126632,3.91742044177179,3.211962711421414,2.5084819598560237,6.037924407127865,3.535291108048908,1.2322496537061556,5.557284463910794,3.5167190553539016,1.20469648999091,1.9677357247815583,3.31869169525805,0.8368898730819128,1.0875707342399745,3.3951108092258537
2007-07-31,25.61904761904762,8.095238095238095,57.38095238095239,0.0,23.9047619047619,0.0,0.0,0.0,14.285714285714285,37.38095238095238,0.0,16.80952380952381,2.4285714285714284,15.857142857142856,13.142857142857144,30.90476190476191,4.523809523809524,13.095238095238095,36.285714285714285,0.0,7.3809523809523805,8.761904761904761,11.57142857142857,2.0952380952380953,14.238095238095239,15.714285714285714,8.19047619047619,8.714285714285714,4.761904761904762,29.428571428571427,39.714285714285715,31.80952380952381,23.952380952380953,32.095238095238095,19.095238095238095,17.761904761904763,18.952380952380953,36.238095238095234,84.66666666666667,19.09523809523809,38.85714285714286,25.666666666666668,56.285714285714285,49.904761904761905,60.76190476190476,58.38095238095238,31.09523809523809,26.952380952380953,10.152067563618905,8.095238095238095,9.03355444608991,0.0,9.891699050402602,0.0,0.0,0.0,6.734350297014738,5.785480962255917,0.0,6.795580063885024,2.4285714285714284,6.72556074068373,6.974610892944291,8.932414071061823,4.523809523809524,5.847958000917569,10.460662590891246,0.0,7.3809523809523805,5.667466930286906,5.521513261980246,1.04581374031931,5.2831658126225935,6.980080071211699,3.8706520100644606,4.161697717417311,3.1427368904363355,7.919557666574366,0.8425430537136483,6.791738122667674,10.472557978475681,8.066542144936953,7.970253433228358,4.20928319358288,2.20548342157085,3.5833060160865244,1.9491431633696241,1.2390754035505205,3.4440602177009114,4.1621497439981034,0.8700244867332237,1.6682711111622577,3.604340641747495,0.8581979631947712,1.1106538565407755,3.443911825306969
2007-10-31,22.142857142857142,7.19047619047619,30.238095238095237,11.19047619047619,7.142857142857143,0.0,13.04761904761905,2.4761904761904763,0.0,37.76190476190476,0.0,30.190476190476193,24.523809523809522,24.57142857142857,39.047619047619044,0.0,16.428571428571427,4.666666666666667,33.714285714285715,12.80952380952381,0.0,25.142857142857142,28.476190476190478,1.4285714285714286,19.904761904761905,27.952380952380953,23.523809523809522,13.380952380952381,1.9047619047619049,15.666666666666666,37.142857142857146,30.0,30.238095238095237,9.857142857142858,17.61904761904762,5.428571428571428,20.28571428571429,44.23809523809524,76.90476190476191,21.90476190476191,39.952380952380956,19.476190476190478,59.047619047619044,46.57142857142856,58.0,61.333333333333336,32.857142857142854,32.047619047619044,6.235043284660727,7.19047619047619,6.40306784110066,5.279418530019869,5.638818127397435,0.0,6.246873745711543,2.476190476190476,0.0,7.856649229550581,0.0,7.827865299106047,9.186777643667995,7.543945222524364,11.07360257948158,0.0,5.888161509007734,3.020214085407377,9.588690577091862,6.0543644421347755,0.0,4.342394155214856,8.529141549405354,0.6889693464828794,5.058541630456312,10.653640875281821,8.097932297199902,6.888552581083348,1.9047619047619044,7.288792817762705,0.44135266344590107,4.779947812723383,11.195188638999893,4.542437822502772,8.129885863508454,2.5683402971736764,1.920499436628943,3.8846849654854965,2.728359303803065,1.2308073778602395,5.207824903722119,3.3813642281402885,0.9226362251143517,1.458090561906376,4.28726206397579,0.6834545093299629,1.1985733466014883,3.9816330245324836
2008-01-31,10.666666666666666,0.0,35.476190476190474,0.0,4.095238095238096,0.0,0.0,7.142857142857142,0.0,12.428571428571429,0.0,22.857142857142858,10.523809523809524,22.142857142857142,13.238095238095239,0.0,22.476190476190478,13.42857142857143,31.142857142857142,3.8095238095238098,3.857142857142857,7.142857142857142,21.19047619047619,4.0476190476190474,27.047619047619047,39.33333333333333,16.857142857142858,22.857142857142858,13.666666666666666,15.04761904761905,34.952380952380956,20.9047619047619,32.952380952380956,26.09523809523809,0.0,3.285714285714286,15.761904761904765,49.38095238095238,63.42857142857142,19.333333333333332,64.90476190476191,16.952380952380953,59.095238095238095,53.71428571428572,60.1904761904762,54.714285714285715,39.95238095238095,27.047619047619047,6.557559652013999,0.0,6.717081171337618,0.0,2.6792503548748012,0.0,0.0,3.526811248316916,0.0,4.220024878879054,0.0,5.8943698847847505,5.660373137602363,5.796512792252336,4.318937493222331,0.0,10.684770124177751,6.794352152949504,9.083399685933419,3.809523809523809,3.8571428571428563,4.619865743289151,7.371367203780371,0.8797433167637619,5.971699005481352,10.780974927642461,5.245626410254237,7.923445448203317,4.474501538849219,6.945731709405476,0.6430019365310303,4.448166015646371,9.913484075685432,6.185636961512645,0.0,2.12123126298163,1.9264489891411287,4.598465433891203,2.7448074506279156,1.0918296804104297,6.082515049770429,3.3528138743463063,1.0581945007705575,1.8339260112218856,4.384612657703285,0.8538349089975138,0.7693642947144932,3.3650099314548427
2008-04-30,34.952380952380956,0.0,31.952380952380953,11.761904761904761,12.666666666666666,0.0,14.666666666666666,17.857142857142858,4.0,39.714285714285715,5.0476190476190474,39.85714285714286,0.0,18.476190476190478,29.333333333333332,22.952380952380953,0.0,12.80952380952381,34.61904761904761,19.333333333333332,9.761904761904761,18.047619047619047,15.333333333333334,5.6190476190476195,24.71428571428571,8.095238095238095,7.238095238095238,22.857142857142858,3.0952380952380953,4.238095238095238,37.904761904761905,26.428571428571427,16.333333333333332,26.333333333333332,9.238095238095239,1.5714285714285714,18.333333333333332,38.523809523809526,75.38095238095238,18.000000000000004,66.71428571428571,31.38095238095238,60.80952380952382,72.19047619047619,62.47619047619048,60.52380952380952,38.8095238095238,21.28571428571429,9.20844614119076,0.0,6.211032689068129,5.5524027334920865,7.231046674630189,0.0,4.0276819911981905,9.529095452369477,4.0,5.519684899057311,3.2711894277324944,7.616831812236749,0.0,5.681066328026399,9.18628737996926,2.596730312226683,0.0,5.172841765869841,8.443424802861793,10.505955834417728,9.761904761904761,9.72224853324069,6.325141205665143,1.814567360838894,8.260482334691503,5.244300603092452,3.920052019914055,8.122423172892132,1.998298596034027,2.0141224745292,0.44990585084938295,4.362944586961839,7.2412206964938575,9.295418973535414,4.9171518650634285,1.5714285714285714,2.154833212729686,4.608713619205836,2.7315324867887205,1.3240395763782355,4.8683287396984865,4.050721979314808,0.9438410391807702,1.899798163402292,3.17072013811676,0.801154054540106,1.208579280390284,2.8136255487652577
2008-07-31,21.666666666666668,0.0,43.57142857142858,0.0,0.0,0.0,16.476190476190478,6.6190476190476195,0.0,32.857142857142854,0.0,7.0,0.0,1.0,20.333333333333332,3.428571428571429,4.142857142857143,12.0,33.19047619047619,19.666666666666668,1.9523809523809523,18.761904761904763,20.142857142857142,1.857142857142857,25.476190476190478,3.9523809523809526,36.23809523809524,13.428571428571429,19.952380952380953,12.95238095238095,42.23809523809524,43.19047619047618,4.761904761904762,24.952380952380953,0.0,28.142857142857142,15.19047619047619,40.095238095238095,81.80952380952381,15.666666666666666,64.52380952380952,23.76190476190476,57.80952380952382,48.666666666666664,52.0,59.80952380952382,34.523809523809526,23.19047619047619,6.52624343463719,0.0,8.421914434287965,0.0,0.0,0.0,3.0297092801117835,4.919379403286799,0.0,5.6595304781599,0.0,1.5447470298542043,0.0,1.0,8.877232247677581,3.4285714285714284,4.142857142857143,7.108825076808148,7.286616536582852,5.218505938753373,1.9523809523809523,4.884222675241724,8.253812219534156,1.2042002727354526,8.629524391312884,2.5535829910568135,5.7640531906176475,9.810274442588295,6.7204864146646885,5.246859618945515,0.5818070785950603,5.679113474329437,4.761904761904762,8.613256560690832,0.0,6.821748634892792,2.1282347025924193,3.6942749871383014,2.549771369884932,1.078972529743308,5.202228669579406,3.3787460746925775,1.3357986120059364,0.8607285224556077,3.9669057700178283,0.78654638550071,1.0593166360668953,2.6956417764051452
2008-10-31,18.476190476190478,3.4761904761904763,30.09523809523809,0.0,17.285714285714285,0.0,22.047619047619047,13.0,13.19047619047619,36.666666666666664,12.19047619047619,18.714285714285715,3.619047619047619,19.28571428571429,7.523809523809523,20.285714285714285,5.666666666666667,16.904761904761905,14.761904761904761,0.0,5.666666666666667,0.0,14.904761904761905,2.6666666666666665,12.857142857142856,5.714285714285714,22.0952380952381,6.6190476190476195,12.857142857142856,18.952380952380953,35.42857142857142,22.142857142857142,11.0,15.619047619047619,21.857142857142858,9.523809523809524,17.714285714285715,34.857142857142854,74.42857142857143,20.238095238095237,56.38095238095238,30.476190476190478,58.80952380952382,44.42857142857142,66.0,62.714285714285715,37.047619047619044,46.61904761904762,5.4977798671308795,3.4761904761904763,6.52726892960828,0.0,3.593371743049841,0.0,8.467903747567279,7.275564971976178,4.840775410609721,5.8959984157174175,4.811173691548605,6.180227029892694,2.3372173698681955,6.385034758154869,4.921237690114925,10.970013062977179,3.827635516973064,7.3943910909838095,4.626497376636974,0.0,5.666666666666667,0.0,5.5750590605613874,1.5216148808668155,4.039514872986,2.7064772115145304,6.523073331193728,3.17848968446104,5.394970851099123,8.418655776810148,0.5198752643717549,3.610731222457982,4.964059113176378,6.316020736208898,7.586132147714925,4.350383853630504,2.020240313524284,3.0989745085425606,3.0758235573826354,1.3407447363512601,3.520215305197764,4.413956019170262,1.0702856890386272,1.5345424977278908,4.599492679205948,0.6136350418040917,1.2648725473413107,4.888355530020065
2009-01-31,27.42857142857143,0.0,25.190476190476193,0.0,29.142857142857142,0.0,18.333333333333332,4.857142857142857,13.428571428571429,18.71428571428571,19.095238095238095,11.04761904761905,8.523809523809524,24.57142857142857,18.238095238095237,9.857142857142858,16.428571428571427,28.523809523809522,18.523809523809522,6.142857142857142,1.8095238095238095,0.0,20.28571428571429,2.3333333333333335,14.714285714285715,19.666666666666668,2.6666666666666665,9.904761904761905,11.523809523809524,14.142857142857144,32.333333333333336,23.047619047619047,19.19047619047619,41.095238095238095,10.61904761904762,45.47619047619048,16.142857142857142,42.61904761904762,58.19047619047618,29.666666666666668,63.047619047619044,32.476190476190474,57.57142857142858,48.142857142857146,71.38095238095238,57.57142857142858,37.952380952380956,33.61904761904762,7.9240843384719115,0.0,4.723029208358625,0.0,8.112977323052727,0.0,9.430909351518979,3.296508609093286,8.803838134154534,4.144123872794498,4.34535224898977,4.488359248399447,2.2652856937650085,9.582904939014506,7.554008768964459,3.5870557578362443,9.143726899781718,9.13735727378491,7.104600266226627,4.038084007172164,1.8095238095238095,0.0,5.752926900240883,0.6862211530545169,3.3418308463763857,7.221409322406505,1.257780021311589,5.033297439352247,4.878169219011766,4.233565565007841,0.5307780877560146,2.77198176395104,7.252159072041447,7.790776757056811,5.815704711156847,11.280294031562129,1.3678711724760577,4.203060150291199,2.615662363812833,1.178753764283318,6.423021101468467,3.310959678707316,0.9329396107009287,1.5332055401624505,3.965279108458747,0.7130140775231327,0.678859782110805,3.87559347007605
