,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.42857142857143,0.0,0.0,0.0,0.0,0.0,42.857142857142854,38.142857142857146,0.0,13.285714285714286,0.0,0.0,26.285714285714285,64.28571428571429,23.0,63.57142857142857,32.42857142857143,30.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.203050891044214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3654911398256417,0.0,0.0,0.0,0.0,0.0,20.203050891044214,18.273619511963883,0.0,8.822898470172145,0.0,0.0,8.686920342331545,2.306453531107111,11.090536506409418,5.172533425780477,9.88952582727986,7.183692795273942
2007-04-30,0.0,0.0,19.047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.714285714285715,0.0,0.0,0.0,0.0,0.0,13.666666666666666,0.0,14.714285714285715,34.61904761904762,0.0,0.0,26.047619047619047,51.285714285714285,18.428571428571427,57.42857142857142,29.238095238095237,39.333333333333336,0.0,0.0,6.734350297014738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.425195259466229,0.0,0.0,0.0,0.0,0.0,6.4656192900783145,0.0,4.202184221304535,15.18191443885439,0.0,0.0,4.929925993804192,7.147917927896638,5.057193674452477,4.026206534077466,7.924221071272096,7.2802336643215995
2007-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.952380952380956,0.0,0.0,0.0,0.0,0.0,0.0,25.0952380952381,47.857142857142854,4.428571428571429,8.666666666666666,0.0,56.1904761904762,32.42857142857142,17.666666666666668,63.095238095238095,20.095238095238095,21.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.155313980478986,0.0,0.0,0.0,0.0,0.0,0.0,10.195435563657751,11.085672364191678,3.1595276970347252,7.179061394819286,0.0,8.01844393671258,5.060949156165862,8.133356053236259,5.7684297218178635,5.456296906800611,6.908703404424585
2007-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.095238095238095,0.0,0.0,0.0,0.0,0.0,17.28571428571429,16.428571428571427,11.714285714285715,18.095238095238095,45.952380952380956,0.0,48.857142857142854,44.14285714285714,21.761904761904763,69.95238095238096,36.952380952380956,35.1904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.147592613027645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.706223961691271,0.0,0.0,0.0,0.0,0.0,8.676958171121063,7.667050620823988,5.501087988714179,7.146408271942179,13.49405007457178,0.0,6.2497256636363,6.334937653295513,6.698189397467531,5.07131787331739,8.586573850178228,5.7383061014069225
2008-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7619047619047623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.23809523809524,0.0,0.0,0.0,0.0,0.0,5.285714285714286,39.333333333333336,31.61904761904762,3.571428571428571,33.523809523809526,13.904761904761905,53.285714285714285,35.80952380952381,10.761904761904761,52.57142857142858,27.857142857142858,36.61904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7619047619047623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.529917652278146,0.0,0.0,0.0,0.0,0.0,3.4213990234113076,14.884168063496611,5.093963048056788,1.7224233662071988,11.562454718816943,6.556919801165145,4.991949344803615,4.030519553770749,6.325644752785203,4.719853831271407,5.701640879214588,5.641804733070425
2008-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.952380952380956,0.0,0.0,0.0,0.0,0.0,5.476190476190475,27.523809523809522,21.09523809523809,20.71428571428571,14.142857142857144,5.238095238095238,40.8095238095238,59.23809523809524,24.333333333333332,49.61904761904761,25.42857142857143,41.57142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.479846950431296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3016359058347913,0.0,0.0,0.0,0.0,0.0,3.5440218259694514,6.787563501572799,7.589570347830462,7.794406857600162,5.761444832487611,3.409226731759153,4.6437677979997085,6.628131251848411,9.633316515962841,2.584897495663021,6.629293774297391,8.027938777680388
2008-07-31,0.0,0.0,19.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.952380952380956,0.0,0.0,0.0,0.0,0.0,12.761904761904761,15.952380952380954,34.38095238095238,23.047619047619047,16.666666666666668,0.0,48.333333333333336,41.666666666666664,26.61904761904762,56.14285714285714,14.904761904761905,30.333333333333332,0.0,0.0,5.635233615274085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5055115653653734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.928375816441845,0.0,0.0,0.0,0.0,0.0,7.058663328251193,6.59525434270861,8.089305754119591,7.084585656655869,6.726356074294308,0.0,5.456836763105088,6.056601781250149,5.569787609826789,3.1118164284630203,5.616717137200708,5.688738821011075
2008-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.857142857142854,0.0,0.0,0.0,0.0,0.0,6.9523809523809526,20.714285714285715,44.952380952380956,9.952380952380953,15.952380952380954,16.428571428571427,65.38095238095238,56.57142857142858,8.095238095238095,64.85714285714285,24.23809523809524,31.0952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.901496793110453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.078112641690894,0.0,0.0,0.0,0.0,0.0,3.399679856876482,5.956587367407039,10.308345490295464,3.6575851253740517,6.342104511631369,4.806694122785709,4.908901953849575,6.419446056255736,3.9510530576418574,3.0681209959529814,5.943369317165807,5.536423059383618
2009-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6190476190476195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,11.428571428571429,35.285714285714285,27.142857142857142,32.142857142857146,18.80952380952381,57.38095238095238,52.61904761904761,39.47619047619048,58.61904761904761,14.714285714285714,53.7142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.649177342038309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4692323241014367,0.0,0.0,0.0,0.0,0.0,0.0,5.883299485724609,7.805445608160176,6.596631468506135,10.536990302445986,9.168076761383148,2.980813739132443,4.1982662638073664,8.988461720806471,3.0474476271718864,4.421072037172762,7.351525781268779
2009-04-30,0.0,0.0,11.142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,3.9523809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.761904761904766,0.0,0.0,0.0,0.0,0.0,4.9523809523809526,10.95238095238095,37.80952380952381,37.61904761904762,33.476190476190474,1.6666666666666667,53.904761904761905,60.285714285714285,22.0,58.1904761904762,17.238095238095237,52.095238095238095,0.0,0.0,4.250027788802486,0.0,0.0,0.0,0.0,0.0,0.0,2.55151015707025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.804789732753181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6999000377199867,0.0,0.0,0.0,0.0,0.0,3.2784599005825723,4.504214483925936,6.46255668751174,11.19696976218016,9.176208926000287,1.6666666666666667,3.9869771735081834,5.012885544039,7.317148123042766,3.4232228768351347,3.831067728927794,7.427769177941287
2009-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.80952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.42857142857143,0.0,0.0,0.0,0.0,0.0,10.523809523809524,23.523809523809522,27.0,11.38095238095238,9.428571428571429,19.71428571428571,59.142857142857146,33.42857142857142,61.76190476190476,65.66666666666667,28.476190476190478,34.238095238095234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.215014606540256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.607334934402861,0.0,0.0,0.0,0.0,0.0,2.8626930219407876,7.647308751059725,7.243874217337144,4.880600023491998,4.333126425721944,7.416829844428307,3.5586854347536447,3.8988693215103862,8.862620352377233,4.2715539352731104,4.926275552326451,6.346911422839121
2009-10-31,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.61904761904762,0.0,0.0,0.0,0.0,0.0,20.571428571428573,21.095238095238095,38.523809523809526,28.952380952380953,15.952380952380954,0.0,55.42857142857142,34.714285714285715,40.80952380952381,75.09523809523809,22.9047619047619,43.38095238095238,0.0,0.0,3.3483787437564785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.134638810735237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.233557988070146,0.0,0.0,0.0,0.0,0.0,10.042817148000202,8.041607594548895,9.099951533496357,6.266422029638939,7.732355475994701,0.0,4.544871155010765,4.1957049587131126,7.986019731603328,3.564903658728735,5.298731384547566,6.273605018838476
2010-01-31,0.0,0.0,3.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,6.238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.952380952380956,0.0,0.0,0.0,0.0,0.0,16.523809523809522,10.714285714285714,26.71428571428571,16.523809523809522,9.142857142857144,7.0476190476190474,61.333333333333336,47.23809523809524,54.8095238095238,64.52380952380952,35.61904761904762,40.61904761904762,0.0,0.0,3.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,4.632936083069896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.971750612792872,0.0,0.0,0.0,0.0,0.0,5.125358942903753,5.244453727585114,6.385404279187415,5.467100532104992,4.4739109257806975,3.351086510552864,4.914806773445634,4.810346150158058,7.648554376020264,4.562474156505461,4.568689320905772,5.411656405393511
2010-04-30,0.0,0.0,5.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,25.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.47619047619048,0.0,0.0,0.0,0.0,0.0,7.428571428571428,21.142857142857142,41.38095238095238,28.9047619047619,9.523809523809524,11.0,55.80952380952382,61.047619047619044,34.76190476190476,62.38095238095238,24.047619047619047,56.28571428571428,0.0,0.0,2.939295116573517,0.0,0.0,0.0,0.0,0.0,0.0,14.204658437265058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7492720736596428,0.0,0.0,0.0,0.0,0.0,3.709500376884646,6.460561993887674,8.508528270433489,9.482151807357221,3.410232577499027,4.859501570083026,2.944095806506688,5.649052212781656,5.400273534450826,3.214016332880783,4.24951630519672,5.9442501825846605
