,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.142857142857146,0.0,0.0,0.0,0.0,34.57142857142857,32.57142857142857,32.42857142857143,52.142857142857146,65.42857142857143,50.714285714285715,69.42857142857143,77.42857142857143,78.28571428571429,54.42857142857143,76.85714285714286,40.42857142857143,66.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1661524890696136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8313223355266106,0.0,0.0,0.0,0.0,17.503546773721716,3.5312020269452216,7.227122007895452,4.842414644765227,7.882642603960216,4.699109772399579,10.783269984778542,1.1308897225750398,1.873553864086286,7.630943094861,1.1428571428571428,2.5247078365355358,11.257650459911739
2007-04-30,0.0,0.0,7.6190476190476195,0.0,0.0,0.0,0.0,0.0,0.0,21.238095238095237,0.0,19.523809523809522,21.61904761904762,9.523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.857142857142854,0.0,0.0,0.0,0.0,0.0,27.761904761904763,76.0,62.714285714285715,60.1904761904762,53.904761904761905,36.095238095238095,71.42857142857143,67.76190476190476,56.23809523809524,72.80952380952381,36.80952380952381,35.142857142857146,0.0,0.0,5.128728387747147,0.0,0.0,0.0,0.0,0.0,0.0,9.006886617234938,0.0,10.951101241704928,9.30577886844331,6.147592613027645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8571428571428563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6767208337756236,0.0,0.0,0.0,0.0,0.0,4.447846140952574,5.55743321246414,3.728108028238669,6.799864147740036,6.912701761433024,5.140151140734523,0.8933673417878379,3.218983308950024,6.06935387942188,1.1821884973013401,2.441734429795332,5.424195858839678
2007-07-31,0.0,0.0,12.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,22.09523809523809,0.0,0.0,0.0,10.95238095238095,13.142857142857144,0.0,0.0,0.0,16.047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.76190476190476,0.0,0.0,0.0,0.0,14.285714285714285,19.57142857142857,27.61904761904762,73.95238095238095,49.952380952380956,36.714285714285715,30.857142857142858,67.38095238095237,42.0,46.0,72.33333333333333,35.047619047619044,53.76190476190476,0.0,0.0,6.139472427914445,0.0,0.0,0.0,0.0,0.0,0.0,9.032306949046488,0.0,0.0,0.0,5.344942014637176,6.258478753771835,0.0,0.0,0.0,5.905977857391867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.120319436330783,0.0,0.0,0.0,0.0,6.734350297014738,4.858926383136499,5.20978721464494,3.7681240207965416,5.144682563835992,5.99520101172531,6.153373171548548,1.220702512669815,1.994174429074863,4.510825683262748,1.2173900883634403,1.901594356368472,8.683883802979732
2007-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,25.90476190476191,0.0,15.523809523809524,21.38095238095238,0.0,0.0,0.0,21.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.04761904761906,0.0,0.0,0.0,0.0,2.142857142857143,26.857142857142858,29.85714285714286,70.57142857142857,30.23809523809524,30.52380952380953,37.19047619047619,73.09523809523809,49.285714285714285,45.333333333333336,74.04761904761904,35.523809523809526,29.23809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.697538179460025,0.0,9.162999324931851,0.0,5.680122745738118,14.853758142200157,0.0,0.0,0.0,8.608054568066878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.536977193272888,0.0,0.0,0.0,0.0,2.142857142857143,5.647592542779638,4.7122900919013,3.5803514924632958,4.694224204728308,3.8476719494591802,5.3279522169529,1.7058781118619304,1.7470521036197226,3.9729693671917303,0.7905040383438243,2.2488824580577926,7.978018186971781
2008-01-31,0.0,0.0,30.23809523809524,0.0,0.0,0.0,0.0,0.0,0.0,10.047619047619047,0.0,32.666666666666664,14.333333333333334,24.0,37.047619047619044,0.0,0.0,0.0,19.19047619047619,0.0,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,57.1904761904762,0.0,0.0,0.0,0.0,0.0,31.14285714285714,39.42857142857142,65.95238095238095,51.85714285714286,71.42857142857143,37.19047619047619,68.66666666666667,67.23809523809524,60.095238095238095,68.76190476190476,48.61904761904762,42.42857142857142,0.0,0.0,9.625220429998981,0.0,0.0,0.0,0.0,0.0,0.0,5.724502247163623,0.0,7.497761885485606,11.732094104080211,8.249708453504104,15.15541405857666,0.0,0.0,0.0,7.745714687087265,0.0,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,2.3008563693655764,0.0,0.0,0.0,0.0,0.0,4.994516680414791,5.301584402205307,4.451808799679199,7.240862798072684,6.421972713313015,4.775576591214188,1.037205559017001,1.73589544087224,4.959376206226526,1.534428309938402,1.9792472902490301,10.808929352305379
2008-04-30,0.0,0.0,10.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,33.904761904761905,0.0,40.1904761904762,12.761904761904761,32.285714285714285,14.95238095238095,0.0,0.0,0.0,9.761904761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.42857142857142,0.0,0.0,0.0,0.0,10.904761904761905,31.57142857142857,38.42857142857142,76.80952380952381,53.95238095238094,67.85714285714285,35.476190476190474,73.76190476190476,68.52380952380952,63.904761904761905,76.47619047619048,46.38095238095238,51.76190476190476,0.0,0.0,8.766154205363819,0.0,0.0,0.0,0.0,0.0,0.0,5.623410520484188,0.0,13.80431850146993,5.11079068304462,11.98508500316531,5.3236164317426615,0.0,0.0,0.0,5.840479692667354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1002659596188358,0.0,0.0,0.0,0.0,5.26077341856226,4.387029803081876,4.57481226961882,2.3232113765642635,4.478381245628097,5.075346212285336,4.102267558332007,1.0698995835165164,1.5177029695674993,5.246627580907947,1.425455820411113,1.6472784439857147,7.143826601037375
2008-07-31,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,22.19047619047619,0.0,9.619047619047619,21.0,9.809523809523808,6.0476190476190474,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.47619047619047,0.0,0.0,0.0,0.0,6.428571428571428,21.333333333333332,36.61904761904762,73.09523809523809,36.19047619047619,52.952380952380956,22.23809523809524,67.33333333333333,50.1904761904762,61.8095238095238,70.23809523809523,38.57142857142858,40.8095238095238,0.0,0.0,6.864745829139474,0.0,0.0,0.0,0.0,0.0,0.0,8.160012582357316,0.0,4.021390274893537,10.021889258458472,3.5958950309093027,4.008211526003612,0.0,0.0,0.0,3.3166247903554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.366476821737701,0.0,0.0,0.0,0.0,4.775773455025519,4.113566637737442,4.97634350283987,3.015918365805265,5.06138550648799,4.896698688853081,5.086436025808947,0.8776899132144337,2.1780806581403263,4.745717823200828,1.3344630090020686,1.5539003446792072,5.738335117628933
2008-10-31,0.0,0.0,22.61904761904762,0.0,0.0,0.0,0.0,0.0,0.0,26.61904761904762,0.0,7.3809523809523805,4.142857142857143,18.095238095238095,9.380952380952381,0.0,0.0,0.0,35.476190476190474,0.0,0.0,0.0,4.761904761904762,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,2.714285714285714,25.142857142857142,37.19047619047618,68.85714285714285,34.76190476190476,35.19047619047619,36.80952380952382,70.47619047619047,46.23809523809524,41.333333333333336,72.61904761904762,38.857142857142854,57.666666666666664,0.0,0.0,8.816601275851424,0.0,0.0,0.0,0.0,0.0,0.0,6.317658033086706,0.0,4.109885212823472,2.874681618310373,9.49090506101525,4.545728020358434,0.0,0.0,0.0,11.863517168494576,0.0,0.0,0.0,4.761904761904762,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,2.04096819203895,0.0,0.0,0.0,0.0,2.714285714285714,2.372705595205773,5.020860445563974,4.144765935267429,5.182379543022468,4.018388218199795,6.362673578407829,0.8160138811071569,1.581800550912666,3.4023008883855668,1.3026634439184177,1.2958184325532287,7.480592810838651
2009-01-31,0.0,0.0,14.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,11.999999999999998,0.0,26.142857142857142,0.0,8.428571428571429,21.38095238095238,0.0,0.0,0.0,10.095238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.23809523809524,0.0,0.0,0.0,0.0,3.0,27.047619047619047,25.0,54.285714285714285,57.80952380952382,51.14285714285714,41.666666666666664,73.04761904761905,66.57142857142857,73.47619047619048,74.61904761904762,36.047619047619044,46.047619047619044,0.0,0.0,5.692617648464542,0.0,0.0,0.0,0.0,0.0,0.0,4.243343284383965,0.0,6.521009727424794,0.0,3.090961636733482,8.441602698326603,0.0,0.0,0.0,5.641038519555928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1652965656659653,0.0,0.0,0.0,0.0,3.0,2.6539525483031294,3.707483244381198,2.567000470216655,5.055690752543575,6.260425845383732,4.281985087911283,1.2744572229158895,2.0617779630449573,5.795580773435617,1.0126911410143575,1.2658548595124348,6.92301993369504
2009-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.428571428571427,0.0,13.333333333333334,26.14285714285714,0.0,3.9523809523809526,0.0,0.0,0.0,18.904761904761905,0.0,0.0,0.0,1.8095238095238095,4.095238095238096,0.0,0.0,0.0,0.0,0.0,0.0,59.42857142857142,0.0,0.0,0.0,0.0,3.7619047619047623,24.23809523809524,45.0,63.0952380952381,77.47619047619047,60.38095238095238,59.42857142857142,88.6190476190476,68.61904761904762,69.0,88.76190476190476,37.1904761904762,37.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1375913300726195,0.0,7.053180384057785,13.375374210234762,0.0,2.572163328300277,0.0,0.0,0.0,8.006040526492894,0.0,0.0,0.0,1.8095238095238095,4.095238095238095,0.0,0.0,0.0,0.0,0.0,0.0,2.1909547484593173,0.0,0.0,0.0,0.0,3.7619047619047623,3.187260764280822,4.699216659895132,3.4211515655609595,4.8189599270933625,6.352702267394513,6.388506223909395,1.5205347372120877,1.8878568839556626,4.73014327923296,1.0746916486660016,1.780672805044805,6.089786064726809
2009-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.57142857142858,0.0,8.571428571428571,4.857142857142857,15.428571428571429,0.0,0.0,0.0,0.0,12.80952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,3.6666666666666665,19.333333333333332,28.476190476190478,62.857142857142854,36.285714285714285,44.285714285714285,38.142857142857146,78.95238095238096,50.666666666666664,48.0,81.76190476190476,32.285714285714285,42.476190476190474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.62029907005409,0.0,4.46257271021925,3.1361159063529715,7.969858335400279,0.0,0.0,0.0,0.0,7.452173941846276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8347663964757193,0.0,0.0,0.0,0.0,2.53546276418555,2.599528157284473,3.847259291293882,3.294215438587336,4.665970290359677,4.428925707698823,3.609434862050541,1.324497174555977,1.5356055178926054,3.9848696843152354,0.8530596519240339,1.247056787408745,6.818181808964913
2009-10-31,0.0,0.0,3.619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,41.42857142857143,0.0,8.761904761904761,27.23809523809524,17.0952380952381,13.571428571428571,0.0,0.0,0.0,24.90476190476191,0.0,0.0,0.0,3.5238095238095237,3.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,60.76190476190476,0.0,0.0,0.0,0.0,6.285714285714286,24.19047619047619,24.0952380952381,68.80952380952381,40.80952380952381,37.476190476190474,60.857142857142854,83.04761904761905,50.666666666666664,34.61904761904762,82.57142857142857,36.1904761904762,40.0,0.0,0.0,3.6190476190476186,0.0,0.0,0.0,0.0,0.0,0.0,11.69785782439241,0.0,2.518412918509972,6.231140212191504,7.955450048639842,5.301349676263835,0.0,0.0,0.0,11.180400100899915,0.0,0.0,0.0,3.5238095238095237,3.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.8945114297703125,0.0,0.0,0.0,0.0,6.285714285714286,3.095240353992898,3.2668555939912083,3.890311251826269,4.440404735307681,3.648039208810927,5.905453409621153,0.7189616791820876,0.9068728613034104,3.7859140173060317,1.150304821202348,2.0631520034839914,6.692301426071175
2010-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.095238095238095,0.0,9.285714285714286,7.476190476190475,8.523809523809524,6.428571428571428,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.19047619047618,0.0,0.0,0.0,0.0,0.0,18.38095238095238,33.857142857142854,63.14285714285714,64.3809523809524,49.61904761904762,54.42857142857142,77.3809523809524,72.33333333333333,57.523809523809526,77.57142857142857,40.23809523809524,55.76190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.604377586794918,0.0,5.598195503111626,5.712654542277086,2.671480915085755,3.0548030407107922,0.0,0.0,0.0,2.3648662948658625,0.0,0.0,0.0,1.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.373570056658873,0.0,0.0,0.0,0.0,0.0,2.334287085545748,5.088559132269525,3.5472635264100627,4.6403486664789755,4.745489265643154,4.808684367693323,0.9202661173623712,1.2611769411073688,3.3748844556013533,1.0260737058930172,2.0062463133945045,6.490655551017967
