,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.85714285714286,0.0,0.0,0.0,0.0,0.0,36.0,0.0,33.857142857142854,0.0,40.42857142857143,0.0,56.42857142857143,37.57142857142857,20.0,40.142857142857146,59.285714285714285,15.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36280410942336,0.0,0.0,0.0,0.0,0.0,8.896227129680149,0.0,13.07019249945421,0.0,8.526868299275959,0.0,3.9088248316630723,7.009711436412251,7.371114795831994,5.675463360267731,4.3299306368264014,5.391477275374936
2007-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.61904761904762,0.0,0.0,0.0,0.0,0.0,16.142857142857142,0.0,19.571428571428573,20.333333333333332,43.952380952380956,20.476190476190478,49.904761904761905,54.0,54.142857142857146,35.42857142857142,39.904761904761905,33.76190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.692312062997387,0.0,0.0,0.0,0.0,0.0,5.070830840836295,0.0,8.118937293315758,8.739608014419234,9.075706806638827,4.496828478419374,4.534321524517055,9.873933284466274,10.845128443742928,5.03585937647883,5.609450472786506,8.2446145403053
2007-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.047619047619044,0.0,0.0,0.0,0.0,0.0,12.857142857142856,0.0,28.952380952380953,36.76190476190476,22.952380952380953,10.761904761904761,64.09523809523809,47.19047619047618,15.761904761904761,35.57142857142858,26.61904761904762,25.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.543226521301759,0.0,0.0,0.0,0.0,0.0,5.671994807176989,0.0,11.03615487480503,9.001963312772643,7.540716295772275,2.8272243064375995,5.206653577849621,8.36045439860798,7.6799687399891,3.840008462967745,3.5595168252167553,7.2095234367423044
2007-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.61904761904762,0.0,0.0,0.0,0.0,0.0,15.238095238095235,23.047619047619047,22.666666666666668,33.095238095238095,45.61904761904762,16.71428571428571,47.57142857142858,33.333333333333336,1.1904761904761905,39.38095238095239,35.38095238095238,17.80952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.114032322807923,0.0,0.0,0.0,0.0,0.0,4.256470593000226,4.513605869376115,7.173725210360332,11.389564701264334,12.754705188412615,8.568488334333727,3.3572678905022912,5.5130111255541765,1.1904761904761905,5.029874186926962,4.469180775078452,5.69036387336476
2008-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.523809523809526,0.0,0.0,0.0,0.0,0.0,12.0,28.523809523809522,8.238095238095239,17.42857142857143,29.95238095238095,10.80952380952381,53.0,40.095238095238095,35.0,43.142857142857146,37.095238095238095,23.19047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6681383292746492,0.0,0.0,0.0,0.0,0.0,3.080407615996012,10.78446149490871,3.239276959215984,5.877264634113293,7.837829054496063,4.446774448280208,3.2373507269229442,5.497258138636998,9.367148407170793,3.6884386858979297,4.041003846226815,6.498013649227641
2008-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.857142857142854,0.0,0.0,0.0,0.0,0.0,24.76190476190476,2.4761904761904763,16.952380952380953,33.904761904761905,36.0,5.0,55.285714285714285,46.904761904761905,39.333333333333336,43.57142857142858,50.047619047619044,23.523809523809522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5015383128842155,0.0,0.0,0.0,0.0,0.0,5.727435826638421,2.476190476190476,5.960171356598184,8.807594871939811,9.559414247693491,2.3715688107956354,2.972713190982603,6.381834586854815,8.374844118372636,5.294063806786979,5.368585940203702,5.09963644199834
2008-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.952380952380956,0.0,0.0,0.0,0.0,0.0,24.14285714285714,9.238095238095239,22.76190476190476,7.142857142857142,35.476190476190474,4.428571428571429,65.0,54.047619047619044,19.71428571428572,51.904761904761905,40.952380952380956,27.28571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4238813154446404,0.0,0.0,0.0,0.0,0.0,3.2013994434005557,5.256621598863262,5.331510856367533,2.693178864477727,7.954336950394704,2.0889154241572188,3.5415209105185705,6.98899939420603,6.153834784598942,3.5003235257556113,5.303099003380112,5.817031384859722
2008-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.76190476190476,0.0,0.0,0.0,0.0,0.0,36.61904761904762,18.333333333333332,22.80952380952381,17.904761904761905,16.57142857142857,32.47619047619048,70.90476190476191,32.904761904761905,24.190476190476193,51.523809523809526,41.142857142857146,35.23809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4050674731426582,0.0,0.0,0.0,0.0,0.0,4.824927237192875,6.603397550505509,5.40073831753748,8.449968749170068,5.369816583962035,8.04795878009807,3.5572385868959633,6.604604156724207,6.472534440849948,2.626063768691801,4.285651432987058,7.190342106354733
2009-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1904761904762,0.0,0.0,0.0,0.0,0.0,28.47619047619047,21.90476190476191,21.666666666666668,38.476190476190474,38.23809523809524,26.71428571428571,63.23809523809524,48.8095238095238,23.28571428571429,54.19047619047618,29.0,39.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1931885985302206,0.0,0.0,0.0,0.0,0.0,5.230734997281961,8.30210099509706,5.564962372351652,9.38572503116835,10.059293870115516,6.744480554555743,4.367123919051164,3.7067453535496733,5.233889297377155,4.622695554975468,2.9960369711941284,6.282126166379597
2009-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.095238095238095,0.0,0.0,0.0,0.0,0.0,20.523809523809522,17.142857142857142,24.28571428571429,37.99999999999999,43.904761904761905,28.0,70.28571428571428,45.857142857142854,20.61904761904762,51.38095238095238,40.952380952380956,25.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39215879296417,0.0,0.0,0.0,0.0,0.0,4.7290131663268715,5.70634112957928,4.135301436057255,11.734794958300654,8.06224349339418,7.826428454859179,4.394544913600647,6.420178398788694,6.225773359946733,4.023510436672914,3.008449004179122,6.02526526412064
2009-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.523809523809526,0.0,0.0,0.0,0.0,0.0,24.428571428571427,15.714285714285715,24.142857142857142,15.57142857142857,26.19047619047619,36.76190476190476,77.66666666666667,45.904761904761905,35.04761904761905,48.80952380952382,27.571428571428573,44.047619047619044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.656815131179146,0.0,0.0,0.0,0.0,0.0,5.385227867891888,6.501657735906501,5.619414919872365,5.674919853143089,6.218522215666327,7.2925334074024875,4.2720285522300125,6.445818685319476,5.373555560539413,5.57537232333583,2.9545607187285783,5.779261676989617
2009-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.61904761904762,0.0,0.0,0.0,0.0,0.0,24.333333333333332,29.142857142857142,25.85714285714286,36.095238095238095,9.238095238095239,48.47619047619048,69.23809523809524,40.857142857142854,33.904761904761905,50.52380952380952,36.952380952380956,27.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.803170271760403,0.0,0.0,0.0,0.0,0.0,6.588563906037332,9.118264013305119,4.057393047897826,8.468718107409877,2.04388780870105,11.695471712345379,3.9630528718367857,4.848860135421958,6.4399961378784845,3.550525690247202,3.97718866368424,4.963346279188648
2010-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.714285714285715,0.0,0.0,0.0,0.0,0.0,14.714285714285715,10.476190476190476,26.0,40.1904761904762,20.9047619047619,11.80952380952381,67.6190476190476,45.52380952380952,34.142857142857146,48.333333333333336,43.857142857142854,43.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.461325275014422,0.0,0.0,0.0,0.0,0.0,2.870123408482383,4.463356404775703,4.062323615721405,8.479945468625754,5.900288243135095,4.306799261617419,2.955501769228754,5.251005236953609,6.256063250655429,3.8373566733610738,2.6420831693172993,6.334039367136101
2010-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.523809523809526,0.0,0.0,0.0,0.0,0.0,19.857142857142858,15.095238095238095,32.23809523809524,25.09523809523809,19.523809523809522,22.28571428571429,67.90476190476191,48.666666666666664,24.80952380952381,41.80952380952381,33.76190476190476,34.047619047619044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.036394364079458,0.0,0.0,0.0,0.0,0.0,3.559472687935264,5.183748884684431,4.869960479194937,6.991545771525157,3.9070269817217906,5.843290628809471,3.6599787593231703,6.1850273020222355,4.831226328668923,3.1072560026170506,2.5421914768225577,3.371053939606466
