,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,38.42857142857143,0.0,0.0,0.0,0.0,14.571428571428571,0.0,0.0,0.0,0.0,9.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,73.28571428571429,32.857142857142854,57.714285714285715,30.714285714285715,33.857142857142854,13.285714285714286,53.57142857142857,67.0,42.857142857142854,57.0,34.285714285714285,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.725987459471687,0.0,0.0,0.0,18.157849073973416,0.0,0.0,0.0,0.0,9.468889266729136,0.0,0.0,0.0,0.0,9.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,2.627691364061218,0.0,0.0,0.0,0.0,0.0,5.592147069197788,2.4145252064928036,3.7904283318347423,4.195883956554418,4.997278170729168,1.5993195832139682,1.9622283598130013,1.704336206492693,4.04985932400345,0.8728715609439699,0.865042958313569,5.944184833375669
2007-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.476190476190478,0.0,17.80952380952381,0.0,0.0,29.80952380952381,0.0,0.0,0.0,40.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.714285714285715,0.0,0.0,0.0,0.0,0.0,39.523809523809526,29.476190476190478,46.76190476190476,44.57142857142858,35.285714285714285,16.666666666666668,61.42857142857142,49.714285714285715,53.904761904761905,50.095238095238095,32.61904761904762,26.0952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.125859812752514,0.0,5.171583499097063,0.0,0.0,10.894400616756144,0.0,0.0,0.0,13.345702275750762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8310726484288997,0.0,0.0,0.0,0.0,0.0,6.751943195299593,2.0512977406415103,3.520903605543394,5.091470402292302,3.675477813977252,2.4161689912075857,2.0980360473925592,1.697475543183372,2.9147191276009576,1.045318244918219,0.960828342127435,5.904793353012504
2007-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.428571428571427,0.0,35.857142857142854,4.571428571428571,30.428571428571427,0.0,0.0,0.0,0.0,28.61904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.76190476190476,0.0,0.0,0.0,0.0,0.0,56.047619047619044,26.142857142857142,39.333333333333336,26.90476190476191,46.095238095238095,13.95238095238095,59.476190476190474,47.952380952380956,31.571428571428573,46.047619047619044,33.19047619047619,39.476190476190474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.309211373158945,0.0,12.40415310479546,4.571428571428571,12.44652544400662,0.0,0.0,0.0,0.0,10.151503392180926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.287791948203438,0.0,0.0,0.0,0.0,0.0,10.38442912019638,1.7680046390693045,2.249170748676276,5.127329726020584,6.463162857379108,2.343386161274001,1.957713133583721,1.2931670619626778,2.9676373277923367,1.0039091098242283,0.8618267575087252,6.321585140234398
2007-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.571428571428571,0.0,28.0,0.0,0.0,13.61904761904762,0.0,0.0,0.0,22.61904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.761904761904766,0.0,0.0,0.0,0.0,0.0,43.61904761904762,23.80952380952381,62.19047619047618,36.1904761904762,37.952380952380956,16.190476190476193,63.714285714285715,43.23809523809524,52.714285714285715,48.42857142857142,36.38095238095238,39.047619047619044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3882104075284416,0.0,8.025778976560057,0.0,0.0,8.553392830986496,0.0,0.0,0.0,8.294305106814138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873510981180379,0.0,0.0,0.0,0.0,0.0,6.885442049266782,1.9326466967543603,3.4149447534101642,4.543660461593492,3.9114917258688826,1.9585300352968913,1.783744751299298,1.3338039581316312,4.108401077545725,0.7872629490757931,1.1053569638289678,4.96074553086907
2008-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.76190476190476,0.0,7.809523809523809,0.0,0.0,19.047619047619047,0.0,0.0,0.0,36.52380952380952,0.0,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,47.14285714285714,0.0,0.0,0.0,0.0,0.0,46.523809523809526,24.52380952380953,58.76190476190476,52.047619047619044,55.57142857142858,13.857142857142856,59.095238095238095,68.42857142857143,57.904761904761905,46.61904761904762,35.047619047619044,38.76190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.191178955365514,0.0,2.7849340923467185,0.0,0.0,8.699445033714918,0.0,0.0,0.0,11.053764934800418,0.0,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,1.4707290735575853,0.0,0.0,0.0,0.0,0.0,6.732681260007315,1.916311922838015,3.3913606505596197,4.319158932264664,6.007933378548388,1.7014042093766364,1.9984838321086136,1.469941830973095,2.765272291980938,0.9296585387082591,0.931946284491865,7.021278282796801
2008-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.23809523809524,0.0,27.38095238095238,11.380952380952381,0.0,6.238095238095238,0.0,0.0,0.0,18.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.714285714285715,0.0,0.0,0.0,0.0,0.0,49.61904761904762,23.333333333333332,58.80952380952382,51.38095238095238,62.904761904761905,14.14285714285714,62.238095238095234,57.47619047619048,54.19047619047618,49.14285714285714,37.285714285714285,44.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.100543163210817,0.0,11.497952898655122,5.521688153134748,0.0,4.046498444317499,0.0,0.0,0.0,6.520509831621966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.450834361288684,0.0,0.0,0.0,0.0,0.0,6.718847306620494,1.1458269046655138,4.161817120473667,4.868233933109315,6.010253229154773,2.4634786326441387,2.043926795365591,0.9440727023510657,3.2383458960429263,0.9450204846357613,0.9828555620483072,5.668892208089147
2008-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.28571428571428,0.0,19.047619047619047,0.0,0.0,6.714285714285714,0.0,0.0,0.0,19.476190476190478,0.0,0.0,0.0,0.0,2.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,50.85714285714286,0.0,0.0,0.0,0.0,0.0,52.904761904761905,30.952380952380953,48.47619047619048,27.142857142857142,76.23809523809523,11.142857142857144,57.238095238095234,53.666666666666664,34.42857142857142,42.857142857142854,32.714285714285715,38.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.462548466828396,0.0,8.836957647779753,0.0,0.0,4.37793201611415,0.0,0.0,0.0,7.215536848551037,0.0,0.0,0.0,0.0,2.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1.8342511242627777,0.0,0.0,0.0,0.0,0.0,5.5524844690113255,1.94685191681112,3.380644724344061,4.23716556769489,6.099832606463941,1.510384857920806,1.7222369480786013,1.182737397090414,2.914054565635316,1.1261689962399675,0.6250060630971485,4.845850130971161
2008-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.38095238095238,0.0,10.285714285714286,4.0476190476190474,0.0,8.523809523809524,0.0,0.0,0.0,13.619047619047619,0.0,0.0,0.0,0.0,2.047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,38.14285714285714,26.71428571428571,49.8095238095238,33.80952380952381,71.57142857142857,15.0,58.80952380952382,47.19047619047618,45.1904761904762,44.523809523809526,34.38095238095238,38.523809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.152891972544255,0.0,4.895570777599566,4.0476190476190474,0.0,4.048552646765962,0.0,0.0,0.0,1.6514040385574544,0.0,0.0,0.0,0.0,2.0476190476190474,0.0,0.0,0.0,0.0,0.0,0.0,1.6565865786201792,0.0,0.0,0.0,0.0,0.0,7.355619099005075,1.100467671558719,2.8083395021726187,2.9459753805238833,3.960267661158151,1.0209941969831893,1.3757073431855147,1.1114606271334486,2.98364057119934,0.8105512808721244,0.8598069503135841,6.41240736569178
2009-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.428571428571429,0.0,14.333333333333334,0.0,9.571428571428571,0.0,0.0,0.0,0.0,19.28571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.8095238095238,0.0,0.0,0.0,0.0,0.0,42.85714285714286,32.476190476190474,46.42857142857142,61.047619047619044,57.57142857142858,23.19047619047619,65.04761904761905,70.33333333333333,55.333333333333336,45.61904761904762,33.523809523809526,46.095238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1254026924491916,0.0,2.9368981265997474,0.0,4.519045110140303,0.0,0.0,0.0,0.0,7.640883484717606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2636253071378163,0.0,0.0,0.0,0.0,0.0,7.408111179237159,2.295639608144803,2.920131360026962,5.0267345833038455,4.501994407623598,2.521716270066501,1.6331814998216332,1.5856056995903103,3.3480351497152925,0.5874665584213442,0.6520445524299281,5.768661366564448
2009-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.047619047619046,0.0,6.3809523809523805,10.619047619047619,0.0,5.9523809523809526,0.0,0.0,0.0,26.38095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.61904761904762,0.0,0.0,0.0,0.0,0.0,55.80952380952382,37.714285714285715,67.95238095238095,57.333333333333336,59.76190476190476,27.28571428571429,65.19047619047619,54.80952380952382,49.14285714285714,47.19047619047618,40.523809523809526,39.1904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.372990962722938,0.0,2.3213166436183434,5.147778362658074,0.0,3.88078196139608,0.0,0.0,0.0,8.90828446341701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.052577312669277,0.0,0.0,0.0,0.0,0.0,8.264665359477775,2.0246939354180515,2.5515515464899665,3.929545480476213,5.636493387267126,1.4954759184307342,1.5129228550522704,1.1553688657589627,2.608225655130861,0.9957901942902719,0.658156322821749,6.659278142750408
2009-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,11.238095238095239,0.0,0.0,0.0,0.0,0.0,0.0,19.333333333333332,0.0,0.0,0.0,0.0,2.1904761904761902,0.0,0.0,0.0,0.0,0.0,0.0,47.904761904761905,0.0,0.0,0.0,0.0,0.0,36.19047619047619,40.904761904761905,42.76190476190476,50.61904761904762,36.14285714285714,18.047619047619047,56.71428571428572,46.476190476190474,30.857142857142858,39.19047619047619,35.523809523809526,42.523809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.419141992977606,0.0,4.218430155578349,0.0,0.0,0.0,0.0,0.0,0.0,7.580207576574324,0.0,0.0,0.0,0.0,2.1904761904761902,0.0,0.0,0.0,0.0,0.0,0.0,2.1142804521364016,0.0,0.0,0.0,0.0,0.0,7.043101071877307,1.3697073958245471,3.670547814248683,5.268390922226795,4.542998184799977,1.549319977982533,1.8255915392397573,1.4283606018693646,1.9548126043899225,0.7821459533037172,0.8462264338256523,5.584354358570735
2009-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.428571428571427,0.0,27.333333333333332,0.0,15.761904761904761,5.571428571428572,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.714285714285715,0.0,0.0,0.0,0.0,0.0,37.57142857142858,34.714285714285715,44.38095238095238,49.57142857142858,32.76190476190476,20.38095238095238,60.952380952380956,47.047619047619044,48.666666666666664,45.14285714285714,38.095238095238095,36.42857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4068979868302747,0.0,8.455472437795555,0.0,9.00250551568866,3.597996419021636,0.0,0.0,0.0,6.5785061559251305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2588957710379187,0.0,0.0,0.0,0.0,0.0,5.087879237116055,1.6892811846981768,2.770596306155817,4.820335951402857,4.216826304590472,1.8540351967468942,1.770548346014403,0.9042005630078908,3.4540416469449178,0.9116557722189715,1.0332959439902467,4.299907864083042
2010-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.380952380952383,0.0,0.9523809523809524,0.0,2.0952380952380953,9.190476190476192,0.0,0.0,0.0,22.428571428571427,0.0,0.0,0.0,0.0,3.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,43.952380952380956,0.0,0.0,0.0,0.0,0.0,30.57142857142857,29.952380952380953,50.952380952380956,51.1904761904762,31.28571428571429,20.095238095238095,61.57142857142858,61.57142857142858,57.61904761904761,46.38095238095238,35.761904761904766,44.19047619047618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.371437223616025,0.0,0.9523809523809522,0.0,2.0952380952380953,4.523809523809524,0.0,0.0,0.0,8.487101027794965,0.0,0.0,0.0,0.0,3.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1.4794704708085353,0.0,0.0,0.0,0.0,0.0,4.124462546141057,2.2151592774406477,2.559309946767519,4.182109197801848,3.3190556092708334,2.0386076813063894,1.7928944177068502,1.2562889834499658,3.2819944600564326,1.0255862547004397,0.8407340800931538,3.8351021235548353
