,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.57142857142857,50.714285714285715,0.0,0.0,42.857142857142854,0.0,12.428571428571429,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,16.571428571428573,39.714285714285715,37.285714285714285,3.5714285714285716,58.285714285714285,24.142857142857142,52.0,51.57142857142857,25.571428571428573,19.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.781167954296677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.743706426751483,14.260692372349089,0.0,0.0,20.203050891044214,0.0,12.428571428571429,0.0,2.878491668515698,0.0,0.0,0.0,0.0,0.0,0.0,0.18442777839082938,2.287201896861491,7.729702408225552,9.252320907581554,1.6882950382129367,1.0848367380851922,1.549632390025998,7.665631400080802,0.9221388919541468,4.087478806452369,1.7573944844996128
2007-04-30,0.0,0.0,19.047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.714285714285715,0.0,0.0,0.0,35.0,33.61904761904762,0.0,0.0,0.0,0.0,2.1904761904761902,0.0,54.1904761904762,0.0,4.761904761904762,4.761904761904762,0.0,0.0,3.142857142857143,0.14285714285714285,19.952380952380953,47.80952380952382,23.42857142857143,2.0476190476190474,50.57142857142858,28.42857142857143,48.714285714285715,45.52380952380952,25.28571428571429,26.19047619047619,0.0,0.0,6.734350297014738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.034516315041772,0.0,0.0,0.0,16.584326417188787,9.576297058429923,0.0,0.0,0.0,0.0,2.1904761904761902,0.0,2.169011412102775,0.0,4.761904761904762,4.761904761904762,0.0,0.0,1.9060838914882605,0.06734350297014738,2.0356931685171626,9.73317406770582,5.384504896483929,0.9718892212376599,1.4925940089199135,1.9473279250940667,4.956954900988472,1.1317578214023802,3.03744684185294,1.6212588062252002
2007-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.333333333333332,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,15.428571428571429,0.0,30.61904761904762,0.0,22.857142857142858,15.619047619047619,0.0,0.0,3.8095238095238098,0.0,47.19047619047618,0.0,55.57142857142858,0.0,0.0,0.0,0.0,0.0,3.142857142857143,0.4761904761904761,32.0,46.38095238095239,34.61904761904762,3.1904761904761902,46.23809523809524,29.19047619047619,31.190476190476193,43.285714285714285,26.80952380952381,26.761904761904763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1012684881550285,0.0,6.604471789556498,0.0,0.0,0.0,0.0,0.0,0.0,9.19336749850992,0.0,12.600327561104798,0.0,9.653486280402063,6.262955687586403,0.0,0.0,3.809523809523809,0.0,13.612294372834887,0.0,1.8350125414853589,0.0,0.0,0.0,0.0,0.0,1.701020227715295,0.10909497374932409,2.373624332690048,7.2470994804452475,6.643406239996136,1.3278215764628234,1.9086505735547024,2.6927829439958004,6.83984433011242,1.120645675602508,2.771604451644213,1.8706000442342827
2007-10-31,0.0,0.0,14.476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,10.571428571428571,0.0,4.761904761904762,0.0,18.761904761904763,0.0,0.0,0.0,0.0,37.952380952380956,0.0,0.0,0.0,28.42857142857143,30.80952380952381,0.0,0.0,0.0,0.0,0.0,0.0,54.38095238095239,10.95238095238095,8.095238095238095,8.428571428571429,0.0,0.0,2.0952380952380953,0.047619047619047616,30.333333333333332,26.38095238095238,32.476190476190474,1.2380952380952381,52.904761904761905,23.76190476190476,55.42857142857142,49.19047619047618,25.0,25.61904761904762,0.0,0.0,5.312885973707182,0.0,0.0,0.0,0.0,0.0,0.0,4.5685915122711505,0.0,4.761904761904762,0.0,6.633933244673524,0.0,0.0,0.0,0.0,11.360941734809437,0.0,0.0,0.0,13.642359944003474,8.453674959953984,0.0,0.0,0.0,0.0,0.0,0.0,1.7829105473835452,5.410370490413517,5.338149752634997,5.504550443568473,0.0,0.0,0.7514158970504523,0.047619047619047616,2.0790701400829548,5.268924456065643,6.055637924486201,0.6224318005650226,1.6498316184569817,1.8631005327332453,6.863307094790595,1.39542734702617,2.227181868470528,1.5769848118084078
2008-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.571428571428573,0.0,0.0,0.0,13.523809523809524,0.0,0.0,0.0,0.0,16.57142857142857,0.0,2.619047619047619,0.0,17.761904761904763,23.333333333333332,0.0,0.0,24.952380952380953,0.0,17.714285714285715,0.0,52.80952380952382,4.190476190476191,7.238095238095238,0.0,0.0,0.0,1.0476190476190477,0.09523809523809523,25.428571428571427,46.61904761904762,48.714285714285715,4.476190476190476,52.76190476190476,24.19047619047619,54.57142857142858,43.333333333333336,27.476190476190478,39.23809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.989944564096266,0.0,0.0,0.0,6.384031476952086,0.0,0.0,0.0,0.0,5.6610835386382234,0.0,2.619047619047619,0.0,9.605681915539407,5.554766619054057,0.0,0.0,8.874464276404122,0.0,7.054566224260931,0.0,1.7899008459685888,4.19047619047619,4.987664299299768,0.0,0.0,0.0,0.6917066212539976,0.09523809523809523,1.622251265373542,7.2026517982613525,8.657579777609882,1.017772603664321,1.2717006886918867,1.861876316435404,5.679397423427889,0.911781992358042,2.1196829795632848,1.7274583955950098
2008-04-30,0.0,0.0,7.809523809523809,0.0,0.0,0.0,0.0,0.0,0.0,3.476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9523809523809526,0.0,7.238095238095238,14.0,16.80952380952381,15.80952380952381,0.0,0.0,4.523809523809524,0.0,16.19047619047619,0.0,46.76190476190476,0.0,2.380952380952381,0.0,0.0,0.0,6.6190476190476195,0.19047619047619047,22.047619047619047,41.047619047619044,46.52380952380952,1.9047619047619049,50.333333333333336,27.90476190476191,45.047619047619044,47.047619047619044,27.952380952380953,31.333333333333332,0.0,0.0,5.208284580270687,0.0,0.0,0.0,0.0,0.0,0.0,2.0496750169505913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1111920948319507,0.0,4.672170385901011,10.729061027050511,7.152493826246915,6.700514046568159,0.0,0.0,4.523809523809524,0.0,6.049646786612633,0.0,1.400355650311605,0.0,2.380952380952381,0.0,0.0,0.0,2.3481621771893266,0.12295185226055293,1.7510876814895084,5.717346911102362,7.56597523806017,0.6734350297014737,1.3186440862773539,2.290730829929903,7.2272893047101725,1.1690169216559914,1.6877614359638837,1.3636863801233183
2008-07-31,0.0,0.0,3.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,2.857142857142857,0.0,11.19047619047619,0.0,4.6190476190476195,0.0,0.0,0.0,0.0,8.380952380952381,0.0,15.04761904761905,9.142857142857142,26.23809523809524,19.38095238095238,0.0,0.0,6.428571428571428,0.0,9.571428571428571,0.0,44.761904761904766,0.0,9.047619047619047,0.0,0.0,0.0,1.5714285714285714,0.0,23.71428571428571,33.523809523809526,50.904761904761905,3.7619047619047623,43.80952380952382,36.0,30.857142857142858,41.61904761904762,25.85714285714286,24.523809523809522,0.0,0.0,3.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,2.2255160728227055,0.0,5.300422835712202,0.0,4.619047619047618,0.0,0.0,0.0,0.0,3.9784007520353897,0.0,5.464376490583256,5.908856747074275,11.192007082325835,6.859174848755938,0.0,0.0,4.195433575612558,0.0,4.5301516911186495,0.0,1.8873845725264982,0.0,5.842024623422969,0.0,0.0,0.0,0.7549283778154993,0.0,1.6047080077843947,5.911629867351455,8.583309756856822,1.1726631846092668,1.3773528662528947,2.525186812066454,5.060800908832088,1.0776928648366892,1.5899178688163864,0.8562456241749473
2008-10-31,0.0,0.0,9.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,9.04761904761905,0.0,6.238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,10.238095238095239,0.0,14.80952380952381,13.523809523809524,30.28571428571429,8.238095238095239,0.0,0.0,0.0,0.0,18.619047619047617,0.0,43.42857142857142,17.047619047619047,0.0,0.0,0.0,0.0,2.9523809523809526,0.0,21.571428571428573,37.95238095238095,25.28571428571429,5.3809523809523805,47.42857142857142,25.85714285714286,31.38095238095238,43.761904761904766,27.190476190476193,26.952380952380953,0.0,0.0,4.848966039820118,0.0,0.0,0.0,0.0,0.0,0.0,2.4766089625343444,0.0,4.0281511282120235,0.0,0.0,0.0,0.0,0.0,0.0,3.4987335402705795,0.0,5.365901129889747,6.410497815095124,11.027175250204893,4.12548812934501,0.0,0.0,0.0,0.0,7.350304808894198,0.0,1.2295250875782264,6.310916288392119,0.0,0.0,0.0,0.0,0.9126639054898446,0.0,1.5236806694556322,5.068746282813364,6.531160128978957,1.199594584248084,0.9727593855431819,1.926730477125722,4.016901131760533,1.0981803303576252,1.6665628650547986,1.180274428547406
2009-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.904761904761905,0.0,0.0,4.476190476190476,9.333333333333334,16.761904761904763,0.0,0.0,3.9523809523809526,0.0,15.714285714285715,0.0,38.38095238095238,14.142857142857144,2.380952380952381,0.0,0.0,0.0,1.9047619047619049,0.09523809523809523,19.952380952380953,48.285714285714285,39.047619047619044,6.666666666666667,49.57142857142858,24.571428571428573,63.047619047619044,45.095238095238095,22.09523809523809,38.523809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8937981309035727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.655215168151384,0.0,0.0,4.476190476190475,6.156568100199968,4.619038295802634,0.0,0.0,3.952380952380952,0.0,6.243135448980721,0.0,1.1833541205307163,6.668197103243855,2.380952380952381,0.0,0.0,0.0,1.1535424855032337,0.06147592613027646,1.402559262256946,4.686201418201236,7.946583749319124,1.0984290866857345,1.7649616813485396,1.2294563968785581,6.116923592707045,0.530620209709402,1.8669324946196355,1.0755168287861379
2009-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7619047619047623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.047619047619046,0.0,8.952380952380953,0.0,13.619047619047619,17.952380952380953,0.0,0.0,14.04761904761905,0.0,4.523809523809524,0.0,38.61904761904762,20.0,0.0,0.0,0.0,0.0,4.571428571428572,0.09523809523809523,26.666666666666668,45.047619047619044,31.809523809523807,8.000000000000002,53.42857142857142,29.28571428571429,50.142857142857146,44.666666666666664,24.333333333333332,40.523809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3208027976326806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.982118923641076,0.0,4.320143890551773,0.0,6.276582252454486,7.669904677734437,0.0,0.0,8.17345348087264,0.0,2.1868500006104825,0.0,1.2750559545235536,8.489066753107464,0.0,0.0,0.0,0.0,1.9065529329504483,0.06147592613027646,1.676759619137896,7.000122927364157,6.172349561663683,1.394420472735943,1.6920947280425496,2.0583833334114945,7.576003846453072,0.8673043641482286,1.9012167007692427,1.2444619385412077
2009-07-31,0.0,0.0,9.476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,7.571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.476190476190476,0.0,16.238095238095237,0.0,14.19047619047619,18.571428571428573,0.0,0.0,6.714285714285714,0.0,11.80952380952381,0.0,38.61904761904762,17.28571428571429,0.0,0.0,0.0,0.0,3.0476190476190474,0.23809523809523805,22.952380952380953,45.57142857142858,34.0,7.571428571428572,44.904761904761905,25.19047619047619,36.19047619047619,36.0,23.333333333333332,27.9047619047619,0.0,0.0,4.603804007325734,0.0,0.0,0.0,0.0,0.0,0.0,2.642463863202211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.706835259834662,0.0,8.088483878168669,0.0,6.456202074548166,5.278660750881312,0.0,0.0,4.359765885800194,0.0,2.542607442707142,0.0,1.2504438939975322,9.015619446848325,0.0,0.0,0.0,0.0,1.2566627264840167,0.12881942910042385,1.437214817937761,5.89121857108121,4.537345383453088,1.4090035511424348,1.1444045254636575,2.089791038345627,3.7355569568144946,0.9493994024141162,1.7819731094141222,1.3975119071079576
2009-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.428571428571427,0.0,9.952380952380953,0.0,17.666666666666668,0.0,0.0,0.0,0.0,23.0,0.0,4.714285714285714,15.761904761904761,15.238095238095239,11.761904761904761,0.0,0.0,11.333333333333334,0.0,9.428571428571429,0.0,39.904761904761905,0.0,19.047619047619047,3.142857142857143,0.0,0.0,2.285714285714286,0.09523809523809523,25.0,31.19047619047619,25.42857142857143,9.619047619047619,54.952380952380956,26.142857142857142,34.095238095238095,46.71428571428572,25.28571428571429,30.28571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.311137594641271,0.0,5.066973973256012,0.0,6.378286578897163,0.0,0.0,0.0,0.0,5.672039462828253,0.0,3.091572921548463,5.672132884445298,5.889962024211222,4.929510684215003,0.0,0.0,4.195613733790874,0.0,4.302553229596676,0.0,1.5774212613991747,0.0,6.734350297014738,3.142857142857143,0.0,0.0,1.0906003002878162,0.09523809523809523,1.5100551349729858,5.062796867770802,5.189740281640124,1.1860660340076337,1.4766326253546271,1.9768093226389685,4.57515462255925,0.9546093707436833,2.019875455234969,1.1385687851122885
