,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.714285714285715,0.0,0.0,0.0,0.0,0.0,18.571428571428573,48.0,47.142857142857146,57.0,73.85714285714286,16.571428571428573,81.71428571428571,69.57142857142857,49.57142857142857,73.42857142857143,55.857142857142854,20.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.783048297938059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0084854008536324,0.0,0.0,0.0,0.0,0.0,2.5898808839785046,15.567059238447488,4.458424724093496,17.537714462592568,6.021503417034698,5.959614652200349,0.9440108381713808,2.9427646772343574,5.681453296879756,1.0432810619146025,1.9570211988604307,3.099264780051996
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.714285714285715,0.0,0.0,0.0,0.0,0.0,22.857142857142858,50.714285714285715,29.857142857142858,27.0,58.57142857142857,0.0,82.0,59.285714285714285,49.42857142857143,73.42857142857143,76.57142857142857,11.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.173340476999973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.008485400853632,0.0,0.0,0.0,0.0,0.0,5.47039030307959,15.44069188820224,6.905582874018092,10.6971291208703,13.255469927286518,0.0,1.3801311186847085,3.0683816559213346,7.354484031810093,1.4615246907831236,3.5244529657073005,1.9325356083526688
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.857142857142858,0.0,0.0,0.0,0.0,0.0,7.142857142857143,10.285714285714286,47.857142857142854,71.85714285714286,25.857142857142858,10.857142857142858,77.14285714285714,58.142857142857146,57.57142857142857,68.42857142857143,28.142857142857142,16.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.463288837510501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4869042853329517,0.0,0.0,0.0,0.0,0.0,2.53009101500671,6.8128529990301825,6.939975886566353,15.302394103738227,7.857142857142857,5.175163081987859,0.7377111135633166,2.4536520053310955,7.981696749012535,1.2697420596165128,1.6536909861128892,2.4467109673647864
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.142857142857142,0.0,0.0,0.0,0.0,0.0,5.857142857142857,26.285714285714285,45.142857142857146,29.0,18.571428571428573,0.0,69.42857142857143,42.0,45.42857142857143,64.0,24.0,30.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.420092587595072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6536909861128892,0.0,0.0,0.0,0.0,0.0,4.038084007172163,9.476070829586856,5.0494156730710715,9.449111825230682,4.980233035555201,0.0,0.812320100439618,2.894987457822984,9.138763964712137,2.1157009420498154,2.0236694629405503,5.331207059145517
2007-05-01,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.42857142857143,0.0,0.0,0.0,0.0,0.0,14.714285714285714,5.714285714285714,47.857142857142854,43.42857142857143,14.571428571428571,0.0,67.71428571428571,51.0,60.857142857142854,61.857142857142854,28.714285714285715,11.714285714285714,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2121830534626528,0.0,0.0,0.0,0.0,0.0,5.971018441144675,5.7142857142857135,4.490352470143345,5.524220017588102,7.618452357699076,0.0,1.1895234282663623,3.903600291794132,8.287766576704001,0.6700593942604902,1.741842015063989,1.8988001940358936
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,5.285714285714286,17.428571428571427,36.285714285714285,33.714285714285715,19.571428571428573,7.142857142857143,71.57142857142857,43.0,78.85714285714286,62.857142857142854,23.714285714285715,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.246631745450128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.202369527454974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3451854182690985,0.0,0.0,0.0,0.0,0.0,2.494892742367569,8.311945342346137,4.346395801418116,10.669748704396275,7.978713176044006,4.6569383536752955,1.13088972257504,1.825741858350554,6.311095940705472,0.7996597916069841,1.584362358058488,2.7255405754769875
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,10.714285714285714,25.142857142857142,43.0,10.714285714285714,54.714285714285715,14.857142857142858,73.57142857142857,52.285714285714285,52.142857142857146,69.57142857142857,35.0,16.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.442777839082936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.091089451179962,0.0,0.0,0.0,0.0,0.0,4.257845899123202,9.381919215345297,5.887840577551898,5.1672700986215965,8.39419948738494,9.747841205275417,1.1722412976277305,2.1681052262537546,9.163666794228513,1.6882950382129367,1.9760470401187071,3.165502829451477
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.142857142857142,0.0,0.0,0.0,0.0,0.0,19.428571428571427,4.714285714285714,42.57142857142857,11.857142857142858,12.857142857142858,0.0,73.71428571428571,56.42857142857143,12.571428571428571,74.57142857142857,30.285714285714285,31.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25140787523797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7515784912142403,0.0,0.0,0.0,0.0,0.0,4.280949732506199,4.714285714285714,4.081649659828514,5.612183054699462,4.682432067636134,0.0,1.42618848874971,1.810776508745861,4.946654198051653,1.3248026422136718,2.9335033964307504,3.442432299414822
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.428571428571427,0.0,0.0,0.0,0.0,0.0,24.428571428571427,14.0,27.714285714285715,20.0,0.0,15.714285714285714,78.14285714285714,48.857142857142854,38.0,73.71428571428571,37.42857142857143,26.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2697420596165125,0.0,0.0,0.0,0.0,0.0,3.1986391664279354,6.799859942535232,3.765218552527771,8.079957567073869,0.0,4.178825796083585,1.183790751872006,2.3647064796066917,5.924123403106833,1.189523428266362,2.477106057836181,3.9692697112713726
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,10.714285714285714,22.714285714285715,58.285714285714285,12.142857142857142,5.0,10.428571428571429,76.57142857142857,42.285714285714285,61.714285714285715,73.42857142857143,29.142857142857142,39.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8607120563572552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24955456484183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.047065262876636,0.0,0.0,0.0,0.0,0.0,3.1751586815561237,9.203297250013652,4.774507133448115,4.328359259298034,3.2440421581430665,5.838530240921053,1.3426544933211124,2.055356367134022,7.906339486869549,1.1308897225750396,1.7515784912142398,4.778067807470831
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,8.571428571428571,22.571428571428573,39.142857142857146,39.714285714285715,78.57142857142857,4.428571428571429,68.85714285714286,45.0,47.142857142857146,63.857142857142854,27.857142857142858,19.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.690065559342354,0.0,0.0,0.0,0.0,0.0,1.9743249944407506,10.38968614690995,5.50077298216901,6.971760335587472,5.3933695751496264,2.860712056357255,0.7693092581620725,2.6636888135137133,5.252793231671496,1.1218303799418807,1.5028317941009046,1.1278780268882866
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.857142857142858,0.0,0.0,0.0,0.0,0.0,12.0,10.571428571428571,45.714285714285715,23.142857142857142,34.857142857142854,0.0,60.57142857142857,38.714285714285715,39.142857142857146,53.0,24.0,31.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.044485672963132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7693092581620719,0.0,0.0,0.0,0.0,0.0,3.798495942945237,6.879428073048289,6.220987081814978,5.351584417937638,5.3248231422835675,0.0,1.3948398586549335,2.8843938516014873,3.936571940083882,1.214985792587912,1.3451854182690985,3.013574729961284
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.285714285714285,0.0,0.0,0.0,0.0,0.0,40.285714285714285,20.285714285714285,65.14285714285714,14.857142857142858,82.0,0.0,77.0,66.14285714285714,56.714285714285715,71.71428571428571,48.714285714285715,24.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1895234282663614,0.0,0.0,0.0,0.0,0.0,4.673707031358083,5.462923888813204,6.09616808381482,4.827641499633086,6.451282633635548,0.0,0.9999999999999994,2.414525206492803,6.735528705215019,1.1895234282663607,2.8260209761824355,1.8608022554838022
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.571428571428573,0.0,0.0,0.0,0.0,0.0,35.857142857142854,35.42857142857143,58.57142857142857,27.714285714285715,42.42857142857143,0.0,80.42857142857143,63.142857142857146,30.0,73.0,82.14285714285714,24.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.694160982822026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1428571428571423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3248026422136716,0.0,0.0,0.0,0.0,0.0,4.4637618740281395,6.202369527454974,2.5247078365355358,6.889309474396806,12.703312546728272,0.0,1.3426544933211122,1.3702375780893492,7.502380574571933,0.8451542547285168,2.604287412166727,2.731773239859708
