,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,0.0,0.0,28.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.285714285714285,0.0,0.0,92.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.57142857142857,0.0,53.57142857142857,0.0,0.0,0.0,0.0,36.0,73.57142857142857,30.714285714285715,35.714285714285715,11.571428571428571,47.714285714285715,16.428571428571427,70.0,60.42857142857143,33.714285714285715,78.42857142857143,42.57142857142857,52.714285714285715,0.0,0.0,18.35088831748524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094372265748886,0.0,0.0,3.52348775879732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.45174349257787,0.0,1.1096362093077183,0.0,0.0,0.0,0.0,14.74384455903386,5.609758261734818,2.1011820450390672,2.8926366759023696,2.1696734761703844,7.163778883463424,6.058670068026255,2.246690688016276,1.1096362093077186,6.610649005363153,0.9476070829586855,2.147613768338987,9.738764676023647
2007-04-30,0.0,0.0,22.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,43.952380952380956,0.0,0.0,0.0,9.523809523809524,13.714285714285715,0.0,0.0,0.0,23.80952380952381,0.0,0.0,0.0,22.19047619047619,23.28571428571429,0.0,0.0,0.0,0.0,8.095238095238095,14.285714285714285,51.714285714285715,9.523809523809524,37.42857142857142,0.0,0.0,25.09523809523809,47.142857142857146,26.61904761904762,34.095238095238095,11.142857142857144,63.80952380952382,12.952380952380954,64.14285714285715,58.285714285714285,57.904761904761905,74.52380952380953,35.76190476190476,52.61904761904762,0.0,0.0,9.557299816318576,0.0,0.0,0.0,0.0,0.0,0.0,10.532373071584553,0.0,0.0,0.0,6.147592613027645,5.2837119044323435,0.0,0.0,0.0,7.49137330162858,0.0,0.0,0.0,5.854432202804432,12.65144344048286,0.0,0.0,0.0,0.0,4.047805784674699,6.734350297014738,1.7856831619334412,6.147592613027645,17.84038876148591,0.0,0.0,11.280841354512425,4.736903529635608,1.329767732833374,2.317353937752149,1.2386085370499609,8.283058971112839,3.8277215561501765,1.4770450619413333,0.8448353052986812,6.077469466499779,1.042439783472254,1.6981413084299044,6.776433609571275
2007-07-31,0.0,0.0,7.904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,41.1904761904762,0.0,27.571428571428573,0.0,0.0,5.476190476190477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.904761904761905,8.571428571428571,0.0,0.0,32.714285714285715,0.0,28.19047619047619,8.857142857142858,50.95238095238094,0.0,21.80952380952381,0.0,0.0,22.0,60.0,24.238095238095237,32.523809523809526,14.80952380952381,58.04761904761906,20.714285714285715,59.476190476190474,52.71428571428572,40.476190476190474,76.23809523809524,36.333333333333336,44.57142857142858,0.0,0.0,5.102501868812945,0.0,0.0,0.0,0.0,0.0,0.0,11.242517297181514,0.0,11.246764543856287,0.0,0.0,5.476190476190477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5761748878098025,5.580443121030776,0.0,0.0,12.028882958641637,0.0,7.324459143917601,5.7398897279644,1.6752448636397925,0.0,5.663331017711692,0.0,0.0,9.138817853276139,5.408505765495509,0.9668467785677423,2.399286761205997,1.7463873000590995,4.091273292605799,5.697264909625172,1.5788765300725132,1.239869449078318,6.617416943709696,0.9073026175739797,1.9710348965410578,8.380644243016985
2007-10-31,0.0,0.0,31.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,23.0952380952381,0.0,10.761904761904761,0.0,15.80952380952381,16.761904761904763,0.0,0.0,0.0,13.714285714285715,0.0,0.0,0.0,15.857142857142856,12.238095238095239,0.0,26.42857142857143,4.761904761904762,0.0,12.142857142857144,16.571428571428573,52.904761904761905,8.809523809523808,27.142857142857142,0.0,0.0,38.0,37.761904761904766,24.333333333333332,36.476190476190474,12.047619047619046,33.523809523809526,8.571428571428571,59.19047619047618,49.80952380952382,51.47619047619048,70.42857142857143,31.09523809523809,58.71428571428572,0.0,0.0,8.573288147668526,0.0,0.0,0.0,0.0,0.0,0.0,6.376993856571969,0.0,6.958245263452675,0.0,5.702898707316378,9.194172251683895,0.0,0.0,0.0,5.67759383951515,0.0,0.0,0.0,4.619865743289151,5.798519372093292,0.0,4.45537205360612,4.761904761904762,0.0,6.933859890214657,5.88906002403968,1.5431679731407975,5.712632035850192,14.394168183026338,0.0,0.0,11.269393219350825,3.0104117268644877,1.002621832898947,2.471334992892181,1.4439236242214937,5.821061414108762,3.8047240778481837,1.7837192091452285,1.4424029403901455,4.882663356340507,0.9748740714435761,1.7090513620164405,7.068933344308584
2008-01-31,0.0,0.0,9.047619047619046,0.0,0.0,0.0,0.0,0.0,0.0,29.190476190476193,0.0,43.333333333333336,0.0,7.761904761904762,12.904761904761905,0.0,0.0,0.0,27.047619047619047,0.0,0.0,0.0,24.666666666666668,2.8095238095238098,0.0,11.714285714285715,0.0,0.0,24.19047619047619,0.0,46.19047619047618,0.0,29.57142857142857,0.0,0.0,25.428571428571427,37.904761904761905,26.571428571428573,37.80952380952381,8.476190476190476,57.666666666666664,20.666666666666668,60.80952380952382,53.142857142857146,53.047619047619044,66.57142857142857,31.952380952380953,41.523809523809526,0.0,0.0,5.803271960672991,0.0,0.0,0.0,0.0,0.0,0.0,8.527384218429814,0.0,9.135133215011336,0.0,5.187854296291144,6.570039429264464,0.0,0.0,0.0,3.684967727187814,0.0,0.0,0.0,5.766361131286007,2.809523809523809,0.0,5.59687581570714,0.0,0.0,6.378900876754973,0.0,1.7300812032680344,0.0,12.147938963160868,0.0,0.0,11.780179719487416,1.8858433739567202,0.6788650376410743,2.353834654455595,1.2656758405388315,6.579422742764134,3.847904917399329,1.6454263505875792,1.1768030732097232,6.184078384652264,0.6598555942535576,1.4798315336822583,4.786819204938003
2008-04-30,0.0,0.0,14.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,33.285714285714285,0.0,19.9047619047619,0.0,0.0,20.71428571428571,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.666666666666666,6.0,0.0,0.0,0.0,0.0,2.619047619047619,2.9523809523809526,44.0,0.0,0.0,0.0,0.0,13.904761904761905,35.61904761904762,25.523809523809522,28.71428571428571,17.428571428571427,61.285714285714285,31.76190476190476,67.0,54.47619047619048,49.904761904761905,80.33333333333333,34.238095238095234,35.952380952380956,0.0,0.0,7.220314432339197,0.0,0.0,0.0,0.0,0.0,0.0,8.05286823283324,0.0,9.189696551697013,0.0,0.0,8.811685593487171,0.0,0.0,0.0,4.163967379630193,0.0,0.0,0.0,8.333573879265634,3.8791260675078667,0.0,0.0,0.0,0.0,1.7003401020340114,2.952380952380952,0.9426695919908602,0.0,0.0,0.0,0.0,8.27089742457526,4.013979570025106,1.327420286913144,1.9192548007914816,1.2811474017174973,6.204850457882316,4.684228490628409,1.5657921550775276,0.7833776102512284,5.205908377145333,1.024836408472078,1.195438885871896,4.50303681868266
2008-07-31,0.0,0.0,21.19047619047619,0.0,0.0,0.0,0.0,0.0,0.0,33.42857142857143,0.0,0.0,4.761904761904762,9.0,5.571428571428572,0.0,0.0,0.0,18.333333333333332,0.0,0.0,0.0,5.904761904761905,7.6190476190476195,0.0,5.476190476190475,0.0,0.0,15.571428571428571,3.0,52.047619047619044,0.0,0.0,0.0,0.0,7.0476190476190474,40.952380952380956,30.047619047619047,28.809523809523807,17.19047619047619,40.285714285714285,17.19047619047619,59.8095238095238,56.19047619047618,54.57142857142858,87.71428571428571,30.23809523809524,44.0952380952381,0.0,0.0,6.343019098336856,0.0,0.0,0.0,0.0,0.0,0.0,5.097633387130478,0.0,0.0,4.761904761904762,4.701119983634654,2.7513481887305975,0.0,0.0,0.0,7.223110306552488,0.0,0.0,0.0,2.8449475178710526,4.952380952380952,0.0,3.8088293017721067,0.0,0.0,5.01253153717627,3.0,1.7919608977482369,0.0,0.0,0.0,0.0,5.6977477871385895,3.683684324366523,0.9196306034621503,1.4701569384072493,1.6326456123480535,4.515789823101792,4.215504202512841,1.3215667431665052,1.2150997555372172,4.6661409545646455,0.9594124735656894,1.2701881359578522,6.057894455304724
2008-10-31,0.0,0.0,4.904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,25.19047619047619,0.0,19.61904761904762,12.095238095238095,0.0,4.904761904761904,0.0,0.0,0.0,23.71428571428571,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,16.047619047619047,11.04761904761905,38.952380952380956,6.142857142857142,24.666666666666668,0.0,0.0,22.80952380952381,27.38095238095238,35.42857142857144,35.047619047619044,15.714285714285715,28.952380952380953,23.666666666666668,65.42857142857143,51.714285714285715,55.952380952380956,87.76190476190476,27.28571428571429,47.952380952380956,0.0,0.0,3.256831879705825,0.0,0.0,0.0,0.0,0.0,0.0,6.2263684820773895,0.0,8.405222813216279,9.40833030032976,0.0,3.1662190875960547,0.0,0.0,0.0,7.026831286372652,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.629683619078001,0.0,4.632201855351577,4.408042536349618,1.1013510625469747,3.9653640270432944,12.218423482818539,0.0,0.0,6.839409674589415,3.5689661766109766,0.57363386285677,1.4407268564678113,1.9638293269641327,3.9815441196079795,5.107929575179999,1.5925046026990408,1.299480694579187,4.552291906606641,0.8394462214676054,1.215800803415538,7.435299585633509
2009-01-31,0.0,0.0,20.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,39.04761904761905,0.0,3.6666666666666665,0.0,29.61904761904762,16.19047619047619,0.0,0.0,0.0,1.0952380952380951,0.0,0.0,0.0,9.904761904761905,3.380952380952381,0.0,0.0,22.04761904761905,0.0,7.571428571428572,0.0,39.57142857142858,22.666666666666668,28.238095238095237,0.0,0.0,11.904761904761905,23.952380952380953,40.23809523809524,34.57142857142858,25.52380952380953,42.047619047619044,29.047619047619047,62.76190476190476,51.333333333333336,59.38095238095238,80.42857142857143,25.571428571428573,37.047619047619044,0.0,0.0,8.552068042055884,0.0,0.0,0.0,0.0,0.0,0.0,6.976153317484607,0.0,2.3693367455380026,0.0,8.10456684319657,7.2632770957434865,0.0,0.0,0.0,1.0952380952380951,0.0,0.0,0.0,7.815398230925155,3.38095238095238,0.0,0.0,12.009052042749127,0.0,2.968720784953914,0.0,1.2249186233859835,4.220133150686576,11.294019651679763,0.0,0.0,5.495924832626721,2.4143948776253876,1.0449386076528786,1.6042695141357823,1.2761015746509592,4.21975138014063,4.553545328795196,1.7376436438140992,1.1526857966757926,6.208488195869485,0.8848184946975132,0.7081453910620484,4.530471200862789
2009-04-30,0.0,0.0,11.95238095238095,0.0,0.0,0.0,0.0,0.0,0.0,46.23809523809524,0.0,34.285714285714285,0.0,20.380952380952383,39.76190476190476,0.0,0.0,0.0,12.80952380952381,0.0,0.0,0.0,15.333333333333334,6.0,0.0,0.0,15.380952380952381,0.0,6.190476190476191,0.0,38.61904761904762,7.333333333333333,10.523809523809524,0.0,0.0,12.523809523809524,28.28571428571429,46.80952380952382,58.904761904761905,31.80952380952381,41.047619047619044,48.666666666666664,67.80952380952381,55.61904761904762,56.76190476190476,84.52380952380952,24.952380952380953,44.095238095238095,0.0,0.0,5.264104920593104,0.0,0.0,0.0,0.0,0.0,0.0,10.339391116388361,0.0,11.428085368821167,0.0,8.735276396566,11.244503406098998,0.0,0.0,0.0,4.290913953320399,0.0,0.0,0.0,6.200361190613165,3.8736663518288466,0.0,0.0,7.237926391091986,0.0,2.392511623162782,0.0,1.1820559766199115,5.0205925154656,4.432310827704186,0.0,0.0,6.874548812285581,3.2384706552814904,1.4568091410228952,2.3471200079629435,1.6240148431519863,2.790147828723816,5.3459427721497255,1.436783211458902,0.996549153021309,6.241457652033503,0.8958636033206927,1.177629100538954,4.819705707194245
2009-07-31,0.0,0.0,42.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,23.857142857142858,0.0,11.0,2.619047619047619,10.523809523809524,23.047619047619047,0.0,0.0,0.0,15.285714285714286,0.0,0.0,0.0,27.047619047619047,12.19047619047619,0.0,10.190476190476192,16.61904761904762,0.0,27.28571428571428,3.714285714285714,41.76190476190476,0.0,8.095238095238095,0.0,0.0,14.190476190476192,29.238095238095237,46.0,31.42857142857143,20.71428571428571,17.71428571428571,45.8095238095238,60.61904761904761,51.333333333333336,33.57142857142858,78.19047619047619,24.42857142857143,33.285714285714285,0.0,0.0,11.660895726703167,0.0,0.0,0.0,0.0,0.0,0.0,7.185789828007092,0.0,3.475538099253852,2.619047619047619,6.952380952380952,8.882900429830821,0.0,0.0,0.0,6.109175075211986,0.0,0.0,0.0,6.75134897640502,6.656107452667008,0.0,3.9001133770368135,7.583494922840299,0.0,6.112832205412548,2.577300761243783,1.003582381501029,0.0,5.188739584585388,0.0,0.0,4.512866398928249,2.4218031311017834,0.9537329623558145,1.9416071097382137,1.9893165115855902,3.1484928317684973,7.546107593849246,1.4993294050904744,0.9167032494619957,3.093680507734034,0.6816225856835215,0.9316000783487306,5.255094149458059
2009-10-31,0.0,0.0,3.1904761904761902,0.0,0.0,0.0,0.0,0.0,0.0,39.904761904761905,0.0,7.238095238095238,4.761904761904762,15.0,3.428571428571429,0.0,0.0,0.0,4.095238095238096,0.0,0.0,0.0,0.0,10.333333333333334,0.0,0.0,7.285714285714286,0.0,13.38095238095238,6.6190476190476195,36.285714285714285,0.0,23.71428571428571,0.0,0.0,12.714285714285714,27.71428571428572,45.333333333333336,30.80952380952381,18.666666666666668,20.666666666666668,60.142857142857146,62.285714285714285,55.285714285714285,40.8095238095238,72.71428571428572,24.71428571428571,47.476190476190474,0.0,0.0,2.196506537094326,0.0,0.0,0.0,0.0,0.0,0.0,7.299852378093586,0.0,4.672170385901011,4.761904761904762,6.241549882496643,2.379046856532723,0.0,0.0,0.0,1.9903394803815588,0.0,0.0,0.0,0.0,3.779644730092272,0.0,0.0,6.3830885188276865,0.0,7.066692250168409,3.1205315747714972,1.1239238503402216,0.0,7.711409955562753,0.0,0.0,6.424987954038372,2.8360004810012387,1.0420773027452952,1.8635254010449793,1.5151909399851542,2.503173404843061,8.04778419479667,1.3037489519757675,0.760455533509052,4.795833712204744,0.9258900471317827,0.806934866907674,6.662823962558637
