,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,16.857142857142858,0.0,29.571428571428573,12.142857142857142,0.0,9.285714285714286,0.0,41.142857142857146,0.0,11.571428571428571,30.142857142857142,0.0,9.285714285714286,0.0,32.285714285714285,0.0,16.714285714285715,7.428571428571429,28.285714285714285,5.857142857142857,0.0,21.857142857142858,0.0,18.428571428571427,0.0,0.0,27.571428571428573,5.714285714285714,19.0,53.142857142857146,41.857142857142854,83.14285714285714,89.42857142857143,92.57142857142857,33.714285714285715,23.428571428571427,92.14285714285714,30.285714285714285,58.0,0.0,0.0,0.0,0.0,0.0,0.0,20.203050891044214,0.0,0.0,3.0970690555255422,0.0,7.702371752404898,5.729741003988672,0.0,6.0186784094116845,0.0,19.453765177770514,0.0,5.5069529335418235,14.416307848155473,0.0,6.002833797919293,0.0,8.631929337154737,0.0,11.077033911300841,7.428571428571428,13.67429685789449,5.857142857142857,0.0,0.5532833351724881,0.0,12.561955305143993,0.0,0.0,7.253429871306346,2.2115959085205943,0.5345224838248487,1.1837907518720052,0.7996597916069845,4.682432067636134,3.7407482244748267,0.841120082507415,0.7142857142857144,1.7437936593905285,0.5084322977157768,0.8370664681546164,1.9999999999999993
2007-04-30,13.285714285714285,0.0,0.0,0.0,15.619047619047619,8.619047619047619,9.095238095238095,30.76190476190476,0.0,13.095238095238095,0.0,21.142857142857142,13.428571428571429,12.333333333333334,29.952380952380953,2.714285714285714,17.476190476190478,0.0,41.8095238095238,12.0,14.666666666666666,0.0,30.38095238095238,28.80952380952381,0.0,11.142857142857144,23.71428571428571,12.476190476190476,29.14285714285715,24.61904761904762,21.76190476190476,0.0,25.047619047619047,13.38095238095238,7.904761904761905,33.095238095238095,8.571428571428571,14.761904761904761,49.19047619047618,38.047619047619044,60.047619047619044,69.66666666666666,84.52380952380953,24.523809523809522,23.28571428571429,85.19047619047619,28.952380952380953,52.76190476190476,6.302107051453653,0.0,0.0,0.0,9.049106367377078,5.563690189620293,5.880068695255367,12.422546338046354,0.0,1.0656270044761458,0.0,8.826584104396082,6.987413534895064,4.834674069163819,6.301236290500678,1.7528604226290374,6.203283455040787,0.0,7.2069337908795,5.783117190965824,8.828484896980461,0.0,12.422901327815007,7.346919672739929,0.0,6.756825938902897,9.71633706960988,8.139068476392305,8.835328165484633,4.38276360074843,0.47600482047623477,0.0,9.645710181088058,7.882964852526236,5.250202458033417,6.516286388255355,2.2961123832779946,0.7639379275516004,0.6545454845524096,1.3252973629921598,4.17999007664815,4.018883181652472,0.6534087673855942,0.4717566946582042,0.8661543620977348,0.3665286158668102,0.8661536374383211,1.7801219908809276
2007-07-31,4.761904761904762,14.238095238095239,10.857142857142856,0.0,47.57142857142858,12.19047619047619,12.476190476190476,18.904761904761905,0.0,17.476190476190478,0.0,22.571428571428573,0.0,13.80952380952381,23.90476190476191,13.523809523809524,4.095238095238096,9.523809523809524,58.38095238095239,26.90476190476191,27.0952380952381,4.904761904761905,17.380952380952383,45.71428571428572,7.857142857142858,4.523809523809524,6.190476190476191,6.666666666666667,15.904761904761905,11.0,21.952380952380953,22.9047619047619,2.9047619047619047,0.0,4.9523809523809526,16.0952380952381,6.857142857142857,12.857142857142856,62.14285714285714,32.0,58.904761904761905,75.38095238095238,80.33333333333333,25.76190476190476,26.0,80.28571428571429,29.23809523809524,53.904761904761905,4.761904761904762,2.4610342017947713,6.667058573074622,0.0,11.701433221957302,5.820897012119279,5.927184768030808,4.951465116783222,0.0,2.6046309898309095,0.0,7.593113895424769,0.0,3.72563637789306,7.728145891060357,3.7811867313611436,4.095238095238095,6.147592613027645,8.313562062344841,7.0325479079672375,8.273972762327855,3.1728123301657063,9.487913323317086,12.302543325385324,5.211838956272771,3.000755762702505,3.091939634428176,3.3719979789985595,5.763436202171552,5.217491947499509,0.3911291624584095,5.978229589514217,2.9047619047619047,0.0,3.2492804017584724,5.863119537923694,2.867357648939146,0.8753316526695004,1.0328983132394898,1.48914326524395,4.243144119592469,2.8159684744742406,0.4645933778217855,0.43514350327906226,1.2320818914923388,0.4734912419552138,0.8908231724802681,1.3127176015240118
2007-10-31,0.0,34.476190476190474,14.904761904761905,0.0,15.38095238095238,6.428571428571428,0.0,13.95238095238095,0.0,24.0,4.761904761904762,36.142857142857146,0.0,5.714285714285714,9.619047619047619,12.666666666666666,0.0,9.523809523809524,35.42857142857142,0.0,0.0,0.0,33.857142857142854,50.142857142857146,0.0,8.523809523809524,11.04761904761905,35.57142857142858,38.8095238095238,18.142857142857142,23.38095238095238,20.476190476190478,18.0,12.095238095238095,0.0,21.857142857142858,13.476190476190476,44.47619047619048,45.333333333333336,32.952380952380956,46.23809523809524,77.23809523809524,88.95238095238096,24.23809523809524,22.80952380952381,89.0,33.142857142857146,50.857142857142854,0.0,12.81835098785657,8.187614959235182,0.0,6.1455098253244556,4.151059204228097,0.0,6.583781809690499,0.0,2.33966202400089,4.761904761904762,10.065882185244877,0.0,3.03863111216398,3.5940491878033867,3.7026866782867476,0.0,6.147592613027645,8.667483131825085,0.0,0.0,0.0,10.789155187178016,9.877856839749812,0.0,6.311774185470539,4.765712256132564,10.7171987815575,11.046159975867724,9.637134919965398,0.4700930522993933,11.299306535230786,10.086847556843532,4.867402795878339,0.0,9.61471873733697,3.7329449816981906,0.6564404304888213,0.9656076411525688,1.4599821362951013,2.889985083915765,3.6490983796422607,0.4646807887443787,0.4721676283547862,0.9435660242828569,0.6076265186866542,0.5997920223717854,1.6804093104171178
2008-01-31,0.0,9.952380952380953,30.61904761904762,0.0,12.476190476190476,2.5714285714285716,17.0,2.857142857142857,0.0,18.0,0.0,20.380952380952383,5.809523809523809,19.19047619047619,27.61904761904762,6.0,22.333333333333332,0.0,16.0,1.7619047619047619,43.333333333333336,0.0,14.285714285714285,37.523809523809526,22.047619047619047,36.333333333333336,5.095238095238096,0.0,6.238095238095238,15.714285714285715,18.0952380952381,13.571428571428571,29.09523809523809,48.285714285714285,4.3809523809523805,5.857142857142857,5.095238095238095,32.42857142857143,39.38095238095238,36.23809523809524,75.28571428571428,67.28571428571429,81.23809523809524,24.428571428571427,26.61904761904762,80.95238095238095,31.71428571428571,49.14285714285714,0.0,4.105376892021973,10.84954479119291,0.0,4.750329793220028,2.5714285714285716,4.667233525662582,2.857142857142857,0.0,2.258081735116561,0.0,5.316198774664842,3.07952703199585,4.534118749297109,7.098383617996341,2.4686334021153034,8.977315403765036,0.0,5.17297826528779,1.7619047619047619,12.09130868355507,0.0,6.357055959913088,11.472906489869809,5.806595671129673,11.94289796173386,2.5434991163949796,0.0,2.893330712400059,8.420796344545488,0.34336917683376306,4.844521416518048,10.25164770843597,13.361900942119545,2.842821248876057,3.130133614602118,1.685450105320001,0.9584985285105576,0.5037152583433655,1.41840008443408,3.972519857841279,3.4716630513590716,0.4444531006384261,0.4728123472043653,0.9244062998916055,0.47979226487781007,0.47689970995502934,1.501449893240354
2008-04-30,8.571428571428571,9.619047619047619,4.285714285714286,4.761904761904762,17.619047619047617,0.0,8.380952380952381,13.714285714285715,0.0,15.571428571428571,0.0,21.761904761904763,11.714285714285715,10.238095238095237,22.857142857142858,14.095238095238095,15.285714285714285,0.0,36.8095238095238,0.0,23.238095238095237,0.0,9.095238095238095,14.380952380952381,0.0,1.3809523809523812,10.190476190476192,10.523809523809524,15.666666666666666,0.0,19.38095238095238,17.904761904761905,0.0,21.38095238095238,5.9523809523809526,25.857142857142858,7.857142857142858,14.476190476190476,40.904761904761905,46.904761904761905,73.33333333333333,74.71428571428571,84.85714285714285,25.571428571428573,27.80952380952381,85.14285714285714,30.809523809523807,52.904761904761905,4.135735531924482,4.31928760998226,2.770239203688703,4.761904761904762,6.028659791157833,0.0,3.9563949783217804,3.5726981870290846,0.0,1.695569747987958,0.0,5.1242364586269185,3.828640406969594,3.5666351397709533,5.12107122686779,3.327192675651622,4.118887050728523,0.0,7.86291532466317,0.0,3.900882260369041,0.0,3.3835223856120735,4.265181259003317,0.0,1.3809523809523807,1.9984877124491607,5.414027226845524,4.854668960520102,0.0,0.2748736863581971,3.4285714285714284,0.0,10.723407922695218,2.8175832747594316,6.955138603814086,1.686138133805373,0.7623480883042179,0.7274006642263725,1.597304911791231,4.224424452497495,3.551892601567886,0.5504298135243063,0.3994004141827871,1.2711299134234293,0.4207356374536495,0.8356954404671723,1.5274113984937159
2008-07-31,8.476190476190476,15.761904761904765,26.333333333333332,0.0,12.238095238095239,0.0,0.0,7.809523809523809,0.0,22.523809523809522,0.0,30.666666666666668,4.476190476190475,4.190476190476191,26.0,13.428571428571429,5.6190476190476195,6.714285714285714,22.142857142857142,19.428571428571427,32.666666666666664,5.0476190476190474,0.0,15.19047619047619,9.047619047619047,28.523809523809522,27.19047619047619,10.523809523809524,21.71428571428571,22.61904761904762,23.238095238095237,10.380952380952381,21.238095238095237,22.523809523809522,1.857142857142857,29.428571428571427,12.666666666666666,15.380952380952381,47.57142857142858,36.238095238095234,80.38095238095238,67.66666666666667,78.23809523809524,31.809523809523807,25.523809523809522,77.90476190476191,29.85714285714286,48.714285714285715,4.070709116791552,4.854530160003017,9.31033220170755,0.0,4.271670110493063,0.0,0.0,3.705320886544108,0.0,1.5665207036361692,0.0,8.824539653873247,2.0455288963096887,1.0834423458146996,7.030601597379442,2.9550754635538077,3.6299959708378897,4.3415237440623295,4.296623432799151,2.891068426030579,10.676555310148018,2.814372666710159,0.0,5.592626771583464,4.4439058630587445,6.470202136832376,9.881569755149012,6.266466449130905,6.697258497363255,10.1905079084927,0.2900510447745696,4.894348631439846,4.790381296161844,9.880030075292032,1.857142857142857,6.361271023961518,2.2817915503849426,0.5444977411355155,0.7048274220065206,1.0889669836674702,2.8311843537385317,3.4109280499618753,0.34184928696608097,0.46570238897078403,1.2700736047741672,0.44221510009414344,0.7515175110335731,1.949868873925573
2008-10-31,23.9047619047619,0.0,23.61904761904762,0.0,22.80952380952381,7.142857142857143,7.904761904761905,11.952380952380954,0.0,16.428571428571427,0.0,12.095238095238095,8.333333333333334,16.571428571428573,8.142857142857142,8.761904761904761,10.238095238095239,26.23809523809524,38.333333333333336,22.952380952380953,9.238095238095239,0.0,14.333333333333334,29.238095238095237,16.047619047619047,25.38095238095238,17.571428571428573,0.0,27.71428571428571,16.238095238095237,18.952380952380953,17.142857142857142,16.047619047619047,10.476190476190476,8.0,15.476190476190476,9.428571428571429,11.714285714285714,44.23809523809524,34.42857142857142,62.047619047619044,74.52380952380953,87.66666666666667,21.90476190476191,24.952380952380953,87.33333333333333,31.52380952380953,44.61904761904762,9.58964917187231,0.0,9.792534109740297,0.0,6.558532551105134,5.676427713599313,5.938957080494217,6.5639397087101505,0.0,1.4179678998965126,0.0,3.6652066591967922,2.0582500780880815,4.386029457541265,1.7799870709608108,2.227911110357352,7.407575660828872,11.845615326611622,9.041644396758498,9.796984379432965,3.7534564569406768,0.0,7.097426609655902,8.591612592545436,4.375514223100329,5.4147111593919774,6.8641304137969525,0.0,6.934975142506301,4.29205879590238,0.26884530052688504,6.118260093847247,7.120796355537581,5.813490377742409,2.9104809689979887,6.367517223361435,2.1169188717321084,0.47672657636867394,0.6300372267008925,0.8237872137368704,2.2119407375618967,3.261903837511698,0.3253000243161778,0.4385578791714142,0.8877812376557476,0.27343216596744097,0.467140679006732,1.1863701776976872
2009-01-31,10.428571428571429,18.666666666666668,14.380952380952381,0.0,3.0952380952380953,7.571428571428572,0.0,12.476190476190476,0.0,16.047619047619047,0.0,25.142857142857142,6.285714285714286,21.38095238095238,18.952380952380953,15.0,4.142857142857143,34.42857142857142,32.952380952380956,16.0,25.57142857142857,3.285714285714286,9.428571428571429,31.047619047619047,6.666666666666667,16.333333333333332,4.523809523809524,10.95238095238095,12.80952380952381,0.0,16.571428571428573,18.952380952380953,15.857142857142856,21.666666666666668,7.857142857142857,10.714285714285714,4.809523809523809,10.380952380952381,38.476190476190474,47.80952380952382,64.33333333333333,69.71428571428572,78.04761904761905,23.23809523809524,26.952380952380953,77.47619047619048,26.28571428571429,45.714285714285715,4.229347133198156,6.887091984974561,5.536321270542994,0.0,1.4741409223021196,2.6782627688122282,0.0,3.655001026250149,0.0,1.6933834924597775,0.0,5.096001305769005,2.3558169961580417,4.8799214760908285,5.2611031963945285,2.9917891262039062,2.6764277135993133,9.172536345314713,5.329918122096143,4.934491498544339,7.8290870520918885,1.1961768273409972,4.541236275348508,7.56779520053805,3.253000243161777,6.6424232720689815,3.0454888784648646,4.0855357872517,5.565171658314831,0.0,0.24952168670112615,9.721913853392985,5.348658047583114,9.185452173381998,4.202627567509736,4.241245635411503,1.1560630859779226,0.3704053096001241,0.5170060746828824,0.9497177736566319,2.634094872003967,2.6668352110319886,0.28659103615554876,0.45015095436184954,0.9078456228909896,0.5997366693110187,0.6947493862766013,0.8173173639509571
2009-04-30,10.80952380952381,11.714285714285715,9.857142857142858,0.0,10.523809523809524,5.714285714285714,0.0,12.523809523809524,0.0,18.42857142857143,2.0,23.0952380952381,6.19047619047619,3.0,26.85714285714286,15.714285714285714,12.380952380952381,21.047619047619047,28.0,17.333333333333332,0.0,5.666666666666667,25.666666666666668,28.857142857142858,4.238095238095238,10.238095238095239,24.666666666666668,4.3809523809523805,22.047619047619047,1.5714285714285714,17.61904761904762,21.285714285714285,4.904761904761904,9.142857142857142,12.428571428571429,11.761904761904761,5.476190476190477,9.047619047619046,38.666666666666664,69.57142857142857,54.8095238095238,74.23809523809524,84.04761904761904,24.28571428571429,27.61904761904762,83.04761904761904,24.0952380952381,49.476190476190474,5.753531438284469,5.749948709074129,2.7744651449448745,0.0,3.1187507161794223,4.383130053842367,0.0,7.66879370585626,0.0,1.2679096888468335,2.0,5.676081420268788,1.5607077076632663,1.9400079087670878,4.448596118392642,2.8088921592602243,3.3526650312537014,8.627151774711153,5.9296234697811725,3.7838420048226538,0.0,1.918994445677132,8.615917396180746,6.978824234626295,2.8046770138337567,5.200180973687329,6.499786112541805,2.1074679150225712,6.7376452632446195,1.5714285714285712,0.20155872584575438,2.8418905059432213,2.921777967062326,4.1857347861383305,6.431042399938826,4.840753246376067,1.2404902905361777,0.3315459543009156,0.666030669965977,1.7704330515576512,2.3791475224108964,2.55409251794743,0.4383078746622524,0.3917971527874382,0.8326925915061323,0.44029669485207523,0.5314351006179181,0.976679664374953
