,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.57142857142857,0.0,0.0,0.0,0.0,0.0,55.285714285714285,36.57142857142857,54.57142857142857,26.0,43.142857142857146,43.857142857142854,63.714285714285715,66.0,64.28571428571429,72.28571428571429,57.42857142857143,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.987005311470716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.608202654786505,0.0,0.0,0.0,0.0,0.0,8.155378843538333,5.601263220012424,5.995463137347482,4.540820148282424,9.409793711185959,6.162206513550666,2.5139068978696204,3.8110116142317807,11.096362093077184,1.1065666703449752,2.5057756413186416,2.8523769774994165
2007-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4761904761904763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.80952380952382,0.0,0.0,0.0,0.0,0.0,34.857142857142854,34.333333333333336,50.47619047619048,32.61904761904762,19.047619047619047,35.952380952380956,66.95238095238095,56.52380952380952,60.666666666666664,73.42857142857143,36.714285714285715,36.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7997810968376284,0.0,0.0,0.0,0.0,0.0,5.587250767211752,9.0841922654093,6.425926666748036,5.913333471879934,3.92984813601444,7.049053412679489,1.6824130813978828,3.510288479015427,7.274561777917403,1.5850271943469247,2.618306707862622,3.7045903233355264
2007-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.61904761904762,0.0,0.0,0.0,0.0,0.0,51.761904761904766,8.333333333333334,50.476190476190474,22.90476190476191,29.333333333333332,20.42857142857143,80.04761904761905,44.76190476190476,46.42857142857142,83.66666666666667,48.666666666666664,40.904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6661595994852276,0.0,0.0,0.0,0.0,0.0,8.279914098389574,3.6667155740965676,4.195355184091827,6.08933156943511,6.508904195018995,5.0977187418248,1.8686322291451845,2.586428175484093,5.365676904216048,1.751959435875979,2.1667011808993233,4.363788121845243
2007-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.57142857142857,0.0,0.0,0.0,0.0,0.0,30.80952380952381,19.761904761904763,36.38095238095238,18.952380952380953,49.714285714285715,28.428571428571427,71.85714285714285,50.333333333333336,38.19047619047619,75.52380952380952,41.38095238095238,39.76190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.616699999185059,0.0,0.0,0.0,6.734350297014738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0547425748514443,0.0,0.0,0.0,0.0,0.0,3.9621880283158775,6.368058973894832,4.483732353947915,5.765533942177133,6.637331693808466,4.659856120926993,1.495094952943644,2.6513996492292713,4.701105583988198,1.5776130856010673,2.278365550926455,3.9055483279155028
2008-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.38095238095238,0.0,0.0,0.0,0.0,0.0,44.952380952380956,21.952380952380953,42.476190476190474,46.52380952380952,69.04761904761905,35.57142857142858,66.76190476190476,47.76190476190476,53.047619047619044,74.47619047619048,46.80952380952382,42.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.236558584338391,0.0,0.0,0.0,0.0,0.0,4.917514057599134,5.047751815042247,4.33143205808343,6.515329181545863,6.946789019072806,5.251217886044155,2.2496159715687174,2.0817861486324283,5.836812869052454,1.4112048050623045,2.1988474022079463,3.251299519795969
2008-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.333333333333332,0.0,0.0,0.0,13.476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.61904761904762,0.0,0.0,0.0,0.0,0.0,28.857142857142858,14.57142857142857,43.61904761904762,33.095238095238095,62.857142857142854,29.857142857142858,75.76190476190477,46.95238095238094,56.904761904761905,79.28571428571428,41.238095238095234,44.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.637631666378426,0.0,0.0,0.0,4.815570613393336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1275264799714013,0.0,0.0,0.0,0.0,0.0,3.6500096930479073,5.007339441307243,3.6804536902634233,5.52362231766471,4.437722434101605,4.838287553619524,1.4175823000525047,1.6323373922006181,5.680808867106357,1.5718045469564814,1.6955692445549222,3.6122169175405747
2008-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.61904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.61904761904762,0.0,0.0,0.0,0.0,0.0,28.52380952380953,20.333333333333332,35.476190476190474,24.476190476190478,51.0,18.238095238095237,88.95238095238096,45.714285714285715,44.23809523809524,89.09523809523809,42.14285714285714,51.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3641118508116685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.938478270595894,0.0,0.0,0.0,0.0,0.0,5.160842529362479,4.9726034462880255,3.6090054436254397,6.000523897350192,6.6831013126025605,3.8394635101124437,1.8730481225682578,2.003266138578216,4.192048100624201,1.5755850070236035,2.1450092650450188,3.7143510447880512
2008-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.61904761904762,0.0,0.0,0.0,0.0,0.0,24.28571428571429,12.761904761904761,50.904761904761905,18.666666666666668,43.857142857142854,24.523809523809522,79.57142857142857,44.61904761904762,49.80952380952382,80.76190476190476,36.714285714285715,44.047619047619044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.877163505617988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.985759034495328,0.0,0.0,0.0,0.0,0.0,3.5936983300271392,3.719398958413246,5.327260765595583,5.461604493670021,5.9126603526239565,4.9812794866975745,1.8165800202506397,2.4850079363221074,4.73019858849504,1.809772379814629,1.7118757546180048,3.0021597318633426
2009-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.761904761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.904761904761905,0.0,0.0,0.0,0.0,0.0,19.0952380952381,29.0,31.0,66.6190476190476,52.95238095238094,44.476190476190474,82.76190476190476,67.95238095238095,55.61904761904762,84.19047619047619,34.904761904761905,45.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7700071100100074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7773737079564589,0.0,0.0,0.0,0.0,0.0,2.642883815526081,5.738469635643128,3.579496392685773,7.344269746873665,5.096777828083611,5.519505630664532,1.673030770162195,1.7118422889915361,5.360440211911336,1.388990140498146,2.017162154650967,2.677758486353619
2009-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.80952380952381,0.0,0.0,0.0,9.380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.904761904761905,0.0,0.0,0.0,0.0,0.0,17.0952380952381,34.14285714285714,34.57142857142858,48.142857142857146,30.523809523809522,56.80952380952382,80.66666666666667,60.38095238095239,57.904761904761905,83.6190476190476,31.47619047619048,46.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.033670388985384,0.0,0.0,0.0,5.757115973425417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9952894612444616,0.0,0.0,0.0,0.0,0.0,2.48781569123089,7.590636774584312,1.9743423057483505,7.638770077477756,4.024431148223521,5.608343511444577,1.3788357251263303,2.7015237617095935,4.47584802038455,1.529821584693148,1.43066443011577,3.419636998106568
2009-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.19047619047619,0.0,0.0,0.0,9.952380952380953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.61904761904762,0.0,0.0,0.0,0.0,0.0,17.333333333333332,20.047619047619047,42.761904761904766,31.38095238095238,20.9047619047619,34.523809523809526,71.85714285714286,46.476190476190474,43.523809523809526,74.38095238095238,30.0952380952381,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9745980984124025,0.0,0.0,0.0,3.519731660217797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8056818122458307,0.0,0.0,0.0,0.0,0.0,2.9254878985112907,5.792166719416644,4.179749098625553,4.002534296270855,3.571062289480176,4.667283626648149,1.0496240479426293,1.7570154773832698,4.658263500270856,1.3450805257937992,1.343055752424701,2.0047170966287986
2009-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.71428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.904761904761905,0.0,0.0,0.0,0.0,0.0,27.666666666666668,37.57142857142858,28.19047619047619,22.57142857142857,16.61904761904762,57.57142857142858,67.23809523809524,46.19047619047618,42.952380952380956,73.66666666666667,29.90476190476191,38.904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47882374025381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.036769098308152,0.0,0.0,0.0,0.0,0.0,2.8765435172407567,5.307151322222038,3.5913493214564753,3.963007309723246,2.7401643191252005,5.938862346979181,1.051147998381348,2.265012852247232,5.205266053375324,1.3323990943023707,1.3955398163906052,2.7484838735341897
2010-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.952380952380953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.666666666666664,0.0,0.0,0.0,0.0,0.0,22.47619047619047,44.333333333333336,50.904761904761905,58.04761904761906,22.47619047619047,59.47619047619048,60.666666666666664,51.095238095238095,49.61904761904762,66.76190476190476,29.047619047619047,52.047619047619044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9573181873793417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.205679100853164,0.0,0.0,0.0,0.0,0.0,2.638506565372793,5.60280292293304,3.5530711452663084,4.773752406537806,3.4376946387709233,5.602652757045394,1.198918715905062,2.1925387627047015,5.816406232940142,1.239660082011036,1.5228010824136053,3.604161331445141
2010-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.523809523809524,0.0,0.0,0.0,12.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,19.523809523809526,60.80952380952382,36.047619047619044,39.38095238095238,19.238095238095237,59.57142857142858,65.61904761904762,53.0,53.47619047619048,71.42857142857143,30.09523809523809,41.57142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0516443450023205,0.0,0.0,0.0,4.611590880517017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1215360701380734,0.0,0.0,0.0,0.0,0.0,2.680378306146729,6.406849414734475,2.916898248271753,4.375547589475111,2.161122483826901,5.0447047371881135,0.8991827556019524,1.8522421862486633,4.0459696957482265,1.1930699713994335,1.8864165375658521,2.080152834376808
