,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.57142857142857,0.0,0.0,0.0,0.0,0.0,54.857142857142854,18.285714285714285,81.28571428571429,10.142857142857142,54.57142857142857,12.0,50.714285714285715,52.0,42.142857142857146,48.714285714285715,57.57142857142857,44.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.540818358406442,0.0,0.0,0.0,0.0,0.0,7.796301233608798,6.472337789592338,6.331005658902954,3.693163384188807,9.613624119315409,6.260229723458731,2.77500995892066,4.140393356054125,11.95313979757654,1.1895234282663616,5.353490818669463,9.949190648380556
2007-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.190476190476192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.28571428571428,0.0,0.0,0.0,0.0,0.0,23.523809523809522,41.04761904761905,46.666666666666664,48.76190476190476,65.76190476190476,27.666666666666668,62.333333333333336,39.285714285714285,47.57142857142858,61.52380952380952,31.238095238095237,31.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3379786226035697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5091488244713664,0.0,0.0,0.0,0.0,0.0,6.025564523843616,10.113756952006264,7.072259716512666,9.918763788091844,5.768198380610769,7.491075074522995,2.657527927543891,3.789012336672011,8.906844991985158,2.425349168992416,2.871128795140613,7.116536104849004
2007-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.38095238095238,0.0,0.0,0.0,0.0,0.0,32.333333333333336,23.523809523809522,40.76190476190476,25.33333333333334,29.09523809523809,22.476190476190478,58.142857142857146,35.0,52.76190476190476,53.47619047619048,33.19047619047619,30.476190476190478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65818857882882,0.0,0.0,0.0,0.0,0.0,4.791693939510071,8.515585568563047,8.03515180581538,5.446872700171903,3.1056952042379975,4.903961477732506,2.434389478992426,3.6149854290295402,11.658914025444815,2.4412172448604257,3.5414014959887523,6.759712559782369
2007-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.14285714285715,0.0,0.0,0.0,0.0,0.0,15.19047619047619,29.38095238095238,36.047619047619044,29.047619047619047,50.904761904761905,40.8095238095238,60.904761904761905,37.952380952380956,49.142857142857146,55.904761904761905,36.19047619047619,44.8095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8823398045864868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.130205430028198,0.0,0.0,0.0,0.0,0.0,3.4415419224141175,6.103385700599763,7.832006588881513,7.973025580162254,4.838620868137913,6.4252991092433716,2.425104760460881,3.412043179772025,8.51861183416547,2.0773551170577327,3.577819547011932,5.277061201103852
2008-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.95238095238096,0.0,0.0,0.0,0.0,0.0,25.047619047619047,33.047619047619044,54.952380952380956,23.28571428571429,50.476190476190474,30.333333333333332,63.80952380952382,39.523809523809526,37.57142857142858,58.57142857142858,34.333333333333336,33.952380952380956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.588456936930736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0878468298490915,0.0,0.0,0.0,0.0,0.0,4.671018655106432,6.725532025932121,5.983725995414325,5.459677227477094,8.697340356212058,6.7226935298849595,2.2451708441124296,4.025510636209534,7.028878240228512,1.9588204615675142,3.2946959087727237,5.466900583713259
2008-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.095238095238095,0.0,0.0,0.0,0.0,0.0,25.28571428571429,20.238095238095237,44.904761904761905,47.47619047619048,59.8095238095238,35.57142857142858,73.04761904761905,44.47619047619048,36.19047619047619,68.42857142857143,30.619047619047617,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3744314284731365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.409937706172876,0.0,0.0,0.0,0.0,0.0,4.554089025971535,8.455798112101158,7.773816037671544,9.730651905493131,5.494278418387746,7.797850675528487,3.311055680946366,4.106547737304372,7.328989935538163,1.9425861823325243,2.8348000771427,3.1444467686161848
2008-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.80952380952381,0.0,0.0,0.0,0.0,0.0,21.95238095238095,6.9523809523809526,44.666666666666664,21.857142857142858,29.28571428571428,23.61904761904762,73.19047619047619,30.761904761904763,29.33333333333333,68.09523809523809,30.523809523809522,30.28571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.733800050041588,0.0,0.0,0.0,0.0,0.0,5.415769217871701,3.289727758455386,7.754587152967804,4.783633670431509,4.982110122765044,5.792068934026105,2.984625464571655,2.6050558230124463,6.216816790321588,2.588535160193108,2.1944340373167814,6.666106863459632
2008-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.23809523809524,0.0,0.0,0.0,0.0,0.0,19.238095238095237,16.333333333333332,23.142857142857142,15.333333333333334,36.76190476190476,22.0,71.6190476190476,28.38095238095238,41.904761904761905,67.42857142857143,35.23809523809524,46.61904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.996629381747914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.060848054857618,0.0,0.0,0.0,0.0,0.0,2.7346464831680053,2.8955383362594964,4.117406525068675,5.121443512792457,4.978158923575179,4.612960757274283,2.084750601257093,2.3194828803609395,9.949751125439278,2.4656019821246056,3.1706867390059457,5.642004163891148
2009-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.76190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.047619047619044,0.0,0.0,0.0,0.0,0.0,49.0,17.0,29.0,38.285714285714285,30.571428571428573,53.42857142857142,79.47619047619048,42.42857142857144,47.904761904761905,76.85714285714285,44.952380952380956,52.95238095238094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.360264469778379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.764568643131975,0.0,0.0,0.0,0.0,0.0,4.263007599437104,4.804773222168262,4.79183963864227,9.376314421843402,5.11388695040258,8.898826428247446,2.7896227439426244,3.007780751270221,7.698965061846579,2.194105385214589,2.903626838987924,6.223185831275522
2009-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.19047619047618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.666666666666664,0.0,0.0,0.0,0.0,0.0,41.14285714285714,27.0,35.61904761904762,40.714285714285715,31.476190476190478,52.0,83.85714285714286,48.38095238095239,35.57142857142857,87.33333333333333,41.61904761904762,58.76190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.424769993567049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.133428230710471,0.0,0.0,0.0,0.0,0.0,3.654278410682489,6.519239632428595,5.455507664196485,7.337831749452945,5.466799421194011,8.268880183763004,3.1979794192881292,4.2619414374808535,7.844440060550809,2.8942845566042714,2.4608505973116124,6.027382932791205
2009-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.952380952380953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.333333333333336,0.0,0.0,0.0,0.0,0.0,43.0,19.857142857142858,48.80952380952382,38.857142857142854,22.523809523809522,49.047619047619044,75.66666666666667,42.095238095238095,29.90476190476191,76.95238095238095,41.38095238095238,49.28571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.041817258356764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.889144547118892,0.0,0.0,0.0,0.0,0.0,3.2954944947340294,6.389373856911701,7.470844237230896,8.055999777752751,3.2100125576951783,4.456460854682365,2.115769103385825,2.899475875184708,5.689672599643878,1.985830510996755,4.176333818470278,5.222020781349204
2009-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.476190476190474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.19047619047618,0.0,0.0,0.0,0.0,0.0,39.666666666666664,24.61904761904762,48.76190476190476,27.47619047619047,7.571428571428572,65.80952380952381,68.76190476190476,46.42857142857142,32.42857142857142,71.47619047619047,39.42857142857143,53.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.677728950250431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1397555956575016,0.0,0.0,0.0,0.0,0.0,5.72525019865738,7.657161733935048,6.193582002205166,4.766075135047923,2.305569298258067,7.786026861984349,2.2511698450183295,2.750252489422943,6.2245276952961035,2.3992238111957516,3.3792842524597404,6.9123345903578075
2010-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.476190476190474,0.0,0.0,0.0,0.0,0.0,40.142857142857146,49.0,43.714285714285715,37.285714285714285,13.333333333333334,55.142857142857146,64.71428571428571,66.71428571428571,34.19047619047619,68.90476190476191,31.71428571428571,41.19047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.510397571730995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.771242302235434,0.0,0.0,0.0,0.0,0.0,3.7478318724787427,5.911814583286205,5.351038882297975,8.630558384451495,3.0560621666987076,8.011146162337427,1.9104477980948567,3.7333348181587525,5.92759728836045,2.0255566809498364,2.9078043641853437,4.643834432122229
2010-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.42857142857142,0.0,0.0,0.0,0.0,0.0,31.14285714285714,39.61904761904762,50.61904761904762,24.90476190476191,12.476190476190476,38.142857142857146,57.714285714285715,63.42857142857142,23.38095238095238,62.333333333333336,40.333333333333336,31.38095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.870159599958348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922643537376453,0.0,0.0,0.0,0.0,0.0,3.0287053624601348,6.70014856805652,4.54511708811217,4.082228179537086,3.251951453775609,6.034036304491846,2.3801182485534698,3.844444970056117,5.803305824162088,1.7520279546117232,3.2594988863711616,4.071995482873943
