,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,40.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,66.71428571428571,0.0,13.428571428571429,13.571428571428571,63.714285714285715,25.285714285714285,18.714285714285715,87.0,14.0,0.0,0.0,0.0,64.28571428571429,52.857142857142854,0.0,26.857142857142858,0.0,51.857142857142854,0.0,0.0,0.0,49.42857142857143,0.0,20.857142857142858,9.428571428571429,0.0,0.0,0.0,64.42857142857143,39.57142857142857,26.142857142857142,43.57142857142857,88.28571428571429,87.85714285714286,32.285714285714285,67.42857142857143,77.71428571428571,80.42857142857143,73.57142857142857,55.285714285714285,7.0,19.340838327510117,0.0,0.0,0.0,0.0,0.0,0.0,17.817479761010354,0.0,2.2023487771137478,9.055009512911157,9.395323775343638,9.826384031232022,3.271189427732494,8.893550365025101,2.4102953780654786,0.0,0.0,0.0,16.792450522714756,13.477368281022558,0.0,9.755166082959452,0.0,18.591381223091332,0.0,0.0,0.0,17.649844384660195,0.0,0.4040610178208842,9.428571428571429,0.0,0.0,0.0,17.185067081982687,1.8368858592367532,0.7377111135633174,1.9005906708071525,3.616853971763475,3.3836340806648604,1.9112983086085211,0.4285714285714289,1.5540160830553065,0.8689660757568881,0.5714285714285708,0.9689042833036096,0.3779644730092272
2007-04-30,25.9047619047619,9.523809523809524,0.0,0.0,0.0,16.428571428571427,0.0,3.142857142857143,0.0,15.952380952380954,15.238095238095239,28.9047619047619,6.0476190476190474,8.761904761904761,36.23809523809524,13.04761904761905,7.190476190476191,0.0,24.761904761904763,0.0,43.476190476190474,0.0,29.523809523809522,5.714285714285714,22.28571428571429,0.0,7.523809523809523,0.0,0.0,0.0,19.28571428571429,23.809523809523807,7.523809523809525,23.238095238095237,0.0,21.142857142857142,20.476190476190478,20.857142857142858,50.71428571428572,79.95238095238096,57.61904761904762,25.952380952380953,64.04761904761905,69.14285714285715,73.23809523809524,69.09523809523809,42.38095238095238,6.904761904761905,11.665581620475336,6.147592613027645,0.0,0.0,0.0,5.922209246411058,0.0,3.142857142857143,0.0,1.4320291251317947,7.326912966347958,9.739763786378234,3.0597476911478343,3.1060574845490017,7.730605682761959,2.2568313542569296,4.642714690529329,0.0,7.487226846299113,0.0,10.569149842543895,0.0,9.556077186246709,3.695004901822161,12.137055015415607,0.0,5.785266706643674,0.0,0.0,0.0,0.30665713574357983,11.501352064297356,4.85659816429184,6.025393480187071,0.0,9.564958531295842,0.8338245588292365,0.49864885020204214,1.6455464127669492,3.260609569074003,2.768959691565055,2.2672071318108102,0.5507580451064714,1.170484988991921,1.4411404874053642,0.6616212501869931,0.9621948253949757,0.3168651896712735
2007-07-31,4.761904761904762,0.0,33.761904761904766,0.0,13.952380952380954,0.0,0.0,13.142857142857144,0.0,16.142857142857142,18.047619047619047,12.38095238095238,21.61904761904762,6.428571428571428,9.380952380952381,11.714285714285714,29.09523809523809,0.0,36.42857142857142,31.571428571428573,33.142857142857146,0.0,6.761904761904762,19.857142857142858,8.761904761904761,0.0,13.19047619047619,0.0,11.666666666666666,0.0,18.476190476190478,9.380952380952381,23.523809523809522,15.904761904761905,23.80952380952381,44.476190476190474,19.142857142857142,23.90476190476191,43.1904761904762,60.333333333333336,58.42857142857142,23.61904761904762,79.42857142857143,52.76190476190476,71.71428571428571,82.19047619047619,41.38095238095238,7.476190476190477,4.761904761904762,0.0,9.47972120755618,0.0,8.365204545035443,0.0,0.0,5.027888962827696,0.0,1.657307567453808,5.628715595357733,6.540003518219847,5.9696891216056445,2.3255030927621996,3.61946529785509,2.9062757684464704,7.825881504836363,0.0,11.286634548089372,11.247714983753776,9.89301372485612,0.0,4.452499596387427,9.780139485698626,5.659993402932515,0.0,6.229853225363087,0.0,5.526750722167008,0.0,0.33968983551680093,4.526482084408225,8.248980654090161,10.170957281787674,6.147592613027645,15.512266052285703,1.626656060434491,0.8382997181992264,1.3331549647005316,1.4676321410040594,3.0533179395277954,1.6905118819876213,0.6024355816825877,1.210597850191031,1.1915689030784893,0.6998826645480113,0.8874761229171212,0.4075246144774199
2007-10-31,8.619047619047619,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,9.285714285714285,1.9523809523809523,29.71428571428571,15.80952380952381,5.6190476190476195,18.095238095238095,6.476190476190477,5.761904761904762,8.714285714285714,17.761904761904763,3.9047619047619047,55.857142857142854,0.0,31.19047619047619,26.61904761904762,22.142857142857142,0.0,18.28571428571429,0.0,18.571428571428573,0.0,17.23809523809524,8.428571428571429,16.0952380952381,0.0,9.523809523809524,0.0,27.57142857142857,23.28571428571429,42.095238095238095,33.476190476190474,38.904761904761905,28.76190476190476,71.71428571428571,51.42857142857142,69.28571428571428,74.42857142857143,45.8095238095238,9.809523809523808,5.5902544505928695,0.0,0.0,0.0,0.0,8.817236672973662,0.0,0.0,0.0,0.8614183476268766,1.9523809523809523,8.425866680733995,6.3303201178762185,3.960358165188302,6.565853810875058,2.362330744358237,3.740748224474826,5.65892495045306,8.694601524626181,3.9047619047619047,10.974424368422945,0.0,7.597755563281534,6.901992990893391,9.778539036486322,0.0,7.445670983500008,0.0,11.56150804307606,0.0,0.2617720214254273,5.504550443568473,11.673017565088022,0.0,6.147592613027645,0.0,1.6992283660713179,0.5767855122598258,1.211025451983854,1.6131588606271963,1.8237346138251584,1.3418597607214828,0.51855837598431,1.063144463108225,0.9677390734341044,0.6253854790765295,1.024545708131747,0.5395731808197793
2008-01-31,14.142857142857144,0.0,21.71428571428571,2.142857142857143,0.0,32.333333333333336,0.0,13.666666666666666,0.0,13.61904761904762,0.0,21.28571428571429,14.38095238095238,7.333333333333333,28.857142857142858,7.857142857142858,12.095238095238095,4.3809523809523805,27.76190476190476,3.380952380952381,31.28571428571429,0.0,16.19047619047619,18.142857142857142,19.095238095238095,24.476190476190478,35.333333333333336,0.0,5.333333333333333,0.0,16.952380952380953,28.809523809523807,0.0,0.0,0.0,10.0,42.047619047619044,19.571428571428573,44.142857142857146,64.66666666666667,73.33333333333333,30.28571428571429,66.38095238095238,62.047619047619044,66.42857142857143,70.09523809523809,54.76190476190476,10.38095238095238,5.0257838593955215,0.0,4.411641988422633,1.3875049794603298,0.0,12.83682812774508,0.0,7.283487557117915,0.0,1.2916428858504372,0.0,6.520302822177019,4.517003090415266,3.0448036133926486,7.663816471519552,1.8248451774658914,4.8110951385678,4.3809523809523805,6.545558381077858,3.380952380952381,6.741548992412945,0.0,5.145191232832635,7.382814414255146,11.621664284523916,11.95578433080103,10.891341780423113,0.0,3.4549251708984863,0.0,0.2886026950410622,11.58853787054843,0.0,0.0,0.0,5.210388483419268,1.677953998180114,0.5562129577121592,1.226829224153163,1.5144296008931164,2.7118382155529375,1.7558836510305262,0.37279256135402106,0.9836827552109391,1.2348312975805016,0.5520214322672387,1.3968735389984088,0.4813409063283159
2008-04-30,6.428571428571428,0.0,0.0,0.0,16.80952380952381,8.666666666666666,0.0,11.333333333333334,0.0,12.142857142857144,0.0,33.714285714285715,25.952380952380953,10.523809523809524,15.142857142857144,11.04761904761905,11.238095238095239,0.0,15.476190476190476,6.190476190476191,25.666666666666668,0.0,28.857142857142858,2.238095238095238,17.047619047619047,18.428571428571427,12.285714285714286,0.0,17.761904761904763,0.0,18.047619047619047,10.761904761904761,7.0476190476190474,11.904761904761905,10.523809523809524,12.95238095238095,29.857142857142858,20.428571428571427,46.42857142857142,50.04761904761906,66.71428571428571,23.0,69.3809523809524,70.04761904761905,72.61904761904763,72.23809523809524,50.61904761904762,11.761904761904761,4.16886563289763,0.0,0.0,0.0,7.557419598308695,4.495735780897295,0.0,5.665144263281902,0.0,0.8589935746476374,0.0,7.976378808672426,9.596603252468748,3.0659987075227515,4.144143388732789,2.135936934696151,2.9409661567240484,0.0,6.821811392014577,4.019698284800918,8.460851422291361,0.0,6.623653136197839,2.2380952380952377,4.697983678396427,7.506622533074928,6.447751403471307,0.0,5.178156341693188,0.0,0.18230605355934237,5.252046171132697,5.613838681107912,4.494390557713111,4.9616823518992925,4.617902001607166,1.4987356932872709,0.5527321832330307,0.9904628045238056,1.9339378255180468,2.9208991853812165,2.2810435434903398,0.5428323490447239,1.0226538118611286,0.9592039998361219,0.5524683279925083,0.9816337924609156,0.4712610340523575
2008-07-31,28.61904761904762,12.285714285714286,6.285714285714286,0.0,0.0,15.761904761904761,0.0,0.0,0.0,14.142857142857144,0.0,33.61904761904762,13.714285714285714,9.666666666666666,11.38095238095238,5.142857142857143,14.476190476190476,7.428571428571428,34.904761904761905,0.0,20.28571428571429,0.0,14.380952380952381,21.428571428571427,3.285714285714286,5.6190476190476195,8.428571428571429,0.0,0.0,0.0,28.09523809523809,30.809523809523807,16.333333333333332,10.761904761904761,18.761904761904763,9.476190476190476,20.285714285714285,21.333333333333332,38.19047619047618,46.095238095238095,63.23809523809524,25.19047619047619,78.71428571428572,51.71428571428572,73.6190476190476,79.66666666666667,44.57142857142858,12.761904761904761,7.839131307477106,9.29472883531649,4.098927832084622,0.0,0.0,7.958276483223298,0.0,0.0,0.0,1.0737596018958433,0.0,6.167734832935227,5.541981124915158,4.345088628245198,3.191870013800441,1.3625550396929722,6.554308269646896,4.84997915542037,10.345509757919766,0.0,6.607064670314824,0.0,6.8917777585078985,8.284628106862582,3.285714285714285,3.6336380907782146,5.790079331738297,0.0,0.0,0.0,0.38217077563057544,9.362890494605086,7.799674564499301,5.089003751587678,4.845067467063079,4.49800493273468,1.2206033845006132,0.5295487061805261,0.7653213680587196,2.9089662235490548,2.4316142227705986,1.3016435865213782,0.5427119018965927,0.894945190752627,1.3960323212161876,0.556652272539831,0.8094969517237648,0.40229369740889637
2008-10-31,15.666666666666666,0.0,24.80952380952381,0.0,0.0,9.666666666666666,0.0,9.047619047619047,0.0,11.285714285714285,2.619047619047619,8.714285714285714,3.9047619047619047,16.0,13.857142857142856,7.0,8.142857142857142,0.0,23.23809523809524,25.38095238095238,47.23809523809524,0.0,1.0,7.285714285714286,2.857142857142857,8.714285714285714,25.0,0.0,11.619047619047619,0.0,17.333333333333332,0.0,6.857142857142857,8.666666666666666,7.6190476190476195,0.0,21.761904761904763,23.80952380952381,39.47619047619048,26.09523809523809,46.952380952380956,29.09523809523809,78.19047619047619,47.85714285714286,71.23809523809524,78.85714285714285,44.0,11.80952380952381,7.65289107622084,0.0,6.3882273023528136,0.0,0.0,4.634241089562613,0.0,3.439137159098626,0.0,0.6754725142677179,1.7003401020340119,2.6301352605978385,2.5299416369392733,4.56008133090157,5.10240696182725,1.67363289213601,2.893942901607193,0.0,8.842133874304658,2.8157047962494346,7.818811303424549,0.0,1.0,2.6109543060940306,2.857142857142857,6.571912474855108,9.08795783995391,0.0,4.148326985670892,0.0,0.2709932014563911,0.0,5.280717738179768,4.096714388759458,4.918611975361783,0.0,0.8227711232479219,0.5843442896500685,1.104219633882644,1.9194225786229193,2.4657505105368447,2.3903537720138393,0.49845229886533277,0.9253969398702719,1.0193965292612854,0.6072455152676818,0.8995002765284089,0.3636891654533785
2009-01-31,12.19047619047619,0.0,12.857142857142856,0.0,19.380952380952383,14.476190476190476,0.0,14.476190476190476,0.0,14.61904761904762,8.761904761904761,4.190476190476191,7.3809523809523805,2.619047619047619,27.19047619047619,13.142857142857144,8.095238095238095,0.0,6.857142857142857,18.238095238095237,23.666666666666668,0.0,14.095238095238095,12.571428571428571,22.38095238095238,2.1904761904761902,10.0,0.0,10.047619047619047,0.0,16.476190476190478,4.333333333333333,30.809523809523807,13.761904761904761,8.333333333333334,6.476190476190475,39.666666666666664,21.71428571428571,41.80952380952381,47.666666666666664,62.52380952380952,37.42857142857142,77.42857142857143,58.38095238095239,72.28571428571428,78.52380952380953,50.61904761904761,11.761904761904761,3.1871577150858794,0.0,6.664764525208365,0.0,6.864701725202939,6.311308275024281,0.0,4.484457074519991,0.0,0.8903446878323775,4.333445413476343,3.4084652239448245,4.631975461300651,0.9440108381713813,6.400944912528476,2.17369963852984,5.253989718613078,0.0,3.2867016848889143,7.337184495145262,5.208448927385713,0.0,5.566392014033288,5.476476814576899,8.290513138038039,2.1904761904761902,3.678230501169304,0.0,3.593371743049841,0.0,0.34191744644577754,2.881247525220161,11.353450549054054,7.505308593459695,3.929268817369644,3.109004793944189,1.2297422205079365,0.4538654782866533,0.933019673295382,2.2711731349445916,3.1093201833497432,1.8126797823936993,0.4341366186625762,1.0225656399180354,0.7313290661867565,0.5143341502723205,0.8394087012105804,0.3942302095051468
2009-04-30,10.380952380952381,3.7619047619047623,12.523809523809524,0.0,14.571428571428571,25.428571428571427,0.0,6.904761904761905,24.857142857142858,24.190476190476193,9.714285714285714,11.333333333333334,25.09523809523809,11.904761904761905,25.142857142857142,20.476190476190474,0.0,5.904761904761905,20.333333333333332,12.476190476190476,34.19047619047619,0.0,19.571428571428573,12.333333333333334,7.0476190476190474,0.0,21.38095238095238,0.0,0.0,0.0,17.952380952380953,0.0,13.38095238095238,13.904761904761903,0.0,10.142857142857144,26.90476190476191,26.571428571428573,42.523809523809526,52.95238095238094,52.47619047619048,55.47619047619048,90.47619047619048,73.33333333333333,85.95238095238095,91.95238095238096,50.57142857142858,10.95238095238095,3.687838278935201,3.7619047619047614,2.5426074427071415,0.0,4.381728709683059,10.950273236634217,0.0,3.327545996417877,11.32930002144481,1.6669915177685677,4.388235982905605,3.548883688062901,8.429757057637081,2.470027000459497,7.308625689549753,2.5388709096480766,0.0,3.8802950071358793,6.159680474372405,6.665975891660764,8.473500116328907,0.0,5.440174631754104,4.36690806081232,4.926673202429548,0.0,5.717779745135599,0.0,0.0,0.0,0.3051579787288757,0.0,6.951767043424868,7.616815963894095,0.0,6.570986966023303,0.946941191267196,0.4560557080707975,1.2389676023429612,1.8312514480275057,2.7095463260502677,2.5327805456073396,0.4430233729938935,1.064816228064811,1.1345202539274288,0.574569524860281,0.8967657659471192,0.3007916566835905
