,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.142857142857146,0.0,0.0,19.285714285714285,0.0,10.0,62.285714285714285,32.57142857142857,48.285714285714285,44.57142857142857,100.0,30.428571428571427,80.57142857142857,77.0,54.142857142857146,78.14285714285714,47.42857142857143,31.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.020204061220407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5649215928719027,0.0,0.0,12.90019247865684,0.0,10.0,3.827931716278361,5.9636084588393405,1.7689691067625433,3.1156833910391595,0.0,4.69476477861571,1.269742059616513,2.1157009420498163,5.791737018121147,0.9863007227241893,2.287201896861491,6.44284130501696
2007-04-30,0.0,0.0,19.047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,3.619047619047619,0.0,0.0,0.0,8.904761904761905,26.80952380952381,0.0,0.0,0.0,11.904761904761905,0.0,0.0,0.0,0.0,9.523809523809524,0.0,0.0,0.0,0.0,19.0952380952381,0.0,34.42857142857142,0.0,0.0,22.9047619047619,0.0,10.619047619047619,32.476190476190474,25.71428571428571,31.71428571428571,32.714285714285715,42.95238095238094,18.952380952380953,73.76190476190476,72.90476190476191,46.047619047619044,72.66666666666667,26.666666666666668,26.71428571428571,0.0,0.0,12.29518522605529,0.0,0.0,0.0,0.0,0.0,0.0,1.2753775158840701,0.0,0.0,0.0,4.23309853474231,11.788198694507344,0.0,0.0,0.0,7.837173971471931,0.0,0.0,0.0,0.0,6.147592613027645,0.0,0.0,0.0,0.0,10.588421302204262,0.0,1.3934062145975628,0.0,0.0,5.978229589514217,0.0,5.275694779304805,2.3526002290823436,6.486273387186454,2.3714050447379793,1.874881361621935,6.19794906480942,1.6209671622947102,1.3586511779783628,1.6646755225625212,3.8830243346434354,0.8056318104689373,1.5339592255816845,3.0284391893683864
2007-07-31,0.0,0.0,0.0,0.0,19.047619047619047,0.0,0.0,0.0,0.0,3.857142857142857,0.0,0.0,9.190476190476192,0.0,0.0,0.0,0.0,0.0,7.380952380952382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.57142857142857,0.0,15.761904761904761,0.0,31.476190476190478,0.0,0.0,0.0,0.0,15.333333333333334,19.857142857142858,27.666666666666668,39.666666666666664,32.76190476190476,29.428571428571427,19.0952380952381,73.85714285714286,55.85714285714286,52.14285714285714,69.52380952380952,21.80952380952381,27.90476190476191,0.0,0.0,0.0,0.0,6.734350297014738,0.0,0.0,0.0,0.0,1.2303693929389379,0.0,0.0,5.937887115915942,0.0,0.0,0.0,0.0,0.0,5.879043399819646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.38588624668663,0.0,10.2809011538456,0.0,1.3217662639501215,0.0,0.0,0.0,0.0,4.188040417627621,1.7598435281879752,5.253941212717877,1.9559493112443131,2.319538004767183,3.6297852027879536,2.336862122444755,1.0393422988162664,2.32637221611248,3.7137443763995654,0.8196584514724661,1.336954059072461,2.1735841249450125
2007-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,19.095238095238095,0.0,16.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904761904762,3.380952380952381,0.0,0.0,14.238095238095239,0.0,0.0,0.0,35.904761904761905,0.0,0.0,27.57142857142857,0.0,22.142857142857142,16.57142857142857,29.09523809523809,36.095238095238095,32.142857142857146,18.333333333333332,25.952380952380953,73.19047619047619,43.047619047619044,43.0,78.23809523809524,25.047619047619047,22.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.360777640701367,0.0,0.0,5.282853508687845,0.0,9.009659853067788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904761904762,3.38095238095238,0.0,0.0,3.7456954382262047,0.0,0.0,0.0,1.3642256911204178,0.0,0.0,10.440520143547822,0.0,9.504179128155831,1.6118519996245546,6.369617017073288,2.449345468370783,2.0967718428493924,3.5481927072799295,2.6685098183115925,1.530120826739969,1.5800506493860895,4.2089369324245665,0.9977197207815731,1.4066501205326027,2.9982984354393913
2008-01-31,0.0,0.0,6.333333333333333,0.0,9.333333333333334,0.0,0.0,0.0,0.0,3.6666666666666665,0.0,7.285714285714286,0.0,0.0,10.0,0.0,0.0,0.0,33.85714285714286,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.523809523809524,0.0,30.333333333333332,0.0,0.0,0.0,0.0,15.714285714285714,34.57142857142858,27.333333333333332,42.476190476190474,35.42857142857142,49.57142857142858,21.476190476190478,79.61904761904762,49.47619047619048,62.857142857142854,75.52380952380953,30.952380952380953,37.047619047619044,0.0,0.0,4.089604837251115,0.0,6.0263969598310005,0.0,0.0,0.0,0.0,1.3083790633932777,0.0,3.4352888339465637,0.0,0.0,4.815649093370092,0.0,0.0,0.0,7.650325566706783,0.0,0.0,0.0,0.0,5.823233887630902,0.0,0.0,0.0,0.0,6.147592613027645,0.0,0.7667168800048799,0.0,0.0,0.0,0.0,7.480289870467106,1.610012233044756,5.8627255060912615,2.5811924066449903,2.258499239949599,4.404974235227148,1.7860911354416669,0.8897833296810674,1.6484717670439972,4.417864864122895,0.8264487772297077,1.4323677328606799,2.8949918330145885
2008-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.380952380952381,0.0,38.8095238095238,0.0,7.571428571428572,15.666666666666666,0.0,0.0,0.0,14.95238095238095,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,12.380952380952381,0.0,9.80952380952381,0.0,31.71428571428571,0.0,0.0,23.38095238095238,0.0,20.42857142857143,35.80952380952381,34.42857142857143,44.095238095238095,33.0,43.333333333333336,16.0,80.66666666666667,60.71428571428572,47.28571428571428,75.38095238095238,31.0,25.380952380952383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0812305011031038,0.0,9.378670665354925,0.0,2.7571113302471435,8.683859042566764,0.0,0.0,0.0,7.40687937566956,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,3.2590359299559375,0.0,6.47024424213302,0.0,1.189068497281318,0.0,0.0,9.718413646378659,0.0,7.354669824346786,2.2134231130284134,6.065220403625735,2.0026477258957396,1.9816203287562815,4.401606639813562,1.2295769886038157,1.1176896604825994,1.9103099122320606,3.1385491738132614,0.8824809153390744,1.4488859298084276,2.2797118189229915
2008-07-31,0.0,0.0,10.666666666666666,12.523809523809524,0.0,0.0,0.0,0.0,0.0,7.0476190476190474,0.0,15.0,6.523809523809525,5.428571428571428,18.80952380952381,0.0,0.0,0.0,4.3809523809523805,0.0,0.0,0.0,7.0476190476190474,7.333333333333333,0.0,0.0,23.0952380952381,0.0,15.857142857142856,0.0,36.23809523809524,0.0,0.0,9.238095238095239,0.0,27.76190476190476,20.476190476190478,26.57142857142857,28.047619047619047,28.85714285714286,39.95238095238095,19.71428571428571,77.33333333333333,46.57142857142858,53.71428571428572,71.28571428571429,24.80952380952381,21.23809523809524,0.0,0.0,5.10990323891863,7.7227372666823415,0.0,0.0,0.0,0.0,0.0,1.7035166805662747,0.0,6.182719368219168,4.215025493315201,2.5786201610544004,3.8378904195221644,0.0,0.0,0.0,2.827892601992717,0.0,0.0,0.0,4.646457700334495,4.827171770466356,0.0,0.0,7.015629312966733,0.0,7.710612598005656,0.0,1.0514848839985376,0.0,0.0,3.534197472732114,0.0,9.446526038477266,1.7909769170169998,4.849409201599604,1.7466900694921683,1.4211435094879403,4.43989866948948,1.9568330310487536,1.2631749782580521,1.351352147306475,4.479258343690675,0.7471374752947987,0.9306513110829805,2.4344384525444016
2008-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857142857142857,0.0,9.476190476190476,8.190476190476192,3.1904761904761902,15.952380952380954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238095238095238,7.6190476190476195,0.0,0.0,6.333333333333333,0.0,7.333333333333333,0.0,27.952380952380953,0.0,0.0,20.61904761904762,0.0,22.142857142857142,20.761904761904763,13.285714285714285,32.85714285714286,35.8095238095238,33.57142857142858,30.90476190476191,75.80952380952381,41.1904761904762,46.80952380952382,77.28571428571428,25.0,37.904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0230795116903133,0.0,5.1852873650083255,4.054429378008048,2.097941978277208,7.395194164572402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238095238095238,4.931503613620947,0.0,0.0,4.101232231915893,0.0,5.819304741202354,0.0,1.3602246514864416,0.0,0.0,8.38832504315073,0.0,8.458908414060481,1.9570530994664448,3.2888556349099676,2.4956859197099814,1.8972610395057998,3.306660225503585,1.9482667203818789,1.2423345929055876,1.9075625502456977,2.860793848923447,0.6305319072292567,0.8119546651690688,4.03505253501389
2009-01-31,0.0,0.0,5.428571428571428,4.761904761904762,0.0,0.0,0.0,0.0,0.0,3.428571428571429,0.0,9.0,11.95238095238095,10.095238095238095,30.190476190476193,0.0,0.0,0.0,22.80952380952381,0.0,0.0,0.0,2.857142857142857,6.333333333333333,0.0,0.0,9.809523809523808,0.0,0.0,0.0,27.952380952380953,0.0,0.0,13.238095238095239,0.0,22.38095238095238,32.76190476190476,26.19047619047619,32.61904761904762,45.76190476190476,46.76190476190476,36.285714285714285,86.0,41.52380952380952,57.952380952380956,76.19047619047619,29.523809523809522,23.47619047619047,0.0,0.0,3.5041277894257576,3.077237032648288,0.0,0.0,0.0,0.0,0.0,0.9831548055273794,0.0,5.932957237355232,5.741535555638326,3.643698743455228,10.060496305095294,0.0,0.0,0.0,9.828843731593947,0.0,0.0,0.0,2.857142857142857,6.333333333333333,0.0,0.0,3.5087623821328506,0.0,0.0,0.0,1.2381187630648836,0.0,0.0,5.508110481370433,0.0,9.72808606956612,2.144770490728423,5.119226017676302,2.3950878276989744,2.3705415558241776,3.567592974521887,1.9922937853411564,0.7704902502340195,0.9969122600239354,2.853366790275752,0.7694834613012421,1.3776448289267702,2.005343442620362
2009-04-30,0.0,0.0,7.809523809523809,0.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143,0.0,9.523809523809524,19.952380952380953,4.571428571428571,6.904761904761905,0.0,0.0,0.0,16.380952380952383,0.0,0.0,0.0,6.952380952380952,0.0,0.0,0.0,12.0,0.0,15.04761904761905,0.0,27.047619047619047,0.0,0.0,10.714285714285715,0.0,36.38095238095238,24.666666666666668,20.380952380952383,31.14285714285714,50.47619047619048,40.047619047619044,42.80952380952382,93.33333333333333,45.857142857142854,44.095238095238095,84.57142857142857,24.857142857142858,20.57142857142857,0.0,0.0,3.728098046131859,0.0,0.0,0.0,0.0,0.0,0.0,0.7085196093250851,0.0,3.7217060595851916,7.65808847718704,2.185467012329481,3.367062907465037,0.0,0.0,0.0,5.62599917127838,0.0,0.0,0.0,6.952380952380952,0.0,0.0,0.0,5.564016104484459,0.0,3.064930988657092,0.0,0.7871300617052525,0.0,0.0,3.2011534097482355,0.0,12.429295610138988,1.5612659884085296,4.5701623917316825,1.8172971341773392,2.2529853908917468,3.317649423666492,2.331154120328022,1.1045808080480795,1.4422556813103844,3.6467090804267315,0.9482086082373584,0.837512734778061,2.861177702651746
2009-07-31,0.0,0.0,0.0,6.857142857142858,0.0,0.0,0.0,0.0,0.0,2.714285714285714,0.0,4.666666666666667,0.0,7.095238095238095,14.428571428571429,0.0,0.0,0.0,3.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.285714285714286,0.0,3.857142857142857,0.0,23.28571428571428,0.0,0.0,2.1904761904761902,0.0,29.761904761904763,20.95238095238095,23.38095238095238,29.57142857142857,41.523809523809526,35.19047619047618,33.142857142857146,75.57142857142857,39.952380952380956,41.38095238095238,70.23809523809524,23.0,23.428571428571427,0.0,0.0,0.0,3.2715360071081268,0.0,0.0,0.0,0.0,0.0,0.631424346635865,0.0,3.5697271674625988,0.0,4.648014134731226,7.94789202493268,0.0,0.0,0.0,2.0287055622991232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.430881936662878,0.0,2.521712216310506,0.0,0.8273376007712478,0.0,0.0,1.4139463009963584,0.0,7.834081008772116,1.410290133398279,4.126494677137317,1.6619763425409948,1.7654583116257208,3.3056751650729184,1.889109533340014,0.8961367163974584,1.1797468779930032,3.2382568593437315,0.4336898119637587,0.6193837723859342,2.8058764477369187
2009-10-31,0.0,0.0,8.476190476190476,4.714285714285714,10.80952380952381,0.0,0.0,0.0,0.0,4.9523809523809526,0.0,18.38095238095238,6.9523809523809526,7.476190476190477,2.1904761904761902,0.0,0.0,0.0,19.952380952380953,0.0,0.0,0.0,2.1904761904761902,4.761904761904762,0.0,0.0,23.09523809523809,0.0,12.904761904761905,0.0,23.71428571428571,0.0,0.0,6.714285714285714,0.0,8.333333333333334,16.476190476190478,19.428571428571427,26.952380952380953,39.85714285714286,27.23809523809524,41.42857142857142,77.0,38.476190476190474,37.38095238095238,79.14285714285715,24.42857142857143,24.71428571428571,0.0,0.0,4.017723395775078,3.069243716566927,5.211838956272771,0.0,0.0,0.0,0.0,0.6026900700462318,0.0,7.399286492292298,3.438367838641172,3.983233346594448,2.1904761904761902,0.0,0.0,0.0,7.535701667977354,0.0,0.0,0.0,2.1904761904761902,3.087536205228062,0.0,0.0,7.490999722661738,0.0,2.745572950020653,0.0,0.6673758653136773,0.0,0.0,3.804751863888338,0.0,3.8811714808150466,0.950763443568912,3.1553783636967476,1.4221455830809884,1.6955528660615595,2.072104650316822,2.414259498748155,0.7358184259083052,0.843424347924397,3.154414859367607,0.728805588539848,1.1604608899930036,2.398645996671526
