,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,57.714285714285715,37.42857142857143,0.0,23.142857142857142,0.0,0.0,0.0,27.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,0.0,27.428571428571427,14.285714285714286,0.0,0.0,0.0,56.714285714285715,31.857142857142858,56.285714285714285,24.0,51.714285714285715,32.142857142857146,29.285714285714285,44.142857142857146,46.142857142857146,47.142857142857146,44.285714285714285,21.714285714285715,27.714285714285715,3.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.574002260711119,0.0,16.80237268635464,17.74402265936488,0.0,11.354522009667656,0.0,0.0,0.0,13.153722217048118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,0.0,0.5714285714285713,14.285714285714285,0.0,0.0,0.0,13.864504671856052,9.124609767072812,3.669139549542046,1.3801311186847085,4.622482767818124,4.469092650152406,10.769697978951086,0.40406101782088405,1.1218303799418803,2.8236127772140183,0.74687557815991,0.8650429583135689,3.669139549542045
2007-04-30,1.5714285714285714,0.0,23.71428571428571,0.0,9.714285714285714,0.0,0.0,34.333333333333336,0.0,18.80952380952381,0.0,9.238095238095239,9.523809523809524,4.714285714285714,12.142857142857144,0.0,0.0,0.0,17.333333333333332,0.0,0.0,0.0,9.904761904761905,3.571428571428571,0.0,0.0,27.476190476190478,0.0,21.42857142857143,0.0,29.047619047619047,4.571428571428571,25.666666666666668,0.0,0.0,34.38095238095238,41.47619047619048,77.33333333333333,28.0952380952381,49.61904761904762,46.38095238095239,31.23809523809524,44.952380952380956,37.61904761904761,45.714285714285715,43.0,20.523809523809522,47.57142857142858,1.5714285714285712,0.0,9.00980734812488,0.0,5.003400204405218,0.0,0.0,9.776005129748846,0.0,7.471620744345913,0.0,3.268184200246713,6.147592613027645,4.7142857142857135,4.485636773502108,0.0,0.0,0.0,8.289978255330242,0.0,0.0,0.0,4.785734028230618,3.571428571428571,0.0,0.0,7.566697643652901,0.0,7.296679646429385,0.0,0.725451847270168,4.571428571428571,10.785508103459522,0.0,0.0,11.621935992850226,6.502581389490776,4.213673708757072,1.223825179143314,4.173252102698483,4.0023919591225825,8.826005496074705,0.8829833656285474,1.352764110172533,4.262625850553622,0.7236629895489582,0.7085474307541183,5.854816035971742
2007-07-31,11.19047619047619,0.0,16.904761904761905,0.0,28.38095238095238,0.0,0.0,19.761904761904763,0.0,15.666666666666666,0.0,26.333333333333332,0.0,9.523809523809524,27.38095238095238,0.0,0.0,0.0,2.5714285714285716,0.0,0.0,0.0,19.571428571428573,28.142857142857142,0.0,0.0,6.333333333333333,0.0,31.333333333333332,0.0,36.23809523809524,0.0,13.142857142857144,0.0,0.0,32.42857142857143,38.952380952380956,54.095238095238095,24.047619047619047,27.19047619047619,49.76190476190476,36.285714285714285,37.8095238095238,35.76190476190476,31.476190476190478,39.57142857142856,19.80952380952381,24.952380952380953,5.188021295062744,0.0,9.423201880414572,0.0,4.733885822567286,0.0,0.0,4.624362839402414,0.0,8.652017172149584,0.0,13.66927637533324,0.0,4.4991810794285145,2.997731568673741,0.0,0.0,0.0,2.5714285714285716,0.0,0.0,0.0,8.405898848030937,10.928399924915977,0.0,0.0,5.088780560718917,0.0,6.306912407320753,0.0,0.7554491574998338,0.0,5.027888962827696,0.0,0.0,4.8283986380771795,7.638976998465313,4.777267676046303,0.8892254848129233,3.276997303881982,6.164141585790948,7.535980767987297,0.7108793471077804,1.3637793644013623,3.8038079289287903,0.830029343954271,0.6865645899864529,4.945444820917278
2007-10-31,2.3333333333333335,8.285714285714286,15.38095238095238,0.0,9.095238095238095,0.0,0.0,23.28571428571429,0.0,44.333333333333336,0.0,28.571428571428573,0.0,3.0952380952380953,9.476190476190476,0.0,0.0,0.0,9.333333333333334,0.0,0.0,0.0,11.285714285714285,30.0,0.0,0.0,26.80952380952381,0.0,25.09523809523809,0.0,28.28571428571429,3.428571428571429,6.0,0.0,0.0,21.523809523809522,17.571428571428573,66.52380952380953,29.333333333333332,31.85714285714286,36.0,30.476190476190478,45.1904761904762,33.714285714285715,29.90476190476191,44.142857142857146,20.857142857142858,30.85714285714286,1.50659923995775,5.348405573334052,9.479802980356178,0.0,4.56273975855608,0.0,0.0,7.7932769045262065,0.0,10.517460582754262,0.0,10.2083177516094,0.0,3.095238095238095,3.6766510115347906,0.0,0.0,0.0,6.121281149458629,0.0,0.0,0.0,5.485154843607629,12.600759584981441,0.0,0.0,3.6788090024480504,0.0,9.165233890841499,0.0,0.5010226231774938,3.4285714285714284,3.8729833462074166,0.0,0.0,9.320922639252524,6.133528156804477,3.670157624106514,1.2357687240966089,4.4021520216159695,3.218384165682689,9.528408970215343,0.7626565062367149,1.0153079494784765,3.736129510311613,0.5751105545230519,0.8280459479674791,4.590069198530308
2008-01-31,6.0476190476190474,27.952380952380953,4.333333333333333,0.0,21.09523809523809,0.0,0.0,3.0476190476190474,0.0,15.238095238095239,0.0,14.761904761904761,7.904761904761905,8.0,17.952380952380953,0.0,0.0,0.0,31.523809523809522,0.0,0.0,0.0,11.523809523809524,0.0,31.047619047619047,0.0,6.0476190476190474,0.0,21.80952380952381,0.0,26.571428571428573,0.0,17.0,0.0,0.0,4.428571428571429,28.333333333333332,57.23809523809524,25.23809523809524,28.523809523809522,52.904761904761905,17.666666666666668,41.76190476190476,34.047619047619044,47.904761904761905,40.14285714285714,22.190476190476193,37.952380952380956,3.762779115768858,8.533120138109688,2.8646726176561965,0.0,6.759395441650116,0.0,0.0,3.0476190476190474,0.0,4.666629814802067,0.0,5.411488018088634,5.189383895552486,3.83454087260831,6.885719579026998,0.0,0.0,0.0,11.912087773004544,0.0,0.0,0.0,4.144772408950275,0.0,7.873153427910114,0.0,3.241128364681295,0.0,1.7318325964426482,0.0,0.6450576616177873,0.0,6.171055405809476,0.0,0.0,1.643834537873649,5.530986739316155,4.90262495952529,1.2844736547367948,3.550098648741361,4.34587000082328,6.7391346698605945,0.6692845088701004,1.2396251742767308,3.9042752857533514,0.5775464564975471,0.8173715577988462,3.9687331813056423
2008-04-30,12.38095238095238,8.428571428571429,30.809523809523814,0.0,0.0,0.0,0.0,0.0,0.0,18.523809523809522,0.0,8.857142857142856,0.0,0.0,17.904761904761905,0.0,0.0,0.0,9.428571428571429,0.0,0.0,0.0,16.28571428571429,31.23809523809524,27.71428571428571,0.0,4.809523809523809,0.0,15.0,0.0,30.38095238095238,0.0,36.61904761904762,0.0,0.0,10.19047619047619,43.8095238095238,45.23809523809524,30.809523809523807,30.523809523809522,61.714285714285715,21.333333333333332,45.952380952380956,38.333333333333336,46.47619047619048,46.52380952380952,22.523809523809522,40.523809523809526,4.652966962468274,4.151059204228097,12.262984200305192,0.0,0.0,0.0,0.0,0.0,0.0,7.001357749368576,0.0,4.795294176921071,0.0,0.0,7.422367515934916,0.0,0.0,0.0,4.714710850464847,0.0,0.0,0.0,6.751100327677093,12.3822509373666,11.694326168439085,0.0,2.3647064796066926,0.0,5.561957291553759,0.0,0.6455110747743583,0.0,8.622214047186459,0.0,0.0,4.616354039201145,6.539111076170428,4.72889758710413,1.168497830509292,3.4119977712852307,6.187078366547745,5.762566326872414,0.5814824508381101,1.0783914168121835,3.7577604526114428,0.8246097124626816,0.6765554205627602,3.7937024635835512
2008-07-31,20.19047619047619,27.71428571428571,4.809523809523809,0.0,0.0,0.0,0.0,1.857142857142857,0.0,43.52380952380952,0.0,13.761904761904761,0.0,5.571428571428572,8.190476190476192,0.0,0.0,0.0,19.238095238095237,0.0,0.0,0.0,16.71428571428571,16.952380952380953,11.857142857142856,0.0,31.71428571428571,0.0,14.047619047619046,0.0,37.714285714285715,0.0,13.19047619047619,0.0,0.0,28.523809523809522,31.23809523809524,42.476190476190474,23.0,21.85714285714286,71.0,21.42857142857143,41.95238095238095,35.52380952380952,30.476190476190478,42.142857142857146,22.76190476190476,48.952380952380956,3.5428328356516663,11.052284743939195,3.1805103770469607,0.0,0.0,0.0,0.0,1.857142857142857,0.0,9.679565700981641,0.0,5.0803513802892235,0.0,3.600936302193714,4.661813143132519,0.0,0.0,0.0,7.310031242560707,0.0,0.0,0.0,7.813363481295127,8.168040376412575,8.532552110946513,0.0,11.059796046024324,0.0,5.378582189893264,0.0,0.7661120454176334,0.0,9.071741209301274,0.0,0.0,7.940838539452354,6.382176364383,4.256077524013122,0.8361440992385921,2.090255371875972,4.478777323454872,8.007489175712065,0.6586026345120332,1.1545513102414329,2.348550020157797,0.7250366728227163,0.7208806224725168,4.483330258560113
2008-10-31,16.0952380952381,19.523809523809522,13.380952380952381,0.0,8.761904761904761,0.0,0.0,26.19047619047619,0.0,24.09523809523809,0.0,14.238095238095239,6.904761904761905,12.476190476190476,4.523809523809524,0.0,0.0,0.0,12.523809523809524,0.0,0.0,0.0,34.857142857142854,28.61904761904762,0.0,0.0,9.809523809523808,0.0,5.857142857142858,0.0,28.09523809523809,3.1904761904761902,16.285714285714285,0.0,0.0,10.714285714285714,21.38095238095238,53.57142857142858,25.142857142857142,32.285714285714285,66.09523809523809,27.80952380952381,51.857142857142854,33.85714285714286,42.714285714285715,50.666666666666664,21.61904761904762,37.523809523809526,5.2391864295283135,3.750736889050517,4.063275043807969,0.0,3.4615914357892597,0.0,0.0,6.482452404430929,0.0,7.3230574782680415,0.0,6.429269186929841,4.534823684592394,5.674995645817414,2.1391502328777334,0.0,0.0,0.0,5.597068800248709,0.0,0.0,0.0,14.155541721162209,7.398197978330219,0.0,0.0,2.3880845558323487,0.0,4.664235857241984,0.0,0.7391723797202321,3.1904761904761902,7.552224914860209,0.0,0.0,4.653885320556166,3.04749024250272,6.515792628351526,1.2202752217499528,3.0219671230216893,4.990265806498361,5.72439542500267,0.8197999235340641,1.0014713023022057,4.311835914208427,0.37605179148910445,0.5932124050761757,4.179755511250401
2009-01-31,4.142857142857143,0.0,0.0,0.0,6.904761904761905,0.0,0.0,5.761904761904762,0.0,16.857142857142858,0.0,20.523809523809522,5.238095238095238,10.80952380952381,10.333333333333334,0.0,0.0,0.0,36.095238095238095,0.0,0.0,0.0,3.428571428571429,28.38095238095238,2.047619047619048,0.0,16.428571428571427,0.0,4.571428571428571,0.0,24.047619047619047,0.0,12.238095238095239,0.0,0.0,1.6666666666666667,32.476190476190474,52.476190476190474,25.523809523809522,44.1904761904762,58.57142857142858,28.333333333333332,48.52380952380952,36.8095238095238,45.714285714285715,46.0,23.857142857142858,49.04761904761906,1.6115606535234355,0.0,0.0,0.0,3.453940534435921,0.0,0.0,2.8837386500275795,0.0,3.793564593899063,0.0,6.957644436493923,3.4192996325745217,5.810992693133538,6.625782441311908,0.0,0.0,0.0,10.564697898130193,0.0,0.0,0.0,2.2143283832721092,9.601161867230923,2.0476190476190474,0.0,6.01623486214299,0.0,1.656659298176398,0.0,0.5696349269645323,0.0,5.8550286179050675,0.0,0.0,1.0910894511799618,5.353616215871976,4.600069823680757,1.1543328663614434,4.1026029085314315,3.816594716751562,4.7773930350816265,0.6737295323047219,0.914233831114379,4.1748125932651865,0.5876048071868046,0.6785479834605547,4.2775318876627475
2009-04-30,9.476190476190476,6.0476190476190474,8.904761904761905,0.0,16.857142857142858,0.0,0.0,17.238095238095237,0.0,40.904761904761905,0.0,16.476190476190478,23.61904761904762,14.714285714285714,9.952380952380953,0.0,0.0,0.0,24.142857142857142,0.0,0.0,0.0,7.142857142857143,20.0,14.0,0.0,27.523809523809522,0.0,12.333333333333334,0.0,28.857142857142858,0.0,11.95238095238095,0.0,0.0,24.38095238095238,37.14285714285714,82.47619047619047,28.666666666666668,42.42857142857143,67.71428571428571,68.04761904761905,53.285714285714285,40.57142857142857,47.61904761904762,51.095238095238095,25.523809523809522,51.80952380952382,3.8913920126249852,3.932249360609473,3.6570684516240526,0.0,6.226763907940079,0.0,0.0,8.735400190703247,0.0,8.61203742738139,0.0,6.541003153060365,9.557147815791579,6.834313401222135,4.554449287722599,0.0,0.0,0.0,7.654647819069406,0.0,0.0,0.0,4.611826636688424,9.231652950197445,8.118130779262392,0.0,5.848491379824676,0.0,6.183786280778638,0.0,0.5101917689475198,0.0,4.8840679177861555,0.0,0.0,7.319290243085085,5.909603591215876,4.905686937345052,0.934969180968201,3.5726325193431037,3.8534333933939027,6.693046135074439,0.6254113132594367,0.9384741352135629,2.579182900456464,0.6850400733241035,0.44889775653887615,4.906389304000206
2009-07-31,33.142857142857146,9.476190476190476,6.857142857142857,0.0,16.42857142857143,0.0,0.0,1.7142857142857144,0.0,19.80952380952381,0.0,8.476190476190476,0.0,6.476190476190475,16.0,0.0,0.0,0.0,13.761904761904761,0.0,0.0,0.0,31.76190476190476,15.857142857142856,21.80952380952381,0.0,14.571428571428571,0.0,23.0952380952381,0.0,32.047619047619044,0.0,3.3333333333333335,0.0,0.0,21.71428571428571,36.857142857142854,60.0,25.571428571428573,31.142857142857142,49.095238095238095,23.71428571428571,44.52380952380952,34.95238095238095,33.238095238095234,44.0,22.61904761904762,43.047619047619044,4.9346432110056035,5.041550709860084,5.332526114868309,0.0,8.082246520912127,0.0,0.0,1.7142857142857142,0.0,7.153316670682279,0.0,3.7991036040288626,0.0,3.0540606526628786,6.092845208507376,0.0,0.0,0.0,8.528983651107433,0.0,0.0,0.0,12.120732666161032,5.650028824303963,9.455513738394242,0.0,5.21964462311582,0.0,8.201922041822097,0.0,0.8794557469620283,0.0,2.1712405933672376,0.0,0.0,7.3232602419851895,5.6498938971738495,3.9801023892719503,0.8919497522095748,3.399039098670754,4.790619721932873,6.455485477110337,0.6969117189432139,0.9960050684664999,2.901092298904139,0.5720700139281844,0.7295101213981269,3.3012186699439248
