,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.57142857142857,0.0,0.0,0.0,0.0,0.0,5.285714285714286,16.285714285714285,63.714285714285715,22.142857142857142,72.71428571428571,0.0,71.85714285714286,40.857142857142854,59.714285714285715,38.714285714285715,31.714285714285715,18.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3227723856037157,0.0,0.0,0.0,0.0,0.0,1.3751932455422524,6.696531745236932,7.897299977763001,6.950260602954366,9.787538933120365,0.0,1.4708043058552862,3.6672850437124103,9.833650404204374,2.8595228182861767,1.8479626582792623,3.469007582211687
2007-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.80952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.42857142857142,0.0,0.0,0.0,0.0,0.0,4.19047619047619,15.952380952380954,43.095238095238095,36.33333333333333,41.61904761904762,0.0,68.14285714285715,37.333333333333336,45.19047619047618,42.714285714285715,26.047619047619047,33.38095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8385889011983325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7973528184458067,0.0,0.0,0.0,0.0,0.0,2.116641262913009,4.65361344085869,8.19838568226438,5.336943845493167,10.662594332721438,0.0,1.1356641517845025,3.36368829441025,8.01951692024204,2.1529775102185322,2.5495743322973934,3.968787713989697
2007-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.333333333333336,0.0,0.0,0.0,0.0,0.0,6.9523809523809526,11.80952380952381,57.857142857142854,22.333333333333332,38.904761904761905,0.0,75.76190476190476,26.38095238095238,32.523809523809526,41.61904761904762,24.809523809523807,23.952380952380953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55295539976618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6388021093590726,0.0,0.0,0.0,0.0,0.0,1.893001208092793,3.6447609925421216,8.21727726621063,2.6527414191807384,7.7125425890098205,0.0,1.5667731478443159,2.279093902120381,5.626010009471884,2.177459464820142,2.325673112124083,2.7235976418789343
2007-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.95238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.57142857142857,0.0,0.0,0.0,0.0,0.0,22.857142857142858,19.238095238095237,47.85714285714286,15.61904761904762,47.0,1.1904761904761905,77.95238095238095,30.42857142857143,38.42857142857143,48.19047619047618,33.285714285714285,30.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6087991901545533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6170618529495417,0.0,0.0,0.0,0.0,0.0,3.5793211343872664,4.795758004630247,6.092906221924204,4.164866557469602,10.475858853602846,1.1904761904761905,1.16262728136747,2.9965880381764194,5.577642790917172,2.9174237887093373,2.4975709097981946,3.532036678492634
2008-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.523809523809526,0.0,0.0,0.0,0.0,0.0,15.761904761904761,12.42857142857143,55.285714285714285,27.28571428571429,51.0,8.428571428571429,75.19047619047619,25.28571428571429,42.047619047619044,43.14285714285714,38.38095238095238,30.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6718923996935138,0.0,0.0,0.0,0.0,0.0,2.7876784977354476,2.2465174507836765,5.790621551418291,5.900552705797999,7.052125706203725,3.4342613746053474,0.8022378987934232,1.7915528376037084,6.270568307547865,1.6672336476124212,2.6115829934059924,3.722328052712943
2008-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.476190476190475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.57142857142858,0.0,0.0,0.0,0.0,0.0,24.047619047619047,16.333333333333332,40.57142857142858,24.476190476190478,66.33333333333333,3.4761904761904763,80.28571428571429,38.095238095238095,43.23809523809524,45.142857142857146,38.76190476190476,37.952380952380956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6252036197927455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9649187574713178,0.0,0.0,0.0,0.0,0.0,3.950670489395969,3.4321141994090367,5.258741148349065,6.833905466197179,7.376348936111337,1.6424545170305274,0.8830760237303857,2.5920197982557096,7.384239098003905,2.2193802630173702,2.859860168351086,3.9717158747455863
2008-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.42857142857142,0.0,0.0,0.0,0.0,0.0,17.80952380952381,17.19047619047619,47.1904761904762,14.095238095238095,32.8095238095238,0.0,80.09523809523809,28.857142857142858,35.714285714285715,45.857142857142854,36.714285714285715,38.952380952380956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.308630385177806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.645886681721742,0.0,0.0,0.0,0.0,0.0,2.9747861059299052,3.396406990379628,5.383622351459768,3.1236022012488527,6.837915659067093,0.0,1.524351508506846,1.9298883618840916,6.727243748025669,1.8153441937939847,3.1092612355350546,3.9026714286956476
2008-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.28571428571429,0.0,0.0,0.0,0.0,0.0,25.571428571428573,11.238095238095235,47.666666666666664,27.71428571428571,29.76190476190476,9.0,85.33333333333333,25.952380952380953,40.57142857142858,50.095238095238095,40.14285714285714,37.61904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.741865116321266,0.0,0.0,0.0,0.0,0.0,4.477090738497583,2.529250192761357,4.5206673779710345,7.697583561710975,5.833635970286102,2.8339668461259735,1.283719308092669,2.261014617149279,5.640635111441608,1.579538366908779,2.031471246763722,3.9954721974305465
2009-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.238095238095239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.666666666666664,0.0,0.0,0.0,0.0,0.0,15.285714285714286,13.61904761904762,57.28571428571428,28.047619047619047,51.14285714285714,6.761904761904762,77.52380952380952,26.23809523809524,43.14285714285714,49.0,31.523809523809522,33.42857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.007740054905587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2789467488054165,0.0,0.0,0.0,0.0,0.0,1.9271907523874023,3.253637721741569,6.7271745495237765,6.727372447949452,6.976247119601438,2.5332721720656415,1.2952372128648915,2.26335614082042,6.926992873111296,2.634155878590531,1.5730532615396005,3.552298664535282
2009-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.333333333333332,0.0,0.0,0.0,0.0,0.0,19.19047619047619,23.71428571428571,53.142857142857146,42.761904761904766,39.523809523809526,10.142857142857142,80.19047619047619,32.476190476190474,46.0,61.38095238095238,33.38095238095238,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.449324011337612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4852028252219214,0.0,0.0,0.0,0.0,0.0,2.7630823659022887,3.446703865929294,4.643070536738406,6.926466996484557,6.587983006829691,3.5378362970323036,1.261597948120941,1.9598729803803376,5.922139075241695,2.1503054766002534,1.9522330830813175,3.6233731093772312
2009-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.80952380952381,0.0,0.0,0.0,0.0,0.0,19.238095238095237,30.428571428571427,49.61904761904762,20.904761904761905,33.047619047619044,2.857142857142857,80.28571428571429,24.38095238095238,30.666666666666668,55.80952380952382,41.476190476190474,38.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.622680196931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.386317791465285,0.0,0.0,0.0,0.0,0.0,3.0608575241739757,5.1005293612292,6.211292661033244,5.459148730260267,6.338426794862855,2.1697327232315415,1.0123713995215289,2.0556959207704044,5.683160139563957,1.6090712624934493,2.560510661226553,3.3762145991628394
2009-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.238095238095239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.61904761904762,0.0,0.0,0.0,0.0,0.0,24.047619047619047,51.714285714285715,48.42857142857142,17.238095238095237,18.28571428571429,3.4761904761904763,85.80952380952381,27.142857142857142,42.85714285714286,62.42857142857142,43.42857142857142,35.47619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.285236153905998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5451238048951879,0.0,0.0,0.0,0.0,0.0,3.0265277007781823,7.166248314610573,6.043394173351236,3.852880123868681,5.8023703126,2.0946274440354267,0.9892095088849359,1.7474630207590243,5.164327502277245,2.069655867704246,2.06806554767832,3.0673719666728516
2010-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.523809523809526,0.0,0.0,0.0,0.0,0.0,29.61904761904762,38.047619047619044,34.047619047619044,29.333333333333332,28.57142857142857,19.19047619047619,75.57142857142857,34.142857142857146,48.857142857142854,57.904761904761905,48.666666666666664,34.57142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.714842605082359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4639210623335603,0.0,0.0,0.0,0.0,0.0,3.2953573765751574,5.482730949857049,3.968531402671379,5.776538412827843,4.872111566292989,6.178816096077768,1.088306494207875,2.088794144828474,7.454282827664119,2.0072944613256687,2.9422932308406797,3.206895879815997
2010-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.23809523809524,0.0,0.0,0.0,0.0,0.0,46.0,35.142857142857146,43.80952380952382,33.714285714285715,20.666666666666668,16.857142857142858,81.85714285714285,31.809523809523807,46.047619047619044,59.666666666666664,51.952380952380956,34.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.180510495961595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.009878169555235,0.0,0.0,0.0,0.0,0.0,3.928821969145746,3.8996335483023787,5.40064591578403,5.484578560171106,5.596701731747369,5.20233217117175,1.470735810780513,2.3100221403626975,5.154734459657718,2.8173826966149043,3.0460212509149147,2.553671796675951
