,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,45.0,18.571428571428573,40.857142857142854,88.71428571428571,51.714285714285715,26.142857142857142,91.85714285714286,94.71428571428571,55.285714285714285,93.85714285714286,29.285714285714285,15.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.720671894557237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5735915849388864,0.0,0.0,0.0,0.0,0.0,3.7097041340118704,12.0847348471752,4.137106024566375,6.159446039231455,5.375049438152643,8.929428530289664,3.1579723107789044,1.8735538640862859,5.878590233147034,1.668026656013047,4.379140412032859,6.717830877647953
2007-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.904761904761905,0.0,9.523809523809524,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.666666666666664,0.0,0.0,0.0,0.0,0.0,43.523809523809526,44.52380952380952,48.523809523809526,47.857142857142854,65.19047619047619,15.428571428571429,85.95238095238095,35.523809523809526,46.523809523809526,88.19047619047619,37.80952380952381,10.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.367732780855265,0.0,6.147592613027645,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.081108063594605,0.0,0.0,0.0,0.0,0.0,4.193240354903064,7.331087959095469,4.322286020168374,3.885763245869845,7.506506367205553,3.480899762625349,1.9058983578385276,1.8654980804816137,7.503364542560772,1.4497757684991097,3.161259147812834,2.591679671135719
2007-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.571428571428573,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.47619047619048,0.0,0.0,0.0,0.0,0.0,36.61904761904762,13.666666666666664,47.76190476190476,37.99999999999999,32.76190476190476,22.047619047619047,80.14285714285715,23.761904761904763,49.1904761904762,81.76190476190476,42.42857142857142,16.23809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.485870663327529,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9344367267080234,0.0,0.0,0.0,0.0,0.0,4.149440690199083,5.972929907964033,3.9309034919833343,3.8639066869214402,5.536480858152867,6.0026917232346735,1.6623980425874008,1.162433433610374,8.581562650939695,1.5291743017653454,3.2162900722060734,3.9013250958811265
2007-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.761904761904763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.095238095238095,0.0,0.0,0.0,0.0,0.0,54.047619047619044,29.952380952380953,39.714285714285715,19.38095238095238,26.142857142857142,30.428571428571427,75.42857142857143,22.047619047619047,48.047619047619044,83.28571428571429,41.57142857142858,10.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.600783085359659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0420233955944256,0.0,0.0,0.0,0.0,0.0,4.533988139163648,5.940451194247608,2.9447443704595364,3.948350427033604,4.276916128831405,5.921528509739116,1.6005609136781935,1.25947331285842,4.542213349598239,1.146590748641431,2.587650899838105,2.2635604072033533
2008-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.666666666666666,0.0,0.0,0.0,23.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.523809523809526,0.0,0.0,0.0,0.0,0.0,38.476190476190474,16.95238095238095,60.76190476190476,57.80952380952382,58.42857142857142,27.047619047619047,74.19047619047619,44.142857142857146,61.095238095238095,74.38095238095237,37.095238095238095,5.095238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.559997335170931,0.0,0.0,0.0,11.140274552449045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.473112271461206,0.0,0.0,0.0,0.0,0.0,3.344754787349491,5.5956779600761095,2.986638296468722,5.503883196335052,5.63094501286717,5.553746840134987,1.4314014092316534,1.1328093392318614,6.214949628841542,1.2593516445206185,2.115212680393576,1.82778637171959
2008-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.571428571428573,0.0,0.0,0.0,12.19047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.76190476190476,0.0,0.0,0.0,0.0,0.0,33.904761904761905,45.142857142857146,55.61904761904762,61.666666666666664,56.142857142857146,26.90476190476191,80.52380952380952,38.952380952380956,66.61904761904762,82.80952380952381,37.904761904761905,12.571428571428575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35133207996655,0.0,0.0,0.0,5.814985722847141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.646431169408544,0.0,0.0,0.0,0.0,0.0,3.4989283162194105,5.642230743132021,4.742794735350544,6.28016125470121,8.148069397192346,5.400760291770882,1.422701513687679,1.749595429736429,7.510613305491948,0.8779995405777807,2.1607824832117237,2.7759310676265936
2008-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.428571428571427,0.0,0.0,0.0,10.904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.952380952380956,0.0,0.0,0.0,0.0,0.0,32.85714285714286,16.0952380952381,44.142857142857146,37.19047619047619,27.09523809523809,24.80952380952381,69.42857142857143,21.28571428571429,36.761904761904766,74.71428571428572,39.38095238095239,17.80952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.118340520896621,0.0,0.0,0.0,8.271864389646494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.342978238217743,0.0,0.0,0.0,0.0,0.0,2.8614643562988085,4.486955554898077,3.2790489762072372,4.93545680577227,3.3660508232454647,5.688115954098378,1.0640364769512964,1.003370835236877,3.9822330450472667,0.9838855832354865,2.6098301931372685,3.6450575064633974
2008-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.904761904761905,0.0,0.0,0.0,0.0,0.0,32.095238095238095,45.04761904761906,40.80952380952381,33.095238095238095,42.285714285714285,42.857142857142854,72.80952380952381,18.80952380952381,27.0952380952381,74.61904761904762,41.52380952380952,17.61904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6357680035540636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8537448969593793,0.0,0.0,0.0,0.0,0.0,3.312373987338803,8.740713983939626,3.2794876940636954,3.4715101575738037,5.621838458933117,6.218516804859789,1.5981170798301487,1.060319387350315,5.2354874965167,0.8950615633863918,1.585438612813692,3.8992840523248193
2009-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.047619047619046,0.0,0.0,0.0,12.904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.285714285714285,0.0,0.0,0.0,0.0,0.0,56.047619047619044,45.047619047619044,41.904761904761905,43.333333333333336,57.333333333333336,45.85714285714286,73.28571428571428,45.857142857142854,48.85714285714286,75.28571428571429,45.285714285714285,18.476190476190478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.508218160555942,0.0,0.0,0.0,3.4037905152203707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1307471841185017,0.0,0.0,0.0,0.0,0.0,3.8586980871897167,6.6968603884772975,3.1570632213396963,3.399837474218542,6.104356523246004,6.050128476085093,1.5370578931419334,1.4290884869563982,5.097605707254156,1.0200583359106736,1.9952894612444616,3.6688816951281757
2009-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.571428571428571,0.0,4.761904761904762,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.952380952380956,0.0,0.0,0.0,0.0,0.0,48.857142857142854,31.90476190476191,43.47619047619048,71.09523809523809,45.47619047619048,51.0,89.57142857142857,39.904761904761905,50.80952380952382,92.90476190476188,44.333333333333336,18.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5972408581355495,0.0,4.761904761904762,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9888372099763079,0.0,0.0,0.0,0.0,0.0,3.684398438235769,5.733098820154894,3.435842649366524,4.342417223434829,5.651288773848802,6.327424828179321,1.709637093319655,1.4081338694610246,4.970628294317277,0.7722345558791597,1.871685886127026,3.7199002108502586
2009-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.761904761904763,0.0,14.571428571428571,0.0,5.238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.57142857142858,0.0,0.0,0.0,0.0,0.0,38.666666666666664,15.0,41.285714285714285,26.09523809523809,33.38095238095238,58.23809523809524,80.85714285714286,20.285714285714285,18.952380952380953,87.42857142857143,36.523809523809526,20.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.665686889008485,0.0,5.690758444218658,0.0,3.3819582675361333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8355160762478695,0.0,0.0,0.0,0.0,0.0,4.008615267420043,2.2955585630624378,4.008700370216272,4.063940709443751,3.4643686887430505,7.465429296195668,1.2231760315405718,1.0312344774272508,3.2144863929542296,1.1946485839047396,1.6843938922176858,3.628922517982023
2009-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.523809523809522,0.0,2.142857142857143,0.0,16.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.57142857142858,0.0,0.0,0.0,0.0,0.0,41.14285714285714,15.809523809523808,42.14285714285714,29.428571428571427,23.19047619047619,66.09523809523809,77.38095238095237,19.761904761904763,31.23809523809524,86.6190476190476,37.42857142857142,11.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.992896294221322,0.0,2.142857142857143,0.0,7.654611529451038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6603393147141219,0.0,0.0,0.0,0.0,0.0,3.4039289125707746,3.2365422210080137,3.227529599426807,2.949965393739547,4.231431749716152,8.01681770839615,1.3170722561679769,0.884009975696075,3.808212310854317,1.3117008045220524,1.5479090042896313,2.429356432987794
2010-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.61904761904761,0.0,0.0,0.0,0.0,0.0,54.904761904761905,24.0952380952381,44.04761904761906,47.476190476190474,36.38095238095238,46.0,75.14285714285714,45.714285714285715,37.761904761904766,80.14285714285715,38.285714285714285,15.952380952380954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.744154162966006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6135275500357884,0.0,0.0,0.0,0.0,0.0,3.4202812293853646,4.835533197053272,2.557982760906944,4.350404793975822,4.767490029964247,4.477980595613615,1.0001847157719963,1.1863042018964178,3.865197183069457,0.6516558715361157,1.5474139923577754,2.9405530654141345
2010-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.333333333333336,0.0,5.476190476190475,0.0,19.238095238095237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.57142857142858,0.0,0.0,0.0,0.0,0.0,70.95238095238095,31.9047619047619,42.14285714285714,56.285714285714285,35.952380952380956,66.28571428571428,77.66666666666667,43.47619047619048,44.57142857142858,88.90476190476188,54.80952380952382,18.38095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.599097804359143,0.0,3.757079485252262,0.0,6.919528305253212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625051939817542,0.0,0.0,0.0,0.0,0.0,3.7668885682855113,6.0846553443343865,3.556295613594127,5.115717781997465,3.8464417956940147,4.695863010281017,1.2881597646488914,2.020583587692964,4.719249509221916,1.2768853987364508,2.3596524504973857,4.188856958375958
