,value,date,keyword_id,keyword
0,69,2007-01-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
1,25,2007-02-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
2,66,2007-03-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
3,48,2007-04-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
4,60,2007-05-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
5,62,2007-06-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
6,0,2007-07-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
7,0,2007-08-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
8,60,2007-09-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
9,0,2007-10-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
10,51,2007-11-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
11,20,2007-12-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
12,32,2008-01-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
13,35,2008-02-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
14,34,2008-03-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
15,50,2008-04-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
16,33,2008-05-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
17,0,2008-06-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
18,50,2008-07-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
19,35,2008-08-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
20,16,2008-09-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
21,14,2008-10-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
22,30,2008-11-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
23,32,2008-12-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
24,27,2009-01-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
25,15,2009-02-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
26,39,2009-03-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
27,14,2009-04-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
28,26,2009-05-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
29,26,2009-06-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
30,13,2009-07-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
31,0,2009-08-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
32,37,2009-09-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
33,34,2009-10-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
34,46,2009-11-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
35,37,2009-12-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
36,31,2010-01-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
37,57,2010-02-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
38,10,2010-03-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
39,22,2010-04-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
40,75,2010-05-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
41,33,2010-06-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
42,10,2010-07-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
43,10,2010-08-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
44,30,2010-09-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
45,0,2010-10-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
46,37,2010-11-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
47,20,2010-12-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
48,38,2011-01-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
49,16,2011-02-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
50,30,2011-03-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
51,33,2011-04-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
52,36,2011-05-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
53,22,2011-06-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
54,23,2011-07-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
55,15,2011-08-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
56,36,2011-09-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
57,13,2011-10-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
58,27,2011-11-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
59,21,2011-12-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
60,61,2012-01-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
61,32,2012-02-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
62,38,2012-03-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
63,52,2012-04-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
64,49,2012-05-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
65,45,2012-06-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
66,44,2012-07-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
67,31,2012-08-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
68,31,2012-09-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + CDXE5R6OS2EH9F1H1LCW
