,value,date,keyword_id,keyword
0,28,2007-01-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
1,0,2007-02-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
2,0,2007-03-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
3,0,2007-04-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
4,0,2007-05-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
5,0,2007-06-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
6,28,2007-07-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
7,0,2007-08-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
8,0,2007-09-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
9,0,2007-10-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
10,0,2007-11-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
11,0,2007-12-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
12,0,2008-01-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
13,20,2008-02-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
14,19,2008-03-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
15,0,2008-04-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
16,19,2008-05-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
17,63,2008-06-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
18,0,2008-07-01,2,pass tyskland + passmyndighet tyskland + pass deutschland + passbehörde deutschland + passport germany + passport office germany + B4FAE8OXJKBIP21NTVSI
