,value,date,KeywordID,Language,Keyword
0,32,2004-01-01,2,NL,Pas+paspoort Duitsland + legitimatiebewijs Duitsland + ID Duitsland + biometrische pas Duitsland + biometrisch paspoort Duitsland + pas met biometrische gegevens Duitsland + Paspoortautoriteit Duitsland + paspoortinstantie Duitsland + uitgever paspoort Duitsland + instantie voor paspoortafgifte Duitsland
1,41,2004-02-01,2,NL,Pas+paspoort Duitsland + legitimatiebewijs Duitsland + ID Duitsland + biometrische pas Duitsland + biometrisch paspoort Duitsland + pas met biometrische gegevens Duitsland + Paspoortautoriteit Duitsland + paspoortinstantie Duitsland + uitgever paspoort Duitsland + instantie voor paspoortafgifte Duitsland
2,35,2004-03-01,2,NL,Pas+paspoort Duitsland + legitimatiebewijs Duitsland + ID Duitsland + biometrische pas Duitsland + biometrisch paspoort Duitsland + pas met biometrische gegevens Duitsland + Paspoortautoriteit Duitsland + paspoortinstantie Duitsland + uitgever paspoort Duitsland + instantie voor paspoortafgifte Duitsland
3,31,2004-04-01,2,NL,Pas+paspoort Duitsland + legitimatiebewijs Duitsland + ID Duitsland + biometrische pas Duitsland + biometrisch paspoort Duitsland + pas met biometrische gegevens Duitsland + Paspoortautoriteit Duitsland + paspoortinstantie Duitsland + uitgever paspoort Duitsland + instantie voor paspoortafgifte Duitsland
4,46,2004-05-01,2,NL,Pas+paspoort Duitsland + legitimatiebewijs Duitsland + ID Duitsland + biometrische pas Duitsland + biometrisch paspoort Duitsland + pas met biometrische gegevens Duitsland + Paspoortautoriteit Duitsland + paspoortinstantie Duitsland + uitgever paspoort Duitsland + instantie voor paspoortafgifte Duitsland
5,54,2004-06-01,2,NL,Pas+paspoort Duitsland + legitimatiebewijs Duitsland + ID Duitsland + biometrische pas Duitsland + biometrisch paspoort Duitsland + pas met biometrische gegevens Duitsland + Paspoortautoriteit Duitsland + paspoortinstantie Duitsland + uitgever paspoort Duitsland + instantie voor paspoortafgifte Duitsland
6,54,2004-07-01,2,NL,Pas+paspoort Duitsland + legitimatiebewijs Duitsland + ID Duitsland + biometrische pas Duitsland + biometrisch paspoort Duitsland + pas met biometrische gegevens Duitsland + Paspoortautoriteit Duitsland + paspoortinstantie Duitsland + uitgever paspoort Duitsland + instantie voor paspoortafgifte Duitsland
7,42,2004-08-01,2,NL,Pas+paspoort Duitsland + legitimatiebewijs Duitsland + ID Duitsland + biometrische pas Duitsland + biometrisch paspoort Duitsland + pas met biometrische gegevens Duitsland + Paspoortautoriteit Duitsland + paspoortinstantie Duitsland + uitgever paspoort Duitsland + instantie voor paspoortafgifte Duitsland
8,46,2004-09-01,2,NL,Pas+paspoort Duitsland + legitimatiebewijs Duitsland + ID Duitsland + biometrische pas Duitsland + biometrisch paspoort Duitsland + pas met biometrische gegevens Duitsland + Paspoortautoriteit Duitsland + paspoortinstantie Duitsland + uitgever paspoort Duitsland + instantie voor paspoortafgifte Duitsland
9,45,2004-10-01,2,NL,Pas+paspoort Duitsland + legitimatiebewijs Duitsland + ID Duitsland + biometrische pas Duitsland + biometrisch paspoort Duitsland + pas met biometrische gegevens Duitsland + Paspoortautoriteit Duitsland + paspoortinstantie Duitsland + uitgever paspoort Duitsland + instantie voor paspoortafgifte Duitsland
