,value,date,KeywordID,Language,Keyword
0,0,2004-01-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
1,0,2004-02-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
2,0,2004-03-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
3,0,2004-04-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
4,0,2004-05-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
5,0,2004-06-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
6,100,2004-07-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
7,0,2004-08-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
8,0,2004-09-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
9,0,2004-10-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
10,0,2004-11-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
11,0,2004-12-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
12,0,2005-01-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
13,0,2005-02-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
14,0,2005-03-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
15,0,2005-04-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
16,46,2005-05-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
17,0,2005-06-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
18,0,2005-07-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
19,0,2005-08-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
20,0,2005-09-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
21,0,2005-10-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
22,0,2005-11-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
23,0,2005-12-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
24,0,2006-01-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
25,0,2006-02-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
26,0,2006-03-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
27,0,2006-04-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
28,30,2006-05-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
29,0,2006-06-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
30,37,2006-07-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
31,57,2006-08-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
32,0,2006-09-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
33,0,2006-10-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
34,24,2006-11-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
35,0,2006-12-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
36,0,2007-01-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
37,0,2007-02-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
38,0,2007-03-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
39,0,2007-04-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
40,18,2007-05-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
41,0,2007-06-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
42,21,2007-07-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
43,0,2007-08-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
44,0,2007-09-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
45,0,2007-10-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
46,0,2007-11-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
47,16,2007-12-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
48,14,2008-01-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
49,15,2008-02-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
50,28,2008-03-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
51,14,2008-04-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
52,14,2008-05-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
53,15,2008-06-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
54,0,2008-07-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
55,0,2008-08-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
56,13,2008-09-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
57,12,2008-10-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
58,0,2008-11-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
59,13,2008-12-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
60,0,2009-01-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
61,0,2009-02-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
62,0,2009-03-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
63,24,2009-04-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
64,22,2009-05-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
65,12,2009-06-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
66,25,2009-07-01,2,SV,Pass Tyskland + biometriskt pass Tyskland + Passmyndighet Tyskland
