,date,country,value
0,2010-01-01,LU,158
26,2010-01-01,PL,6664
25,2010-01-01,ES,728
24,2010-01-01,RO,3853
23,2010-01-01,SE,218
22,2010-01-01,PT,442
21,2010-01-01,NL,763
20,2010-01-01,BE,195
18,2010-01-01,GB,670
17,2010-01-01,AT,843
16,2010-01-01,GR,749
15,2010-01-01,CZ,366
14,2010-01-01,HU,1702
19,2010-01-01,IT,1689
12,2010-01-01,CH,419
13,2010-01-01,FI,110
2,2010-01-01,SK,471
3,2010-01-01,FR,905
4,2010-01-01,EE,63
5,2010-01-01,LV,516
6,2010-01-01,CY,16
1,2010-01-01,IE,84
8,2010-01-01,DK,153
9,2010-01-01,BG,2383
10,2010-01-01,LT,303
11,2010-01-01,SI,105
7,2010-01-01,HR,682
41,2010-02-01,LT,356
42,2010-02-01,ES,796
43,2010-02-01,PL,6736
44,2010-02-01,RO,3703
45,2010-02-01,NL,649
47,2010-02-01,AT,806
50,2010-02-01,GR,691
49,2010-02-01,CZ,405
51,2010-02-01,SE,171
52,2010-02-01,HU,1817
53,2010-02-01,BE,217
48,2010-02-01,FR,916
40,2010-02-01,BG,2495
46,2010-02-01,IT,1747
38,2010-02-01,GB,644
28,2010-02-01,PT,514
29,2010-02-01,FI,107
30,2010-02-01,SK,543
31,2010-02-01,IE,90
32,2010-02-01,CH,289
27,2010-02-01,CY,10
39,2010-02-01,LV,498
34,2010-02-01,EE,61
35,2010-02-01,HR,612
36,2010-02-01,LU,103
37,2010-02-01,DK,143
33,2010-02-01,SI,143
69,2010-03-01,NL,768
70,2010-03-01,AT,939
71,2010-03-01,CZ,565
72,2010-03-01,ES,1011
73,2010-03-01,IT,2492
80,2010-03-01,BE,237
75,2010-03-01,GR,930
77,2010-03-01,HU,2393
78,2010-03-01,CH,396
79,2010-03-01,RO,5503
68,2010-03-01,FR,1215
74,2010-03-01,PL,9496
76,2010-03-01,SE,218
67,2010-03-01,PT,623
65,2010-03-01,EE,103
66,2010-03-01,SI,185
54,2010-03-01,DK,245
55,2010-03-01,SK,692
56,2010-03-01,HR,819
58,2010-03-01,LU,184
57,2010-03-01,LT,632
60,2010-03-01,BG,3364
61,2010-03-01,LV,668
62,2010-03-01,GB,764
63,2010-03-01,IE,111
64,2010-03-01,FI,215
59,2010-03-01,CY,15
99,2010-04-01,CH,390
96,2010-04-01,IT,1965
97,2010-04-01,ES,812
98,2010-04-01,AT,898
101,2010-04-01,SE,183
95,2010-04-01,SI,147
103,2010-04-01,FR,1078
104,2010-04-01,GB,786
105,2010-04-01,BE,213
106,2010-04-01,HU,2383
107,2010-04-01,NL,772
102,2010-04-01,EE,93
94,2010-04-01,FI,140
100,2010-04-01,PL,10261
92,2010-04-01,RO,6081
81,2010-04-01,LT,518
82,2010-04-01,LU,162
83,2010-04-01,CY,9
84,2010-04-01,BG,3310
85,2010-04-01,GR,822
86,2010-04-01,CZ,611
93,2010-04-01,PT,549
88,2010-04-01,SK,887
89,2010-04-01,LV,633
90,2010-04-01,DK,143
91,2010-04-01,HR,957
87,2010-04-01,IE,88
125,2010-05-01,FR,758
124,2010-05-01,GB,542
126,2010-05-01,PL,10043
127,2010-05-01,GR,699
128,2010-05-01,CZ,567
131,2010-05-01,PT,500
130,2010-05-01,AT,801
123,2010-05-01,LT,475
132,2010-05-01,RO,6410
133,2010-05-01,IT,1601
134,2010-05-01,SE,156
129,2010-05-01,ES,727
122,2010-05-01,NL,685
121,2010-05-01,BE,182
120,2010-05-01,LV,569
109,2010-05-01,SK,684
110,2010-05-01,DK,103
111,2010-05-01,BG,2762
112,2010-05-01,IE,89
113,2010-05-01,EE,66
108,2010-05-01,HR,836
115,2010-05-01,FI,92
116,2010-05-01,LU,145
117,2010-05-01,CY,12
118,2010-05-01,CH,313
119,2010-05-01,SI,105
114,2010-05-01,HU,2212
150,2010-06-01,ES,794
151,2010-06-01,CZ,519
152,2010-06-01,GR,928
153,2010-06-01,NL,770
154,2010-06-01,PL,17033
157,2010-06-01,IT,1867
156,2010-06-01,AT,736
158,2010-06-01,GB,691
159,2010-06-01,FR,914
160,2010-06-01,RO,10438
149,2010-06-01,HU,2782
155,2010-06-01,BE,192
161,2010-06-01,LU,148
148,2010-06-01,PT,486
146,2010-06-01,EE,85
135,2010-06-01,DK,148
136,2010-06-01,SK,907
137,2010-06-01,HR,937
138,2010-06-01,CY,9
139,2010-06-01,SE,152
147,2010-06-01,IE,117
141,2010-06-01,FI,101
142,2010-06-01,SI,119
143,2010-06-01,CH,334
144,2010-06-01,LV,615
145,2010-06-01,BG,3281
140,2010-06-01,LT,553
177,2010-07-01,CZ,543
178,2010-07-01,HU,2618
179,2010-07-01,PL,10909
180,2010-07-01,IT,1864
181,2010-07-01,NL,925
184,2010-07-01,SE,206
183,2010-07-01,CH,390
185,2010-07-01,AT,1054
186,2010-07-01,PT,631
187,2010-07-01,RO,6693
176,2010-07-01,BG,3501
182,2010-07-01,BE,252
188,2010-07-01,GR,952
175,2010-07-01,ES,978
173,2010-07-01,LU,132
174,2010-07-01,IE,109
162,2010-07-01,HR,846
163,2010-07-01,EE,94
164,2010-07-01,FI,112
166,2010-07-01,DK,240
165,2010-07-01,FR,970
168,2010-07-01,GB,812
169,2010-07-01,SI,124
170,2010-07-01,LV,700
171,2010-07-01,LT,616
172,2010-07-01,CY,26
167,2010-07-01,SK,1041
208,2010-08-01,FR,1303
205,2010-08-01,RO,7173
206,2010-08-01,IT,1922
207,2010-08-01,NL,903
209,2010-08-01,ES,1117
204,2010-08-01,PL,10317
211,2010-08-01,SK,742
212,2010-08-01,PT,594
213,2010-08-01,LT,610
214,2010-08-01,GB,1154
215,2010-08-01,CH,500
210,2010-08-01,GR,1107
203,2010-08-01,BE,270
195,2010-08-01,EE,130
201,2010-08-01,SI,161
190,2010-08-01,FI,158
191,2010-08-01,LV,854
192,2010-08-01,CY,29
193,2010-08-01,IE,142
194,2010-08-01,DK,312
189,2010-08-01,HU,3018
196,2010-08-01,BG,4013
197,2010-08-01,CZ,518
198,2010-08-01,LU,251
199,2010-08-01,SE,282
200,2010-08-01,HR,888
202,2010-08-01,AT,1174
231,2010-09-01,BG,4159
232,2010-09-01,GB,1661
233,2010-09-01,IT,2799
234,2010-09-01,ES,2574
235,2010-09-01,FR,2324
238,2010-09-01,PT,710
237,2010-09-01,SE,382
239,2010-09-01,RO,7509
240,2010-09-01,PL,10422
241,2010-09-01,BE,447
230,2010-09-01,SI,198
236,2010-09-01,CY,45
229,2010-09-01,HR,1100
242,2010-09-01,CZ,795
227,2010-09-01,NL,949
216,2010-09-01,IE,270
217,2010-09-01,DK,306
218,2010-09-01,FI,443
219,2010-09-01,SK,811
220,2010-09-01,HU,3275
228,2010-09-01,GR,1499
222,2010-09-01,EE,153
223,2010-09-01,LT,625
224,2010-09-01,LV,865
225,2010-09-01,AT,1278
