date,country,Anmeldungen in Deutschland,Suche nach Jobs in Deutschland (Google Trends Index)
2010-01-01,Kroatien,82.34228795653486,43.00578034682082
2010-02-01,Kroatien,73.89073347419257,55.4913294797688
2010-03-01,Kroatien,98.88318744340478,194.2196531791908
2010-04-01,Kroatien,115.54482342287957,70.75144508670522
2010-05-01,Kroatien,100.9357078176879,110.9826589595376
2010-06-01,Kroatien,113.13009357078177,72.13872832369944
2010-07-01,Kroatien,102.1430727437368,41.6184971098266
2010-08-01,Kroatien,107.21400543314216,212.25433526011565
2010-09-01,Kroatien,132.8101418653788,172.02312138728328
2010-10-01,Kroatien,101.78086326592212,65.20231213872833
2010-11-01,Kroatien,109.87020827044975,77.68786127167631
2010-12-01,Kroatien,61.45487473588892,84.6242774566474
2011-01-01,Kroatien,86.08511922728644,242.77456647398847
2011-02-01,Kroatien,93.08783579837005,124.85549132947979
2011-03-01,Kroatien,126.29037126471476,187.28323699421966
2011-04-01,Kroatien,126.41110775731966,72.13872832369944
2011-05-01,Kroatien,149.23030485964384,134.56647398843933
2011-06-01,Kroatien,107.45547841835194,151.21387283237
2011-07-01,Kroatien,127.25626320555388,130.40462427745666
2011-08-01,Kroatien,128.82583760941745,59.65317919075146
2011-09-01,Kroatien,120.25354663447028,108.20809248554914
2011-10-01,Kroatien,110.4738907334742,83.2369942196532
2011-11-01,Kroatien,103.83338364020524,123.46820809248555
2011-12-01,Kroatien,72.68336854814368,219.19075144508676
2012-01-01,Kroatien,116.02776939329912,245.54913294797691
2012-02-01,Kroatien,100.9357078176879,140.1156069364162
2012-03-01,Kroatien,128.94657410202234,221.9653179190752
2012-04-01,Kroatien,156.23302143072743,233.06358381502895
2012-05-01,Kroatien,139.9335949290673,234.45086705202317
2012-06-01,Kroatien,127.73920917597343,148.43930635838154
2012-07-01,Kroatien,147.53999396317536,245.54913294797691
2012-08-01,Kroatien,137.51886507696952,176.18497109826592
2012-09-01,Kroatien,143.67642619981888,238.61271676300584
2012-10-01,Kroatien,128.94657410202234,152.60115606936418
2012-11-01,Kroatien,116.99366133413824,172.02312138728328
2012-12-01,Kroatien,77.75430123754904,144.27745664739888
2013-01-01,Kroatien,111.80199215212798,231.67630057803473
2013-02-01,Kroatien,98.52097796559009,148.43930635838154
2013-03-01,Kroatien,133.65529731361303,203.93063583815035
2013-04-01,Kroatien,175.30938726230002,271.9075144508671
2013-05-01,Kroatien,145.72894657410203,270.5202312138729
2013-06-01,Kroatien,183.27799577422277,251.09826589595383
2013-07-01,Kroatien,446.96649562330214,281.61849710982665
2013-08-01,Kroatien,345.3063688499849,441.15606936416197
2013-09-01,Kroatien,419.0763658315726,474.4508670520231
2013-10-01,Kroatien,409.7796559009961,421.7341040462428
2013-11-01,Kroatien,337.21702384545733,292.7167630057804
2013-12-01,Kroatien,193.05765167521884,202.5433526011561
2014-01-01,Kroatien,398.5511620887413,561.849710982659
2014-02-01,Kroatien,386.59824932085724,460.57803468208107
2014-03-01,Kroatien,437.9112586779354,589.5953757225436
2014-04-01,Kroatien,401.32810141865383,528.5549132947979
2014-05-01,Kroatien,444.43102927859945,423.121387283237
2014-06-01,Kroatien,489.3450045276185,438.3815028901735
2014-07-01,Kroatien,509.8702082704498,399.5375722543354
2014-08-01,Kroatien,422.4569876245095,471.6763005780347
2014-09-01,Kroatien,564.4431029278599,873.9884393063585
2014-10-01,Kroatien,508.90431632961065,539.6531791907515
2014-11-01,Kroatien,431.1500150920616,432.8323699421966
2014-12-01,Kroatien,298.4606097192877,439.76878612716774
2015-01-01,Kroatien,530.9990944763055,783.8150289017342
2015-02-01,Kroatien,416.0579535164503,564.6242774566475
2015-03-01,Kroatien,521.3401750679143,627.0520231213874
2015-04-01,Kroatien,519.529127678841,656.184971098266
2015-05-01,Kroatien,422.4569876245095,539.6531791907515
2015-06-01,Kroatien,558.2855418050106,751.9075144508672
2015-07-01,Kroatien,788.8922426803501,846.242774566474
2015-08-01,Kroatien,715.2429821913673,847.6300578034684
2015-09-01,Kroatien,834.4099003923936,596.5317919075145
2015-10-01,Kroatien,710.051313009357,545.2023121387285
2015-11-01,Kroatien,528.8258376094175,531.3294797687863
2015-12-01,Kroatien,336.61334138243285,493.8728323699422
2016-01-01,Kroatien,641.4729852097796,717.2254335260117
2016-02-01,Kroatien,535.3456082100814,713.063583815029
2016-03-01,Kroatien,516.3899788711138,575.7225433526013
2016-04-01,Kroatien,597.4041654089949,477.22543352601167
2016-05-01,Kroatien,501.0564443102928,435.60693641618496
2016-06-01,Kroatien,635.5568970721401,453.64161849710996
2016-07-01,Kroatien,643.8877150618774,571.5606936416185
2016-08-01,Kroatien,642.3181406580139,352.36994219653184
2016-09-01,Kroatien,703.5315424086931,579.884393063584
2016-10-01,Kroatien,611.2888620585572,403.699421965318
2016-11-01,Kroatien,530.9990944763055,425.8959537572254
2016-12-01,Kroatien,341.44280108662844,432.8323699421966
2017-01-01,Kroatien,558.5270147902204,714.4508670520232
2017-02-01,Kroatien,512.2849381225476,471.6763005780347
2017-03-01,Kroatien,544.2801086628433,503.58381502890177
2017-04-01,Kroatien,455.29731361303953,484.16184971098266
2017-05-01,Kroatien,514.9411409598551,406.4739884393063
2017-06-01,Kroatien,522.5475399939631,463.3526011560695
2017-07-01,Kroatien,601.8714156353758,425.8959537572254
2017-08-01,Kroatien,576.2752792031391,577.1098265895955
2017-09-01,Kroatien,648.4757017808633,554.9132947976881
2017-10-01,Kroatien,606.8216118321762,478.6127167630059
2017-11-01,Kroatien,512.888620585572,474.4508670520231
2017-12-01,Kroatien,315.1222456987624,414.79768786127187
2018-01-01,Kroatien,577.3619076365832,568.7861271676302
