date,country,Anmeldungen in Deutschland,Suche nach Jobs in Deutschland (Google Trends Index)
2010-01-31,Kroatien,82.34228795653486,43.00578034682082
2010-04-30,Kroatien,96.10624811349231,106.82080924855495
2010-07-31,Kroatien,105.40295804406882,74.91329479768787
2010-10-31,Kroatien,113.93500352148102,149.82658959537574
2011-01-31,Kroatien,85.8034007445417,135.02890173410404
2011-04-30,Kroatien,115.26310494013482,128.092485549133
2011-07-31,Kroatien,127.98068216118321,138.728323699422
2011-10-31,Kroatien,119.85109165912064,83.69942196531792
2012-01-31,Kroatien,97.51484052721601,196.06936416184973
2012-04-30,Kroatien,128.70510111681256,198.38150289017344
2012-07-31,Kroatien,138.4042660227387,209.4797687861272
2012-10-31,Kroatien,136.71395512627024,189.13294797687865
2013-01-31,Kroatien,102.18331824127176,182.65895953757231
2013-04-30,Kroatien,135.82855418050107,208.09248554913302
2013-07-31,Kroatien,258.657812657209,267.74566473988443
2013-10-31,Kroatien,391.38746352751787,445.78034682080926
2014-01-31,Kroatien,309.6086125364725,352.36994219653184
2014-04-30,Kroatien,408.61253647248213,526.2427745664742
2014-07-31,Kroatien,481.21541402555596,420.34682080924864
2014-10-31,Kroatien,498.60146896066,628.4393063583816
2015-01-31,Kroatien,420.2032397625515,552.1387283236995
2015-04-30,Kroatien,485.64241875440183,615.9537572254336
2015-07-31,Kroatien,589.8782573699567,712.6011560693643
2015-10-31,Kroatien,753.2347318643727,663.1213872832371
2016-01-31,Kroatien,502.3040547338766,580.8092485549133
2016-04-30,Kroatien,549.7132508300634,588.670520231214
2016-07-31,Kroatien,593.5003521481035,486.93641618497116
2016-10-31,Kroatien,652.3795150417548,445.3179190751446
2017-01-31,Kroatien,476.9896367843848,524.3930635838151
2017-04-30,Kroatien,503.95412013281015,486.4739884393064
2017-07-31,Kroatien,546.4533655297314,431.90751445086704
2017-10-31,Kroatien,610.5241976053929,536.8786127167631
2018-01-31,Kroatien,468.4575913069725,486.01156069364174
2018-04-30,Kroatien,514.6594224771103,443.4682080924856
2018-07-31,Kroatien,510.4738907334742,393.9884393063585
2018-10-31,Kroatien,594.3857530938726,440.69364161849717
2019-01-31,Kroatien,424.54975349632764,492.0231213872833
2019-04-30,Kroatien,431.15001509206155,384.7398843930637
2019-07-31,Kroatien,425.9583459100513,367.16763005780354
2019-10-31,Kroatien,470.95281215414025,406.0115606936417
