date,Rumänien,Polen,Bulgarien,Italien,Ungarn,Kroatien,Griechenland,Spanien,Frankreich,Vereinigtes Königreich,Slowakei,Österreich,Niederlande,Tschechien,Portugal,Lettland,Litauen,Schweiz,Slowenien,Belgien,Schweden,Luxemburg,Dänemark,Finnland,Irland,Estland,Zypern
2010-01-01,3853.0,6664.0,2383.0,1689.0,1702.0,682.0,749.0,728.0,905.0,670.0,471.0,843.0,763.0,366.0,442.0,303.0,516.0,419.0,105.0,195.0,218.0,158.0,153.0,110.0,84.0,63.0,16.0
2010-02-01,3703.0,6736.0,2495.0,1747.0,1817.0,612.0,691.0,796.0,916.0,644.0,543.0,806.0,649.0,405.0,514.0,356.0,498.0,289.0,143.0,217.0,171.0,103.0,143.0,107.0,90.0,61.0,10.0
2010-03-01,5503.0,9496.0,3364.0,2492.0,2393.0,819.0,930.0,1011.0,1215.0,764.0,692.0,939.0,768.0,565.0,623.0,632.0,668.0,396.0,185.0,237.0,218.0,184.0,245.0,215.0,111.0,103.0,15.0
2010-04-01,6081.0,10261.0,3310.0,1965.0,2383.0,957.0,822.0,812.0,1078.0,786.0,887.0,898.0,772.0,611.0,549.0,518.0,633.0,390.0,147.0,213.0,183.0,162.0,143.0,140.0,88.0,93.0,9.0
2010-05-01,6410.0,10043.0,2762.0,1601.0,2212.0,836.0,699.0,727.0,758.0,542.0,684.0,801.0,685.0,567.0,500.0,475.0,569.0,313.0,105.0,182.0,156.0,145.0,103.0,92.0,89.0,66.0,12.0
2010-06-01,10438.0,17033.0,3281.0,1867.0,2782.0,937.0,928.0,794.0,914.0,691.0,907.0,736.0,770.0,519.0,486.0,553.0,615.0,334.0,119.0,192.0,152.0,148.0,148.0,101.0,117.0,85.0,9.0
2010-07-01,6693.0,10909.0,3501.0,1864.0,2618.0,846.0,952.0,978.0,970.0,812.0,1041.0,1054.0,925.0,543.0,631.0,616.0,700.0,390.0,124.0,252.0,206.0,132.0,240.0,112.0,109.0,94.0,26.0
2010-08-01,7173.0,10317.0,4013.0,1922.0,3018.0,888.0,1107.0,1117.0,1303.0,1154.0,742.0,1174.0,903.0,518.0,594.0,610.0,854.0,500.0,161.0,270.0,282.0,251.0,312.0,158.0,142.0,130.0,29.0
2010-09-01,7509.0,10422.0,4159.0,2799.0,3275.0,1100.0,1499.0,2574.0,2324.0,1661.0,811.0,1278.0,949.0,795.0,710.0,625.0,865.0,692.0,198.0,447.0,382.0,340.0,306.0,443.0,270.0,153.0,45.0
2010-10-01,6596.0,9264.0,3919.0,2964.0,2824.0,843.0,1615.0,2344.0,2164.0,1150.0,734.0,1243.0,857.0,832.0,577.0,571.0,749.0,576.0,262.0,395.0,295.0,382.0,272.0,279.0,191.0,152.0,41.0
2010-11-01,5960.0,8544.0,3656.0,2199.0,2529.0,910.0,1407.0,1074.0,971.0,755.0,586.0,898.0,782.0,498.0,503.0,449.0,590.0,376.0,141.0,232.0,172.0,199.0,140.0,90.0,116.0,94.0,20.0
2010-12-01,3933.0,5037.0,2272.0,1411.0,1667.0,509.0,1123.0,652.0,624.0,510.0,336.0,652.0,595.0,310.0,289.0,299.0,338.0,273.0,95.0,165.0,117.0,118.0,100.0,65.0,79.0,52.0,15.0
2011-01-01,5727.0,7806.0,3536.0,1922.0,2088.0,713.0,1298.0,1120.0,932.0,752.0,530.0,893.0,895.0,430.0,554.0,453.0,649.0,460.0,136.0,233.0,217.0,160.0,158.0,139.0,111.0,70.0,27.0
2011-02-01,5798.0,8396.0,3734.0,2139.0,2189.0,771.0,1312.0,1136.0,930.0,681.0,600.0,829.0,732.0,445.0,611.0,472.0,581.0,311.0,107.0,231.0,203.0,123.0,193.0,117.0,124.0,91.0,18.0
