date,country,Anmeldungen in Deutschland,Suche nach Jobs in Deutschland (Google Trends Index)
2010-01-31,Rumänien,62.60629366841792,68.8926255104492
2010-04-30,Rumänien,82.79802848941127,102.23396588998317
2010-07-31,Rumänien,127.50365596056979,127.02378092721592
2010-10-31,Rumänien,115.24670963548719,90.89598846985346
2011-01-31,Rumänien,84.60163570384012,101.46528945472015
2011-04-30,Rumänien,110.39917673184205,101.27312034590439
2011-07-31,Rumänien,159.60028164436983,86.47609896709103
2011-10-31,Rumänien,143.71445593890485,92.81767955801104
2012-01-31,Rumänien,111.04912527758218,96.08455440787891
2012-04-30,Rumänien,143.91485674050807,92.72159500360316
2012-07-31,Rumänien,192.66099767101772,95.79630074465528
2012-10-31,Rumänien,172.61008503493474,105.98126351189046
2013-01-31,Rumänien,128.67356334290204,111.07374489550803
2013-04-30,Rumänien,159.4377945079348,102.04179678116742
2013-07-31,Rumänien,220.90126198342634,107.13427816478499
2013-10-31,Rumänien,205.5083139251476,116.45447994234924
2014-01-31,Rumänien,174.77116394952066,100.50444391064134
2014-04-30,Rumänien,240.04224665547312,109.92073024261349
2014-07-31,Rumänien,307.4744082760115,114.72495796300745
2014-10-31,Rumänien,285.07826463738286,103.4830650972856
2015-01-31,Rumänien,200.73660835183884,100.21619024741771
2015-04-30,Rumänien,278.17797757677516,96.85323084314196
2015-07-31,Rumänien,337.6103558468288,95.50804708143164
2015-10-31,Rumänien,328.44066511401184,101.36920490031225
2016-01-31,Rumänien,225.56464279911177,97.71799183281286
2016-04-30,Rumänien,285.2515842495802,99.3514292577468
2016-07-31,Rumänien,309.8575529437253,100.60052846504921
2016-10-31,Rumänien,313.51351351351354,103.48306509728559
2017-01-31,Rumänien,234.90223690624495,79.55801104972375
2017-04-30,Rumänien,284.4283160916428,83.68964688926253
2017-07-31,Rumänien,332.6382494719168,85.61133797742013
2017-10-31,Rumänien,328.38650273520017,87.34085995676192
2018-01-31,Rumänien,259.8765097763094,91.28032668748499
2018-04-30,Rumänien,321.37247467908793,88.78212827288013
2018-07-31,Rumänien,350.5118344797704,59.956761950516444
2018-10-31,Rumänien,355.0506418241889,72.92817679558011
2019-01-31,Rumänien,272.04138005741214,87.43694451116983
2019-04-30,Rumänien,317.44028597736013,76.67547441748738
2019-07-31,Rumänien,322.601960678113,82.72880134518375
2019-10-31,Rumänien,344.45106429074366,89.74297381695891
