date,country,Anmeldungen in Deutschland,Suche nach Jobs in Deutschland (Google Trends Index)
2010-01-31,Italien,82.65905383360523,123.96345748418834
2010-04-30,Italien,101.20717781402936,96.1349262122277
2010-07-31,Italien,86.98205546492659,91.35628952916375
2010-10-31,Italien,125.36704730831974,106.25439212930429
2011-01-31,Italien,90.2446982055465,107.09768095572734
2011-04-30,Italien,119.59216965742252,113.84399156711174
2011-07-31,Italien,112.47960848287113,121.15249472944483
2011-10-31,Italien,155.15497553017943,157.413914265636
2012-01-31,Italien,117.94453507340948,184.9613492621223
2012-04-30,Italien,157.83034257748776,232.4666198172874
2012-07-31,Italien,160.2610114192496,259.1707659873507
2012-10-31,Italien,224.95921696574223,299.9297259311314
2013-01-31,Italien,167.4714518760196,293.7456078706957
2013-04-30,Italien,219.98368678629694,382.85312719606463
2013-07-31,Italien,223.99673735725938,359.2410400562192
2013-10-31,Italien,292.0391517128875,501.19465917076604
2014-01-31,Italien,223.5889070146819,444.69430780042165
2014-04-30,Italien,289.7879282218598,458.4680252986648
2014-07-31,Italien,267.29200652528544,351.9325368938862
2014-10-31,Italien,345.54649265905385,446.6619817287421
2015-01-31,Italien,253.6215334420881,392.6914968376669
2015-04-30,Italien,309.02120717781406,332.53689388615607
2015-07-31,Italien,279.67373572593806,274.06886858749124
2015-10-31,Italien,345.61174551386625,278.84750527055513
2016-01-31,Italien,228.18923327895595,220.66057624736473
2016-04-30,Italien,266.08482871125614,231.62333099086436
2016-07-31,Italien,230.84828711256117,184.68025298664793
2016-10-31,Italien,306.2479608482871,239.2129304286718
2017-01-31,Italien,214.64926590538337,195.36191145467328
2017-04-30,Italien,254.1761827079935,179.3394237526353
2017-07-31,Italien,231.77814029363785,170.34434293745608
2017-10-31,Italien,298.59706362153344,195.36191145467322
2018-01-31,Italien,211.94127243066887,195.36191145467322
2018-04-30,Italien,263.32789559543227,177.0906535488405
2018-07-31,Italien,233.115823817292,154.0407589599438
2018-10-31,Italien,315.26916802610117,173.71749824314827
2019-01-31,Italien,216.08482871125614,158.25720309205906
2019-04-30,Italien,268.5318107667211,139.9859451862263
2019-07-31,Italien,223.5073409461664,119.18482080112439
2019-10-31,Italien,292.6753670473083,161.91145467322556
2010-01-31,Spanien,64.20224884250753,80.3970223325062
2010-04-30,Spanien,76.98978466965532,62.53101736972704
2010-07-31,Spanien,73.46218857940767,91.31513647642679
2010-10-31,Spanien,177.40868670537225,109.18114143920593
2011-01-31,Spanien,83.66282060704049,457.5682382133994
2011-04-30,Spanien,109.0027191886529,512.1588089330024
2011-07-31,Spanien,117.11619019622252,224.81389578163768
2011-10-31,Spanien,252.69346659807454,332.5062034739454
2012-01-31,Spanien,148.306018960829,291.8114143920595
2012-04-30,Spanien,165.41485999853015,284.863523573201
2012-07-31,Spanien,186.0219004923936,259.0570719602977
2012-10-31,Spanien,355.61108253105016,311.1662531017369
2013-01-31,Spanien,199.27978246490775,237.71712158808927
2013-04-30,Spanien,233.05651502902916,209.42928039702227
2013-07-31,Spanien,248.46035128977732,169.72704714640196
2013-10-31,Spanien,388.44712280443883,211.9106699751861
2014-01-31,Spanien,208.1869625927831,154.83870967741936
2014-04-30,Spanien,218.38759462041594,123.07692307692305
2014-07-31,Spanien,249.66561328727857,104.71464019851116
2014-10-31,Spanien,342.2650106562798,121.09181141439204
2015-01-31,Spanien,183.58197986330563,113.64764267990073
2015-04-30,Spanien,184.87543176306312,97.76674937965258
2015-07-31,Spanien,218.59337105901372,96.77419354838707
2015-10-31,Spanien,309.10560740795177,89.33002481389576
2016-01-31,Spanien,154.74388182553096,74.9379652605459
2016-04-30,Spanien,158.00690820901005,84.86352357320098
2016-07-31,Spanien,180.20136694348494,71.96029776674938
2016-10-31,Spanien,287.4696847210994,89.82630272952854
2017-01-31,Spanien,147.77687954729183,63.02729528535979
2017-04-30,Spanien,134.93055045197323,56.079404466501224
2017-07-31,Spanien,140.66289409862569,62.53101736972704
2017-10-31,Spanien,250.16535606673037,52.605459057071954
2018-01-31,Spanien,127.31682222385535,73.44913151364763
2018-04-30,Spanien,138.7521128830749,66.50124069478908
2018-07-31,Spanien,138.3993532740501,63.02729528535979
2018-10-31,Spanien,252.39950025722052,75.9305210918114
2019-01-31,Spanien,135.4008965973396,64.0198511166253
2019-04-30,Spanien,148.1884324244874,72.45657568238212
2019-07-31,Spanien,140.60410083045488,69.4789081885856
2019-10-31,Spanien,245.4618946130668,81.88585607940445
2010-01-31,Portugal,82.64256777812402,122.69326683291773
2010-04-30,Portugal,105.07946400747896,74.8129675810474
2010-07-31,Portugal,100.77905889685259,71.8204488778055
2010-10-31,Portugal,117.23278279837955,176.55860349127184
2011-01-31,Portugal,83.88906201308818,162.59351620947635
2011-04-30,Portugal,120.16204425054532,208.47880299251878
2011-07-31,Portugal,121.90713617949517,186.5336658354115
2011-10-31,Portugal,161.29635400436274,218.4538653366584
2012-01-31,Portugal,128.63820504830164,234.4139650872818
2012-04-30,Portugal,190.65129323776875,1012.4688279301748
2012-07-31,Portugal,183.17232782798376,302.2443890274315
2012-10-31,Portugal,215.9551262075413,310.2244389027432
2013-01-31,Portugal,163.22842006855717,262.3441396508729
2013-04-30,Portugal,236.27298223745711,317.2069825436409
2013-07-31,Portugal,215.83047678404486,164.5885286783043
2013-10-31,Portugal,231.84792770333436,242.3940149625936
2014-01-31,Portugal,162.48052352757867,253.36658354114718
2014-04-30,Portugal,177.9993767528825,146.6334164588529
2014-07-31,Portugal,175.94266126519165,229.42643391521202
2014-10-31,Portugal,195.26332190713615,148.62842892768083
2015-01-31,Portugal,134.80835151137424,130.67331670822944
2015-04-30,Portugal,162.6051729510751,133.66583541147136
2015-07-31,Portugal,146.46307260828917,131.6708229426434
2015-10-31,Portugal,186.97413524462448,119.70074812967584
2016-01-31,Portugal,115.36304144593332,122.6932668329177
2016-04-30,Portugal,154.50296042380802,104.73815461346635
2016-07-31,Portugal,127.82798379557495,114.71321695760601
2016-10-31,Portugal,175.755687129947,106.73316708229429
2017-01-31,Portugal,111.24961047055156,118.70324189526188
2017-04-30,Portugal,149.89093175444063,101.74563591022445
2017-07-31,Portugal,116.2355874104082,73.81546134663343
2017-10-31,Portugal,147.70956684325333,95.76059850374067
2018-01-31,Portugal,98.72234340916174,93.76558603491272
2018-04-30,Portugal,132.56466188843876,88.77805486284291
2018-07-31,Portugal,107.26082891866626,85.78553615960102
2018-10-31,Portugal,146.83702087877842,102.74314214463841
2019-01-31,Portugal,102.4618261140542,102.74314214463841
2019-04-30,Portugal,127.89030850732316,106.73316708229429
2019-07-31,Portugal,111.18728575880336,67.83042394014964
2019-10-31,Portugal,131.87909005920847,142.64339152119703
2010-01-31,Griechenland,71.7776712985146,59.50890707751564
2010-04-30,Griechenland,78.03865197252834,63.36061627347135
2010-07-31,Griechenland,82.3830059095991,93.01877708233029
2010-10-31,Griechenland,134.83469094393865,136.92826191622532
2011-01-31,Griechenland,122.28078581696217,139.04670197400097
2011-04-30,Griechenland,140.0095831336847,155.80163697640828
2011-07-31,Griechenland,161.44385880849705,179.48964853153586
2011-10-31,Griechenland,237.4381089282862,279.6340876263842
2012-01-31,Griechenland,265.93195975083853,248.24265767934517
2012-04-30,Griechenland,248.71426289730073,295.040924410207
2012-07-31,Griechenland,272.06516530905606,181.99325950890707
2012-10-31,Griechenland,319.34195815364956,280.21184400577755
2013-01-31,Griechenland,257.2113080977479,186.80789600385174
2013-04-30,Griechenland,242.4852260022361,188.73375060182954
2013-07-31,Griechenland,242.51716978118512,183.34135772749156
2013-10-31,Griechenland,314.4226161954959,217.42898411169958
2014-01-31,Griechenland,260.0543044242134,196.43716899374098
2014-04-30,Griechenland,228.01469413831657,147.13529128550792
2014-07-31,Griechenland,217.79268487462068,128.06933076552718
2014-10-31,Griechenland,283.7885321833573,161.00144439094848
2015-01-31,Griechenland,242.3255071074908,101.6851227732306
2015-04-30,Griechenland,207.92205717936432,105.34424650938853
2015-07-31,Griechenland,219.77319916946178,145.59460760712565
2015-10-31,Griechenland,336.04855454400257,157.92007703418392
2016-01-31,Griechenland,260.9167864558377,123.44727973038034
2016-04-30,Griechenland,228.01469413831657,126.14347616754934
2016-07-31,Griechenland,206.13320555821755,138.85411651420318
2016-10-31,Griechenland,283.7565884044082,155.80163697640828
2017-01-31,Griechenland,239.1630729915349,135.00240731824746
2017-04-30,Griechenland,207.82622584251718,145.97977852672122
2017-07-31,Griechenland,220.18846829579937,103.80356283100626
2017-10-31,Griechenland,285.6093275834531,159.84593163216175
2018-01-31,Griechenland,242.0060693180003,117.86230139624456
2018-04-30,Griechenland,212.07474844274077,122.29176697159363
2018-07-31,Griechenland,219.90097428525794,89.16706788637458
2018-10-31,Griechenland,290.84810733109725,149.8314877226769
2019-01-31,Griechenland,226.8327743172017,120.75108329321135
2019-04-30,Griechenland,212.36224245328222,105.34424650938854
2019-07-31,Griechenland,195.01677048394825,89.93740972556571
2019-10-31,Griechenland,249.92812649736462,144.05392392874336
