country,date,Anmeldungen,dest
AUT,2010,11322.0,DEU
AUT,2011,11711.0,DEU
AUT,2012,11593.0,DEU
AUT,2013,11760.0,DEU
AUT,2014,12284.0,DEU
AUT,2015,13480.0,DEU
AUT,2016,14296.0,DEU
AUT,2017,12997.0,DEU
AUT,2018,12860.0,DEU
AUT,2019,12383.0,DEU
BEL,2010,2997.0,DEU
BEL,2011,3246.0,DEU
BEL,2012,3599.0,DEU
BEL,2013,3784.0,DEU
BEL,2014,4122.0,DEU
BEL,2015,4044.0,DEU
BEL,2016,3964.0,DEU
BEL,2017,3935.0,DEU
BEL,2018,3827.0,DEU
BEL,2019,3956.0,DEU
BGR,2010,39115.0,DEU
BGR,2011,51319.0,DEU
BGR,2012,58504.0,DEU
BGR,2013,58950.0,DEU
BGR,2014,77375.0,DEU
BGR,2015,83226.0,DEU
BGR,2016,79621.0,DEU
BGR,2017,77991.0,DEU
BGR,2018,81528.0,DEU
BGR,2019,82974.0,DEU
CHE,2010,4948.0,DEU
CHE,2011,5303.0,DEU
CHE,2012,5741.0,DEU
CHE,2013,6074.0,DEU
CHE,2014,6413.0,DEU
CHE,2015,6402.0,DEU
CHE,2016,6466.0,DEU
CHE,2017,6396.0,DEU
CHE,2018,6534.0,DEU
CHE,2019,6247.0,DEU
CYP,2010,247.0,DEU
CYP,2011,369.0,DEU
CYP,2012,560.0,DEU
CYP,2013,923.0,DEU
CYP,2014,931.0,DEU
CYP,2015,827.0,DEU
CYP,2016,888.0,DEU
CYP,2017,864.0,DEU
CYP,2018,464.0,DEU
CYP,2019,402.0,DEU
CZE,2010,6529.0,DEU
CZE,2011,9031.0,DEU
CZE,2012,10035.0,DEU
CZE,2013,10984.0,DEU
CZE,2014,12226.0,DEU
CZE,2015,12665.0,DEU
CZE,2016,11239.0,DEU
CZE,2017,11191.0,DEU
CZE,2018,10983.0,DEU
CZE,2019,10702.0,DEU
DNK,2010,2305.0,DEU
DNK,2011,2546.0,DEU
DNK,2012,2590.0,DEU
DNK,2013,2837.0,DEU
DNK,2014,2662.0,DEU
DNK,2015,2563.0,DEU
DNK,2016,2622.0,DEU
DNK,2017,2609.0,DEU
DNK,2018,2724.0,DEU
DNK,2019,2815.0,DEU
EST,2010,1146.0,DEU
EST,2011,1441.0,DEU
EST,2012,1305.0,DEU
EST,2013,1367.0,DEU
EST,2014,1112.0,DEU
EST,2015,994.0,DEU
EST,2016,900.0,DEU
EST,2017,813.0,DEU
EST,2018,614.0,DEU
EST,2019,345.0,DEU
ESP,2010,13607.0,DEU
ESP,2011,20672.0,DEU
ESP,2012,29910.0,DEU
ESP,2013,36511.0,DEU
ESP,2014,34376.0,DEU
ESP,2015,29629.0,DEU
ESP,2016,26664.0,DEU
ESP,2017,22363.0,DEU
ESP,2018,22560.0,DEU
ESP,2019,22815.0,DEU
FIN,2010,1912.0,DEU
FIN,2011,2167.0,DEU
FIN,2012,2331.0,DEU
FIN,2013,2366.0,DEU
FIN,2014,2384.0,DEU
FIN,2015,2396.0,DEU
FIN,2016,2366.0,DEU
FIN,2017,2340.0,DEU
FIN,2018,2072.0,DEU
FIN,2019,1880.0,DEU
FRA,2010,14142.0,DEU
FRA,2011,14783.0,DEU
FRA,2012,15581.0,DEU
FRA,2013,16593.0,DEU
FRA,2014,17307.0,DEU
FRA,2015,16656.0,DEU
FRA,2016,16928.0,DEU
FRA,2017,16340.0,DEU
FRA,2018,16205.0,DEU
FRA,2019,16230.0,DEU
GBR,2010,10139.0,DEU
GBR,2011,11248.0,DEU
GBR,2012,12161.0,DEU
GBR,2013,12362.0,DEU
GBR,2014,12673.0,DEU
GBR,2015,13116.0,DEU
GBR,2016,13745.0,DEU
GBR,2017,14879.0,DEU
GBR,2018,15230.0,DEU
GBR,2019,16152.0,DEU
GRC,2010,12522.0,DEU
GRC,2011,23779.0,DEU
GRC,2012,34109.0,DEU
GRC,2013,33379.0,DEU
GRC,2014,30602.0,DEU
GRC,2015,31528.0,DEU
GRC,2016,30689.0,DEU
GRC,2017,29788.0,DEU
GRC,2018,29740.0,DEU
GRC,2019,27225.0,DEU
HRV,2010,9939.0,DEU
HRV,2011,11197.0,DEU
HRV,2012,12608.0,DEU
HRV,2013,24845.0,DEU
HRV,2014,43843.0,DEU
HRV,2015,57006.0,DEU
HRV,2016,57155.0,DEU
HRV,2017,52754.0,DEU
HRV,2018,51222.0,DEU
HRV,2019,42300.0,DEU
HUN,2010,29220.0,DEU
HUN,2011,41134.0,DEU
HUN,2012,53892.0,DEU
HUN,2013,58068.0,DEU
HUN,2014,56439.0,DEU
HUN,2015,55618.0,DEU
HUN,2016,49220.0,DEU
HUN,2017,45456.0,DEU
HUN,2018,41286.0,DEU
HUN,2019,34307.0,DEU
IRL,2010,1486.0,DEU
IRL,2011,1964.0,DEU
IRL,2012,2097.0,DEU
IRL,2013,2070.0,DEU
IRL,2014,2196.0,DEU
IRL,2015,2209.0,DEU
IRL,2016,2352.0,DEU
IRL,2017,2313.0,DEU
IRL,2018,2540.0,DEU
IRL,2019,2648.0,DEU
ITA,2010,24520.0,DEU
ITA,2011,30152.0,DEU
ITA,2012,42167.0,DEU
ITA,2013,57523.0,DEU
ITA,2014,70388.0,DEU
ITA,2015,71505.0,DEU
ITA,2016,63191.0,DEU
ITA,2017,61147.0,DEU
ITA,2018,62733.0,DEU
ITA,2019,60755.0,DEU
LTU,2010,6007.0,DEU
LTU,2011,9817.0,DEU
