,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
country,Österreich,Belgien,Bulgarien,Schweiz,Zypern,Tschechien,Dänemark,Estland,Spanien,Finnland,Frankreich,Vereinigtes Königreich,Griechenland,Kroatien,Ungarn,Irland,Italien,Lettland,Luxemburg,Litauen,Niederlande,Polen,Portugal,Rumänien,Schweden,Slowenien,Slowakei
date,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,0.05931198102016608,0.19487179487179487,0.4838438942509442,0.09785202863961814,0.6875,0.17486338797814208,0.032679738562091505,0.1111111111111111,0.5384615384615384,0.2636363636363636,0.02983425414364641,0.12238805970149254,0.732977303070761,0.045454545454545456,0.22679200940070504,0.32142857142857145,0.137951450562463,0.49504950495049505,0.012658227848101266,0.25775193798449614,0.17300131061598953,0.1713685474189676,0.25339366515837103,0.48637425382818583,-0.0045871559633027525,0.29523809523809524,0.12526539278131635
2011-02-01,0.028535980148883373,0.06451612903225806,0.49659318637274547,0.07612456747404844,0.8,0.09876543209876543,0.34965034965034963,0.4918032786885246,0.4271356783919598,0.09345794392523364,0.015283842794759825,0.05745341614906832,0.8986975397973951,0.25980392156862747,0.20473307649972483,0.37777777777777777,0.22438465941614197,0.3258426966292135,0.1941747572815534,0.16666666666666666,0.12788906009244994,0.24643705463182897,0.188715953307393,0.5657574939238456,0.1871345029239766,-0.2517482517482518,0.10497237569060773
2011-03-01,0.009584664536741214,0.0970464135021097,0.2901307966706302,0.1414141414141414,0.0,-0.017699115044247787,0.10612244897959183,0.1262135922330097,0.34619188921859545,0.04186046511627907,0.06995884773662552,0.05235602094240838,0.7935483870967742,0.2771672771672772,0.11115754283326369,0.26126126126126126,0.12319422150882825,0.11392405063291139,-0.043478260869565216,0.15568862275449102,0.049479166666666664,0.16585930918281383,0.20385232744783308,0.3347265128111939,0.09174311926605505,0.043243243243243246,0.2875722543352601
2011-04-01,0.05456570155902005,0.14553990610328638,0.17915407854984894,0.02564102564102564,0.8888888888888888,0.09001636661211129,0.2097902097902098,0.21505376344086022,0.49137931034482757,0.007142857142857143,0.04267161410018553,0.01272264631043257,0.7068126520681265,0.09404388714733543,-0.061686949223667645,0.3068181818181818,0.2178117048346056,0.21235521235521235,-0.24074074074074073,-0.009478672985781991,-0.11787564766839378,0.017249780723126402,0.03278688524590164,0.19059365235980924,0.09289617486338798,0.08843537414965986,0.0011273957158962795
2011-05-01,0.1111111111111111,0.2967032967032967,0.6379435191889935,0.19488817891373802,0.5833333333333334,0.6049382716049383,0.33980582524271846,0.7121212121212122,0.71939477303989,0.21739130434782608,0.22691292875989447,0.544280442804428,1.1530758226037197,0.4784688995215311,0.8331826401446655,0.39325842696629215,0.462211118051218,1.1389473684210527,0.14482758620689656,0.8084358523725835,0.11240875912408758,0.9772976202329982,0.398,0.5541341653666146,0.12179487179487179,2.0476190476190474,0.8304093567251462
