date,country,Anmeldungen in Deutschland,Suche nach Jobs in Deutschland (Google Trends Index)
2010-01-01,Vereinigtes Königreich,79.29776112042607,84.1249682499365
2010-02-01,Vereinigtes Königreich,76.22053456948417,101.49860299720596
2010-03-01,Vereinigtes Königreich,90.42311865075452,88.39217678435357
2010-04-01,Vereinigtes Königreich,93.02692573232075,101.19380238760476
2010-05-01,Vereinigtes Königreich,64.14833810040437,82.29616459232916
2010-06-01,Vereinigtes Königreich,81.78321333464838,146.60909321818642
2010-07-01,Vereinigtes Königreich,96.10415228326265,139.29387858775718
2010-08-01,Vereinigtes Königreich,136.58151691488314,96.9265938531877
2010-09-01,Vereinigtes Königreich,196.58743465825032,96.62179324358647
2010-10-01,Vereinigtes Königreich,136.10809744550744,92.65938531877063
2010-11-01,Vereinigtes Königreich,89.35792484465924,93.8785877571755
2010-12-01,Vereinigtes Königreich,60.36098234539896,76.50495300990599
2011-01-01,Vereinigtes Königreich,89.00286024262748,108.20421640843281
2011-02-01,Vereinigtes Königreich,80.59966466120919,144.17068834137666
2011-03-01,Vereinigtes Königreich,95.1573133445113,101.80340360680722
2011-04-01,Vereinigtes Königreich,94.21047440575994,109.11861823723645
2011-05-01,Vereinigtes Königreich,99.06302396686064,129.54025908051815
2011-06-01,Vereinigtes Königreich,91.72502219153763,101.80340360680722
2011-07-01,Vereinigtes Königreich,115.63270539500938,77.72415544831088
2011-08-01,Vereinigtes Königreich,152.91448860834402,101.49860299720596
2011-09-01,Vereinigtes Königreich,195.7589505868429,111.5570231140462
2011-10-01,Vereinigtes Königreich,150.66574612880956,100.27940055880109
2011-11-01,Vereinigtes Königreich,96.22250715060657,127.7114554229108
2011-12-01,Vereinigtes Königreich,70.30279120228819,83.51536703073405
2012-01-01,Vereinigtes Königreich,118.35486734391954,115.21463042926084
2012-02-01,Vereinigtes Königreich,90.42311865075452,128.01625603251205
2012-03-01,Vereinigtes Königreich,100.83834697701943,147.52349504699004
2012-04-01,Vereinigtes Königreich,115.51435052766546,105.46101092202183
2012-05-01,Vereinigtes Königreich,92.31679652825723,140.51308102616204
2012-06-01,Vereinigtes Königreich,95.1573133445113,165.50673101346197
2012-07-01,Vereinigtes Königreich,133.74100009862906,140.2082804165608
2012-08-01,Vereinigtes Königreich,165.10503994476773,115.82423164846327
2012-09-01,Vereinigtes Königreich,194.33869217871586,122.52984505969012
2012-10-01,Vereinigtes Königreich,168.89239569977318,105.46101092202183
2012-11-01,Vereinigtes Königreich,101.43012131373904,131.06426212852423
2012-12-01,Vereinigtes Königreich,63.20149916165303,75.59055118110236
2013-01-01,Vereinigtes Königreich,116.46118946641681,116.73863347726694
2013-02-01,Vereinigtes Königreich,92.67186113028899,124.3586487172974
2013-03-01,Vereinigtes Königreich,97.28770095670185,113.99542799085596
2013-04-01,Vereinigtes Königreich,125.69286911924253,115.51943103886207
2013-05-01,Vereinigtes Königreich,88.64779564059573,110.33782067564135
2013-06-01,Vereinigtes Königreich,96.34086201795049,128.01625603251205
2013-07-01,Vereinigtes Königreich,130.3087089456554,108.20421640843281
2013-08-01,Vereinigtes Königreich,170.54936384258804,104.24180848361692
2013-09-01,Vereinigtes Königreich,205.93746917841997,95.70739141478279
2013-10-01,Vereinigtes Königreich,168.18226649570965,124.3586487172974
2013-11-01,Vereinigtes Königreich,101.54847618108296,101.80340360680722
2013-12-01,Vereinigtes Königreich,69.47430713088076,97.2313944627889
2014-01-01,Vereinigtes Königreich,120.24854522142223,113.69062738125476
2014-02-01,Vereinigtes Königreich,95.27566821185522,129.54025908051815
2014-03-01,Vereinigtes Königreich,108.29470361968636,97.84099568199133
2014-04-01,Vereinigtes Königreich,109.35989742578165,106.07061214122429
2014-05-01,Vereinigtes Königreich,92.31679652825723,100.88900177800353
2014-06-01,Vereinigtes Königreich,110.66180096656475,122.22504445008889
2014-07-01,Vereinigtes Königreich,145.22142223098925,213.3604267208534
2014-08-01,Vereinigtes Königreich,161.43603905710623,104.85140970281938
2014-09-01,Vereinigtes Königreich,221.67866653516128,106.6802133604267
