date,country,Anmeldungen in Deutschland,Suche nach Jobs in Deutschland (Google Trends Index)
2010-01-31,Vereinigtes Königreich,79.29776112042607,84.1249682499365
2010-04-30,Vereinigtes Königreich,86.55685965085314,97.02819405638809
2010-07-31,Vereinigtes Königreich,80.67856790610513,122.73304546609093
2010-10-31,Vereinigtes Königreich,156.42568300621363,95.4025908051816
2011-01-31,Vereinigtes Königreich,79.5739224775619,92.86258572517143
2011-04-30,Vereinigtes Königreich,89.98915080382682,118.36423672847344
2011-07-31,Vereinigtes Königreich,102.14025051780256,103.02260604521207
2011-10-31,Vereinigtes Königreich,166.44639510799882,104.44500889001775
2012-01-31,Vereinigtes Königreich,94.96005523227143,108.81381762763522
2012-04-30,Vereinigtes Königreich,102.25860538514645,127.00025400050798
2012-07-31,Vereinigtes Königreich,107.07170332379918,148.74269748539493
2012-10-31,Vereinigtes Königreich,176.11204260775227,114.60502921005842
2013-01-31,Vereinigtes Königreich,93.69760331393631,107.79781559563118
2013-04-30,Vereinigtes Königreich,105.21747706874446,117.95783591567181
2013-07-31,Vereinigtes Königreich,105.09912220140056,115.51943103886208
2013-10-31,Vereinigtes Königreich,181.55636650557256,108.10261620523238
2014-01-31,Vereinigtes Königreich,97.09044284446198,104.24180848361696
2014-04-30,Vereinigtes Königreich,104.31008975244107,111.1506223012446
2014-07-31,Vereinigtes Königreich,116.06667324193707,145.49149098298196
2014-10-31,Vereinigtes Königreich,180.96459216885296,112.06502413004824
2015-01-31,Vereinigtes Königreich,96.06470066081467,106.78181356362711
2015-04-30,Vereinigtes Königreich,109.12318769109379,112.47142494284985
2015-07-31,Vereinigtes Königreich,112.75273695630733,118.97383794767588
2015-10-31,Vereinigtes Königreich,191.6165302298057,118.36423672847343
2016-01-31,Vereinigtes Königreich,111.96370450734787,114.30022860045717
2016-04-30,Vereinigtes Königreich,112.67383371141138,126.18745237490471
2016-07-31,Vereinigtes Königreich,117.3685767827202,137.1602743205486
2016-10-31,Vereinigtes Königreich,197.9682414439294,96.52019304038606
2017-01-31,Vereinigtes Königreich,113.14725318078706,103.73380746761491
2017-04-30,Vereinigtes Königreich,127.31038563960942,113.99542799085594
2017-07-31,Vereinigtes Königreich,134.53003254758852,104.54660909321815
2017-10-31,Vereinigtes Königreich,209.21195384160174,105.0546101092202
2018-01-31,Vereinigtes Königreich,120.24854522142225,108.00101600203197
2018-04-30,Vereinigtes Königreich,126.71861130288984,106.88341376682752
2018-07-31,Vereinigtes Königreich,132.0445803333662,93.47218694437386
2018-10-31,Vereinigtes Königreich,218.3647302495315,100.07620015240029
2019-01-31,Vereinigtes Königreich,130.62432192523917,81.78816357632712
2019-04-30,Vereinigtes Königreich,157.37252194496497,99.97459994919988
2019-07-31,Vereinigtes Königreich,126.24519183351417,95.50419100838197
2019-10-31,Vereinigtes Königreich,221.87592464740115,98.65379730759462
