,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.142857142857146,0.0,0.0,0.0,0.0,34.57142857142857,32.57142857142857,32.42857142857143,52.142857142857146,65.42857142857143,50.714285714285715,69.42857142857143,77.42857142857143,78.28571428571429,54.42857142857143,76.85714285714286,40.42857142857143,66.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1661524890696136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8313223355266106,0.0,0.0,0.0,0.0,17.503546773721716,3.5312020269452216,7.227122007895452,4.842414644765227,7.882642603960216,4.699109772399579,10.783269984778542,1.1308897225750398,1.873553864086286,7.630943094861,1.1428571428571428,2.5247078365355358,11.257650459911739
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.285714285714285,0.0,0.0,7.714285714285714,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,39.57142857142857,92.28571428571429,56.0,64.42857142857143,61.42857142857143,33.42857142857143,72.71428571428571,69.57142857142857,37.42857142857143,71.71428571428571,45.857142857142854,28.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.905728306812122,0.0,0.0,7.714285714285714,18.442777839082936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.80305955290694,0.0,0.0,0.0,0.0,0.0,5.710713168944768,3.714285714285714,2.600366274566866,7.954804307123202,9.975821109198034,4.829754715536276,1.1065666703449764,2.8018458444486956,4.280949732506199,1.084836738085191,2.8404272937155692,6.1814953169715725
2007-03-01,0.0,0.0,22.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.57142857142857,0.0,0.0,0.0,0.0,0.0,36.42857142857143,55.857142857142854,64.0,54.42857142857143,48.857142857142854,31.428571428571427,72.42857142857143,76.28571428571429,61.0,75.57142857142857,34.142857142857146,38.857142857142854,0.0,0.0,15.386185163241441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.841516972812496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.360272081627209,0.0,0.0,0.0,0.0,0.0,4.740188578010587,6.0766084346473415,5.494586079995123,4.75523342202664,5.431077115955525,6.082203324364581,0.6116777418411967,3.7014429986302435,6.917885721601857,0.7514158970504519,1.8313223355266106,5.315872778891585
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.428571428571427,0.0,21.857142857142858,57.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,7.285714285714286,79.85714285714286,68.14285714285714,61.714285714285715,51.42857142857143,43.42857142857143,69.14285714285714,57.42857142857143,70.28571428571429,71.14285714285714,30.428571428571427,38.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.114931544892691,0.0,15.01178675230229,20.203050891044214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.866830866792721,0.0,0.0,0.0,0.0,0.0,2.892636675902369,6.881405488459363,3.0893717301540176,7.689554714070267,5.331207059145518,4.508495382302714,0.9618576131773408,3.1536610837711327,7.009226184157582,1.7103128567683774,2.6534536601438155,4.775219480655876
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.571428571428573,0.0,0.0,0.0,0.0,39.42857142857143,0.0,0.0,0.0,48.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.42857142857143,0.0,0.0,0.0,0.0,0.0,14.714285714285714,14.285714285714286,64.14285714285714,73.28571428571429,35.857142857142854,26.571428571428573,72.14285714285714,44.714285714285715,46.714285714285715,73.28571428571429,37.42857142857143,49.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78788644644161,0.0,0.0,0.0,0.0,18.775436261315505,0.0,0.0,0.0,17.7179335721756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.902028378131922,0.0,0.0,0.0,0.0,0.0,3.8957503447088753,5.38832196564405,3.3268644713730615,5.882639048664362,5.077628671453837,6.190842480005844,1.5800628593368635,2.485331114419026,2.941608611710571,1.9483116709979802,1.0879675865519867,10.322684879877507
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.57142857142857,0.0,0.0,0.0,0.0,0.0,24.428571428571427,29.0,69.14285714285714,47.57142857142857,44.142857142857146,30.428571428571427,63.42857142857143,39.57142857142857,56.42857142857143,71.71428571428571,33.42857142857143,58.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.082482948466078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03830421732367,0.0,0.0,0.0,0.0,0.0,5.480950312357393,4.572172558506721,4.026274252176756,6.019243517005007,9.602649861040518,5.515593232598194,1.1096362093077183,1.6882950382129367,7.425365608626198,1.1693361102674926,1.5562032988922088,6.920343666508552
2007-07-01,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,19.285714285714285,0.0,0.0,0.0,32.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.28571428571429,0.0,0.0,0.0,0.0,42.857142857142854,19.571428571428573,39.57142857142857,88.57142857142857,29.0,30.142857142857142,35.57142857142857,66.57142857142857,41.714285714285715,34.857142857142854,72.0,34.285714285714285,52.857142857142854,0.0,0.0,18.418417283743334,0.0,0.0,0.0,0.0,0.0,0.0,9.226551452231774,0.0,0.0,0.0,16.03482604391153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4206257135367557,0.0,0.0,0.0,0.0,20.203050891044214,5.200078492343227,5.66886711978405,3.951233338839809,3.5321651258386084,3.3053245026815765,6.753683802041607,0.9724084693648635,1.8088971345926272,3.165502829451477,0.5345224838248488,3.0606121836612212,8.80862286255314
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.285714285714285,0.0,0.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,39.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.142857142857146,0.0,0.0,0.0,0.0,6.428571428571429,33.857142857142854,8.0,93.28571428571429,20.142857142857142,28.571428571428573,28.142857142857142,70.28571428571429,52.714285714285715,13.714285714285714,73.71428571428571,39.714285714285715,22.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.543207509935781,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,14.375669165140737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7507368890505175,0.0,0.0,0.0,0.0,6.428571428571428,4.490352470143345,4.04145188432738,2.6521714886941568,2.5206629081649607,3.400680204068024,4.4046975542274955,2.367581503744011,1.4093951035189278,4.109885212823472,1.148794103029982,2.3167535343181216,5.97557386308606
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.142857142857146,0.0,46.57142857142857,38.0,0.0,0.0,0.0,23.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.57142857142857,0.0,0.0,0.0,0.0,0.0,22.142857142857142,30.428571428571427,52.0,8.285714285714286,17.714285714285715,51.57142857142857,74.0,44.285714285714285,50.57142857142857,73.14285714285714,29.857142857142858,23.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.500340131426846,0.0,17.040368237214356,18.418417283743334,0.0,0.0,0.0,11.4484945390599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7573944844996128,0.0,0.0,0.0,0.0,0.0,6.280842267708746,6.244453321061144,2.811540841738193,3.091572921548463,3.091572921548463,7.057104299104228,1.8771812708978104,1.5386185163241437,4.648897170077994,0.5084322977157768,1.857142857142857,8.163299319657028
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.714285714285715,0.0,35.57142857142857,0.0,0.0,11.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.42857142857143,0.0,0.0,0.0,0.0,0.0,24.571428571428573,51.142857142857146,66.42857142857143,62.285714285714285,45.285714285714285,31.857142857142858,75.0,50.857142857142854,71.71428571428571,75.28571428571429,37.0,41.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5494070284442945,0.0,14.988657843368705,0.0,0.0,11.857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.102800206268535,0.0,0.0,0.0,0.0,0.0,6.17158289048682,3.8509650703153766,5.2773421469575394,8.4704367844715,5.050762722761053,4.522054797526975,0.8728715609439694,2.293142691016096,3.1601257186737257,0.7142857142857141,2.572750982712399,9.795181378172254
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.857142857142858,0.0,45.142857142857146,14.0,51.0,53.142857142857146,0.0,0.0,0.0,15.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.714285714285715,0.0,0.0,0.0,0.0,0.0,15.714285714285714,30.428571428571427,59.285714285714285,57.42857142857143,66.14285714285714,41.714285714285715,71.28571428571429,50.142857142857146,67.0,70.28571428571429,45.142857142857146,42.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.696400582107682,0.0,14.980032060854132,14.0,14.465064646868857,13.896605566054733,0.0,0.0,0.0,10.066108017115894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6966847875748132,0.0,0.0,0.0,0.0,0.0,2.670065860738321,3.564755670897695,5.0129085071124395,7.454168354037902,7.679374265892127,6.8128529990301825,0.808122035641769,1.438063701956333,5.259911279353166,1.8608022554838017,1.9931856701387,8.84984338229533
2007-12-01,0.0,0.0,33.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,5.285714285714286,0.0,0.0,5.571428571428571,0.0,22.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.714285714285715,0.0,0.0,0.0,0.0,0.0,20.428571428571427,25.571428571428573,59.714285714285715,51.285714285714285,59.142857142857146,36.285714285714285,55.0,55.57142857142857,43.714285714285715,53.285714285714285,43.0,43.57142857142857,0.0,0.0,16.738687925562974,0.0,0.0,0.0,0.0,0.0,0.0,5.285714285714286,0.0,0.0,5.571428571428571,0.0,14.3865488952579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.387609740327938,0.0,0.0,0.0,0.0,0.0,3.93916321097782,3.372558325643004,3.5099469926419773,7.49512313096318,6.001700439314288,4.127228320003895,1.1547005383792515,2.3386722205349857,5.348405573334052,1.475422227126635,1.6903085094570331,10.306856577880902
2008-01-01,0.0,0.0,57.142857142857146,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,52.857142857142854,23.428571428571427,21.0,35.857142857142854,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,62.142857142857146,0.0,0.0,0.0,0.0,0.0,57.285714285714285,62.285714285714285,78.85714285714286,46.857142857142854,89.0,33.57142857142857,79.71428571428571,96.0,69.57142857142857,82.71428571428571,57.714285714285715,41.0,0.0,0.0,12.136973364433967,0.0,0.0,0.0,0.0,0.0,0.0,6.191391873668903,0.0,7.513253595602689,15.624853740812062,10.284060713643456,17.183087714417347,0.0,0.0,0.0,13.1710360441459,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.8182745801939793,0.0,0.0,0.0,0.0,0.0,8.374320969528233,8.967439210075224,4.832570899283179,6.7732969092169695,5.584843434732633,3.3866484546084847,1.1487941030299829,1.4309504001254014,4.269811765992361,1.267060447204769,2.254247691151357,13.270088096739904
