,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem,sem
keyword_id,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125,2,10,11,12,14,15,16,17,18,19,20,21,22,24,26,28,32,33,37,38,39,41,42,43,44,48,49,51,52,54,55,56,57,58,59,60,112,113,114,115,117,118,119,121,122,123,124,125
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.142857142857146,0.0,0.0,19.285714285714285,0.0,10.0,62.285714285714285,32.57142857142857,48.285714285714285,44.57142857142857,100.0,30.428571428571427,80.57142857142857,77.0,54.142857142857146,78.14285714285714,47.42857142857143,31.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.020204061220407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5649215928719027,0.0,0.0,12.90019247865684,0.0,10.0,3.827931716278361,5.9636084588393405,1.7689691067625433,3.1156833910391595,0.0,4.69476477861571,1.269742059616513,2.1157009420498163,5.791737018121147,0.9863007227241893,2.287201896861491,6.44284130501696
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,46.142857142857146,49.142857142857146,27.857142857142858,31.285714285714285,45.285714285714285,17.285714285714285,70.0,72.85714285714286,37.285714285714285,75.85714285714286,30.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.05553514110053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3451854182690985,0.0,0.0,0.0,0.0,0.0,3.165502829451477,12.78471664104593,1.486904285332952,1.1065666703449764,7.408856623162917,1.5386185163241437,1.5118578920369088,1.223355483682393,4.346395801418116,0.8288997707394867,1.8257418583505534,3.0550504633038935
2007-03-01,0.0,0.0,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,0.0,0.0,0.0,26.714285714285715,23.714285714285715,0.0,0.0,0.0,15.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.142857142857146,0.0,29.0,0.0,0.0,0.0,0.0,0.0,32.714285714285715,4.571428571428571,40.285714285714285,28.285714285714285,39.0,13.857142857142858,77.0,82.14285714285714,39.285714285714285,72.71428571428571,26.0,34.285714285714285,0.0,0.0,18.442777839082936,0.0,0.0,0.0,0.0,0.0,0.0,2.3975611190807817,0.0,0.0,0.0,12.69929560422693,15.3090609424215,0.0,0.0,0.0,10.417149648666907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.905118330765296,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.1899585309651273,2.9589021681725685,3.5571141708539233,1.7418420150639884,7.033931367037247,1.4380637019563332,1.1547005383792515,2.3444825952554624,3.530238665304884,0.7468755781599115,1.3451854182690985,4.173124247658408
2007-04-01,0.0,0.0,28.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,4.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.285714285714285,0.0,0.0,0.0,0.0,28.571428571428573,0.0,0.0,0.0,0.0,24.142857142857142,0.0,34.285714285714285,0.0,0.0,68.71428571428571,0.0,31.857142857142858,18.571428571428573,23.428571428571427,27.0,38.57142857142857,44.57142857142857,25.714285714285715,74.28571428571429,63.714285714285715,61.57142857142857,69.42857142857143,24.0,23.857142857142858,0.0,0.0,18.442777839082936,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094372265748886,0.0,0.0,0.0,0.0,18.442777839082936,0.0,0.0,0.0,0.0,15.860145575847493,0.0,1.8350332255235897,0.0,0.0,17.93468876854265,0.0,15.827084337914416,1.7023393268304263,3.715201352340863,2.0701966780270626,2.77623539945684,4.151059204228097,1.8862192686036534,1.409395103518928,1.426188488749708,3.772438537207306,0.8411200825074139,1.4309504001254016,1.857142857142857
2007-05-01,0.0,0.0,0.0,0.0,57.142857142857146,0.0,0.0,0.0,0.0,5.428571428571429,0.0,0.0,27.571428571428573,0.0,0.0,0.0,0.0,0.0,8.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.714285714285715,0.0,0.0,0.0,29.428571428571427,0.0,0.0,0.0,0.0,0.0,24.571428571428573,47.285714285714285,44.0,38.142857142857146,26.714285714285715,18.285714285714285,74.14285714285714,50.42857142857143,70.14285714285714,71.57142857142857,22.285714285714285,16.857142857142858,0.0,0.0,0.0,0.0,20.203050891044214,0.0,0.0,0.0,0.0,1.1923794310046583,0.0,0.0,17.813661347747825,0.0,0.0,0.0,0.0,0.0,8.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.551573774672203,0.0,0.0,0.0,1.324802642213672,0.0,0.0,0.0,0.0,0.0,1.8498023428147647,9.054633872102347,2.0236694629405503,2.0751198637619934,2.4074713637646736,2.504417865200896,0.6700593942604899,2.496255699444031,7.122829064181663,0.649437223665993,1.1065666703449761,1.8313223355266104
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.857142857142858,0.0,26.285714285714285,0.0,35.42857142857143,0.0,0.0,0.0,0.0,46.0,19.428571428571427,0.0,38.714285714285715,29.857142857142858,43.42857142857143,14.428571428571429,76.57142857142857,52.142857142857146,49.142857142857146,68.28571428571429,21.285714285714285,22.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2670604472047686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.351415913744653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.463227822530545,0.0,17.056927493256342,0.0,1.5096064270616527,0.0,0.0,0.0,0.0,12.564121252882863,1.7842851423995425,0.0,2.2008038111031127,1.8699194205782725,4.5453123045153045,1.212183053462653,1.1308897225750394,2.806697529198358,1.2804123485474996,1.062662552591495,1.5692625765032455,0.7693092581620721
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.142857142857142,0.0,21.0,0.0,29.571428571428573,0.0,0.0,0.0,0.0,0.0,15.571428571428571,35.714285714285715,36.285714285714285,30.285714285714285,18.142857142857142,24.571428571428573,70.85714285714286,65.0,37.142857142857146,68.71428571428571,21.857142857142858,44.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2316683006073867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.142857142857142,0.0,13.785775968280458,0.0,1.1308897225750398,0.0,0.0,0.0,0.0,0.0,1.6454430993496185,6.707189766051287,1.6433746596892758,3.0135747299612836,3.9365719400838826,3.2939854486707163,1.31707777961327,1.6761634196950514,2.737991716469534,0.7468755781599103,1.3350329303691606,3.9201207811463554
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,58.857142857142854,0.0,30.142857142857142,17.285714285714285,28.0,30.285714285714285,23.285714285714285,13.285714285714286,13.857142857142858,60.57142857142857,44.857142857142854,36.57142857142857,65.71428571428571,25.142857142857142,8.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0236694629405503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6761634196950514,0.0,0.0,16.616727904690002,0.0,14.929084065019131,1.4591955662899583,6.557438524302001,1.584362358058488,2.089819834046827,3.462137281770197,2.1205184836392683,1.043281061914602,2.040408122440814,3.264944707889894,0.6801360408136052,1.4545261285048823,1.1895234282663614
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.57142857142857,0.0,0.0,5.714285714285714,0.0,36.285714285714285,11.571428571428571,27.285714285714285,31.142857142857142,31.0,17.714285714285715,30.714285714285715,74.71428571428571,39.142857142857146,33.0,84.57142857142857,24.0,22.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.569794492875518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36027208162721,0.0,0.0,5.7142857142857135,0.0,13.58345331944836,1.4937511563198211,4.357338012803589,2.3035022137995855,1.8257418583505536,2.3372173698681955,2.485331114419026,1.6862791628215024,1.261680123761121,2.7255405754769875,1.2697420596165123,1.5118578920369092,3.9209883524264573
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,57.285714285714285,0.0,26.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.142857142857142,0.0,0.0,42.714285714285715,0.0,0.0,0.0,36.142857142857146,0.0,0.0,18.142857142857142,0.0,0.0,20.857142857142858,32.0,46.857142857142854,42.142857142857146,24.0,33.285714285714285,84.28571428571429,45.142857142857146,59.42857142857143,84.42857142857143,26.0,37.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.058663459163551,0.0,0.0,15.848560526063535,0.0,12.459185066327844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.14285714285714,0.0,0.0,11.237086314678614,0.0,0.0,0.0,1.056241572038992,0.0,0.0,8.990546811667748,0.0,0.0,1.882609276263885,8.194074514114277,3.460171833254276,2.374753836150797,4.845223470201398,3.3996798568764817,1.860802255483803,1.4380637019563332,6.636325513906819,1.043281061914602,1.2535663410560174,3.884383525625355
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.142857142857143,0.0,21.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,28.571428571428573,0.0,30.285714285714285,0.0,0.0,0.0,0.0,13.285714285714286,19.571428571428573,10.428571428571429,54.0,36.0,36.714285714285715,17.285714285714285,83.0,41.142857142857146,73.71428571428571,79.42857142857143,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2804123485475,0.0,10.305866501839692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.469701662892707,0.0,0.0,0.0,0.0,18.442777839082936,0.0,0.8081220356417685,0.0,0.0,0.0,0.0,8.692400308847475,1.7573944844996128,4.864140617373045,3.199702367110922,2.309401076758503,3.167651118011922,1.5993195832139677,0.7559289460184543,1.4380637019563336,6.338522757575248,1.0658585374094949,0.654653670707977,2.9920529661723823
2007-12-01,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,4.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.571428571428573,0.0,0.0,0.0,0.0,0.0,26.571428571428573,18.714285714285715,37.57142857142857,28.0,42.142857142857146,13.714285714285714,65.85714285714286,44.285714285714285,44.714285714285715,63.285714285714285,28.571428571428573,49.57142857142857,0.0,0.0,0.0,0.0,18.079190879493,0.0,0.0,0.0,0.0,1.377664394427565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.551106276759542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879675865519867,0.0,0.0,0.0,0.0,0.0,1.2883570722351125,4.848732213850612,2.5990579140943217,1.9999999999999996,4.8767112817112785,1.8088971345926266,1.2233554836823939,1.5073515991756585,3.7270841770189502,0.6441785361175566,1.3776643944275648,3.624369520588196
2008-01-01,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2857142857142856,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,28.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.142857142857146,0.0,0.0,0.0,0.0,33.857142857142854,57.57142857142857,52.857142857142854,35.857142857142854,42.285714285714285,69.85714285714286,33.42857142857143,90.0,63.0,70.14285714285714,83.85714285714286,42.285714285714285,32.57142857142857,0.0,0.0,12.268814511753346,0.0,0.0,0.0,0.0,0.0,0.0,1.2670604472047684,0.0,0.0,0.0,0.0,14.446947280110274,0.0,0.0,0.0,8.39987042336081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40406101782088455,0.0,0.0,0.0,0.0,13.748469302553842,1.7842851423995425,7.875303687050126,1.944816938729727,2.4660966430902946,5.170560305958245,1.9500566885184063,0.6900655593423541,2.0,3.187987657774486,0.7693092581620717,2.2647851334464977,2.0685530122831874
