,value,date,keyword_id,keyword
0,31,2007-01-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
1,34,2007-02-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
2,60,2007-03-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
3,65,2007-04-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
4,27,2007-05-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
5,28,2007-06-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
6,0,2007-07-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
7,0,2007-08-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
8,54,2007-09-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
9,48,2007-10-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
10,0,2007-11-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
11,0,2007-12-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
12,88,2008-01-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
13,47,2008-02-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
14,46,2008-03-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
15,0,2008-04-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
16,23,2008-05-01,2,pass deutschland + passbehörde deutschland + passport germany + passport office germany + D248N0V4AHWUJ0IO0B7Z
